,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,longitudeTranslated,datetime,SEU (Upsets/hr/Gb),SEL (Latch-ups/hr/device)
0,-90.0,0.0,11.89,2.570517012011795,2.590666406748413,1.5298903958656274,1.1195705117034607,0.7167079201775008,0.4855735492338655,7.167079201775009e-14,7.167079201775009e-09,0.0,2012-05-17 01:55:00+00:00,0.2580148512639003,2.5801485126390034e-05
1,-90.0,5.0,11.89,2.5705170118676657,2.5906664065899188,1.529890395724958,1.1195705116424728,0.7167079201365707,0.4855735492045363,7.167079201365707e-14,7.167079201365707e-09,5.0,2012-05-17 01:55:00+00:00,0.25801485124916546,2.5801485124916546e-05
2,-90.0,10.0,11.89,2.5705170112618796,2.5906664063479203,1.5298903955353154,1.1195705116190882,0.7167079201197973,0.4855735491884161,7.167079201197974e-14,7.167079201197974e-09,10.0,2012-05-17 01:55:00+00:00,0.25801485124312706,2.5801485124312706e-05
3,-90.0,15.0,11.89,2.570517010404757,2.590666404419072,1.5298903947153406,1.119570510550052,0.7167079194388198,0.4855735487372549,7.167079194388198e-14,7.1670791943881985e-09,15.0,2012-05-17 01:55:00+00:00,0.2580148509979751,2.5801485099797516e-05
4,-90.0,20.0,11.89,2.570517012230868,2.5906664069348104,1.5298903959841854,1.1195705117993864,0.7167079202386846,0.4855735492761093,7.167079202386847e-14,7.1670792023868456e-09,20.0,2012-05-17 01:55:00+00:00,0.2580148512859265,2.5801485128592645e-05
5,-90.0,25.0,11.89,2.570517011083863,2.590666405750596,1.5298903951929965,1.119570511258529,0.7167079198879894,0.48557354903046923,7.167079198879894e-14,7.167079198879894e-09,25.0,2012-05-17 01:55:00+00:00,0.25801485115967615,2.580148511596762e-05
6,-90.0,30.0,11.89,2.570517014257045,2.5906664094623117,1.5298903972874656,1.1195705129836593,0.7167079209908925,0.4855735497763736,7.167079209908926e-14,7.167079209908926e-09,30.0,2012-05-17 01:55:00+00:00,0.2580148515567213,2.5801485155672132e-05
7,-90.0,35.0,11.89,2.5705170121802383,2.5906664072066237,1.5298903959319137,1.1195705119490835,0.7167079203258714,0.48557354932105146,7.167079203258715e-14,7.167079203258714e-09,35.0,2012-05-17 01:55:00+00:00,0.2580148513173137,2.580148513173137e-05
8,-90.0,40.0,11.89,2.5705170114221083,2.5906664057035393,1.5298903953406588,1.1195705111657195,0.7167079198336236,0.4855735490041813,7.167079198336236e-14,7.167079198336236e-09,40.0,2012-05-17 01:55:00+00:00,0.25801485114010453,2.580148511401045e-05
9,-90.0,45.0,11.89,2.570517011300354,2.5906664057382716,1.5298903953430716,1.1195705112288206,0.7167079198781479,0.4855735490393821,7.167079198781478e-14,7.167079198781479e-09,45.0,2012-05-17 01:55:00+00:00,0.2580148511561332,2.5801485115613325e-05
10,-90.0,50.0,11.89,2.5705170124546775,2.5906664077417063,1.5298903962508816,1.119570512251437,0.7167079205202116,0.4855735494523051,7.167079205202116e-14,7.167079205202116e-09,50.0,2012-05-17 01:55:00+00:00,0.25801485138727615,2.5801485138727618e-05
11,-90.0,55.0,11.89,2.5705170127216874,2.590666407111458,1.5298903961583081,1.1195705117980062,0.7167079202412969,0.4855735492850355,7.16707920241297e-14,7.1670792024129696e-09,55.0,2012-05-17 01:55:00+00:00,0.2580148512868669,2.580148512868669e-05
12,-90.0,60.0,11.89,2.5705170131475943,2.590666407972881,1.5298903964405388,1.1195705122663788,0.7167079205306364,0.4855735494654304,7.167079205306364e-14,7.167079205306364e-09,60.0,2012-05-17 01:55:00+00:00,0.25801485139102914,2.580148513910291e-05
13,-90.0,65.0,11.89,2.5705170117779064,2.5906664062567915,1.5298903957378562,1.119570511430134,0.7167079200084144,0.48557354912736644,7.167079200084145e-14,7.167079200084144e-09,65.0,2012-05-17 01:55:00+00:00,0.2580148512030292,2.580148512030292e-05
14,-90.0,70.0,11.89,2.5705170129583403,2.590666407574572,1.5298903962853763,1.1195705120436754,0.7167079203913861,0.48557354937586933,7.167079203913862e-14,7.167079203913861e-09,70.0,2012-05-17 01:55:00+00:00,0.258014851340899,2.58014851340899e-05
15,-90.0,75.0,11.89,2.570517012048468,2.5906664062359814,1.529890395701809,1.1195705113595062,0.7167079199627427,0.48557354909926126,7.167079199627427e-14,7.167079199627427e-09,75.0,2012-05-17 01:55:00+00:00,0.2580148511865874,2.5801485118658737e-05
16,-90.0,80.0,11.89,2.5705170112994065,2.590666406056252,1.5298903955543208,1.1195705114147019,0.7167079199963967,0.4855735491153172,7.167079199963967e-14,7.167079199963967e-09,80.0,2012-05-17 01:55:00+00:00,0.2580148511987028,2.5801485119870282e-05
17,-90.0,85.0,11.89,2.57051701337056,2.590666408224105,1.5298903964904562,1.11957051235932,0.7167079205856265,0.4855735494944779,7.167079205856266e-14,7.167079205856265e-09,85.0,2012-05-17 01:55:00+00:00,0.2580148514108256,2.5801485141082556e-05
18,-90.0,90.0,11.89,2.5705170101701897,2.5906664047145944,1.5298903947369966,1.1195705108002338,0.7167079196001604,0.4855735488455735,7.167079196001604e-14,7.167079196001604e-09,90.0,2012-05-17 01:55:00+00:00,0.25801485105605776,2.5801485105605777e-05
