LARC       LATITUDE    -62.2     LONGITUDE     301.04    ALTITUDE    40 M
LARC       INSTRUMENT   6-NM-64  NEUTRON MONITOR
LARC       STANDARD PRESSURE    980     mb     COEFFICIENT   -0.74     % / mb
LARC       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LARC       PRE-INCREASE AVERAGE COUNTING RATE     75.82      COUNTS PER SECOND
LARC       TIME INTERVALS    300         3600     
LARC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LARC       061213 300  051500-052000   00      88.66  961.9     77.53     2.30     2.30
LARC       061213 300  052000-052500   00      87.23  962.0     76.33     0.70     0.70
LARC       061213 300  052500-053000   00      87.37  962.0     76.46     0.90     0.90
LARC       061213 300  053000-053500   00      86.96  961.9     76.05     0.30     0.30
LARC       061213 300  053500-054000   00      87.44  962.0     76.51     0.90     0.90
LARC       061213 300  054000-054500   00      86.39  962.0     75.62    -0.30    -0.30
LARC       061213 300  054500-055000   00      86.80  962.1     76.00     0.30     0.30
LARC       061213 300  055000-055500   00      87.18  962.0     76.30     0.60     0.60
LARC       061213 300  055500-060000   00      87.69  962.1     76.80     1.30     1.30
LARC       061213 300  060000-060500   00      87.60  962.2     76.78     1.30     1.30
LARC       061213 300  060500-061000   00      86.89  962.2     76.15     0.40     0.40
LARC       061213 300  061000-061500   00      88.13  962.3     77.34     2.00     2.00
LARC       061213 300  061500-062000   00      87.39  962.3     76.69     1.20     1.20
LARC       061213 300  062000-062500   00      87.42  962.4     76.73     1.20     1.20
LARC       061213 300  062500-063000   00      86.42  962.4     75.88     0.10     0.10
LARC       061213 300  063000-063500   00      86.72  962.4     76.16     0.50     0.50
LARC       061213 300  063500-064000   00      86.61  962.5     76.10     0.40     0.40
LARC       061213 300  064000-064500   00      85.96  962.6     75.60    -0.30    -0.30
LARC       061213 300  064500-065000   00      86.77  962.7     76.34     0.70     0.70
LARC       061213 300  065000-065500   00      87.17  962.7     76.70     1.20     1.20
LARC       061213 300  065500-070000   00      85.81  962.8     75.54    -0.30    -0.30
LARC       061213 300  070000-070500   00      84.94  962.8     74.79    -1.30    -9999
LARC       061213 300  070500-071000   00      85.15  962.8     74.98    -1.10    -9999
LARC       061213 300  071000-071500   00      86.83  962.9     76.48     0.90    -9999
LARC       061213 300  071500-072000   00      86.17  962.9     75.93     0.20    -9999
LARC       061213 300  072000-072500   00      85.91  962.9     75.71    -0.10    -9999
LARC       061213 300  072500-073000   00      85.05  963.0     74.97    -1.10    -9999
LARC       061213 300  073000-073500   00      85.07  963.1     75.04    -1.00    -9999
