NEWARK     LATITUDE    39.7      LONGITUDE     -75.7     ALTITUDE    50 M
NEWARK     INSTRUMENT   9NM64    NEUTRON MONITOR     	
NEWARK     STANDARD PRESSURE    1007.3  MB     COEFFICIENT   -0.74     % / MB
NEWARK     PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NEWARK     PRE-INCREASE AVERAGE COUNTING RATE     88.49      COUNTS PER SECOND
NEWARK     TIME INTERVALS    300         3600     
NEWARK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
NEWARK     010415 300  120000-120500   00      88.61 1007.3     88.61     0.10    -9999
NEWARK     010415 300  120500-121000   00      87.58 1007.3     87.58    -1.00    -9999
NEWARK     010415 300  121000-121500   00      88.21 1007.3     88.22    -0.30    -9999
NEWARK     010415 300  121500-122000   00      88.53 1007.3     88.54     0.00    -9999
NEWARK     010415 300  122000-122500   00      89.49 1007.3     89.50     1.10    -9999
NEWARK     010415 300  122500-123000   00      87.25 1007.3     87.26    -1.40    -9999
NEWARK     010415 300  123000-123500   00      88.85 1007.3     88.85     0.40    -9999
NEWARK     010415 300  123500-124000   00      88.85 1007.3     88.84     0.40    -9999
NEWARK     010415 300  124000-124500   00      89.49 1007.3     89.47     1.10    -9999
NEWARK     010415 300  124500-125000   00      88.53 1007.3     88.49     0.00    -9999
NEWARK     010415 300  125000-125500   00      88.85 1007.3     88.80     0.40    -9999
NEWARK     010415 300  125500-130000   00      87.57 1007.2     87.50    -1.10    -9999
NEWARK     010415 300  130000-130500   00      89.49 1007.1     89.37     1.00     1.00
NEWARK     010415 300  130500-131000   00      88.21 1007.1     88.07    -0.40    -0.40
NEWARK     010415 300  131000-131500   00      89.81 1007.1     89.64     1.30     1.30
NEWARK     010415 300  131500-132000   00      88.85 1007.0     88.66     0.20     0.20
NEWARK     010415 300  132000-132500   00      88.85 1007.0     88.64     0.20     0.20
NEWARK     010415 300  132500-133000   00      89.81 1007.0     89.57     1.20     1.20
NEWARK     010415 300  133000-133500   00      89.17 1006.9     88.91     0.40     0.40
NEWARK     010415 300  133500-134000   00      89.49 1006.9     89.20     0.80     0.80
NEWARK     010415 300  134000-134500   00      88.85 1006.8     88.53     0.10     0.10
NEWARK     010415 300  134500-135000   00      89.17 1006.8     88.82     0.40     0.40
NEWARK     010415 300  135000-135500   00      89.17 1006.8     88.80     0.30     0.30
NEWARK     010415 300  135500-140000   00      91.41 1006.7     91.00     2.90     2.90
NEWARK     010415 300  140000-140500   00      98.87 1006.7     98.40    11.20    11.20
NEWARK     010415 300  140500-141000   00     107.71 1006.7    107.16    21.10    21.10
NEWARK     010415 300  141000-141500   00     114.10 1006.6    113.48    28.20    28.20
NEWARK     010415 300  141500-142000   00     114.42 1006.6    113.76    28.60    28.60
NEWARK     010415 300  142000-142500   00     116.02 1006.5    115.30    30.30    30.30
NEWARK     010415 300  142500-143000   00     118.58 1006.4    117.81    33.20    33.20
NEWARK     010415 300  143000-143500   00     116.02 1006.4    115.21    30.20    30.20
NEWARK     010415 300  143500-144000   00     115.38 1006.3    114.53    29.50    29.50
NEWARK     010415 300  144000-144500   00     114.74 1006.3    113.85    28.60    28.60
NEWARK     010415 300  144500-145000   00     114.42 1006.2    113.48    28.30    28.30
NEWARK     010415 300  145000-145500   00     110.59 1006.2    109.63    23.90    23.90
NEWARK     010415 300  145500-150000   00     109.95 1006.1    108.94    23.10    23.10
NEWARK     010415 300  150000-150500   00     108.39 1006.0    107.31    21.30    21.30
NEWARK     010415 300  150500-151000   00     106.43 1005.9    105.32    19.00    19.00
NEWARK     010415 300  151000-151500   00     103.56 1005.8    102.42    15.70    15.70
NEWARK     010415 300  151500-152000   00     103.88 1005.8    102.69    16.00    16.00
NEWARK     010415 300  152000-152500   00     102.28 1005.7    101.06    14.20    14.20
NEWARK     010415 300  152500-153000   00     104.84 1005.7    103.54    17.00    17.00
NEWARK     010415 300  153000-153500   00     100.36 1005.6     99.08    12.00    12.00
NEWARK     010415 300  153500-154000   00     100.68 1005.5     99.34    12.30    12.30
NEWARK     010415 300  154000-154500   00     100.68 1005.5     99.30    12.20    12.20
NEWARK     010415 300  154500-155000   00     101.00 1005.4     99.57    12.50    12.50
NEWARK     010415 300  155000-155500   00     100.36 1005.4     98.90    11.80    11.80
NEWARK     010415 300  155500-160000   00      99.40 1005.3     97.91    10.70    10.70
NEWARK     010415 300  160000-160500   00      98.40 1005.3     96.93     9.50     9.50
NEWARK     010415 300  160500-161000   00      99.08 1005.2     97.55    10.20    10.20
NEWARK     010415 300  161000-161500   00      98.43 1005.2     96.87     9.50     9.50
NEWARK     010415 300  161500-162000   00      97.17 1005.1     95.58     8.00     8.00
NEWARK     010415 300  162000-162500   00      97.16 1005.1     95.53     7.90     7.90
NEWARK     010415 300  162500-163000   00      96.84 1005.0     95.18     7.60     7.60
NEWARK     010415 300  163000-163500   00      97.48 1004.9     95.76     8.20     8.20
NEWARK     010415 300  163500-164000   00      97.79 1004.9     96.01     8.50     8.50
NEWARK     010415 300  164000-164500   00      95.56 1004.8     93.78     6.00     6.00
NEWARK     010415 300  164500-165000   00      96.21 1004.7     94.36     6.60     6.60
NEWARK     010415 300  165000-165500   00      95.89 1004.6     93.99     6.20     6.20
NEWARK     010415 300  165500-170000   00      96.84 1004.6     94.88     7.20     7.20
NEWARK     010415 300  170000-170500   00      97.05 1004.5     95.01     7.40     7.40
NEWARK     010415 300  170500-171000   00      94.93 1004.4     92.88     5.00     5.00
NEWARK     010415 300  171000-171500   00      94.93 1004.3     92.83     4.90     4.90
NEWARK     010415 300  171500-172000   00      94.29 1004.2     92.15     4.20     4.20
NEWARK     010415 300  172000-172500   00      94.61 1004.2     92.40     4.40     4.40
NEWARK     010415 300  172500-173000   00      95.25 1004.1     92.97     5.10     5.10
