TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.3  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     98.84      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  010415 300  114000-114500   00      99.92 1000.2     99.87     1.00    -9999
TIXIE BAY  010415 300  114500-115000   00     100.21 1000.2    100.18     1.40    -9999
TIXIE BAY  010415 300  115000-115500   00      97.81 1000.3     97.79    -1.10    -9999
TIXIE BAY  010415 300  115500-120000   00      98.69 1000.3     98.67    -0.20    -9999
TIXIE BAY  010415 300  120000-120500   00      98.40 1000.3     98.39    -0.50    -9999
TIXIE BAY  010415 300  120500-121000   00      98.56 1000.3     98.55    -0.30    -9999
TIXIE BAY  010415 300  121000-121500   00      98.24 1000.3     98.23    -0.60    -9999
TIXIE BAY  010415 300  121500-122000   00      99.55 1000.3     99.54     0.70    -9999
TIXIE BAY  010415 300  122000-122500   00      99.95 1000.3     99.95     1.10    -9999
TIXIE BAY  010415 300  122500-123000   00      99.81 1000.3     99.81     1.00    -9999
TIXIE BAY  010415 300  123000-123500   00      98.56 1000.3     98.56    -0.30    -9999
TIXIE BAY  010415 300  123500-124000   00      99.68 1000.3     99.68     0.80    -9999
TIXIE BAY  010415 300  124000-124500   00      98.27 1000.3     98.26    -0.60    -9999
TIXIE BAY  010415 300  124500-125000   00      97.76 1000.3     97.75    -1.10    -9999
TIXIE BAY  010415 300  125000-125500   00      98.83 1000.3     98.82     0.00    -9999
TIXIE BAY  010415 300  125500-130000   00      98.48 1000.3     98.47    -0.40    -9999
TIXIE BAY  010415 300  130000-130500   00      99.57 1000.2     99.50     0.70     0.40
TIXIE BAY  010415 300  130500-131000   00      99.04 1000.2     98.96     0.10    -0.21
TIXIE BAY  010415 300  131000-131500   00      98.80 1000.2     98.72    -0.10    -0.42
TIXIE BAY  010415 300  131500-132000   00      98.72 1000.2     98.64    -0.20    -0.53
TIXIE BAY  010415 300  132000-132500   00      99.04 1000.2     98.96     0.10    -0.24
TIXIE BAY  010415 300  132500-133000   00      98.56 1000.2     98.49    -0.40    -0.76
TIXIE BAY  010415 300  133000-133500   00      99.89 1000.2     99.82     1.00     0.63
TIXIE BAY  010415 300  133500-134000   00     100.00 1000.2     99.94     1.10     0.72
TIXIE BAY  010415 300  134000-134500   00      98.83 1000.2     98.78    -0.10    -0.49
TIXIE BAY  010415 300  134500-135000   00      99.65 1000.2     99.61     0.80     0.40
TIXIE BAY  010415 300  135000-135500   00     100.56 1000.3    100.54     1.70     1.29
TIXIE BAY  010415 300  135500-140000   00      98.24 1000.3     98.23    -0.60    -1.03
TIXIE BAY  010415 300  140000-140500   00      99.63 1000.4     99.69     0.90     0.46
TIXIE BAY  010415 300  140500-141000   00      99.71 1000.4     99.79     1.00     0.55
TIXIE BAY  010415 300  141000-141500   00     104.27 1000.4    104.37     5.60     5.14
TIXIE BAY  010415 300  141500-142000   00     111.65 1000.5    111.78    13.10    12.63
TIXIE BAY  010415 300  142000-142500   00     116.59 1000.5    116.73    18.10    17.62
TIXIE BAY  010415 300  142500-143000   00     123.44 1000.5    123.61    25.10    24.60
TIXIE BAY  010415 300  143000-143500   00     129.41 1000.5    129.61    31.10    30.59
TIXIE BAY  010415 300  143500-144000   00     131.47 1000.5    131.68    33.20    32.68
TIXIE BAY  010415 300  144000-144500   00     133.28 1000.5    133.51    35.10    34.57
TIXIE BAY  010415 300  144500-145000   00     136.19 1000.5    136.43    38.00    37.46
TIXIE BAY  010415 300  145000-145500   00     139.20 1000.6    139.46    41.10    40.55
TIXIE BAY  010415 300  145500-150000   00     139.31 1000.6    139.58    41.20    40.64
TIXIE BAY  010415 300  150000-150500   00     137.92 1000.5    138.15    39.80    39.22
TIXIE BAY  010415 300  150500-151000   00     135.79 1000.5    136.02    37.60    37.01
TIXIE BAY  010415 300  151000-151500   00     132.08 1000.6    132.32    33.90    33.30
TIXIE BAY  010415 300  151500-152000   00     131.89 1000.6    132.14    33.70    33.09
TIXIE BAY  010415 300  152000-152500   00     131.07 1000.6    131.33    32.90    32.28
TIXIE BAY  010415 300  152500-153000   00     129.04 1000.6    129.31    30.80    30.17
TIXIE BAY  010415 300  153000-153500   00     128.24 1000.6    128.53    30.00    29.36
TIXIE BAY  010415 300  153500-154000   00     124.43 1000.6    124.72    26.20    25.54
TIXIE BAY  010415 300  154000-154500   00     122.29 1000.6    122.60    24.00    23.33
TIXIE BAY  010415 300  154500-155000   00     124.37 1000.7    124.70    26.20    25.52
TIXIE BAY  010415 300  155000-155500   00     125.84 1000.7    126.19    27.70    27.01
TIXIE BAY  010415 300  155500-160000   00     127.89 1000.7    128.28    29.80    29.10
TIXIE BAY  010415 300  160000-160500   00     123.28 1000.8    123.71    25.20    24.49
TIXIE BAY  010415 300  160500-161000   00     122.53 1000.8    122.99    24.40    23.68
TIXIE BAY  010415 300  161000-161500   00     122.19 1000.8    122.66    24.10    23.37
TIXIE BAY  010415 300  161500-162000   00     120.72 1000.9    121.20    22.60    21.85
TIXIE BAY  010415 300  162000-162500   00     117.92 1000.9    118.41    19.80    19.04
TIXIE BAY  010415 300  162500-163000   00     117.76 1000.9    118.26    19.70    18.93
TIXIE BAY  010415 300  163000-163500   00     116.93 1000.9    117.45    18.80    18.02
TIXIE BAY  010415 300  163500-164000   00     117.44 1000.9    117.97    19.40    18.61
TIXIE BAY  010415 300  164000-164500   00     113.81 1000.9    114.34    15.70    14.90
TIXIE BAY  010415 300  164500-165000   00     114.13 1000.9    114.67    16.00    15.19
TIXIE BAY  010415 300  165000-165500   00     112.59 1001.0    113.13    14.50    13.68
TIXIE BAY  010415 300  165500-170000   00     113.31 1001.0    113.86    15.20    14.37
TIXIE BAY  010415 300  170000-170500   00     112.83 1000.9    113.35    14.70    13.85
TIXIE BAY  010415 300  170500-171000   00     112.56 1001.0    113.09    14.40    13.54
TIXIE BAY  010415 300  171000-171500   00     112.99 1001.0    113.53    14.90    14.03
TIXIE BAY  010415 300  171500-172000   00     111.39 1001.0    111.93    13.20    12.32
TIXIE BAY  010415 300  172000-172500   00     111.04 1001.0    111.59    12.90    12.01
TIXIE BAY  010415 300  172500-173000   00     109.44 1001.0    109.99    11.30    10.40
TIXIE BAY  010415 300  173000-173500   00     108.00 1001.0    108.55     9.80     8.89
TIXIE BAY  010415 300  173500-174000   00     110.35 1001.0    110.92    12.20    11.28
TIXIE BAY  010415 300  174000-174500   00     109.36 1001.0    109.94    11.20    10.27
TIXIE BAY  010415 300  174500-175000   00     107.87 1001.0    108.45     9.70     8.76
TIXIE BAY  010415 300  175000-175500   00     107.76 1001.1    108.36     9.60     8.64
TIXIE BAY  010415 300  175500-180000   00     109.71 1001.1    110.33    11.60    10.63
TIXIE BAY  010415 300  180000-180500   00     107.73 1001.2    108.40     9.70     8.72
TIXIE BAY  010415 300  180500-181000   00     106.51 1001.2    107.18     8.40     7.41
TIXIE BAY  010415 300  181000-181500   00     106.00 1001.2    106.68     7.90     6.90
TIXIE BAY  010415 300  181500-182000   00     106.56 1001.2    107.25     8.50     7.49
TIXIE BAY  010415 300  182000-182500   00     106.00 1001.2    106.69     7.90     6.88
TIXIE BAY  010415 300  182500-183000   00     104.96 1001.2    105.64     6.90     5.87
TIXIE BAY  010415 300  183000-183500   00     106.19 1001.2    106.88     8.10     7.06
TIXIE BAY  010415 300  183500-184000   00     106.35 1001.2    107.04     8.30     7.25
TIXIE BAY  010415 300  184000-184500   00     104.64 1001.2    105.32     6.60     5.54
TIXIE BAY  010415 300  184500-185000   00     104.24 1001.2    104.91     6.10     5.03
TIXIE BAY  010415 300  185000-185500   00     105.28 1001.2    105.95     7.20     6.12
TIXIE BAY  010415 300  185500-190000   00     105.55 1001.2    106.20     7.40     6.30
TIXIE BAY  010415 300  190000-190500   00     106.03 1001.0    106.58     7.80     6.69
TIXIE BAY  010415 300  190500-191000   00     105.01 1001.0    105.55     6.80     5.68
TIXIE BAY  010415 300  191000-191500   00     106.75 1001.0    107.29     8.50     7.37
TIXIE BAY  010415 300  191500-192000   00     104.88 1001.0    105.41     6.60     5.46
TIXIE BAY  010415 300  192000-192500   00     104.61 1001.0    105.14     6.40     5.25
TIXIE BAY  010415 300  192500-193000   00     104.43 1001.0    104.95     6.20     5.04
TIXIE BAY  010415 300  193000-193500   00     103.60 1001.0    104.13     5.40     4.23
TIXIE BAY  010415 300  193500-194000   00     103.36 1001.0    103.90     5.10     3.92
TIXIE BAY  010415 300  194000-194500   00     104.61 1001.0    105.17     6.40     5.21
TIXIE BAY  010415 300  194500-195000   00     102.88 1001.1    103.44     4.70     3.50
TIXIE BAY  010415 300  195000-195500   00     103.01 1001.1    103.60     4.80     3.59
TIXIE BAY  010415 300  195500-200000   00     104.35 1001.1    104.96     6.20     4.98
TIXIE BAY  010415 300  200000-200500   00     103.17 1001.2    103.88     5.10     3.87
TIXIE BAY  010415 300  200500-201000   00     103.23 1001.3    103.96     5.20     3.96
TIXIE BAY  010415 300  201000-201500   00     101.92 1001.3    102.66     3.90     2.65
TIXIE BAY  010415 300  201500-202000   00     102.77 1001.3    103.54     4.80     3.54
TIXIE BAY  010415 300  202000-202500   00     103.52 1001.4    104.32     5.50     4.23
TIXIE BAY  010415 300  202500-203000   00     102.32 1001.4    103.13     4.30     3.01
TIXIE BAY  010415 300  203000-203500   00     103.84 1001.4    104.68     5.90     4.60
TIXIE BAY  010415 300  203500-204000   00     103.33 1001.4    104.18     5.40     4.09
TIXIE BAY  010415 300  204000-204500   00     102.83 1001.5    103.69     4.90     3.58
TIXIE BAY  010415 300  204500-205000   00     103.76 1001.5    104.65     5.90     4.57
TIXIE BAY  010415 300  205000-205500   00     103.79 1001.5    104.69     5.90     4.56
TIXIE BAY  010415 300  205500-210000   00     102.24 1001.5    103.14     4.40     3.05
TIXIE BAY  010415 300  210000-210500   00     102.45 1001.5    103.32     4.50     3.14
TIXIE BAY  010415 300  210500-211000   00     104.19 1001.5    105.09     6.30     4.93
TIXIE BAY  010415 300  211000-211500   00     105.57 1001.5    106.50     7.80     6.42
TIXIE BAY  010415 300  211500-212000   00     104.32 1001.5    105.25     6.50     5.11
