KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1006.6  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    170.29      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       120517 300  011500-012000   00     166.10 1010.6    170.98     0.40     0.40
KIEL       120517 300  012000-012500   00     163.30 1010.6    168.09    -1.30    -1.30
KIEL       120517 300  012500-013000   00     166.51 1010.6    171.42     0.70     0.70
KIEL       120517 300  013000-013500   00     163.59 1010.6    168.42    -1.10    -1.10
KIEL       120517 300  013500-014000   00     167.02 1010.7    172.05     1.00     1.00
KIEL       120517 300  014000-014500   00     165.07 1010.7    170.02    -0.20    -0.20
KIEL       120517 300  014500-015000   00     165.81 1010.7    170.81     0.30     0.30
KIEL       120517 300  015000-015500   00     164.91 1010.7    169.85    -0.30    -0.30
KIEL       120517 300  015500-020000   00     165.02 1010.8    170.07    -0.10    -0.10
KIEL       120517 300  020000-020500   00     165.24 1010.8    170.32     0.00     0.00
KIEL       120517 300  020500-021000   00     165.89 1010.8    171.00     0.40     0.40
KIEL       120517 300  021000-021500   00     171.11 1010.7    176.28     3.50     3.50
KIEL       120517 300  021500-022000   00     167.74 1010.7    172.79     1.50     1.50
KIEL       120517 300  022000-022500   00     166.68 1010.7    171.62     0.80     0.80
KIEL       120517 300  022500-023000   00     167.58 1010.7    172.55     1.30     1.30
KIEL       120517 300  023000-023500   00     168.42 1010.7    173.41     1.80     1.80
KIEL       120517 300  023500-024000   00     166.17 1010.8    171.28     0.60     0.60
KIEL       120517 300  024000-024500   00     166.37 1010.6    171.25     0.60     0.60
KIEL       120517 300  024500-025000   00     165.62 1010.6    170.46     0.10     0.10
KIEL       120517 300  025000-025500   00     166.92 1010.7    171.92     1.00     1.00
KIEL       120517 300  025500-030000   00     164.84 1010.7    169.78    -0.30    -0.30
KIEL       120517 300  030000-030500   00     167.02 1010.7    172.02     1.00    -9999
KIEL       120517 300  030500-031000   00     163.52 1010.8    168.54    -1.00    -9999
KIEL       120517 300  031000-031500   00     165.09 1010.8    170.18    -0.10    -9999
KIEL       120517 300  031500-032000   00     166.47 1010.7    171.48     0.70    -9999
KIEL       120517 300  032000-032500   00     166.66 1010.7    171.71     0.80    -9999
KIEL       120517 300  032500-033000   00     164.91 1010.7    169.90    -0.20    -9999
KIEL       120517 300  033000-033500   00     164.78 1010.7    169.74    -0.30    -9999
KIEL       120517 300  033500-034000   00     163.83 1010.7    168.76    -0.90    -9999
KIEL       120517 300  034000-034500   00     167.14 1010.7    172.14     1.10    -9999
KIEL       120517 300  034500-035000   00     165.80 1010.7    170.79     0.30    -9999
KIEL       120517 300  035000-035500   00     165.15 1010.7    170.05    -0.10    -9999
KIEL       120517 300  035500-040000   00     166.51 1010.7    171.53     0.70    -9999
KIEL       120517 300  040000-040500   00     164.06 1010.6    168.87    -0.80    -9999
KIEL       120517 300  040500-041000   00     163.81 1010.7    168.67    -1.00    -9999
KIEL       120517 300  041000-041500   00     165.93 1010.7    170.93     0.40    -9999
KIEL       120517 300  041500-042000   00     163.61 1010.7    168.49    -1.10    -9999
KIEL       120517 300  042000-042500   00     166.68 1010.6    171.55     0.70    -9999
KIEL       120517 300  042500-043000   00     163.85 1010.6    168.66    -1.00    -9999
KIEL       120517 300  043000-043500   00     163.61 1010.6    168.41    -1.10    -9999
KIEL       120517 300  043500-044000   00     166.21 1010.7    171.16     0.50    -9999
KIEL       120517 300  044000-044500   00     162.88 1010.8    167.90    -1.40    -9999
KIEL       120517 300  044500-045000   00     165.97 1010.7    170.99     0.40    -9999
KIEL       120517 300  045000-045500   00     164.27 1010.7    169.24    -0.60    -9999
KIEL       120517 300  045500-050000   00     166.61 1010.7    171.63     0.80    -9999
KIEL       120517 300  050000-050500   00     162.59 1010.9    167.73    -1.50    -9999
KIEL       120517 300  050500-051000   00     164.80 1010.8    169.91    -0.20    -9999
KIEL       120517 300  051000-051500   00     163.97 1010.8    169.02    -0.70    -9999
KIEL       120517 300  051500-052000   00     165.04 1010.8    170.08    -0.10    -9999
KIEL       120517 300  052000-052500   00     164.68 1010.7    169.66    -0.40    -9999
KIEL       120517 300  052500-053000   00     165.42 1010.8    170.48     0.10    -9999
KIEL       120517 300  053000-053500   00     165.59 1010.9    170.75     0.30    -9999
KIEL       120517 300  053500-054000   00     167.61 1010.7    172.66     1.40    -9999
KIEL       120517 300  054000-054500   00     166.62 1010.7    171.61     0.80    -9999
KIEL       120517 300  054500-055000   00     163.92 1010.7    168.87    -0.80    -9999
KIEL       120517 300  055000-055500   00     163.16 1010.8    168.12    -1.30    -9999
KIEL       120517 300  055500-060000   00     163.81 1010.8    168.79    -0.90    -9999
KIEL       120517 300  060000-060500   00     165.11 1010.8    170.17    -0.10    -9999
KIEL       120517 300  060500-061000   00     166.13 1010.7    171.14     0.50    -9999
KIEL       120517 300  061000-061500   00     164.21 1010.8    169.30    -0.60    -9999
KIEL       120517 300  061500-062000   00     164.89 1010.8    169.90    -0.20    -9999
KIEL       120517 300  062000-062500   00     165.00 1010.8    170.07    -0.10    -9999
KIEL       120517 300  062500-063000   00     166.35 1010.9    171.61     0.80    -9999
KIEL       120517 300  063000-063500   00     169.78 1010.9    175.09     2.80    -9999
