LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    747     mb     COEFFICIENT   -0.72     % / mb
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    470.15      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
LOMNICKY   120517 300  005500-010000   00     487.94  728.4    471.20     0.20    -9999
LOMNICKY   120517 300  010000-010500   00     485.78  728.4    469.16    -0.20    -9999
LOMNICKY   120517 300  010500-011000   00     488.76  728.5    472.47     0.50    -9999
LOMNICKY   120517 300  011000-011500   00     482.40  728.5    466.36    -0.80    -9999
LOMNICKY   120517 300  011500-012000   00     486.65  728.4    470.00     0.00    -9999
LOMNICKY   120517 300  012000-012500   00     491.28  728.3    474.24     0.90    -9999
LOMNICKY   120517 300  012500-013000   00     484.56  728.3    467.77    -0.50    -9999
LOMNICKY   120517 300  013000-013500   00     484.85  728.3    468.10    -0.40    -9999
LOMNICKY   120517 300  013500-014000   00     485.44  728.2    468.29    -0.40    -9999
LOMNICKY   120517 300  014000-014500   00     486.18  728.2    468.98    -0.20    -9999
LOMNICKY   120517 300  014500-015000   00     483.24  728.3    466.27    -0.80    -9999
LOMNICKY   120517 300  015000-015500   00     485.87  728.3    469.00    -0.20    -9999
LOMNICKY   120517 300  015500-020000   00     486.16  728.1    468.39    -0.40    -9999
LOMNICKY   120517 300  020000-020500   00     487.27  728.1    469.66    -0.10    -9999
LOMNICKY   120517 300  020500-021000   00     487.73  728.2    470.34     0.00    -9999
LOMNICKY   120517 300  021000-021500   00     488.01  728.2    470.65     0.10    -9999
LOMNICKY   120517 300  021500-022000   00     487.73  728.2    470.42     0.10    -9999
LOMNICKY   120517 300  022000-022500   00     486.05  728.0    468.16    -0.40    -9999
LOMNICKY   120517 300  022500-023000   00     487.50  728.0    469.33    -0.20    -9999
LOMNICKY   120517 300  023000-023500   00     487.04  728.1    469.31    -0.20    -9999
LOMNICKY   120517 300  023500-024000   00     486.19  728.1    468.53    -0.30    -9999
LOMNICKY   120517 300  024000-024500   00     486.62  728.1    469.15    -0.20    -9999
LOMNICKY   120517 300  024500-025000   00     486.37  728.1    468.81    -0.30    -9999
LOMNICKY   120517 300  025000-025500   00     483.77  727.9    465.66    -1.00    -9999
LOMNICKY   120517 300  025500-030000   00     487.51  728.1    469.77    -0.10    -9999
LOMNICKY   120517 300  030000-030500   00     487.87  728.0    470.02     0.00    -9999
LOMNICKY   120517 300  030500-031000   00     488.68  728.3    471.70     0.30    -9999
LOMNICKY   120517 300  031000-031500   00     484.79  728.1    467.28    -0.60    -9999
LOMNICKY   120517 300  031500-032000   00     485.89  728.2    468.74    -0.30    -9999
LOMNICKY   120517 300  032000-032500   00     484.67  728.2    467.29    -0.60    -9999
LOMNICKY   120517 300  032500-033000   00     481.74  728.2    464.76    -1.10    -9999
LOMNICKY   120517 300  033000-033500   00     488.27  728.2    471.01     0.20    -9999
LOMNICKY   120517 300  033500-034000   00     483.36  728.1    465.99    -0.90    -9999
LOMNICKY   120517 300  034000-034500   00     489.01  728.2    471.53     0.30    -9999
LOMNICKY   120517 300  034500-035000   00     485.51  728.0    467.66    -0.50    -9999
LOMNICKY   120517 300  035000-035500   00     483.67  728.1    466.20    -0.80    -9999
LOMNICKY   120517 300  035500-040000   00     485.07  728.1    467.43    -0.60    -9999
LOMNICKY   120517 300  040000-040500   00     486.65  728.0    468.79    -0.30    -9999
LOMNICKY   120517 300  040500-041000   00     482.08  728.1    464.47    -1.20    -9999
LOMNICKY   120517 300  041000-041500   00     485.04  728.1    467.57    -0.50    -9999
LOMNICKY   120517 300  041500-042000   00     483.07  728.4    466.40    -0.80    -9999
LOMNICKY   120517 300  042000-042500   00     482.43  728.4    466.06    -0.90    -9999
LOMNICKY   120517 300  042500-043000   00     484.53  728.4    468.13    -0.40    -9999
LOMNICKY   120517 300  043000-043500   00     484.37  728.6    468.33    -0.40    -9999
