MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    1007    mb     COEFFICIENT   -0.71     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    269.63      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    120517 300  010500-011000   00     241.95  987.9    269.67     0.00    -0.18
MCMURDO    120517 300  011000-011500   00     241.66  987.8    269.15    -0.20    -0.39
MCMURDO    120517 300  011500-012000   00     243.49  987.9    271.41     0.70     0.50
MCMURDO    120517 300  012000-012500   00     241.36  988.0    269.26    -0.10    -0.32
MCMURDO    120517 300  012500-013000   00     242.97  988.1    271.24     0.60     0.37
MCMURDO    120517 300  013000-013500   00     244.22  988.2    272.78     1.20     0.96
MCMURDO    120517 300  013500-014000   00     241.37  988.4    270.17     0.20    -0.05
MCMURDO    120517 300  014000-014500   00     242.44  988.5    271.46     0.70     0.43
MCMURDO    120517 300  014500-015000   00     241.35  988.6    270.41     0.30     0.02
MCMURDO    120517 300  015000-015500   00     240.89  988.6    270.04     0.20    -0.09
MCMURDO    120517 300  015500-020000   00     242.24  988.6    271.55     0.70     0.39
MCMURDO    120517 300  020000-020500   00     240.18  988.8    269.60     0.00    -0.32
MCMURDO    120517 300  020500-021000   00     241.60  988.7    271.01     0.50     0.17
MCMURDO    120517 300  021000-021500   00     245.37  988.8    275.47     2.20     1.86
MCMURDO    120517 300  021500-022000   00     244.89  988.8    274.93     2.00     1.64
MCMURDO    120517 300  022000-022500   00     245.52  989.0    275.97     2.40     2.03
MCMURDO    120517 300  022500-023000   00     245.20  989.0    275.57     2.20     1.82
MCMURDO    120517 300  023000-023500   00     246.83  989.0    277.38     2.90     2.51
MCMURDO    120517 300  023500-024000   00     249.02  988.9    279.67     3.70     3.29
MCMURDO    120517 300  024000-024500   00     246.45  988.9    276.72     2.60     2.18
MCMURDO    120517 300  024500-025000   00     248.52  988.8    278.92     3.40     2.97
MCMURDO    120517 300  025000-025500   00     243.91  988.8    273.82     1.60     1.16
MCMURDO    120517 300  025500-030000   00     245.82  989.0    276.29     2.50     2.04
MCMURDO    120517 300  030000-030500   00     245.42  988.9    275.73     2.30     1.83
MCMURDO    120517 300  030500-031000   00     250.10  989.0    281.01     4.20     3.72
MCMURDO    120517 300  031000-031500   00     244.76  988.9    274.85     1.90     1.40
MCMURDO    120517 300  031500-032000   00     246.34  989.1    277.18     2.80     2.29
