POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.99      % / MMHG
POTCHEFSTR 061213 300  015000-015500   00      60.13  650.8     54.90     2.50    -9999
POTCHEFSTR 061213 300  015500-020000   00      58.25  650.9     53.23    -0.60    -9999
POTCHEFSTR 061213 300  020000-020500   00      58.44  650.9     53.38    -0.30    -9999
POTCHEFSTR 061213 300  020500-021000   00      58.58  650.8     53.48    -0.10    -9999
POTCHEFSTR 061213 300  021000-021500   00      58.54  650.9     53.47    -0.10    -9999
POTCHEFSTR 061213 300  021500-022000   00      58.49  650.9     53.45    -0.20    -9999
POTCHEFSTR 061213 300  022000-022500   00      59.53  650.9     54.43     1.60    -9999
POTCHEFSTR 061213 300  022500-023000   00      58.71  651.0     53.71     0.30    -9999
POTCHEFSTR 061213 300  023000-023500   00      57.92  651.0     52.98    -1.10    -9999
POTCHEFSTR 061213 300  023500-024000   00      58.72  651.0     53.71     0.30    -9999
POTCHEFSTR 061213 300  024000-024500   00      59.73  651.1     54.67     2.10    -9999
POTCHEFSTR 061213 300  024500-025000   00      59.29  651.1     54.28     1.40    -9999
POTCHEFSTR 061213 300  025000-025500   00      58.80  651.2     53.89     0.60    -9999
POTCHEFSTR 061213 300  025500-030000   00      58.16  651.2     53.30    -0.50    -9999
POTCHEFSTR 061213 300  030500-031000   00      59.27  651.2     54.31     1.40    -9999
POTCHEFSTR 061213 300  031000-031500   00      58.30  651.2     53.44    -0.20    -9999
POTCHEFSTR 061213 300  031500-032000   00      59.28  651.2     54.34     1.50    -9999
POTCHEFSTR 061213 300  032000-032500   00      57.62  651.2     52.82    -1.40    -9999
POTCHEFSTR 061213 300  032500-033000   00      58.18  651.2     53.33    -0.40    -9999
POTCHEFSTR 061213 300  033000-033500   00      59.13  651.2     54.21     1.20    -9999
POTCHEFSTR 061213 300  033500-034000   00      58.48  651.3     53.66     0.20    -9999
POTCHEFSTR 061213 300  034000-034500   00      60.05  651.3     55.08     2.80    -9999
POTCHEFSTR 061213 300  034500-035000   00      57.19  651.3     52.47    -2.00    -9999
POTCHEFSTR 061213 300  035000-035500   00      58.80  651.3     53.95     0.80    -9999
POTCHEFSTR 061213 300  035500-040000   00      58.50  651.3     53.68     0.20    -9999
POTCHEFSTR 061213 300  040000-040500   00      59.64  651.4     54.77     2.30    -9999
POTCHEFSTR 061213 300  040500-041000   00      57.79  651.4     53.10    -0.90    -9999
POTCHEFSTR 061213 300  041000-041500   00      59.17  651.5     54.39     1.60    -9999
POTCHEFSTR 061213 300  041500-042000   00      58.35  651.5     53.65     0.20    -9999
POTCHEFSTR 061213 300  042000-042500   00      58.23  651.6     53.58     0.00    -9999
POTCHEFSTR 061213 300  042500-043000   00      59.43  651.6     54.69     2.10    -9999
POTCHEFSTR 061213 300  043000-043500   00      58.31  651.6     53.65     0.20    -9999
POTCHEFSTR 061213 300  043500-044000   00      58.13  651.6     53.49    -0.10    -9999
POTCHEFSTR 061213 300  044000-044500   00      58.74  651.6     54.05     0.90    -9999
POTCHEFSTR 061213 300  044500-045000   00      58.46  651.6     53.79     0.40    -9999
POTCHEFSTR 061213 300  045000-045500   00      59.95  651.6     55.18     3.00    -9999
POTCHEFSTR 061213 300  045500-050000   00      58.54  651.7     53.91     0.60    -9999
POTCHEFSTR 061213 300  050000-050500   00      57.99  651.7     53.40    -0.30    -9999
POTCHEFSTR 061213 300  050500-051000   00      58.72  651.7     54.08     1.00    -9999
POTCHEFSTR 061213 300  051000-051500   00      57.73  651.7     53.15    -0.80    -9999
POTCHEFSTR 061213 300  051500-052000   00      59.25  651.7     54.58     1.90    -9999
POTCHEFSTR 061213 300  052000-052500   00      57.86  651.7     53.30    -0.50    -9999
POTCHEFSTR 061213 300  052500-053000   00      56.83  651.7     52.35    -2.30    -9999
POTCHEFSTR 061213 300  053000-053500   00      57.31  651.7     52.79    -1.50    -9999
POTCHEFSTR 061213 300  053500-054000   00      59.56  651.7     54.87     2.40    -9999
POTCHEFSTR 061213 300  054000-054500   00      58.02  651.7     53.46    -0.20    -9999
POTCHEFSTR 061213 300  054500-055000   00      57.00  651.8     52.53    -1.90    -9999
POTCHEFSTR 061213 300  055000-055500   00      58.97  651.7     54.34     1.50    -9999
POTCHEFSTR 061213 300  055500-060000   00      59.03  651.7     54.39     1.60    -9999
POTCHEFSTR 061213 300  060000-060500   00      57.34  651.7     52.82    -1.40    -9999
POTCHEFSTR 061213 300  060500-061000   00      57.98  651.8     53.45    -0.20    -9999
POTCHEFSTR 061213 300  061000-061500   00      58.95  651.7     54.32     1.40    -9999
POTCHEFSTR 061213 300  061500-062000   00      56.95  651.7     52.46    -2.00    -9999
POTCHEFSTR 061213 300  062000-062500   00      58.54  651.7     53.92     0.70    -9999
POTCHEFSTR 061213 300  062500-063000   00      58.37  651.7     53.76     0.40    -9999
POTCHEFSTR 061213 300  063000-063500   00      59.41  651.6     54.67     2.10    -9999
POTCHEFSTR 061213 300  063500-064000   00      59.69  651.5     54.88     2.50    -9999
POTCHEFSTR 061213 300  064000-064500   00      58.61  651.5     53.88     0.60    -9999
POTCHEFSTR 061213 300  064500-065000   00      57.21  651.5     52.60    -1.80    -9999
POTCHEFSTR 061213 300  065000-065500   00      58.81  651.5     54.05     0.90    -9999
POTCHEFSTR 061213 300  065500-070000   00      58.40  651.5     53.69     0.20    -9999
POTCHEFSTR 061213 300  070000-070500   00      58.50  651.5     53.80     0.50    -9999
POTCHEFSTR 061213 300  070500-071000   00      58.76  651.5     54.02     0.90    -9999
POTCHEFSTR 061213 300  071000-071500   00      58.75  651.6     54.04     0.90    -9999
POTCHEFSTR 061213 300  071500-072000   00      58.96  651.5     54.22     1.20    -9999
POTCHEFSTR 061213 300  072000-072500   00      59.44  651.5     54.65     2.10    -9999
POTCHEFSTR 061213 300  072500-073000   00      58.22  651.5     53.53    -0.10    -9999
POTCHEFSTR 061213 300  073000-073500   00      58.55  651.5     53.83     0.50    -9999
POTCHEFSTR 061213 300  073500-074000   00      58.90  651.5     54.15     1.10    -9999
POTCHEFSTR 061213 300  074000-074500   00      60.26  651.5     55.40     3.40    -9999
POTCHEFSTR 061213 300  074500-075000   00      58.16  651.4     53.43    -0.20    -9999
POTCHEFSTR 061213 300  075000-075500   00      59.77  651.4     54.90     2.50    -9999
POTCHEFSTR 061213 300  075500-080000   00      59.53  651.4     54.68     2.10    -9999
POTCHEFSTR 061213 300  080000-080500   00      59.54  651.4     54.68     2.10    -9999
POTCHEFSTR 061213 300  080500-081000   00      59.31  651.4     54.47     1.70    -9999
POTCHEFSTR 061213 300  081000-081500   00      57.83  651.4     53.09    -0.90    -9999
POTCHEFSTR 061213 300  081500-082000   00      59.16  651.3     54.27     1.30    -9999
POTCHEFSTR 061213 300  082000-082500   00      58.84  651.3     53.99     0.80    -9999
POTCHEFSTR 061213 300  082500-083000   00      59.51  651.3     54.58     1.90    -9999
POTCHEFSTR 061213 300  083000-083500   00      59.34  651.3     54.45     1.60    -9999
POTCHEFSTR 061213 300  083500-084000   00      59.68  651.2     54.73     2.20    -9999
POTCHEFSTR 061213 300  084000-084500   00      58.50  651.2     53.62     0.10    -9999
POTCHEFSTR 061213 300  084500-085000   00      60.45  651.2     55.40     3.40    -9999
POTCHEFSTR 061213 300  085000-085500   00      58.20  651.1     53.31    -0.40    -9999
POTCHEFSTR 061213 300  085500-090000   00      58.58  651.1     53.64     0.10    -9999
POTCHEFSTR 061213 300  090000-090500   00      59.39  651.1     54.38     1.50    -9999
POTCHEFSTR 061213 300  090500-091000   00      58.91  651.1     53.94     0.70    -9999
POTCHEFSTR 061213 300  091000-091500   00      57.31  651.1     52.47    -2.00    -9999
POTCHEFSTR 061213 300  091500-092000   00      59.74  651.1     54.69     2.10    -9999
POTCHEFSTR 061213 300  092000-092500   00      59.14  651.0     54.10     1.00    -9999
POTCHEFSTR 061213 300  092500-093000   00      57.51  651.0     52.60    -1.80    -9999
POTCHEFSTR 061213 300  093000-093500   00      58.83  651.0     53.79     0.40    -9999
POTCHEFSTR 061213 300  093500-094000   00      59.62  650.9     54.49     1.70    -9999
POTCHEFSTR 061213 300  094000-094500   00      59.22  650.8     54.08     1.00    -9999
POTCHEFSTR 061213 300  094500-095000   00      59.47  650.8     54.30     1.40    -9999
POTCHEFSTR 061213 300  095000-095500   00      59.74  650.8     54.54     1.80    -9999
POTCHEFSTR 061213 300  095500-100000   00      59.90  650.7     54.65     2.10    -9999
POTCHEFSTR 061213 300  100000-100500   00      58.52  650.7     53.37    -0.30    -9999
POTCHEFSTR 061213 300  100500-101000   00      59.22  650.7     54.00     0.80    -9999
POTCHEFSTR 061213 300  101000-101500   00      59.80  650.6     54.49     1.80    -9999
POTCHEFSTR 061213 300  101500-102000   00      59.61  650.5     54.28     1.40    -9999
POTCHEFSTR 061213 300  102000-102500   00      60.28  650.5     54.87     2.50    -9999
POTCHEFSTR 061213 300  102500-103000   00      58.02  650.4     52.77    -1.50    -9999
POTCHEFSTR 061213 300  103000-103500   00      58.56  650.4     53.24    -0.60    -9999
POTCHEFSTR 061213 300  103500-104000   00      59.65  650.3     54.18     1.20    -9999
POTCHEFSTR 061213 300  104000-104500   00      59.20  650.3     53.78     0.40    -9999
POTCHEFSTR 061213 300  104500-105000   00      58.94  650.3     53.53    -0.10    -9999
POTCHEFSTR 061213 300  105000-105500   00      59.09  650.2     53.65     0.20    -9999
POTCHEFSTR 061213 300  105500-110000   00      60.91  650.2     55.28     3.20    -9999
POTCHEFSTR 061213 300  110000-110500   00      58.84  650.2     53.40    -0.30    -9999
POTCHEFSTR 061213 300  110500-111000   00      60.15  650.1     54.55     1.80    -9999
POTCHEFSTR 061213 300  111000-111500   00      59.20  650.1     53.68     0.20    -9999
POTCHEFSTR 061213 300  111500-112000   00      59.63  650.1     54.06     0.90    -9999
POTCHEFSTR 061213 300  112000-112500   00      59.98  650.1     54.36     1.50    -9999
POTCHEFSTR 061213 300  112500-113000   00      58.76  650.0     53.22    -0.60    -9999
POTCHEFSTR 061213 300  113000-113500   00      59.45  650.0     53.84     0.50    -9999
POTCHEFSTR 061213 300  113500-114000   00      59.51  650.0     53.90     0.60    -9999
POTCHEFSTR 061213 300  114000-114500   00      60.69  649.9     54.92     2.50    -9999
POTCHEFSTR 061213 300  114500-115000   00      59.66  649.9     53.98     0.80    -9999
POTCHEFSTR 061213 300  115000-115500   00      57.04  649.8     51.58    -3.70    -9999
POTCHEFSTR 061213 300  115500-120000   00      59.62  649.8     53.90     0.60    -9999
POTCHEFSTR 061213 300  120000-120500   00      59.72  649.7     53.95     0.70    -9999
POTCHEFSTR 061213 300  120500-121000   00      59.12  649.7     53.39    -0.30    -9999
POTCHEFSTR 061213 300  121000-121500   00      60.30  649.7     54.46     1.70    -9999
POTCHEFSTR 061213 300  121500-122000   00      60.04  649.6     54.16     1.10    -9999
POTCHEFSTR 061213 300  122000-122500   00      60.44  649.6     54.53     1.80    -9999
POTCHEFSTR 061213 300  122500-123000   00      58.78  649.5     52.99    -1.10    -9999
POTCHEFSTR 061213 300  123000-123500   00      60.53  649.5     54.55     1.90    -9999
POTCHEFSTR 061213 300  123500-124000   00      61.22  649.5     55.17     3.00    -9999
POTCHEFSTR 061213 300  124000-124500   00      60.25  649.5     54.29     1.40    -9999
POTCHEFSTR 061213 300  124500-125000   00      58.77  649.4     52.91    -1.20    -9999
POTCHEFSTR 061213 300  125000-125500   00      60.12  649.4     54.13     1.10    -9999
POTCHEFSTR 061213 300  125500-130000   00      59.23  649.4     53.33    -0.40    -9999
POTCHEFSTR 061213 300  130000-130500   00      60.61  649.3     54.53     1.80    -9999
POTCHEFSTR 061213 300  130500-131000   00      59.65  649.3     53.65     0.20    -9999
POTCHEFSTR 061213 300  131000-131500   00      59.41  649.3     53.44    -0.20    -9999
POTCHEFSTR 061213 300  131500-132000   00      59.60  649.3     53.59     0.10    -9999
POTCHEFSTR 061213 300  132000-132500   00      59.82  649.2     53.76     0.40    -9999
POTCHEFSTR 061213 300  132500-133000   00      59.40  649.2     53.35    -0.40    -9999
POTCHEFSTR 061213 300  133000-133500   00      58.73  649.1     52.72    -1.60    -9999
POTCHEFSTR 061213 300  133500-134000   00      61.59  649.1     55.29     3.30    -9999
POTCHEFSTR 061213 300  134000-134500   00      58.89  649.0     52.83    -1.30    -9999
POTCHEFSTR 061213 300  134500-135000   00      58.58  649.0     52.54    -1.90    -9999
POTCHEFSTR 061213 300  135000-135500   00      60.19  649.0     53.97     0.80    -9999
POTCHEFSTR 061213 300  135500-140000   00      59.90  649.0     53.72     0.30    -9999
POTCHEFSTR 061213 300  140000-140500   00      60.10  649.0     53.90     0.60    -9999
POTCHEFSTR 061213 300  140500-141000   00      59.96  649.0     53.77     0.40    -9999
POTCHEFSTR 061213 300  141000-141500   00      59.96  648.9     53.74     0.30    -9999
POTCHEFSTR 061213 300  141500-142000   00      60.17  648.9     53.91     0.70    -9999
POTCHEFSTR 061213 300  142000-142500   00      59.20  648.9     53.04    -1.00    -9999
POTCHEFSTR 061213 300  142500-143000   00      59.68  648.9     53.47    -0.20    -9999
POTCHEFSTR 061213 300  143000-143500   00      60.83  648.9     54.50     1.70    -9999
POTCHEFSTR 061213 300  143500-144000   00      61.70  648.8     55.25     3.20    -9999
POTCHEFSTR 061213 300  144000-144500   00      59.18  648.8     52.99    -1.10    -9999
POTCHEFSTR 061213 300  144500-145000   00      61.45  648.9     55.04     2.80    -9999
POTCHEFSTR 061213 300  145000-145500   00      59.98  648.9     53.72     0.30    -9999
POTCHEFSTR 061213 300  145500-150000   00      60.03  648.8     53.73     0.40    -9999
POTCHEFSTR 061213 300  150000-150500   00      59.36  648.8     53.14    -0.80    -9999
POTCHEFSTR 061213 300  150500-151000   00      59.57  648.9     53.35    -0.40    -9999
POTCHEFSTR 061213 300  151000-151500   00      61.00  648.9     54.65     2.00    -9999
POTCHEFSTR 061213 300  151500-152000   00      60.61  648.9     54.30     1.40    -9999
POTCHEFSTR 061213 300  152000-152500   00      60.19  648.9     53.93     0.70    -9999
POTCHEFSTR 061213 300  152500-153000   00      59.38  648.9     53.20    -0.60    -9999
POTCHEFSTR 061213 300  153000-153500   00      61.06  649.0     54.73     2.20    -9999
POTCHEFSTR 061213 300  153500-154000   00      60.94  649.0     54.66     2.10    -9999
POTCHEFSTR 061213 300  154000-154500   00      60.46  649.0     54.22     1.20    -9999
POTCHEFSTR 061213 300  154500-155000   00      59.63  649.0     53.48    -0.10    -9999
POTCHEFSTR 061213 300  155000-155500   00      58.60  649.0     52.55    -1.90    -9999
POTCHEFSTR 061213 300  155500-160000   00      59.20  649.0     53.09    -0.90    -9999
POTCHEFSTR 061213 300  160000-160500   00      61.25  649.0     54.93     2.60    -9999
POTCHEFSTR 061213 300  160500-161000   00      60.27  649.0     54.05     0.90    -9999
POTCHEFSTR 061213 300  161000-161500   00      58.76  649.0     52.71    -1.60    -9999
POTCHEFSTR 061213 300  161500-162000   00      60.62  649.1     54.42     1.60    -9999
POTCHEFSTR 061213 300  162000-162500   00      60.81  649.1     54.58     1.90    -9999
POTCHEFSTR 061213 300  162500-163000   00      59.48  649.1     53.41    -0.30    -9999
POTCHEFSTR 061213 300  163000-163500   00      59.76  649.2     53.70     0.30    -9999
POTCHEFSTR 061213 300  163500-164000   00      58.17  649.2     52.28    -2.40    -9999
POTCHEFSTR 061213 300  164000-164500   00      59.06  649.2     53.07    -0.90    -9999
POTCHEFSTR 061213 300  164500-165000   00      59.96  649.2     53.87     0.60    -9999
POTCHEFSTR 061213 300  165000-165500   00      60.91  649.2     54.73     2.20    -9999
POTCHEFSTR 061213 300  165500-170000   00      59.91  649.2     53.83     0.50    -9999
POTCHEFSTR 061213 300  170000-170500   00      60.18  649.2     54.09     1.00    -9999
POTCHEFSTR 061213 300  170500-171000   00      59.67  649.3     53.67     0.20    -9999
POTCHEFSTR 061213 300  171000-171500   00      59.06  649.3     53.13    -0.80    -9999
POTCHEFSTR 061213 300  171500-172000   00      59.80  649.3     53.79     0.40    -9999
POTCHEFSTR 061213 300  172000-172500   00      60.26  649.3     54.20     1.20    -9999
POTCHEFSTR 061213 300  172500-173000   00      59.46  649.4     53.52    -0.10    -9999
POTCHEFSTR 061213 300  173000-173500   00      59.29  649.4     53.38    -0.30    -9999
POTCHEFSTR 061213 300  173500-174000   00      59.62  649.4     53.68     0.20    -9999
POTCHEFSTR 061213 300  174000-174500   00      58.74  649.4     52.89    -1.30    -9999
POTCHEFSTR 061213 300  174500-175000   00      58.66  649.4     52.81    -1.40    -9999
POTCHEFSTR 061213 300  175000-175500   00      59.55  649.4     53.63     0.10    -9999
POTCHEFSTR 061213 300  175500-180000   00      59.87  649.5     53.95     0.80    -9999
POTCHEFSTR 061213 300  180000-180500   00      59.37  649.5     53.51    -0.10    -9999
POTCHEFSTR 061213 300  180500-181000   00      58.50  649.5     52.72    -1.50    -9999
POTCHEFSTR 061213 300  181000-181500   00      59.07  649.5     53.24    -0.60    -9999
POTCHEFSTR 061213 300  181500-182000   00      59.00  649.5     53.17    -0.70    -9999
POTCHEFSTR 061213 300  182000-182500   00      58.75  649.6     53.01    -1.00    -9999
POTCHEFSTR 061213 300  182500-183000   00      58.48  649.6     52.76    -1.50    -9999
POTCHEFSTR 061213 300  183000-183500   00      59.21  649.6     53.42    -0.30    -9999
POTCHEFSTR 061213 300  183500-184000   00      59.44  649.6     53.63     0.20    -9999
POTCHEFSTR 061213 300  184000-184500   00      59.12  649.6     53.33    -0.40    -9999
POTCHEFSTR 061213 300  184500-185000   00      59.16  649.7     53.41    -0.30    -9999
POTCHEFSTR 061213 300  185000-185500   00      59.79  649.7     53.99     0.80    -9999
POTCHEFSTR 061213 300  185500-190000   00      59.95  649.7     54.14     1.10    -9999
POTCHEFSTR 061213 300  190000-190500   00      60.77  649.8     54.93     2.60    -9999
POTCHEFSTR 061213 300  190500-191000   00      59.33  649.8     53.63     0.20    -9999
POTCHEFSTR 061213 300  191000-191500   00      59.87  649.8     54.12     1.00    -9999
POTCHEFSTR 061213 300  191500-192000   00      58.75  649.8     53.11    -0.80    -9999
POTCHEFSTR 061213 300  192000-192500   00      57.94  649.8     52.38    -2.20    -9999
POTCHEFSTR 061213 300  192500-193000   00      58.94  649.8     53.28    -0.50    -9999
POTCHEFSTR 061213 300  193000-193500   00      58.23  649.8     52.63    -1.70    -9999
POTCHEFSTR 061213 300  193500-194000   00      60.40  649.8     54.60     1.90    -9999
POTCHEFSTR 061213 300  194000-194500   00      59.21  649.8     53.52    -0.10    -9999
POTCHEFSTR 061213 300  194500-195000   00      60.28  649.9     54.53     1.80    -9999
POTCHEFSTR 061213 300  195000-195500   00      59.40  649.9     53.75     0.30    -9999
POTCHEFSTR 061213 300  195500-200000   00      59.42  649.9     53.76     0.40    -9999
POTCHEFSTR 061213 300  200000-200500   00      59.73  649.9     54.05     0.90    -9999
POTCHEFSTR 061213 300  200500-201000   00      59.13  650.0     53.55     0.00    -9999
POTCHEFSTR 061213 300  201000-201500   00      57.71  650.0     52.27    -2.40    -9999
POTCHEFSTR 061213 300  201500-202000   00      59.14  650.0     53.57     0.00    -9999
POTCHEFSTR 061213 300  202000-202500   00      59.03  650.0     53.46    -0.20    -9999
POTCHEFSTR 061213 300  202500-203000   00      59.24  650.0     53.66     0.20    -9999
POTCHEFSTR 061213 300  203000-203500   00      59.39  650.1     53.83     0.50    -9999
POTCHEFSTR 061213 300  203500-204000   00      58.04  650.1     52.62    -1.70    -9999
POTCHEFSTR 061213 300  204000-204500   00      60.09  650.1     54.49     1.70    -9999
POTCHEFSTR 061213 300  204500-205000   00      57.72  650.1     52.33    -2.30    -9999
POTCHEFSTR 061213 300  205000-205500   00      60.92  650.1     55.22     3.10    -9999
POTCHEFSTR 061213 300  205500-210000   00      59.53  650.0     53.92     0.70    -9999
POTCHEFSTR 061213 300  210000-210500   00      58.49  650.0     52.98    -1.10    -9999
POTCHEFSTR 061213 300  210500-211000   00      59.31  650.0     53.72     0.30    -9999
POTCHEFSTR 061213 300  211000-211500   00      59.28  649.9     53.65     0.20    -9999
POTCHEFSTR 061213 300  211500-212000   00      58.24  649.9     52.70    -1.60    -9999
POTCHEFSTR 061213 300  212000-212500   00      61.45  649.9     55.61     3.80    -9999
POTCHEFSTR 061213 300  212500-213000   00      59.81  649.9     54.12     1.10    -9999
POTCHEFSTR 061213 300  213000-213500   00      58.85  649.8     53.22    -0.60    -9999
POTCHEFSTR 061213 300  213500-214000   00      59.00  649.8     53.33    -0.40    -9999
POTCHEFSTR 061213 300  214000-214500   00      59.61  649.8     53.88     0.60    -9999
POTCHEFSTR 061213 300  214500-215000   00      59.63  649.8     53.90     0.70    -9999
POTCHEFSTR 061213 300  215000-215500   00      59.86  649.8     54.11     1.00    -9999
POTCHEFSTR 061213 300  215500-220000   00      58.19  649.8     52.60    -1.80    -9999
POTCHEFSTR 061213 300  220000-220500   00      60.36  649.8     54.56     1.90    -9999
POTCHEFSTR 061213 300  220500-221000   00      59.99  649.7     54.18     1.20    -9999
POTCHEFSTR 061213 300  221000-221500   00      58.23  649.7     52.58    -1.80    -9999
POTCHEFSTR 061213 300  221500-222000   00      59.16  649.7     53.41    -0.30    -9999
POTCHEFSTR 061213 300  222000-222500   00      59.00  649.6     53.23    -0.60    -9999
POTCHEFSTR 061213 300  222500-223000   00      58.20  649.6     52.49    -2.00    -9999
POTCHEFSTR 061213 300  223000-223500   00      59.64  649.5     53.75     0.40    -9999
POTCHEFSTR 061213 300  223500-224000   00      59.01  649.4     53.14    -0.80    -9999
POTCHEFSTR 061213 300  224000-224500   00      60.32  649.4     54.31     1.40    -9999
POTCHEFSTR 061213 300  224500-225000   00      59.56  649.4     53.62     0.10    -9999
POTCHEFSTR 061213 300  225000-225500   00      59.10  649.4     53.22    -0.70    -9999
POTCHEFSTR 061213 300  225500-230000   00      59.41  649.4     53.49    -0.10    -9999
POTCHEFSTR 061213 300  230000-230500   00      59.28  649.3     53.32    -0.40    -9999
POTCHEFSTR 061213 300  230500-231000   00      59.39  649.3     53.42    -0.20    -9999
POTCHEFSTR 061213 300  231000-231500   00      60.16  649.3     54.12     1.10    -9999
POTCHEFSTR 061213 300  231500-232000   00      60.11  649.3     54.05     0.90    -9999
POTCHEFSTR 061213 300  232000-232500   00      59.21  649.2     53.21    -0.70    -9999
POTCHEFSTR 061213 300  232500-233000   00      60.97  649.2     54.79     2.30    -9999
POTCHEFSTR 061213 300  233000-233500   00      59.77  649.2     53.72     0.30    -9999
POTCHEFSTR 061213 300  233500-234000   00      59.01  649.3     53.07    -0.90    -9999
POTCHEFSTR 061213 300  234000-234500   00      58.98  649.3     53.05    -1.00    -9999
POTCHEFSTR 061213 300  234500-235000   00      58.24  649.4     52.42    -2.10    -9999
