SOPO-6NM64 LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOPO-6NM64 INSTRUMENT   6NM64b    NEUTRON MONITOR	
SOPO-6NM64 STANDARD PRESSURE    687.7   MB     COEFFICIENT   -0.75     % / MB
SOPO-6NM64 PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
SOPO-6NM64 PRE-INCREASE AVERAGE COUNTING RATE    160.16      COUNTS PER SECOND
SOPO-6NM64 TIME INTERVALS    300         3600     
SOPO-6NM64 SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOPO-6NM64 211028 300  142000-142500   00     158.65  680.6    159.43    -0.46    -9999
SOPO-6NM64 211028 300  142500-143000   00     158.22  680.6    159.03    -0.71    -9999
SOPO-6NM64 211028 300  143000-143500   00     159.96  680.6    160.75     0.37    -9999
SOPO-6NM64 211028 300  143500-144000   00     160.16  680.7    161.01     0.53    -9999
SOPO-6NM64 211028 300  144000-144500   00     160.04  680.7    160.88     0.45    -9999
SOPO-6NM64 211028 300  144500-145000   00     159.24  680.7    160.13    -0.02    -9999
SOPO-6NM64 211028 300  145000-145500   00     158.79  680.8    159.79    -0.23    -9999
SOPO-6NM64 211028 300  145500-150000   00     158.25  680.8    159.30    -0.54    -9999
SOPO-6NM64 211028 300  150000-150500   00     159.57  680.9    160.65     0.30     0.35
SOPO-6NM64 211028 300  150500-151000   00     159.27  680.9    160.39     0.14     0.19
SOPO-6NM64 211028 300  151000-151500   00     158.30  680.9    159.46    -0.43    -0.37
SOPO-6NM64 211028 300  151500-152000   00     159.86  681.0    161.08     0.58     0.64
SOPO-6NM64 211028 300  152000-152500   00     159.18  681.0    160.40     0.15     0.21
SOPO-6NM64 211028 300  152500-153000   00     160.26  681.0    161.56     0.87     0.94
SOPO-6NM64 211028 300  153000-153500   00     158.82  681.1    160.23     0.04     0.11
SOPO-6NM64 211028 300  153500-154000   00     158.37  681.2    159.88    -0.18    -0.10
SOPO-6NM64 211028 300  154000-154500   00     158.52  681.2    160.04    -0.08     0.00
SOPO-6NM64 211028 300  154500-155000   00     159.02  681.3    160.62     0.29     0.37
SOPO-6NM64 211028 300  155000-155500   00     162.43  681.3    164.04     2.42     2.51
SOPO-6NM64 211028 300  155500-160000   00     162.38  681.3    163.98     2.39     2.48
SOPO-6NM64 211028 300  160000-160500   00     162.42  681.3    164.03     2.42     2.52
SOPO-6NM64 211028 300  160500-161000   00     165.83  681.3    167.47     4.57     4.67
SOPO-6NM64 211028 300  161000-161500   00     166.08  681.4    167.82     4.78     4.88
SOPO-6NM64 211028 300  161500-162000   00     168.40  681.4    170.23     6.28     6.39
SOPO-6NM64 211028 300  162000-162500   00     168.30  681.4    170.19     6.26     6.37
SOPO-6NM64 211028 300  162500-163000   00     168.37  681.5    170.36     6.37     6.49
SOPO-6NM64 211028 300  163000-163500   00     168.35  681.6    170.38     6.38     6.50
SOPO-6NM64 211028 300  163500-164000   00     167.51  681.5    169.49     5.83     5.95
SOPO-6NM64 211028 300  164000-164500   00     167.05  681.6    169.05     5.55     5.68
SOPO-6NM64 211028 300  164500-165000   00     168.80  681.6    170.93     6.72     6.85
SOPO-6NM64 211028 300  165000-165500   00     168.19  681.7    170.41     6.40     6.53
SOPO-6NM64 211028 300  165500-170000   00     167.29  681.8    169.54     5.85     5.99
SOPO-6NM64 211028 300  170000-170500   00     167.37  681.8    169.66     5.93     6.07
SOPO-6NM64 211028 300  170500-171000   00     166.50  681.8    168.74     5.36     5.51
SOPO-6NM64 211028 300  171000-171500   00     167.23  681.7    169.44     5.79     5.94
SOPO-6NM64 211028 300  171500-172000   00     166.61  681.7    168.82     5.41     5.56
SOPO-6NM64 211028 300  172000-172500   00     167.22  681.8    169.48     5.82     5.98
SOPO-6NM64 211028 300  172500-173000   00     168.80  681.8    171.17     6.87     7.03
SOPO-6NM64 211028 300  173000-173500   00     166.96  681.9    169.36     5.75     5.92
SOPO-6NM64 211028 300  173500-174000   00     166.37  681.9    168.78     5.38     5.55
SOPO-6NM64 211028 300  174000-174500   00     167.77  681.9    170.20     6.27     6.44
SOPO-6NM64 211028 300  174500-175000   00     167.40  681.9    169.88     6.07     6.25
SOPO-6NM64 211028 300  175000-175500   00     166.79  682.0    169.33     5.73     5.91
SOPO-6NM64 211028 300  175500-180000   00     166.19  682.0    168.71     5.34     5.53
SOPO-6NM64 211028 300  180000-180500   00     165.93  681.9    168.41     5.15     5.34
SOPO-6NM64 211028 300  180500-181000   00     166.23  681.9    168.66     5.31     5.50
SOPO-6NM64 211028 300  181000-181500   00     164.63  681.9    167.00     4.27     4.47
SOPO-6NM64 211028 300  181500-182000   00     166.40  681.9    168.83     5.41     5.61
SOPO-6NM64 211028 300  182000-182500   00     165.69  681.9    168.13     4.97     5.18
SOPO-6NM64 211028 300  182500-183000   00     163.75  681.9    166.15     3.74     3.95
SOPO-6NM64 211028 300  183000-183500   00     164.91  681.9    167.31     4.47     4.68
SOPO-6NM64 211028 300  183500-184000   00     165.27  681.9    167.72     4.72     4.94
SOPO-6NM64 211028 300  184000-184500   00     164.15  682.0    166.64     4.05     4.27
SOPO-6NM64 211028 300  184500-185000   00     165.00  682.0    167.54     4.61     4.84
SOPO-6NM64 211028 300  185000-185500   00     163.64  682.1    166.27     3.81     4.04
SOPO-6NM64 211028 300  185500-190000   00     164.01  682.1    166.65     4.05     4.28
SOPO-6NM64 211028 300  190000-190500   00     164.19  682.1    166.81     4.15     4.39
SOPO-6NM64 211028 300  190500-191000   00     164.85  682.1    167.49     4.58     4.82
SOPO-6NM64 211028 300  191000-191500   00     162.40  682.1    165.05     3.06     3.31
