KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    187.63      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  031027 300  054500-055000   10     173.87  760.0    192.13     2.40    -9999
KERGUELEN  031027 300  055000-055500   10     177.47  759.9    196.00     4.50    -9999
KERGUELEN  031027 300  055500-060000   10     175.20  759.9    193.33     3.00    -9999
KERGUELEN  031027 300  060000-060500   10     176.27  759.9    194.67     3.80    -9999
KERGUELEN  031027 300  060500-061000   10     176.80  759.9    195.33     4.10    -9999
KERGUELEN  031027 300  061000-061500   10     175.73  759.8    193.87     3.30    -9999
KERGUELEN  031027 300  061500-062000   10     174.93  759.9    193.20     3.00    -9999
KERGUELEN  031027 300  062000-062500   10     176.13  759.8    194.27     3.50    -9999
KERGUELEN  031027 300  062500-063000   10     176.53  759.6    194.40     3.60    -9999
KERGUELEN  031027 300  063000-063500   10     176.13  759.4    193.47     3.10    -9999
KERGUELEN  031027 300  063500-064000   10     177.87  759.2    194.93     3.90    -9999
KERGUELEN  031027 300  064000-064500   10     175.33  758.9    191.73     2.20    -9999
KERGUELEN  031027 300  064500-065000   10     176.27  758.7    192.27     2.50    -9999
KERGUELEN  031027 300  065000-065500   10     177.60  758.7    193.73     3.30    -9999
KERGUELEN  031027 300  065500-070000   10     178.67  758.5    194.53     3.70    -9999
KERGUELEN  031027 300  070000-070500   10     180.13  758.6    196.27     4.60    -9999
KERGUELEN  031027 300  070500-071000   10     178.93  758.4    194.53     3.70    -9999
KERGUELEN  031027 300  071000-071500   10     178.53  758.3    193.87     3.30    -9999
KERGUELEN  031027 300  071500-072000   10     180.00  758.3    195.60     4.20    -9999
KERGUELEN  031027 300  072000-072500   10     179.60  758.2    194.93     3.90    -9999
KERGUELEN  031027 300  072500-073000   10     179.60  758.3    195.07     4.00    -9999
KERGUELEN  031027 300  073000-073500   10     178.53  758.4    194.13     3.50    -9999
KERGUELEN  031027 300  073500-074000   10     178.27  758.2    193.47     3.10    -9999
KERGUELEN  031027 300  074000-074500   10     178.53  758.1    193.47     3.10    -9999
KERGUELEN  031027 300  074500-075000   10     178.40  758.1    193.47     3.10    -9999
KERGUELEN  031027 300  075000-075500   10     176.80  758.2    191.87     2.30    -9999
KERGUELEN  031027 300  075500-080000   10     178.40  758.1    193.33     3.00    -9999
KERGUELEN  031027 300  080000-080500   10     178.27  757.9    192.80     2.80    -9999
KERGUELEN  031027 300  080500-081000   10     179.73  757.8    194.27     3.50    -9999
KERGUELEN  031027 300  081000-081500   10     180.13  757.5    194.13     3.50    -9999
KERGUELEN  031027 300  081500-082000   10     180.93  757.2    194.27     3.50    -9999
KERGUELEN  031027 300  082000-082500   10     182.67  756.8    195.33     4.10    -9999
KERGUELEN  031027 300  082500-083000   10     182.13  756.6    194.53     3.70    -9999
KERGUELEN  031027 300  083000-083500   10     182.93  756.4    194.93     3.90    -9999
KERGUELEN  031027 300  083500-084000   10     186.13  756.3    198.13     5.60    -9999
KERGUELEN  031027 300  084000-084500   10     183.47  756.4    195.47     4.20    -9999
KERGUELEN  031027 300  084500-085000   10     185.20  756.5    197.60     5.30    -9999
KERGUELEN  031027 300  085000-085500   10     183.07  756.4    195.07     4.00    -9999
KERGUELEN  031027 300  085500-090000   10     184.00  756.1    195.47     4.20    -9999
KERGUELEN  031027 300  090000-090500   10     185.20  756.3    197.20     5.10    -9999
KERGUELEN  031027 300  090500-091000   10     183.73  756.5    196.00     4.50    -9999
KERGUELEN  031027 300  091000-091500   10     183.33  756.6    195.73     4.30    -9999
KERGUELEN  031027 300  091500-092000   10     183.73  756.5    196.00     4.50    -9999
KERGUELEN  031027 300  092000-092500   10     185.47  756.4    197.60     5.30    -9999
KERGUELEN  031027 300  092500-093000   10     185.87  756.2    197.60     5.30    -9999
KERGUELEN  031027 300  093000-093500   10     184.13  756.0    195.33     4.10    -9999
KERGUELEN  031027 300  093500-094000   10     183.07  755.7    193.73     3.30    -9999
KERGUELEN  031027 300  094000-094500   10     184.93  755.7    195.73     4.30    -9999
KERGUELEN  031027 300  094500-095000   10     185.33  756.0    196.67     4.80    -9999
KERGUELEN  031027 300  095000-095500   10     184.80  756.1    196.40     4.70    -9999
KERGUELEN  031027 300  095500-100000   10     183.73  756.0    194.93     3.90    -9999
KERGUELEN  031027 300  100000-100500   10     183.47  755.6    193.87     3.30    -9999
KERGUELEN  031027 300  100500-101000   10     183.73  755.5    194.13     3.50    -9999
KERGUELEN  031027 300  101000-101500   10     182.93  755.3    192.67     2.70    -9999
KERGUELEN  031027 300  101500-102000   10     183.87  755.2    193.60     3.20    -9999
KERGUELEN  031027 300  102000-102500   10     184.13  755.3    194.13     3.50    -9999
KERGUELEN  031027 300  102500-103000   10     181.87  755.4    191.87     2.30    -9999
KERGUELEN  031027 300  103000-103500   10     184.40  755.3    194.40     3.60    -9999
KERGUELEN  031027 300  103500-104000   10     182.13  755.2    191.73     2.20    -9999
KERGUELEN  031027 300  104000-104500   10     183.47  755.2    193.07     2.90    -9999
KERGUELEN  031027 300  104500-105000   10     184.13  755.0    193.47     3.10    -9999
KERGUELEN  031027 300  105000-105500   10     183.07  754.8    192.00     2.30    -9999
KERGUELEN  031027 300  105500-110000   10     186.27  754.6    194.93     3.90    -9999
KERGUELEN  031027 300  110000-110500   10     185.60  754.5    194.00     3.40    -9999
KERGUELEN  031027 300  110500-111000   10     186.53  754.5    194.93     3.90    -9999
KERGUELEN  031027 300  111000-111500   10     182.13  754.7    190.80     1.70    -9999
KERGUELEN  031027 300  111500-112000   10     183.33  754.5    191.73     2.20    -9999
KERGUELEN  031027 300  112000-112500   10     182.40  754.4    190.53     1.50    -9999
KERGUELEN  031027 300  112500-113000   10     183.87  754.5    192.27     2.50    -9999
KERGUELEN  031027 300  113000-113500   10     182.67  754.0    189.87     1.20    -9999
KERGUELEN  031027 300  113500-114000   10     183.20  753.9    190.40     1.50    -9999
KERGUELEN  031027 300  114000-114500   10     186.53  753.7    193.33     3.00    -9999
KERGUELEN  031027 300  114500-115000   10     185.33  753.7    192.13     2.40    -9999
KERGUELEN  031027 300  115000-115500   10     185.07  753.6    191.73     2.20    -9999
KERGUELEN  031027 300  115500-120000   10     186.67  753.5    193.07     2.90    -9999
KERGUELEN  031027 300  120000-120500   10     187.20  753.2    193.20     3.00    -9999
KERGUELEN  031027 300  120500-121000   10     187.47  752.9    192.67     2.70    -9999
KERGUELEN  031027 300  121000-121500   10     190.80  752.4    195.20     4.00    -9999
KERGUELEN  031027 300  121500-122000   10     191.33  752.0    194.93     3.90    -9999
KERGUELEN  031027 300  122000-122500   10     191.20  752.1    195.20     4.00    -9999
KERGUELEN  031027 300  122500-123000   10     188.40  752.2    192.40     2.50    -9999
KERGUELEN  031027 300  123000-123500   10     188.93  752.0    192.53     2.60    -9999
KERGUELEN  031027 300  123500-124000   10     189.60  751.6    192.40     2.50    -9999
KERGUELEN  031027 300  124000-124500   10     191.87  751.2    193.87     3.30    -9999
KERGUELEN  031027 300  124500-125000   10     192.27  750.9    193.87     3.30    -9999
KERGUELEN  031027 300  125000-125500   10     190.93  750.9    192.53     2.60    -9999
KERGUELEN  031027 300  125500-130000   10     195.47  750.7    196.67     4.80    -9999
KERGUELEN  031027 300  130000-130500   10     194.67  750.5    195.47     4.20    -9999
KERGUELEN  031027 300  130500-131000   10     193.60  750.5    194.40     3.60    -9999
KERGUELEN  031027 300  131000-131500   10     191.60  750.8    192.80     2.80    -9999
KERGUELEN  031027 300  131500-132000   10     192.93  750.8    194.13     3.50    -9999
KERGUELEN  031027 300  132000-132500   10     193.20  750.8    194.40     3.60    -9999
KERGUELEN  031027 300  132500-133000   10     192.93  750.7    194.13     3.50    -9999
KERGUELEN  031027 300  133000-133500   10     192.13  750.6    192.93     2.80    -9999
KERGUELEN  031027 300  133500-134000   10     192.00  750.6    192.80     2.80    -9999
KERGUELEN  031027 300  134000-134500   10     191.33  750.8    192.53     2.60    -9999
KERGUELEN  031027 300  134500-135000   10     192.13  750.9    193.73     3.30    -9999
KERGUELEN  031027 300  135000-135500   10     188.53  750.9    190.13     1.30    -9999
KERGUELEN  031027 300  135500-140000   10     191.47  750.8    192.67     2.70    -9999
KERGUELEN  031027 300  140000-140500   10     190.53  750.7    191.73     2.20    -9999
KERGUELEN  031027 300  140500-141000   10     191.47  750.4    191.87     2.30    -9999
KERGUELEN  031027 300  141000-141500   10     192.40  749.9    192.00     2.30    -9999
KERGUELEN  031027 300  141500-142000   10     193.20  749.6    192.40     2.50    -9999
KERGUELEN  031027 300  142000-142500   10     194.27  749.3    192.67     2.70    -9999
KERGUELEN  031027 300  142500-143000   10     196.53  749.2    194.93     3.90    -9999
KERGUELEN  031027 300  143000-143500   10     195.73  749.1    193.73     3.30    -9999
KERGUELEN  031027 300  143500-144000   10     194.27  749.1    192.27     2.50    -9999
