CAPE SHMID LATITUDE    68.92     LONGITUDE     -179.47   ALTITUDE    0 M
CAPE SHMID INSTRUMENT   12NM64    NEUTRON MONITOR
CAPE SHMID STANDARD PRESSURE    1006    MB     COEFFICIENT   -0.72     % / MB
CAPE SHMID PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
CAPE SHMID PRE-INCREASE AVERAGE COUNTING RATE    100.79      COUNTS PER SECOND
CAPE SHMID TIME INTERVALS    300         3600     
CAPE SHMID SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CAPE SHMID 061213 300  042000-042500   00     113.62 1006.3    113.84    12.95    12.95
CAPE SHMID 061213 300  042500-043000   00     112.36 1006.3    112.60    11.71    11.71
CAPE SHMID 061213 300  043000-043500   00     112.59 1006.3    112.84    11.95    11.95
CAPE SHMID 061213 300  043500-044000   00     113.44 1006.3    113.70    12.81    12.81
CAPE SHMID 061213 300  044000-044500   00     111.29 1006.3    111.56    10.69    10.69
CAPE SHMID 061213 300  044500-045000   00     112.10 1006.4    112.39    11.50    11.50
CAPE SHMID 061213 300  045000-045500   00     111.31 1006.4    111.61    10.73    10.73
CAPE SHMID 061213 300  045500-050000   00     110.43 1006.4    110.74     9.86     9.86
CAPE SHMID 061213 300  050000-050500   00     107.67 1006.4    107.98     7.13     7.13
CAPE SHMID 061213 300  050500-051000   00     109.55 1006.4    109.86     8.99     8.99
CAPE SHMID 061213 300  051000-051500   00     109.40 1006.4    109.70     8.84     8.84
CAPE SHMID 061213 300  051500-052000   00     108.13 1006.4    108.42     7.57     7.57
CAPE SHMID 061213 300  052000-052500   00     107.89 1006.4    108.17     7.32     7.32
CAPE SHMID 061213 300  052500-053000   00     106.04 1006.4    106.31     5.47     5.47
CAPE SHMID 061213 300  053000-053500   00     105.67 1006.3    105.94     5.11     5.11
CAPE SHMID 061213 300  053500-054000   00     105.76 1006.3    106.02     5.18     5.18
CAPE SHMID 061213 300  054000-054500   00     105.92 1006.3    106.18     5.34     5.34
CAPE SHMID 061213 300  054500-055000   00     107.58 1006.3    107.83     6.98     6.98
CAPE SHMID 061213 300  055000-055500   00     105.52 1006.3    105.75     4.92     4.92
CAPE SHMID 061213 300  055500-060000   00     105.96 1006.3    106.20     5.36     5.36
CAPE SHMID 061213 300  060000-060500   00     103.89 1006.3    104.11     3.29     3.29
CAPE SHMID 061213 300  060500-061000   00     105.97 1006.3    106.19     5.35     5.35
CAPE SHMID 061213 300  061000-061500   00     106.38 1006.3    106.59     5.75     5.75
CAPE SHMID 061213 300  061500-062000   00     106.08 1006.3    106.28     5.45     5.45
CAPE SHMID 061213 300  062000-062500   00     105.51 1006.3    105.71     4.88     4.88
CAPE SHMID 061213 300  062500-063000   00     105.51 1006.3    105.70     4.87     4.87
CAPE SHMID 061213 300  063000-063500   00     106.52 1006.2    106.71     5.87     5.87
CAPE SHMID 061213 300  063500-064000   00     103.91 1006.2    104.09     3.27     3.27
CAPE SHMID 061213 300  064000-064500   00     104.19 1006.2    104.36     3.54     3.54
CAPE SHMID 061213 300  064500-065000   00     104.19 1006.2    104.36     3.54     3.54
CAPE SHMID 061213 300  065000-065500   00     103.68 1006.2    103.84     3.02     3.02
CAPE SHMID 061213 300  065500-070000   00     102.37 1006.2    102.52     1.71     1.71
CAPE SHMID 061213 300  070000-070500   00     103.60 1006.2    103.75     2.93     2.93
CAPE SHMID 061213 300  070500-071000   00     104.43 1006.2    104.58     3.76     3.76
CAPE SHMID 061213 300  071000-071500   00     103.76 1006.2    103.91     3.09     3.09
CAPE SHMID 061213 300  071500-072000   00     104.34 1006.2    104.49     3.67     3.67
CAPE SHMID 061213 300  072000-072500   00     103.99 1006.2    104.14     3.32     3.32
CAPE SHMID 061213 300  072500-073000   00     106.34 1006.2    106.49     5.66     5.66
CAPE SHMID 061213 300  073000-073500   00     101.95 1006.2    102.10     1.29     1.29
CAPE SHMID 061213 300  073500-074000   00     101.98 1006.2    102.13     1.32     1.32
CAPE SHMID 061213 300  074000-074500   00     104.60 1006.2    104.75     3.93     3.93
CAPE SHMID 061213 300  074500-075000   00     102.31 1006.2    102.45     1.65     1.65
CAPE SHMID 061213 300  075000-075500   00     102.15 1006.2    102.30     1.49     1.49
CAPE SHMID 061213 300  075500-080000   00     104.84 1006.2    105.00     4.17     4.17
CAPE SHMID 061213 3600 080000-090000   00     102.36 1006.3    102.58     1.77     1.77
CAPE SHMID 061213 3600 090000-100000   00     101.64 1006.6    102.08     1.28     1.28
CAPE SHMID 061213 3600 100000-110000   00     101.31 1006.7    101.82     1.02     1.02
CAPE SHMID 061213 3600 110000-120000   00     100.55 1006.5    100.91     0.12     0.12
CAPE SHMID 061213 3600 120000-130000   00     100.87 1006.4    101.16     0.36     0.36
CAPE SHMID 061213 3600 130000-140000   00     100.77 1006.1    100.84     0.04     0.04
CAPE SHMID 061213 3600 140000-150000   00     101.15 1006.0    101.15     0.35    -9999
CAPE SHMID 061213 3600 150000-160000   00     100.52 1006.3    100.74    -0.06    -9999
CAPE SHMID 061213 3600 160000-170000   00      99.59 1007.0    100.31    -0.48    -9999
CAPE SHMID 061213 3600 170000-180000   00      99.62 1007.2    100.49    -0.30    -9999
CAPE SHMID 061213 3600 180000-190000   00      98.94 1007.5    100.01    -0.77    -9999
CAPE SHMID 061213 3600 190000-200000   00      99.22 1008.2    100.80     0.01    -9999
CAPE SHMID 061213 3600 200000-210000   00      98.38 1009.0    100.53    -0.26    -9999
CAPE SHMID 061213 3600 210000-220000   00      98.04 1009.4    100.47    -0.32    -9999
CAPE SHMID 061213 3600 220000-230000   00      98.71 1009.4    101.15     0.36    -9999
CAPE SHMID 061213 3600 230000-240000   00      98.38 1009.7    101.03     0.24    -9999
*
Comment: The Clock of Regisrator is fast on +11 sec;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070CAPS_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
