JANG BOGO  LATITUDE    74.6      LONGITUDE     164.2     ALTITUDE    30 M
JANG BOGO  INSTRUMENT   5-NM-64  NEUTRON MONITOR	
JANG BOGO  STANDARD PRESSURE    978.4   MB     COEFFICIENT   -0.74     % / MB
JANG BOGO  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
JANG BOGO  PRE-INCREASE AVERAGE COUNTING RATE    284.92      COUNTS PER SECOND
JANG BOGO  TIME INTERVALS    300         3600     
JANG BOGO  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JANG BOGO  211028 300  143500-144000   00     302.47  970.3    284.48    -0.16    -9999
JANG BOGO  211028 300  144000-144500   00     296.73  970.3    279.01    -2.07    -9999
JANG BOGO  211028 300  144500-145000   00     301.63  970.4    283.80    -0.39    -9999
JANG BOGO  211028 300  145000-145500   00     309.11  970.4    290.91     2.10    -9999
JANG BOGO  211028 300  145500-150000   00     302.88  970.4    285.07     0.05    -9999
JANG BOGO  211028 300  150000-150500   00     301.72  970.5    284.05    -0.31    -0.31
JANG BOGO  211028 300  150500-151000   00     305.41  970.4    287.49     0.90     0.90
JANG BOGO  211028 300  151000-151500   00     305.08  970.4    287.17     0.79     0.79
JANG BOGO  211028 300  151500-152000   00     303.07  970.5    285.34     0.15     0.15
JANG BOGO  211028 300  152000-152500   00     302.09  970.5    284.42    -0.18    -0.18
JANG BOGO  211028 300  152500-153000   00     298.46  970.4    280.86    -1.42    -1.42
JANG BOGO  211028 300  153000-153500   00     300.39  970.4    282.74    -0.77    -0.77
JANG BOGO  211028 300  153500-154000   00     304.89  970.4    286.87     0.68     0.68
JANG BOGO  211028 300  154000-154500   00     305.35  970.4    287.26     0.82     0.82
JANG BOGO  211028 300  154500-155000   00     301.00  970.4    283.29    -0.57    -0.57
JANG BOGO  211028 300  155000-155500   00     303.90  970.4    285.92     0.35     0.35
JANG BOGO  211028 300  155500-160000   00     302.32  970.5    284.69    -0.08    -0.08
JANG BOGO  211028 300  160000-160500   00     305.61  970.5    287.78     1.00     1.00
JANG BOGO  211028 300  160500-161000   00     304.44  970.5    286.77     0.65     0.65
JANG BOGO  211028 300  161000-161500   00     304.31  970.5    286.57     0.58     0.58
JANG BOGO  211028 300  161500-162000   00     303.92  970.5    286.19     0.45     0.45
JANG BOGO  211028 300  162000-162500   00     306.60  970.5    288.70     1.33     1.33
JANG BOGO  211028 300  162500-163000   00     305.12  970.6    287.52     0.91     0.91
JANG BOGO  211028 300  163000-163500   00     308.76  970.6    291.02     2.14     2.14
JANG BOGO  211028 300  163500-164000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  164000-164500   00     306.20  970.7    288.75     1.34     1.34
JANG BOGO  211028 300  164500-165000   00     311.99  970.7    294.20     3.26     3.26
JANG BOGO  211028 300  165000-165500   00     310.22  970.7    292.65     2.71     2.71
JANG BOGO  211028 300  165500-170000   00     308.72  970.8    291.27     2.23     2.23
JANG BOGO  211028 300  170000-170500   00     306.62  970.8    289.30     1.54     1.54
JANG BOGO  211028 300  170500-171000   00     308.56  970.8    291.26     2.22     2.22
JANG BOGO  211028 300  171000-171500   00     308.73  970.8    291.44     2.29     2.29
JANG BOGO  211028 300  171500-172000   00     313.59  970.8    296.00     3.89     3.89
JANG BOGO  211028 300  172000-172500   00     309.23  970.8    291.93     2.46     2.46
JANG BOGO  211028 300  172500-173000   00     309.44  970.9    292.21     2.56     2.56
JANG BOGO  211028 300  173000-173500   00     313.44  971.0    296.20     3.96     3.96
JANG BOGO  211028 300  173500-174000   00     306.96  970.9    290.01     1.79     1.79
JANG BOGO  211028 300  174000-174500   00     305.58  971.0    288.87     1.39     1.39
JANG BOGO  211028 300  174500-175000   00     307.79  971.0    290.95     2.12     2.12
JANG BOGO  211028 300  175000-175500   00     308.51  971.0    291.70     2.38     2.38
JANG BOGO  211028 300  175500-180000   00     308.00  971.1    291.43     2.28     2.28
JANG BOGO  211028 300  180000-180500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  180500-181000   00     307.15  971.1    290.58     1.99     1.99
JANG BOGO  211028 300  181000-181500   00     310.84  971.2    294.24     3.27     3.27
JANG BOGO  211028 300  181500-182000   00     306.60  971.2    290.30     1.89     1.89
JANG BOGO  211028 300  182000-182500   00     304.62  971.2    288.43     1.23     1.23
JANG BOGO  211028 300  182500-183000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  183000-183500   00     307.15  971.4    291.08     2.16     2.16
JANG BOGO  211028 300  183500-184000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  184000-184500   00     304.57  971.5    288.86     1.38     1.38
JANG BOGO  211028 300  184500-185000   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  185000-185500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  185500-190000   00     305.42  971.5    289.80     1.71     1.71
JANG BOGO  211028 300  190000-190500   00     305.84  971.6    290.32     1.90     1.90
JANG BOGO  211028 300  190500-191000   00     303.04  971.7    287.84     1.02     1.02
JANG BOGO  211028 300  191000-191500   00     303.29  971.7    288.13     1.13     1.13
JANG BOGO  211028 300  191500-192000   00     303.49  971.7    288.43     1.23     1.23
JANG BOGO  211028 300  192000-192500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  192500-193000   00     304.10  971.7    288.99     1.43     1.43
JANG BOGO  211028 300  193000-193500   00     302.85  971.8    287.87     1.04     1.04
JANG BOGO  211028 300  193500-194000   00     304.37  971.8    289.34     1.55     1.55
JANG BOGO  211028 300  194000-194500   00     304.96  971.8    289.87     1.74     1.74
JANG BOGO  211028 300  194500-195000   00     302.76  971.8    287.80     1.01     1.01
JANG BOGO  211028 300  195000-195500   00     303.60  971.8    288.73     1.34     1.34
JANG BOGO  211028 300  195500-200000   00     306.60  971.8    291.59     2.34     2.34
JANG BOGO  211028 300  200000-200500   00    -999.00 -999.0   -999.00    -9999    -9999
JANG BOGO  211028 300  200500-201000   00     307.75  971.9    292.74     2.74     2.74
JANG BOGO  211028 300  201000-201500   00     300.58  971.9    286.04     0.39     0.39
JANG BOGO  211028 300  201500-202000   00     300.85  972.0    286.42     0.53     0.53
JANG BOGO  211028 300  202000-202500   00     303.24  972.0    288.64     1.31     1.31
JANG BOGO  211028 300  202500-203000   00     300.55  971.9    286.04     0.39     0.39
JANG BOGO  211028 300  203000-203500   00     300.92  972.0    286.45     0.54     0.54
JANG BOGO  211028 300  203500-204000   00     302.22  972.0    287.67     0.97     0.97
JANG BOGO  211028 300  204000-204500   00     300.40  972.0    286.05     0.40     0.40
JANG BOGO  211028 300  204500-205000   00     302.11  972.1    287.79     1.01     1.01
JANG BOGO  211028 300  205000-205500   00     298.35  972.1    284.28    -0.23    -0.23
JANG BOGO  211028 300  205500-210000   00     304.88  972.1    290.56     1.98     1.98
JANG BOGO  211028 300  210000-210500   00     299.11  972.1    284.99     0.02     0.02
JANG BOGO  211028 300  210500-211000   00     311.61  972.1    297.04     4.25     4.25
JANG BOGO  211028 300  211000-211500   00     304.26  972.2    290.12     1.83     1.83
JANG BOGO  211028 300  211500-212000   00     302.21  972.2    288.27     1.18     1.18
JANG BOGO  211028 300  212000-212500   00     302.24  972.3    288.41     1.22     1.22
JANG BOGO  211028 300  212500-213000   00     302.98  972.4    289.26     1.52     1.52
JANG BOGO  211028 300  213000-213500   00     298.46  972.4    284.99     0.02     0.02
JANG BOGO  211028 300  213500-214000   00     300.03  972.4    286.51     0.56     0.56
JANG BOGO  211028 300  214000-214500   00     298.39  972.4    284.98     0.02     0.02
JANG BOGO  211028 300  214500-215000   00     306.94  972.4    293.13     2.88     2.88
JANG BOGO  211028 300  215000-215500   00     302.36  972.4    288.69     1.32     1.32
JANG BOGO  211028 300  215500-220000   00     303.17  972.4    289.59     1.64     1.64
JANG BOGO  211028 300  220000-220500   00     297.10  972.5    283.96    -0.34    -0.34
JANG BOGO  211028 300  220500-221000   00     296.70  972.5    283.52    -0.49    -0.49
JANG BOGO  211028 300  221000-221500   00     299.20  972.5    286.04     0.39     0.39
JANG BOGO  211028 300  221500-222000   00     300.16  972.6    287.10     0.76     0.76
JANG BOGO  211028 300  222000-222500   00     308.56  972.7    295.26     3.63     3.63
JANG BOGO  211028 300  222500-223000   00     301.92  972.6    288.89     1.39     1.39
JANG BOGO  211028 300  223000-223500   00     293.17  972.6    280.48    -1.56    -1.56
JANG BOGO  211028 300  223500-224000   00     299.32  972.7    286.49     0.55     0.55
JANG BOGO  211028 300  224000-224500   00     295.73  972.7    283.10    -0.64    -0.64
JANG BOGO  211028 300  224500-225000   00     298.87  972.7    286.09     0.41     0.41
JANG BOGO  211028 300  225000-225500   00     298.56  972.8    285.95     0.36     0.36
JANG BOGO  211028 300  225500-230000   00     297.64  972.8    285.17     0.09     0.09
JANG BOGO  211028 300  230000-230500   00     298.65  972.8    286.16     0.44     0.44
JANG BOGO  211028 300  230500-231000   00     300.96  972.9    288.49     1.25     1.25
JANG BOGO  211028 300  231000-231500   00     299.97  972.9    287.64     0.96     0.96
JANG BOGO  211028 300  231500-232000   00     296.88  972.9    284.67    -0.09    -0.09
JANG BOGO  211028 300  232000-232500   00     296.76  973.0    284.71    -0.07    -0.07
JANG BOGO  211028 300  232500-233000   00     294.48  973.0    282.58    -0.82    -0.82
JANG BOGO  211028 300  233000-233500   00     295.90  973.0    283.92    -0.35    -0.35
JANG BOGO  211028 300  233500-234000   00     295.78  973.1    283.96    -0.34    -0.34
JANG BOGO  211028 300  234000-234500   00     297.80  973.1    285.83     0.32     0.32
JANG BOGO  211028 300  234500-235000   00     300.79  973.2    288.90     1.40     1.40
JANG BOGO  211028 300  235000-235500   00     299.02  973.2    287.19     0.80     0.80
JANG BOGO  211028 300  235500-000000   00     295.63  973.2    284.02    -0.32    -0.32
JANG BOGO  211029 3600 000000-010000   00     298.82  973.5    287.78     1.00    -9999
JANG BOGO  211029 3600 010000-020000   00     297.16  973.8    286.84     0.68    -9999
JANG BOGO  211029 3600 020000-030000   00     295.18  974.6    286.61     0.59    -9999
JANG BOGO  211029 3600 030000-040000   00     293.15  975.2    285.84     0.32    -9999
JANG BOGO  211029 3600 040000-050000   00     293.30  975.6    286.75     0.64    -9999
JANG BOGO  211029 3600 050000-060000   00     291.35  976.0    285.86     0.33    -9999
JANG BOGO  211029 3600 060000-070000   00     290.39  976.3    285.59     0.23    -9999
JANG BOGO  211029 3600 070000-080000   00     289.05  976.7    284.94     0.01    -9999
JANG BOGO  211029 3600 080000-090000   00     286.74  977.0    283.35    -0.55    -9999
JANG BOGO  211029 3600 090000-100000   00     287.85  976.8    284.12    -0.28    -9999
JANG BOGO  211029 3600 100000-110000   00     287.22  976.5    282.82    -0.74    -9999
JANG BOGO  211029 3600 110000-120000   00     288.46  976.4    283.75    -0.41    -9999
JANG BOGO  211029 3600 120000-130000   00     289.26  976.4    284.52    -0.14    -9999
JANG BOGO  211029 3600 130000-140000   00     288.67  976.5    284.29    -0.22    -9999
JANG BOGO  211029 3600 140000-150000   00     289.39  976.5    284.90    -0.01    -9999
JANG BOGO  211029 3600 150000-160000   00     289.03  976.7    284.94     0.01    -9999
JANG BOGO  211029 3600 160000-170000   00     289.89  976.9    286.17     0.44    -9999
JANG BOGO  211029 3600 170000-180000   00     289.51  977.0    286.01     0.38    -9999
JANG BOGO  211029 3600 180000-190000   00     289.07  977.1    285.90     0.34    -9999
JANG BOGO  211029 3600 190000-200000   00     289.17  977.4    286.58     0.58    -9999
JANG BOGO  211029 3600 200000-210000   00     288.48  977.7    286.59     0.59    -9999
JANG BOGO  211029 3600 210000-220000   00     286.66  977.9    285.29     0.13    -9999
JANG BOGO  211029 3600 220000-230000   00     287.04  978.0    285.73     0.28    -9999
JANG BOGO  211029 3600 230000-000000   00     287.59  977.8    285.89     0.34    -9999
*
COMMENT  FILE COMPOSED BY ILYA USOSKIN OF THE UNIVERSITY OF OULU
COMMENT  DATA OBTAINED FROM NMDB (24.11.2021)
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-03-30 17:39:06 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE73/C073JBGO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
