DOMC       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMC       INSTRUMENT   MINI NEUTRON MONITOR	
DOMC       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMC       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMC       PRE-INCREASE AVERAGE COUNTING RATE     18.61      COUNTS PER SECOND
DOMC       TIME INTERVALS    300         3600     
DOMC       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMC       211028 300  150500-151000   00      25.96  625.5     18.73     0.69     0.65
DOMC       211028 300  151000-151500   00      26.32  625.5     19.00     2.10     2.06
DOMC       211028 300  151500-152000   00      26.19  625.5     18.91     1.62     1.58
DOMC       211028 300  152000-152500   00      25.43  625.5     18.36    -1.33    -1.38
DOMC       211028 300  152500-153000   00      25.72  625.6     18.57    -0.18    -0.23
DOMC       211028 300  153000-153500   00      26.04  625.6     18.80     1.06     1.01
DOMC       211028 300  153500-154000   00      25.17  625.6     18.18    -2.32    -2.38
DOMC       211028 300  154000-154500   00      26.25  625.6     18.96     1.88     1.82
DOMC       211028 300  154500-155000   00      25.34  625.6     18.30    -1.63    -1.69
DOMC       211028 300  155000-155500   00      25.83  625.6     18.66     0.28     0.22
DOMC       211028 300  155500-160000   00      25.76  625.6     18.61     0.01    -0.06
DOMC       211028 300  160000-160500   00      26.30  625.7     19.01     2.18     2.11
DOMC       211028 300  160500-161000   00      25.87  625.7     18.70     0.52     0.45
DOMC       211028 300  161000-161500   00      26.10  625.7     18.87     1.42     1.34
DOMC       211028 300  161500-162000   00      26.22  625.8     18.96     1.90     1.82
DOMC       211028 300  162000-162500   00      26.73  625.8     19.34     3.93     3.85
DOMC       211028 300  162500-163000   00      26.41  625.8     19.11     2.69     2.61
DOMC       211028 300  163000-163500   00      26.82  625.9     19.41     4.33     4.24
DOMC       211028 300  163500-164000   00      26.68  625.9     19.32     3.84     3.75
DOMC       211028 300  164000-164500   00      27.50  626.0     19.92     7.07     6.98
DOMC       211028 300  164500-165000   00      26.35  626.0     19.10     2.65     2.55
DOMC       211028 300  165000-165500   00      26.69  626.1     19.35     3.99     3.89
DOMC       211028 300  165500-170000   00      26.71  626.1     19.36     4.07     3.97
DOMC       211028 300  170000-170500   00      27.36  626.1     19.84     6.62     6.51
DOMC       211028 300  170500-171000   00      27.55  626.1     19.98     7.41     7.30
DOMC       211028 300  171000-171500   00      27.39  626.2     19.87     6.80     6.69
DOMC       211028 300  171500-172000   00      26.99  626.2     19.59     5.28     5.17
DOMC       211028 300  172000-172500   00      26.74  626.2     19.41     4.31     4.19
DOMC       211028 300  172500-173000   00      27.05  626.2     19.63     5.51     5.39
DOMC       211028 300  173000-173500   00      27.01  626.3     19.61     5.42     5.30
DOMC       211028 300  173500-174000   00      27.19  626.4     19.76     6.20     6.07
