OULU       LATITUDE    65.01     LONGITUDE     25.51     ALTITUDE    15 M
OULU       INSTRUMENT   9-NM-64  NEUTRON MONITOR	
OULU       STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.74     % / MB
OULU       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     88.65      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
OULU       000714 300  113000-113500   00     107.88 1001.2    108.83    22.80    22.66
OULU       000714 300  113500-114000   00     107.01 1001.2    107.95    21.80    21.66
OULU       000714 300  114000-114500   00     106.16 1001.2    107.08    20.80    20.66
OULU       000714 300  114500-115000   00     107.04 1001.2    107.96    21.80    21.65
OULU       000714 300  115000-115500   00     106.62 1001.2    107.57    21.30    21.15
OULU       000714 300  115500-120000   00     104.29 1001.3    105.26    18.70    18.55
OULU       000714 300  120000-120500   00     105.49 1001.3    106.49    20.10    19.95
OULU       000714 300  120500-121000   00     104.18 1001.3    105.22    18.70    18.54
OULU       000714 300  121000-121500   00     103.29 1001.5    104.41    17.80    17.64
OULU       000714 300  121500-122000   00     103.24 1001.5    104.39    17.80    17.64
OULU       000714 300  122000-122500   00     102.36 1001.6    103.55    16.80    16.64
OULU       000714 300  122500-123000   00     100.58 1001.6    101.79    14.80    14.63
OULU       000714 300  123000-123500   00     101.70 1001.7    102.98    16.20    16.03
OULU       000714 300  123500-124000   00     100.45 1001.8    101.79    14.80    14.63
OULU       000714 300  124000-124500   00      99.61 1001.9    100.98    13.90    13.73
OULU       000714 300  124500-125000   00      99.62 1001.9    101.00    13.90    13.72
OULU       000714 300  125000-125500   00      98.93 1001.9    100.32    13.20    13.02
OULU       000714 300  125500-130000   00      99.41 1002.0    100.85    13.80    13.62
OULU       000714 300  130000-130500   00      97.42 1002.1     98.92    11.60    11.42
OULU       000714 300  130500-131000   00      98.33 1002.2     99.92    12.70    12.51
OULU       000714 300  131000-131500   00      98.13 1002.3     99.78    12.60    12.41
OULU       000714 300  131500-132000   00      98.02 1002.3     99.72    12.50    12.31
OULU       000714 300  132000-132500   00      96.95 1002.4     98.68    11.30    11.10
OULU       000714 300  132500-133000   00      94.30 1002.4     96.00     8.30     8.10
OULU       000714 300  133000-133500   00      96.44 1002.4     98.19    10.80    10.60
OULU       000714 300  133500-134000   00      95.16 1002.4     96.85     9.30     9.10
OULU       000714 300  134000-134500   00      95.17 1002.4     96.86     9.30     9.09
OULU       000714 300  134500-135000   00      94.21 1002.3     95.85     8.10     7.89
OULU       000714 300  135000-135500   00      94.81 1002.4     96.49     8.90     8.69
OULU       000714 300  135500-140000   00      94.51 1002.4     96.21     8.50     8.29
OULU       000714 300  140000-140500   00      95.40 1002.4     97.10     9.50     9.28
OULU       000714 300  140500-141000   00      92.10 1002.4     93.72     5.70     5.48
OULU       000714 300  141000-141500   00      93.87 1002.4     95.56     7.80     7.58
OULU       000714 300  141500-142000   00      93.29 1002.5     95.00     7.20     6.98
OULU       000714 300  142000-142500   00      93.70 1002.5     95.47     7.70     7.47
OULU       000714 300  142500-143000   00      93.04 1002.6     94.83     7.00     6.77
OULU       000714 300  143000-143500   00      92.87 1002.7     94.71     6.80     6.57
OULU       000714 300  143500-144000   00      93.89 1002.7     95.78     8.00     7.76
OULU       000714 300  144000-144500   00      94.39 1002.7     96.30     8.60     8.36
OULU       000714 300  144500-145000   00      92.40 1002.7     94.23     6.30     6.06
OULU       000714 300  145000-145500   00      94.25 1002.6     96.08     8.40     8.16
OULU       000714 300  145500-150000   00      92.99 1002.6     94.80     6.90     6.65
OULU       000714 300  150000-150500   00      92.43 1002.7     94.28     6.30     6.05
OULU       000714 300  150500-151000   00      91.98 1002.7     93.82     5.80     5.55
OULU       000714 300  151000-151500   00      91.67 1002.7     93.49     5.50     5.25
OULU       000714 300  151500-152000   00      92.65 1002.6     94.45     6.50     6.24
