IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    802.3   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    177.36      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   031028 300  114000-114500   00     192.07  803.6    193.85     9.00     8.81
IRKUTSK2   031028 300  114500-115000   00     191.65  803.6    193.50     8.80     8.60
IRKUTSK2   031028 300  115000-115500   00     187.41  803.7    189.30     6.40     6.19
IRKUTSK2   031028 300  115500-120000   00     186.70  803.8    188.66     6.10     5.88
IRKUTSK2   031028 300  120000-120500   00     185.49  803.8    187.49     5.40     5.17
IRKUTSK2   031028 300  120500-121000   00     183.55  803.8    185.55     4.30     4.06
IRKUTSK2   031028 300  121000-121500   00     181.91  803.8    183.92     3.40     3.15
IRKUTSK2   031028 300  121500-122000   00     183.33  803.9    185.38     4.20     3.94
IRKUTSK2   031028 300  122000-122500   00     181.52  803.9    183.57     3.20     2.93
IRKUTSK2   031028 300  122500-123000   00     180.25  803.9    182.30     2.50     2.22
IRKUTSK2   031028 300  123000-123500   00     181.52  803.9    183.61     3.20     2.91
IRKUTSK2   031028 300  123500-124000   00     182.18  803.9    184.30     3.60     3.30
IRKUTSK2   031028 300  124000-124500   00     179.92  803.9    182.04     2.40     2.09
IRKUTSK2   031028 300  124500-125000   00     180.44  804.0    182.58     2.70     2.37
IRKUTSK2   031028 300  125000-125500   00     179.86  804.0    182.01     2.30     1.96
IRKUTSK2   031028 300  125500-130000   00     179.57  804.0    181.75     2.20     1.85
IRKUTSK2   031028 300  130000-130500   00     179.17  804.0    181.37     2.00     1.64
IRKUTSK2   031028 300  130500-131000   00     180.53  804.0    182.75     2.80     2.43
IRKUTSK2   031028 300  131000-131500   00     179.28  804.0    181.50     2.10     1.72
IRKUTSK2   031028 300  131500-132000   00     179.45  804.0    181.67     2.10     1.71
IRKUTSK2   031028 300  132000-132500   00     179.53  804.0    181.77     2.20     1.80
IRKUTSK2   031028 300  132500-133000   00     180.13  804.0    182.38     2.50     2.09
IRKUTSK2   031028 300  133000-133500   00     178.33  804.1    180.57     1.50     1.08
IRKUTSK2   031028 300  133500-134000   00     178.76  804.1    181.02     1.80     1.37
IRKUTSK2   031028 300  134000-134500   00     179.07  804.1    181.35     2.00     1.56
IRKUTSK2   031028 300  134500-135000   00     179.61  804.1    181.90     2.30     1.85
IRKUTSK2   031028 300  135000-135500   00     178.83  804.1    181.12     1.80     1.34
IRKUTSK2   031028 300  135500-140000   00     179.06  804.1    181.37     2.00     1.53
IRKUTSK2   031028 300  140000-140500   00     178.24  804.1    180.54     1.50     1.02
IRKUTSK2   031028 300  140500-141000   00     178.73  804.1    181.04     1.80     1.31
IRKUTSK2   031028 300  141000-141500   00     177.88  804.1    180.18     1.30     0.80
IRKUTSK2   031028 300  141500-142000   00     178.77  804.1    181.08     1.80     1.29
IRKUTSK2   031028 300  142000-142500   00     179.74  804.1    182.06     2.40     1.88
IRKUTSK2   031028 300  142500-143000   00     178.75  804.1    181.06     1.80     1.27
IRKUTSK2   031028 300  143000-143500   00     178.07  804.1    180.37     1.40     0.86
IRKUTSK2   031028 300  143500-144000   00     178.16  804.1    180.46     1.50     0.95
IRKUTSK2   031028 300  144000-144500   00     178.00  804.1    180.30     1.40     0.84
IRKUTSK2   031028 300  144500-145000   00     177.62  804.1    179.91     1.20     0.63
IRKUTSK2   031028 300  145000-145500   00     178.62  804.1    180.93     1.70     1.12
IRKUTSK2   031028 300  145500-150000   00     178.45  804.1    180.76     1.60     1.01
IRKUTSK2   031028 300  150000-150500   00     179.32  804.1    181.62     2.10     1.50
IRKUTSK2   031028 300  150500-151000   00     178.14  804.1    180.41     1.40     0.79
IRKUTSK2   031028 300  151000-151500   00     178.32  804.1    180.57     1.50     0.88
IRKUTSK2   031028 300  151500-152000   00     178.23  804.0    180.46     1.50     0.87
IRKUTSK2   031028 300  152000-152500   00     177.95  804.0    180.16     1.30     0.66
IRKUTSK2   031028 300  152500-153000   00     177.75  804.0    179.93     1.20     0.55
IRKUTSK2   031028 300  153000-153500   00     177.61  804.0    179.78     1.10     0.44
IRKUTSK2   031028 300  153500-154000   00     177.28  804.0    179.41     0.90     0.23
IRKUTSK2   031028 300  154000-154500   00     176.58  804.0    178.69     0.50    -0.18
IRKUTSK2   031028 300  154500-155000   00     177.40  803.9    179.49     0.90     0.21
IRKUTSK2   031028 300  155000-155500   00     179.14  803.9    181.23     1.90     1.20
IRKUTSK2   031028 300  155500-160000   00     178.50  803.9    180.56     1.50     0.79
IRKUTSK2   031028 300  160000-160500   00     177.60  803.9    179.62     1.00     0.28
IRKUTSK2   031028 300  160500-161000   00     177.58  803.9    179.57     1.00     0.27
IRKUTSK2   031028 300  161000-161500   00     178.14  803.8    180.10     1.30     0.56
IRKUTSK2   031028 300  161500-162000   00     176.68  803.8    178.59     0.40    -0.35
IRKUTSK2   031028 300  162000-162500   00     177.06  803.8    178.96     0.60    -0.16
