TIXIE BAY  LATITUDE    71.6      LONGITUDE     128.9     ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18NM64    NEUTRON MONITOR     	
TIXIE BAY  STANDARD PRESSURE    1000.8  mb     COEFFICIENT   -0.72     % / mb
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE     11.61      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TIXIE BAY  031027 3600 000000-010000   00      11.37 1002.9     11.54    -0.60    -9999
TIXIE BAY  031027 3600 010000-020000   00      11.37 1002.8     11.53    -0.60    -9999
TIXIE BAY  031027 3600 020000-030000   00      11.49 1002.7     11.65     0.30    -9999
TIXIE BAY  031027 3600 030000-040000   00      11.52 1002.7     11.68     0.60    -9999
TIXIE BAY  031027 3600 040000-050000   00      11.69 1002.7     11.85     2.10    -9999
TIXIE BAY  031027 3600 050000-060000   00      11.80 1002.6     11.95     2.90    -9999
TIXIE BAY  031027 3600 060000-070000   00      11.82 1002.7     11.99     3.30    -9999
TIXIE BAY  031027 3600 070000-080000   00      11.71 1002.7     11.88     2.30    -9999
TIXIE BAY  031027 3600 080000-090000   00      11.66 1002.6     11.81     1.80    -9999
TIXIE BAY  031027 3600 090000-100000   00      11.65 1002.5     11.80     1.60    -9999
TIXIE BAY  031027 3600 100000-110000   00      11.67 1002.4     11.80     1.70    -9999
TIXIE BAY  031027 3600 110000-120000   00      11.60 1002.3     11.72     1.00    -9999
TIXIE BAY  031027 3600 120000-130000   00      11.64 1002.3     11.77     1.40    -9999
TIXIE BAY  031027 3600 130000-140000   00      11.66 1002.0     11.76     1.30    -9999
TIXIE BAY  031027 3600 140000-150000   00      11.68 1001.6     11.75     1.20    -9999
TIXIE BAY  031027 3600 150000-160000   00      11.59 1001.2     11.62     0.10    -9999
TIXIE BAY  031027 3600 160000-170000   00      11.64 1001.5     11.70     0.80    -9999
TIXIE BAY  031027 3600 170000-180000   00      11.63 1001.7     11.70     0.80    -9999
TIXIE BAY  031027 3600 180000-190000   00      11.72 1001.6     11.79     1.60    -9999
TIXIE BAY  031027 3600 190000-200000   00      11.67 1001.6     11.74     1.10    -9999
TIXIE BAY  031027 3600 200000-210000   00      11.69 1001.6     11.76     1.30    -9999
TIXIE BAY  031027 3600 210000-220000   00      11.64 1001.6     11.71     0.90    -9999
TIXIE BAY  031027 3600 220000-230000   00      11.61 1001.6     11.67     0.60    -9999
TIXIE BAY  031027 3600 230000-240000   00      11.63 1001.4     11.68     0.60    -9999
TIXIE BAY  031028 3600 000000-010000   00      11.78 1001.3     11.82     1.80    -9999
TIXIE BAY  031028 3600 010000-020000   00      11.84 1001.4     11.90     2.50    -9999
TIXIE BAY  031028 3600 020000-030000   00      11.79 1001.2     11.83     1.90    -9999
TIXIE BAY  031028 3600 030000-040000   00      11.82 1001.1     11.85     2.10    -9999
TIXIE BAY  031028 3600 040000-050000   00      11.85 1001.2     11.88     2.40    -9999
TIXIE BAY  031028 3600 050000-060000   00      11.82 1001.0     11.84     2.00    -9999
TIXIE BAY  031028 3600 060000-070000   00      11.75 1001.0     11.77     1.40    -9999
TIXIE BAY  031028 3600 070000-080000   00      11.75 1001.0     11.76     1.30    -9999
TIXIE BAY  031028 3600 080000-090000   00      11.76 1001.0     11.78     1.50    -9999
TIXIE BAY  031028 300  090000-090500   00      11.82 1001.0     11.83     1.90    -9999
TIXIE BAY  031028 300  090500-091000   00      11.78 1001.0     11.80     1.60    -9999
TIXIE BAY  031028 300  091000-091500   00      11.90 1001.0     11.91     2.60    -9999
TIXIE BAY  031028 300  091500-092000   00      11.58 1000.9     11.60    -0.10    -9999
TIXIE BAY  031028 300  092000-092500   00      11.70 1000.9     11.71     0.90    -9999
TIXIE BAY  031028 300  092500-093000   00      11.52 1000.9     11.53    -0.70    -9999
TIXIE BAY  031028 300  093000-093500   00      11.60 1000.9     11.61     0.00    -9999
TIXIE BAY  031028 300  093500-094000   00      11.70 1000.9     11.71     0.80    -9999
TIXIE BAY  031028 300  094000-094500   00      11.77 1000.9     11.77     1.40    -9999
TIXIE BAY  031028 300  094500-095000   00      11.65 1000.8     11.65     0.40    -9999
TIXIE BAY  031028 300  095000-095500   00      11.73 1000.8     11.74     1.10    -9999
TIXIE BAY  031028 300  095500-100000   00      11.65 1000.8     11.65     0.40    -9999
TIXIE BAY  031028 300  100000-100500   00      11.57 1000.8     11.57    -0.40    -9999
TIXIE BAY  031028 300  100500-101000   00      11.60 1000.8     11.60    -0.10    -9999
TIXIE BAY  031028 300  101000-101500   00      11.67 1000.8     11.66     0.50    -9999
TIXIE BAY  031028 300  101500-102000   00      11.63 1000.8     11.63     0.20    -9999
TIXIE BAY  031028 300  102000-102500   00      11.55 1000.8     11.55    -0.50    -9999
TIXIE BAY  031028 300  102500-103000   00      11.63 1000.8     11.63     0.20    -9999
TIXIE BAY  031028 300  103000-103500   00      11.52 1000.7     11.51    -0.80    -9999
TIXIE BAY  031028 300  103500-104000   00      11.67 1000.7     11.66     0.50    -9999
TIXIE BAY  031028 300  104000-104500   00      11.63 1000.7     11.63     0.20    -9999
TIXIE BAY  031028 300  104500-105000   00      11.65 1000.7     11.64     0.30    -9999
TIXIE BAY  031028 300  105000-105500   00      11.52 1000.7     11.51    -0.90    -9999
TIXIE BAY  031028 300  105500-110000   00      11.67 1000.7     11.66     0.40    -9999
TIXIE BAY  031028 300  110000-110500   00      11.55 1000.7     11.54    -0.60    -0.51
TIXIE BAY  031028 300  110500-111000   00      11.65 1000.7     11.64     0.30     0.40
TIXIE BAY  031028 300  111000-111500   00      11.67 1000.6     11.65     0.40     0.51
TIXIE BAY  031028 300  111500-112000   00      11.85 1000.6     11.83     1.90     2.01
TIXIE BAY  031028 300  112000-112500   00      12.17 1000.6     12.15     4.70     4.82
TIXIE BAY  031028 300  112500-113000   00      12.32 1000.6     12.30     5.90     6.03
TIXIE BAY  031028 300  113000-113500   00      12.47 1000.5     12.44     7.20     7.33
TIXIE BAY  031028 300  113500-114000   00      12.38 1000.5     12.36     6.50     6.64
TIXIE BAY  031028 300  114000-114500   00      12.10 1000.5     12.07     4.00     4.15
TIXIE BAY  031028 300  114500-115000   00      11.97 1000.5     11.94     2.80     2.95
TIXIE BAY  031028 300  115000-115500   00      11.98 1000.4     11.95     3.00     3.16
TIXIE BAY  031028 300  115500-120000   00      12.32 1000.4     12.28     5.80     5.97
TIXIE BAY  031028 300  120000-120500   00      12.25 1000.4     12.21     5.20     5.37
TIXIE BAY  031028 300  120500-121000   00      12.15 1000.4     12.11     4.30     4.48
TIXIE BAY  031028 300  121000-121500   00      12.00 1000.3     11.96     3.00     3.19
TIXIE BAY  031028 300  121500-122000   00      12.02 1000.3     11.97     3.10     3.29
TIXIE BAY  031028 300  122000-122500   00      12.48 1000.3     12.43     7.10     7.30
TIXIE BAY  031028 300  122500-123000   00      12.32 1000.2     12.27     5.70     5.91
TIXIE BAY  031028 300  123000-123500   00      12.27 1000.2     12.21     5.20     5.41
TIXIE BAY  031028 300  123500-124000   00      12.45 1000.2     12.39     6.80     7.02
TIXIE BAY  031028 300  124000-124500   00      12.17 1000.1     12.11     4.30     4.53
TIXIE BAY  031028 300  124500-125000   00      12.10 1000.1     12.04     3.70     3.93
TIXIE BAY  031028 300  125000-125500   00      12.28 1000.1     12.22     5.20     5.44
TIXIE BAY  031028 300  125500-130000   00      11.93 1000.0     11.87     2.20     2.45
TIXIE BAY  031028 300  130000-130500   00      12.13 1000.0     12.06     3.90     4.15
TIXIE BAY  031028 300  130500-131000   00      12.18 1000.0     12.11     4.30     4.56
TIXIE BAY  031028 300  131000-131500   00      12.13 1000.0     12.06     3.90     4.17
TIXIE BAY  031028 300  131500-132000   00      11.98  999.9     11.91     2.60     2.87
TIXIE BAY  031028 300  132000-132500   00      11.95  999.9     11.88     2.30     2.58
TIXIE BAY  031028 300  132500-133000   00      12.17  999.9     12.09     4.10     4.39
TIXIE BAY  031028 300  133000-133500   00      12.00  999.9     11.92     2.70     2.99
TIXIE BAY  031028 300  133500-134000   00      12.12  999.9     12.04     3.70     4.00
TIXIE BAY  031028 300  134000-134500   00      11.97  999.9     11.89     2.40     2.71
TIXIE BAY  031028 300  134500-135000   00      12.08  999.8     12.00     3.40     3.71
TIXIE BAY  031028 300  135000-135500   00      12.13  999.8     12.05     3.80     4.12
TIXIE BAY  031028 300  135500-140000   00      12.03  999.8     11.95     2.90     3.23
TIXIE BAY  031028 300  140000-140500   00      12.37  999.8     12.28     5.80     6.13
TIXIE BAY  031028 300  140500-141000   00      12.12  999.8     12.03     3.60     3.94
TIXIE BAY  031028 300  141000-141500   00      11.93  999.8     11.84     2.00     2.35
TIXIE BAY  031028 300  141500-142000   00      11.98  999.7     11.89     2.40     2.75
TIXIE BAY  031028 300  142000-142500   00      12.12  999.7     12.02     3.60     3.96
TIXIE BAY  031028 300  142500-143000   00      12.07  999.7     11.97     3.10     3.47
TIXIE BAY  031028 300  143000-143500   00      12.17  999.7     12.07     4.00     4.37
TIXIE BAY  031028 300  143500-144000   00      12.08  999.7     11.99     3.30     3.68
