SANAE      LATITUDE    -71.67    LONGITUDE     -2.85     ALTITUDE    856 M
SANAE      INSTRUMENT   6NM64    NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    892     mb     COEFFICIENT   -0.73     % / mb
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE    116.44      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SANAE      031029 300  101000-101500   00     117.47  889.9    115.66    -0.60    -9999
SANAE      031029 300  101500-102000   00     118.99  889.9    117.15     0.60    -9999
SANAE      031029 300  102000-102500   00     121.75  889.9    119.87     3.00    -9999
SANAE      031029 300  102500-103000   00     120.21  889.9    118.34     1.60    -9999
SANAE      031029 300  103000-103500   00     119.35  889.8    117.49     0.90    -9999
SANAE      031029 300  103500-104000   00     117.94  889.8    116.09    -0.30    -9999
SANAE      031029 300  104000-104500   00     119.33  889.8    117.46     0.90    -9999
SANAE      031029 300  104500-105000   00     117.13  889.8    115.28    -1.00    -9999
SANAE      031029 300  105000-105500   00     115.88  889.8    114.04    -2.00    -9999
SANAE      031029 300  105500-110000   00     115.02  889.8    113.19    -2.80    -9999
SANAE      031029 300  110000-110500   00     116.76  889.8    114.90    -1.30    -9999
SANAE      031029 300  110500-111000   00     115.36  889.8    113.52    -2.50    -9999
SANAE      031029 300  111000-111500   00     114.83  889.8    113.00    -3.00    -9999
SANAE      031029 300  111500-112000   00     114.68  889.8    112.86    -3.10    -9999
SANAE      031029 300  112000-112500   00     114.77  889.8    112.94    -3.00    -9999
SANAE      031029 300  112500-113000   00     114.57  889.8    112.75    -3.20    -9999
SANAE      031029 300  113000-113500   00     113.08  889.8    111.28    -4.40    -9999
SANAE      031029 300  113500-114000   00     111.18  889.8    109.41    -6.10    -9999
SANAE      031029 300  114000-114500   00     112.02  889.8    110.24    -5.30    -9999
SANAE      031029 300  114500-115000   00     111.13  889.8    109.36    -6.10    -9999
SANAE      031029 300  115000-115500   00     111.95  889.8    110.16    -5.40    -9999
SANAE      031029 300  115500-120000   00     111.04  889.8    109.27    -6.20    -9999
SANAE      031029 3600 120000-130000   00     110.51  889.1    108.20    -7.10    -9999
SANAE      031029 3600 130000-140000   00     104.19  888.3    101.41   -12.90    -9999
SANAE      031029 3600 140000-150000   00     100.68  887.7     97.56   -16.20    -9999
SANAE      031029 3600 150000-160000   00     101.67  887.1     98.10   -15.80    -9999
SANAE      031029 3600 160000-170000   00     101.25  886.5     97.27   -16.50    -9999
SANAE      031029 3600 170000-180000   00     102.39  885.8     97.86   -16.00    -9999
SANAE      031029 3600 180000-190000   00     109.17  884.9    103.66   -11.00    -9999
SANAE      031029 3600 190000-200000   00     109.50  883.9    103.22   -11.40    -9999
SANAE      031029 3600 200000-210000   00     110.93  883.8    104.48   -10.30    -9999
SANAE      031029 3600 210000-220000   00     121.64  882.9    113.83    -2.20    -9999
SANAE      031029 3600 220000-230000   00     122.60  883.4    115.14    -1.10    -9999
SANAE      031029 3600 230000-240000   00     123.75  883.1    115.96    -0.40    -9999
*
"Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;"	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065SNAE_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
