ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 mb     COEFFICIENT   -0.698    % / mb
ROME       PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    119.20      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ROME       031028 300  132000-132500   00     111.37 1017.8    118.17    -0.90    -9999
ROME       031028 300  132500-133000   00     112.33 1017.7    119.13    -0.10    -9999
ROME       031028 300  133000-133500   00     111.70 1017.6    118.38    -0.70    -9999
ROME       031028 300  133500-134000   00     111.30 1017.5    117.86    -1.10    -9999
ROME       031028 300  134000-134500   00     112.20 1017.4    118.72    -0.40    -9999
ROME       031028 300  134500-135000   00     113.63 1017.3    120.16     0.80    -9999
ROME       031028 300  135000-135500   00     113.17 1017.2    119.63     0.40    -9999
ROME       031028 300  135500-140000   00     113.80 1017.2    120.28     0.90    -9999
ROME       031028 300  140000-140500   00     113.77 1017.1    120.19     0.80    -9999
ROME       031028 300  140500-141000   00     111.07 1017.1    117.33    -1.60    -9999
ROME       031028 300  141000-141500   00     112.17 1017.2    118.53    -0.60    -9999
ROME       031028 300  141500-142000   00     112.63 1017.2    119.03    -0.10    -9999
ROME       031028 300  142000-142500   00     111.30 1017.2    117.60    -1.30    -9999
ROME       031028 300  142500-143000   00     112.37 1017.2    118.74    -0.40    -9999
ROME       031028 300  143000-143500   00     113.93 1017.1    120.34     1.00    -9999
ROME       031028 300  143500-144000   00     112.63 1016.9    118.84    -0.30    -9999
ROME       031028 300  144000-144500   00     111.60 1016.8    117.63    -1.30    -9999
ROME       031028 300  144500-145000   00     111.33 1016.6    117.19    -1.70    -9999
ROME       031028 300  145000-145500   00     111.60 1016.5    117.38    -1.50    -9999
ROME       031028 300  145500-150000   00     111.20 1016.5    116.97    -1.90    -9999
ROME       031028 300  150000-150500   00     114.50 1016.4    120.38     1.00    -9999
ROME       031028 300  150500-151000   00     113.47 1016.3    119.21     0.00    -9999
ROME       031028 300  151000-151500   00     114.47 1016.3    120.24     0.90    -9999
ROME       031028 300  151500-152000   00     114.87 1016.3    120.69     1.30    -9999
ROME       031028 300  152000-152500   00     112.87 1016.3    118.54    -0.60    -9999
ROME       031028 300  152500-153000   00     112.87 1016.2    118.46    -0.60    -9999
ROME       031028 300  153000-153500   00     113.00 1016.1    118.56    -0.50    -9999
ROME       031028 300  153500-154000   00     112.97 1016.0    118.45    -0.60    -9999
