POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.1      ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   IGY     NEUTRON MONITOR
POTCHEFSTR STANDARD PRESSURE    867.69  MB     COEFFICIENT   -0.74     % / MB
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     49.72      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    3600     
POTCHEFSTR SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
POTCHEFSTR 000715 3600 060000-070000   00    -999.00  863.3     50.28     1.10    -9999
POTCHEFSTR 000715 3600 070000-080000   00    -999.00  863.7     50.47     1.50    -9999
POTCHEFSTR 000715 3600 080000-090000   00    -999.00  864.0     50.39     1.30    -9999
POTCHEFSTR 000715 3600 090000-100000   00    -999.00  863.7     50.33     1.20    -9999
POTCHEFSTR 000715 3600 100000-110000   00    -999.00  863.2     50.25     1.10    -9999
POTCHEFSTR 000715 3600 110000-120000   00    -999.00  862.8     50.72     2.00    -9999
POTCHEFSTR 000715 3600 120000-130000   00    -999.00  863.1     50.28     1.10    -9999
POTCHEFSTR 000715 3600 130000-140000   00    -999.00  863.5     50.61     1.80    -9999
POTCHEFSTR 000715 3600 140000-150000   00    -999.00  864.0     50.14     0.80    -9999
POTCHEFSTR 000715 3600 150000-160000   00    -999.00  864.8     49.50    -0.40    -9999
POTCHEFSTR 000715 3600 160000-170000   00    -999.00  866.0     50.36     1.30    -9999
POTCHEFSTR 000715 3600 170000-180000   00    -999.00  866.8     50.06     0.70    -9999
POTCHEFSTR 000715 3600 180000-190000   00    -999.00  867.6     50.06     0.70    -9999
POTCHEFSTR 000715 3600 190000-200000   00    -999.00  868.5     49.94     0.40    -9999
POTCHEFSTR 000715 3600 200000-210000   00    -999.00  869.1     49.58    -0.30    -9999
POTCHEFSTR 000715 3600 210000-220000   00    -999.00  869.7     50.11     0.80    -9999
POTCHEFSTR 000715 3600 220000-230000   00    -999.00  870.3     48.06    -3.30    -9999
POTCHEFSTR 000715 3600 230000-240000   00    -999.00  870.8     48.42    -2.60    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2022-05-13 14:50:50 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE59/C059PTFM.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
