JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    138.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    60          3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   010414 3600 000000-010000   30     129.76  484.8    133.35    -3.50    -9999
JUNGFRAU   010414 3600 010000-020000   30     130.82  484.3    133.80    -3.10    -9999
JUNGFRAU   010414 3600 020000-030000   30     130.99  484.0    133.48    -3.40    -9999
JUNGFRAU   010414 3600 030000-040000   30     131.60  483.7    133.80    -3.10    -9999
JUNGFRAU   010414 3600 040000-050000   30     132.23  483.7    134.38    -2.70    -9999
JUNGFRAU   010414 3600 050000-060000   30     133.12  483.6    135.23    -2.10    -9999
JUNGFRAU   010414 3600 060000-070000   30     133.39  483.8    135.74    -1.70    -9999
JUNGFRAU   010414 3600 070000-080000   30     132.58  484.1    135.26    -2.10    -9999
JUNGFRAU   010414 3600 080000-090000   30     132.34  484.5    135.56    -1.90    -9999
JUNGFRAU   010414 3600 090000-100000   30     132.43  484.8    136.02    -1.50    -9999
JUNGFRAU   010414 3600 100000-110000   30     131.82  485.1    135.77    -1.70    -9999
JUNGFRAU   010414 3600 110000-120000   30     131.35  485.4    135.70    -1.80    -9999
JUNGFRAU   010414 3600 120000-130000   30     129.80  485.7    134.51    -2.60    -9999
JUNGFRAU   010414 3600 130000-140000   30     130.24  486.1    135.42    -2.00    -9999
JUNGFRAU   010414 3600 140000-150000   30     130.54  486.2    135.94    -1.60    -9999
JUNGFRAU   010414 3600 150000-160000   30     130.36  486.3    135.90    -1.60    -9999
JUNGFRAU   010414 3600 160000-170000   30     130.13  486.5    135.89    -1.60    -9999
JUNGFRAU   010414 3600 170000-180000   30     129.10  486.6    134.94    -2.30    -9999
JUNGFRAU   010414 3600 180000-190000   30     128.37  486.8    134.42    -2.70    -9999
JUNGFRAU   010414 3600 190000-200000   30     127.34  487.0    133.66    -3.20    -9999
JUNGFRAU   010414 3600 200000-210000   30     126.84  487.2    133.34    -3.50    -9999
JUNGFRAU   010414 3600 210000-220000   30     127.39  487.1    133.78    -3.20    -9999
JUNGFRAU   010414 3600 220000-230000   30     128.08  486.7    134.02    -3.00    -9999
JUNGFRAU   010414 3600 230000-240000   30     128.40  486.4    133.88    -3.10    -9999
JUNGFRAU   010415 3600 000000-010000   30     128.74  486.4    134.23    -2.80    -9999
JUNGFRAU   010415 3600 010000-020000   30     128.55  486.2    133.89    -3.10    -9999
JUNGFRAU   010415 3600 020000-030000   30     129.03  485.9    133.95    -3.00    -9999
JUNGFRAU   010415 3600 030000-040000   30     129.97  485.6    134.57    -2.60    -9999
JUNGFRAU   010415 3600 040000-050000   30     130.74  485.6    135.38    -2.00    -9999
JUNGFRAU   010415 3600 050000-060000   30     130.88  485.6    135.53    -1.90    -9999
JUNGFRAU   010415 3600 060000-070000   30     130.82  485.6    135.47    -1.90    -9999
JUNGFRAU   010415 3600 070000-080000   30     131.73  485.6    136.33    -1.30    -9999
JUNGFRAU   010415 3600 080000-090000   30     132.46  485.4    136.89    -0.90    -9999
JUNGFRAU   010415 60   090000-090100   30     130.78  485.3    134.98    -2.30    -9999
JUNGFRAU   010415 60   090100-090200   30     127.83  485.5    132.20    -4.30    -9999
JUNGFRAU   010415 60   090200-090300   30     131.65  485.5    136.15    -1.40    -9999
JUNGFRAU   010415 60   090300-090400   30     134.03  485.6    138.73     0.40    -9999
JUNGFRAU   010415 60   090400-090500   30     132.15  485.7    136.93    -0.90    -9999
JUNGFRAU   010415 60   090500-090600   30     133.32  485.4    137.75    -0.30    -9999
JUNGFRAU   010415 60   090600-090700   30     131.10  485.6    135.70    -1.80    -9999
JUNGFRAU   010415 60   090700-090800   30     132.55  485.2    136.68    -1.10    -9999
JUNGFRAU   010415 60   090800-090900   30     131.05  485.6    135.67    -1.80    -9999
JUNGFRAU   010415 60   090900-091000   30     133.20  485.1    137.23    -0.70    -9999
JUNGFRAU   010415 60   091000-091100   30     132.02  485.1    136.02    -1.50    -9999
