IRKUTSK    LATITUDE    52.1      LONGITUDE     104       ALTITUDE    433 M
IRKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     
IRKUTSK    STANDARD PRESSURE    963.9   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    176.75      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK    031027 3600 000000-010000   00     189.05  956.1    178.83     1.20    -9999
IRKUTSK    031027 3600 010000-020000   00     190.95  955.6    179.98     1.80    -9999
IRKUTSK    031027 3600 020000-030000   00     192.48  955.2    180.90     2.30    -9999
IRKUTSK    031027 3600 030000-040000   00     191.36  954.6    179.08     1.30    -9999
IRKUTSK    031027 3600 040000-050000   00     191.31  954.4    178.78     1.10    -9999
IRKUTSK    031027 3600 050000-060000   00     193.06  953.9    179.77     1.70    -9999
IRKUTSK    031027 3600 060000-070000   00     195.18  953.1    180.71     2.20    -9999
IRKUTSK    031027 3600 070000-080000   00     196.56  952.4    181.08     2.40    -9999
IRKUTSK    031027 3600 080000-090000   00     197.36  952.1    181.44     2.70    -9999
IRKUTSK    031027 3600 090000-100000   00     197.80  951.5    181.07     2.40    -9999
IRKUTSK    031027 3600 100000-110000   00     197.92  951.3    180.91     2.40    -9999
IRKUTSK    031027 3600 110000-120000   00     197.47  951.2    180.38     2.10    -9999
IRKUTSK    031027 3600 120000-130000   00     198.73  951.2    181.52     2.70    -9999
IRKUTSK    031027 3600 130000-140000   00     198.49  951.3    181.44     2.70    -9999
IRKUTSK    031027 3600 140000-150000   00     196.36  951.5    179.74     1.70    -9999
IRKUTSK    031027 3600 150000-160000   00     195.50  951.8    179.34     1.50    -9999
IRKUTSK    031027 3600 160000-170000   00     195.09  952.0    179.22     1.40    -9999
IRKUTSK    031027 3600 170000-180000   00     194.91  952.2    179.31     1.40    -9999
IRKUTSK    031027 3600 180000-190000   00     194.26  952.5    179.10     1.30    -9999
IRKUTSK    031027 3600 190000-200000   00     194.34  952.6    179.30     1.40    -9999
IRKUTSK    031027 3600 200000-210000   00     193.30  953.2    179.10     1.30    -9999
IRKUTSK    031027 3600 210000-220000   00     190.23  953.0    176.00    -0.40    -9999
IRKUTSK    031027 3600 220000-230000   00     188.36  952.7    173.91    -1.60    -9999
IRKUTSK    031027 3600 230000-240000   00     187.75  952.9    173.59    -1.80    -9999
IRKUTSK    031028 3600 000000-010000   00     188.31  952.7    173.86    -1.60    -9999
IRKUTSK    031028 3600 010000-020000   00     192.94  952.3    177.63     0.50    -9999
IRKUTSK    031028 3600 020000-030000   00     195.22  953.1    180.75     2.30    -9999
IRKUTSK    031028 3600 030000-040000   00     194.31  954.1    181.20     2.50    -9999
IRKUTSK    031028 3600 040000-050000   00     192.64  955.5    181.44     2.70    -9999
IRKUTSK    031028 3600 050000-060000   00     189.79  956.8    180.43     2.10    -9999
IRKUTSK    031028 3600 060000-070000   00     186.23  958.7    179.46     1.50    -9999
IRKUTSK    031028 3600 070000-080000   00     183.05  960.6    178.79     1.20    -9999
IRKUTSK    031028 3600 080000-090000   00     181.60  961.8    178.90     1.20    -9999
IRKUTSK    031028 300  090000-090500   00     177.07  962.8    175.73    -0.60    -9999
IRKUTSK    031028 300  090500-091000   00     181.16  962.9    179.91     1.80    -9999
IRKUTSK    031028 300  091000-091500   00     179.09  963.0    177.97     0.70    -9999
IRKUTSK    031028 300  091500-092000   00     179.69  963.1    178.69     1.10    -9999
IRKUTSK    031028 300  092000-092500   00     177.80  963.2    176.92     0.10    -9999
IRKUTSK    031028 300  092500-093000   00     178.78  963.3    178.01     0.70    -9999
IRKUTSK    031028 300  093000-093500   00     178.96  963.4    178.30     0.90    -9999
IRKUTSK    031028 300  093500-094000   00     180.42  963.5    179.88     1.80    -9999
IRKUTSK    031028 300  094000-094500   00     177.55  963.6    177.14     0.20    -9999
IRKUTSK    031028 300  094500-095000   00     178.36  963.7    178.06     0.70    -9999
IRKUTSK    031028 300  095000-095500   00     178.41  963.8    178.22     0.80    -9999
IRKUTSK    031028 300  095500-100000   00     177.33  963.8    177.27     0.30    -9999
IRKUTSK    031028 300  100000-100500   00     176.54  963.9    176.58    -0.10    -9999
IRKUTSK    031028 300  100500-101000   00     174.07  964.0    174.22    -1.40    -9999
IRKUTSK    031028 300  101000-101500   00     175.93  964.1    176.18    -0.30    -9999
IRKUTSK    031028 300  101500-102000   00     179.56  964.2    179.92     1.80    -9999
