IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    723.2   mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    335.36      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   031028 300  114000-114500   00     359.50  723.7    360.72     7.60     7.46
IRKUTSK3   031028 300  114500-115000   00     362.14  723.7    363.40     8.40     8.25
IRKUTSK3   031028 300  115000-115500   00     360.44  723.7    361.71     7.90     7.74
IRKUTSK3   031028 300  115500-120000   00     360.49  723.7    361.78     7.90     7.72
IRKUTSK3   031028 300  120000-120500   00     357.45  723.7    358.76     7.00     6.81
IRKUTSK3   031028 300  120500-121000   00     352.48  723.7    353.81     5.50     5.29
IRKUTSK3   031028 300  121000-121500   00     349.09  723.7    350.45     4.50     4.28
IRKUTSK3   031028 300  121500-122000   00     348.41  723.8    349.81     4.30     4.07
IRKUTSK3   031028 300  122000-122500   00     346.56  723.8    348.00     3.80     3.55
IRKUTSK3   031028 300  122500-123000   00     345.55  723.8    347.02     3.50     3.24
IRKUTSK3   031028 300  123000-123500   00     346.54  723.8    348.06     3.80     3.52
IRKUTSK3   031028 300  123500-124000   00     345.81  723.8    347.37     3.60     3.31
IRKUTSK3   031028 300  124000-124500   00     346.15  723.8    347.75     3.70     3.40
IRKUTSK3   031028 300  124500-125000   00     344.44  723.9    346.07     3.20     2.88
IRKUTSK3   031028 300  125000-125500   00     346.14  723.9    347.82     3.70     3.37
IRKUTSK3   031028 300  125500-130000   00     344.18  723.9    345.90     3.10     2.76
IRKUTSK3   031028 300  130000-130500   00     344.47  723.9    346.22     3.20     2.84
IRKUTSK3   031028 300  130500-131000   00     346.60  723.9    348.35     3.90     3.53
IRKUTSK3   031028 300  131000-131500   00     347.11  723.9    348.86     4.00     3.61
IRKUTSK3   031028 300  131500-132000   00     343.87  723.9    345.60     3.10     2.70
IRKUTSK3   031028 300  132000-132500   00     344.38  723.9    346.12     3.20     2.79
IRKUTSK3   031028 300  132500-133000   00     342.69  723.9    344.43     2.70     2.27
IRKUTSK3   031028 300  133000-133500   00     342.53  723.9    344.26     2.70     2.26
IRKUTSK3   031028 300  133500-134000   00     341.17  723.9    342.89     2.20     1.74
IRKUTSK3   031028 300  134000-134500   00     339.58  723.9    341.30     1.80     1.33
IRKUTSK3   031028 300  134500-135000   00     341.99  723.9    343.71     2.50     2.02
IRKUTSK3   031028 300  135000-135500   00     340.81  723.9    342.53     2.10     1.60
IRKUTSK3   031028 300  135500-140000   00     341.45  723.9    343.18     2.30     1.79
IRKUTSK3   031028 300  140000-140500   00     339.96  723.9    341.69     1.90     1.37
IRKUTSK3   031028 300  140500-141000   00     341.54  723.9    343.29     2.40     1.86
IRKUTSK3   031028 300  141000-141500   00     344.96  723.9    346.76     3.40     2.85
IRKUTSK3   031028 300  141500-142000   00     342.49  723.9    344.29     2.70     2.13
IRKUTSK3   031028 300  142000-142500   00     343.85  723.9    345.68     3.10     2.52
IRKUTSK3   031028 300  142500-143000   00     343.48  723.9    345.33     3.00     2.40
IRKUTSK3   031028 300  143000-143500   00     341.95  724.0    343.80     2.50     1.89
IRKUTSK3   031028 300  143500-144000   00     340.88  724.0    342.75     2.20     1.58
IRKUTSK3   031028 300  144000-144500   00     341.80  724.0    343.70     2.50     1.86
IRKUTSK3   031028 300  144500-145000   00     342.31  724.0    344.23     2.60     1.95
IRKUTSK3   031028 300  145000-145500   00     341.96  724.0    343.90     2.50     1.83
IRKUTSK3   031028 300  145500-150000   00     343.39  724.0    345.36     3.00     2.32
IRKUTSK3   031028 300  150000-150500   00     339.58  724.0    341.52     1.80     1.11
IRKUTSK3   031028 300  150500-151000   00     339.32  724.0    341.20     1.70     0.99
IRKUTSK3   031028 300  151000-151500   00     339.47  723.9    341.28     1.80     1.08
IRKUTSK3   031028 300  151500-152000   00     339.94  723.9    341.70     1.90     1.16
IRKUTSK3   031028 300  152000-152500   00     338.23  723.9    339.92     1.40     0.65
IRKUTSK3   031028 300  152500-153000   00     339.73  723.9    341.36     1.80     1.04
IRKUTSK3   031028 300  153000-153500   00     339.01  723.8    340.58     1.60     0.82
IRKUTSK3   031028 300  153500-154000   00     340.98  723.8    342.49     2.10     1.31
IRKUTSK3   031028 300  154000-154500   00     341.92  723.8    343.38     2.40     1.60
IRKUTSK3   031028 300  154500-155000   00     339.65  723.8    341.03     1.70     0.88
IRKUTSK3   031028 300  155000-155500   00     340.83  723.7    342.16     2.00     1.17
IRKUTSK3   031028 300  155500-160000   00     337.76  723.7    339.01     1.10     0.25
IRKUTSK3   031028 300  160000-160500   00     337.72  723.7    338.92     1.10     0.24
IRKUTSK3   031028 300  160500-161000   00     338.74  723.7    339.91     1.40     0.53
IRKUTSK3   031028 300  161000-161500   00     341.92  723.7    343.06     2.30     1.41
IRKUTSK3   031028 300  161500-162000   00     340.65  723.6    341.74     1.90     1.00
IRKUTSK3   031028 300  162000-162500   00     338.45  723.6    339.49     1.20     0.28
IRKUTSK3   031028 300  162500-163000   00     344.36  723.6    345.37     3.00     2.07
IRKUTSK3   031028 300  163000-163500   00     342.08  723.6    343.05     2.30     1.36
IRKUTSK3   031028 300  163500-164000   00     340.02  723.6    340.95     1.70     0.74
IRKUTSK3   031028 300  164000-164500   00     339.09  723.6    339.96     1.40     0.43
IRKUTSK3   031028 300  164500-165000   00     340.84  723.5    341.68     1.90     0.91
IRKUTSK3   031028 300  165000-165500   00     341.34  723.5    342.14     2.00     1.00
IRKUTSK3   031028 300  165500-170000   00     338.52  723.5    339.28     1.20     0.19
IRKUTSK3   031028 300  170000-170500   00     341.36  723.5    342.06     2.00     0.97
IRKUTSK3   031028 300  170500-171000   00     342.16  723.4    342.76     2.20     1.16
IRKUTSK3   031028 300  171000-171500   00     340.28  723.4    340.77     1.60     0.54
IRKUTSK3   031028 300  171500-172000   00     341.95  723.4    342.34     2.10     1.03
IRKUTSK3   031028 300  172000-172500   00     340.64  723.3    340.93     1.70     0.62
IRKUTSK3   031028 300  172500-173000   00     344.02  723.3    344.21     2.60     1.50
IRKUTSK3   031028 300  173000-173500   00     340.32  723.2    340.40     1.50     0.39
IRKUTSK3   031028 300  173500-174000   00     340.43  723.2    340.41     1.50     0.37
IRKUTSK3   031028 300  174000-174500   00     344.21  723.2    344.09     2.60     1.46
IRKUTSK3   031028 300  174500-175000   00     344.36  723.1    344.13     2.60     1.45
IRKUTSK3   031028 300  175000-175500   00     342.24  723.1    341.91     2.00     0.83
IRKUTSK3   031028 300  175500-180000   00     340.73  723.0    340.30     1.50     0.32
IRKUTSK3   031028 300  180000-180500   00     343.09  723.0    342.55     2.10     0.91
IRKUTSK3   031028 300  180500-181000   00     338.81  722.9    338.18     0.80    -0.41
IRKUTSK3   031028 300  181000-181500   00     343.18  722.9    342.44     2.10     0.88
IRKUTSK3   031028 300  181500-182000   00     342.51  722.9    341.67     1.90     0.66
IRKUTSK3   031028 300  182000-182500   00     343.55  722.8    342.60     2.20     0.95
IRKUTSK3   031028 300  182500-183000   00     343.17  722.8    342.12     2.00     0.74
IRKUTSK3   031028 300  183000-183500   00     342.07  722.7    340.93     1.70     0.42
IRKUTSK3   031028 300  183500-184000   00     342.65  722.7    341.39     1.80     0.51
IRKUTSK3   031028 300  184000-184500   00     343.95  722.7    342.59     2.20     0.89
IRKUTSK3   031028 300  184500-185000   00     340.89  722.6    339.44     1.20    -0.12
