DOMB       LATITUDE    75.1      LONGITUDE     -123.38   ALTITUDE    3233 M
DOMB       INSTRUMENT   BARE  NEUTRON MONITOR
DOMB       STANDARD PRESSURE    650     MB     COEFFICIENT   -0.754    % / MB
DOMB       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
DOMB       PRE-INCREASE AVERAGE COUNTING RATE      4.16      COUNTS PER SECOND
DOMB       TIME INTERVALS    300         3600     
DOMB       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
DOMB       211028 300  151000-151500   00       6.01  624.1      4.26     2.34     2.28
DOMB       211028 300  151500-152000   00       5.69  624.1      4.04    -2.97    -3.03
DOMB       211028 300  152000-152500   00       6.08  624.1      4.31     3.57     3.50
DOMB       211028 300  152500-153000   00       5.71  624.2      4.05    -2.61    -2.68
DOMB       211028 300  153000-153500   00       5.94  624.2      4.21     1.26     1.19
DOMB       211028 300  153500-154000   00       5.97  624.2      4.23     1.74     1.66
DOMB       211028 300  154000-154500   00       6.03  624.2      4.28     2.89     2.81
DOMB       211028 300  154500-155000   00       5.65  624.2      4.01    -3.65    -3.74
DOMB       211028 300  155000-155500   00       5.85  624.2      4.15    -0.16    -0.25
DOMB       211028 300  155500-160000   00       6.02  624.3      4.27     2.65     2.56
DOMB       211028 300  160000-160500   00       6.10  624.3      4.33     4.02     3.92
DOMB       211028 300  160500-161000   00       5.96  624.3      4.23     1.64     1.54
DOMB       211028 300  161000-161500   00       6.13  624.3      4.35     4.70     4.59
DOMB       211028 300  161500-162000   00       6.13  624.3      4.35     4.58     4.47
DOMB       211028 300  162000-162500   00       6.04  624.4      4.29     3.16     3.05
DOMB       211028 300  162500-163000   00       6.30  624.4      4.47     7.61     7.49
DOMB       211028 300  163000-163500   00       5.91  624.5      4.20     0.97     0.85
DOMB       211028 300  163500-164000   00       6.20  624.5      4.41     6.02     5.89
DOMB       211028 300  164000-164500   00       6.36  624.6      4.52     8.71     8.58
DOMB       211028 300  164500-165000   00       6.19  624.6      4.40     5.90     5.76
DOMB       211028 300  165000-165500   00       6.23  624.7      4.44     6.67     6.53
DOMB       211028 300  165500-170000   00       6.02  624.7      4.29     3.11     2.97
DOMB       211028 300  170000-170500   00       6.18  624.7      4.40     5.85     5.70
DOMB       211028 300  170500-171000   00       6.09  624.8      4.34     4.29     4.14
DOMB       211028 300  171000-171500   00       6.27  624.8      4.47     7.39     7.23
DOMB       211028 300  171500-172000   00       6.27  624.8      4.47     7.49     7.33
DOMB       211028 300  172000-172500   00       6.11  624.8      4.36     4.75     4.59
DOMB       211028 300  172500-173000   00       6.39  624.9      4.56     9.56     9.39
DOMB       211028 300  173000-173500   00       6.22  624.9      4.43     6.57     6.40
DOMB       211028 300  173500-174000   00       6.34  625.0      4.53     8.81     8.63
DOMB       211028 300  174000-174500   00       6.22  625.0      4.44     6.67     6.49
DOMB       211028 300  174500-175000   00       6.18  625.1      4.41     6.09     5.91
DOMB       211028 300  175000-175500   00       6.23  625.1      4.45     6.89     6.70
DOMB       211028 300  175500-180000   00       6.02  625.1      4.30     3.30     3.11
DOMB       211028 300  180000-180500   00       6.31  625.1      4.50     8.33     8.13
DOMB       211028 300  180500-181000   00       6.27  625.1      4.48     7.73     7.53
DOMB       211028 300  181000-181500   00       6.35  625.2      4.54     9.07     8.87
DOMB       211028 300  181500-182000   00       6.65  625.2      4.75    14.24    14.03
DOMB       211028 300  182000-182500   00       6.03  625.2      4.31     3.54     3.33
DOMB       211028 300  182500-183000   00       6.09  625.3      4.35     4.63     4.41
DOMB       211028 300  183000-183500   00       6.09  625.3      4.35     4.63     4.41
DOMB       211028 300  183500-184000   00       6.13  625.3      4.38     5.40     5.17
