NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1013.3  mb     COEFFICIENT   -0.72     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    212.11      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       120516 3600 000000-010000   00     213.05 1011.8    210.80    -0.60    -9999
NAIN       120516 3600 010000-020000   00     213.53 1011.3    210.37    -0.80    -9999
NAIN       120516 3600 020000-030000   00     213.97 1011.3    210.88    -0.60    -9999
NAIN       120516 3600 030000-040000   00     212.78 1012.2    211.17    -0.40    -9999
NAIN       120516 3600 040000-050000   00     215.06 1010.7    210.95    -0.50    -9999
NAIN       120516 3600 050000-060000   00     216.46 1010.6    212.18     0.00    -9999
NAIN       120516 3600 060000-070000   00     216.29 1010.4    211.74    -0.20    -9999
NAIN       120516 3600 070000-080000   00     216.54 1010.2    211.61    -0.20    -9999
NAIN       120516 3600 080000-090000   00     217.83 1009.7    212.18     0.00    -9999
NAIN       120516 3600 090000-100000   00     218.69 1009.4    212.52     0.20    -9999
NAIN       120516 3600 100000-110000   00     219.44 1009.4    213.15     0.50    -9999
NAIN       120516 3600 110000-120000   00     219.16 1009.4    212.96     0.40    -9999
NAIN       120516 3600 120000-130000   00     220.69 1008.6    213.12     0.50    -9999
NAIN       120516 3600 130000-140000   00     223.42 1007.3    213.65     0.70    -9999
NAIN       120516 3600 140000-150000   00     222.98 1007.5    213.62     0.70    -9999
NAIN       120516 3600 150000-160000   00     223.32 1007.3    213.54     0.70    -9999
NAIN       120516 3600 160000-170000   00     224.35 1006.6    213.37     0.60    -9999
NAIN       120516 3600 170000-180000   00     225.83 1006.0    213.91     0.80    -9999
NAIN       120516 3600 180000-190000   00     225.42 1005.6    212.79     0.30    -9999
NAIN       120516 3600 190000-200000   00     224.51 1005.2    211.39    -0.30    -9999
NAIN       120516 3600 200000-210000   00     224.65 1004.9    211.01    -0.50    -9999
NAIN       120516 300  210000-210500   00     225.21 1004.7    211.28    -0.40    -9999
NAIN       120516 300  210500-211000   00     224.88 1004.8    211.04    -0.50    -9999
NAIN       120516 300  211000-211500   00     224.80 1004.8    210.98    -0.50    -9999
NAIN       120516 300  211500-212000   00     226.26 1004.8    212.34     0.10    -9999
NAIN       120516 300  212000-212500   00     225.62 1004.8    211.71    -0.20    -9999
NAIN       120516 300  212500-213000   00     226.81 1004.8    212.84     0.30    -9999
NAIN       120516 300  213000-213500   00     223.75 1004.8    209.93    -1.00    -9999
NAIN       120516 300  213500-214000   00     226.48 1004.7    212.39     0.10    -9999
NAIN       120516 300  214000-214500   00     226.52 1004.7    212.39     0.10    -9999
NAIN       120516 300  214500-215000   00     224.87 1004.6    210.71    -0.70    -9999
NAIN       120516 300  215000-215500   00     225.92 1004.5    211.63    -0.20    -9999
NAIN       120516 300  215500-220000   00     226.11 1004.6    211.95    -0.10    -9999
NAIN       120516 300  220000-220500   00     224.25 1004.5    210.08    -1.00    -9999
NAIN       120516 300  220500-221000   00     226.45 1004.4    211.93    -0.10    -9999
NAIN       120516 300  221000-221500   00     223.63 1004.3    209.15    -1.40    -9999
NAIN       120516 300  221500-222000   00     228.14 1004.2    213.16     0.50    -9999
NAIN       120516 300  222000-222500   00     227.66 1004.2    212.70     0.30    -9999
NAIN       120516 300  222500-223000   00     225.15 1004.2    210.38    -0.80    -9999
NAIN       120516 300  223000-223500   00     226.16 1004.2    211.28    -0.40    -9999
NAIN       120516 300  223500-224000   00     227.03 1004.2    212.10     0.00    -9999
NAIN       120516 300  224000-224500   00     227.46 1004.1    212.44     0.20    -9999
NAIN       120516 300  224500-225000   00     227.53 1004.1    212.49     0.20    -9999
NAIN       120516 300  225000-225500   00     226.88 1004.1    211.83    -0.10    -9999
NAIN       120516 300  225500-230000   00     225.92 1004.1    210.96    -0.50    -9999
NAIN       120516 300  230000-230500   00     227.93 1004.2    212.97     0.40    -9999
NAIN       120516 300  230500-231000   00     227.35 1004.2    212.48     0.20    -9999
NAIN       120516 300  231000-231500   00     225.15 1004.2    210.43    -0.80    -9999
NAIN       120516 300  231500-232000   00     228.78 1004.2    213.83     0.80    -9999
NAIN       120516 300  232000-232500   00     226.69 1004.2    211.85    -0.10    -9999
NAIN       120516 300  232500-233000   00     226.88 1004.2    211.95    -0.10    -9999
NAIN       120516 300  233000-233500   00     227.53 1004.2    212.61     0.20    -9999
NAIN       120516 300  233500-234000   00     227.86 1004.3    213.00     0.40    -9999
NAIN       120516 300  234000-234500   00     224.21 1004.4    209.79    -1.10    -9999
NAIN       120516 300  234500-235000   00     226.18 1004.5    211.77    -0.20    -9999
NAIN       120516 300  235000-235500   00     225.67 1004.6    211.52    -0.30    -9999
NAIN       120516 300  235500-240000   00     226.18 1004.7    212.10     0.00    -9999
NAIN       120517 300  000000-000500   00     227.73 1004.7    213.65     0.70    -9999
NAIN       120517 300  000500-001000   00     225.15 1004.8    211.24    -0.40    -9999
NAIN       120517 300  001000-001500   00     227.71 1004.8    213.67     0.70    -9999
NAIN       120517 300  001500-002000   00     226.33 1004.8    212.36     0.10    -9999
NAIN       120517 300  002000-002500   00     226.04 1004.8    212.16     0.00    -9999
NAIN       120517 300  002500-003000   00     225.98 1004.8    212.15     0.00    -9999
NAIN       120517 300  003000-003500   00     226.47 1004.8    212.55     0.20    -9999
NAIN       120517 300  003500-004000   00     226.46 1004.7    212.44     0.20    -9999
NAIN       120517 300  004000-004500   00     224.85 1004.7    210.90    -0.60    -9999
NAIN       120517 300  004500-005000   00     226.23 1004.7    212.15     0.00    -9999
NAIN       120517 300  005000-005500   00     226.77 1004.7    212.63     0.20    -9999
NAIN       120517 300  005500-010000   00     224.45 1004.7    210.47    -0.80    -9999
NAIN       120517 300  010000-010500   00     227.16 1004.7    213.01     0.40     0.29
NAIN       120517 300  010500-011000   00     226.97 1004.7    212.89     0.40     0.28
NAIN       120517 300  011000-011500   00     225.61 1004.8    211.74    -0.20    -0.33
NAIN       120517 300  011500-012000   00     226.78 1004.7    212.75     0.30     0.16
NAIN       120517 300  012000-012500   00     226.53 1004.7    212.38     0.10    -0.05
NAIN       120517 300  012500-013000   00     226.37 1004.7    212.23     0.10    -0.06
NAIN       120517 300  013000-013500   00     225.72 1004.6    211.60    -0.20    -0.37
NAIN       120517 300  013500-014000   00     225.40 1004.6    211.31    -0.40    -0.58
NAIN       120517 300  014000-014500   00     226.58 1004.6    212.36     0.10    -0.09
NAIN       120517 300  014500-015000   00     225.58 1004.6    211.45    -0.30    -0.50
NAIN       120517 300  015000-015500   00     227.54 1004.6    213.22     0.50     0.29
NAIN       120517 300  015500-020000   00     228.80 1004.5    214.34     1.10     0.88
NAIN       120517 300  020000-020500   00     229.51 1004.5    215.00     1.40     1.17
NAIN       120517 300  020500-021000   00     229.11 1004.5    214.55     1.20     0.96
NAIN       120517 300  021000-021500   00     231.15 1004.4    216.35     2.00     1.75
NAIN       120517 300  021500-022000   00     228.70 1004.5    214.11     0.90     0.65
NAIN       120517 300  022000-022500   00     230.03 1004.4    215.32     1.50     1.24
NAIN       120517 300  022500-023000   00     227.84 1004.5    213.30     0.60     0.33
NAIN       120517 300  023000-023500   00     231.29 1004.5    216.56     2.10     1.82
NAIN       120517 300  023500-024000   00     231.92 1004.4    217.06     2.30     2.01
NAIN       120517 300  024000-024500   00     232.60 1004.4    217.62     2.60     2.30
NAIN       120517 300  024500-025000   00     231.01 1004.3    215.98     1.80     1.49
NAIN       120517 300  025000-025500   00     230.46 1004.2    215.39     1.50     1.18
NAIN       120517 300  025500-030000   00     230.96 1004.2    215.86     1.80     1.48
NAIN       120517 300  030000-030500   00     231.71 1004.2    216.49     2.10     1.77
NAIN       120517 300  030500-031000   00     231.57 1004.1    216.29     2.00     1.66
NAIN       120517 300  031000-031500   00     232.36 1004.2    217.05     2.30     1.95
NAIN       120517 300  031500-032000   00     231.16 1004.1    215.88     1.80     1.44
NAIN       120517 300  032000-032500   00     229.40 1004.1    214.20     1.00     0.64
NAIN       120517 300  032500-033000   00     232.97 1004.1    217.51     2.50     2.13
NAIN       120517 300  033000-033500   00     232.39 1004.1    216.99     2.30     1.92
NAIN       120517 300  033500-034000   00     235.88 1004.1    220.22     3.80     3.41
NAIN       120517 300  034000-034500   00     233.65 1004.1    218.22     2.90     2.50
NAIN       120517 300  034500-035000   00     232.64 1004.1    217.20     2.40     2.00
NAIN       120517 300  035000-035500   00     231.42 1004.1    215.99     1.80     1.39
NAIN       120517 300  035500-040000   00     232.11 1003.9    216.43     2.00     1.58
NAIN       120517 300  040000-040500   00     232.17 1003.9    216.40     2.00     1.57
NAIN       120517 300  040500-041000   00     233.27 1003.8    217.35     2.50     2.07
NAIN       120517 300  041000-041500   00     233.22 1003.8    217.32     2.50     2.06
NAIN       120517 300  041500-042000   00     231.48 1003.9    215.77     1.70     1.25
NAIN       120517 300  042000-042500   00     229.43 1003.9    213.86     0.80     0.35
NAIN       120517 300  042500-043000   00     232.27 1003.9    216.50     2.10     1.64
NAIN       120517 300  043000-043500   00     230.48 1003.9    214.82     1.30     0.83
NAIN       120517 300  043500-044000   00     230.39 1003.9    214.83     1.30     0.82
NAIN       120517 300  044000-044500   00     231.13 1003.9    215.46     1.60     1.12
NAIN       120517 300  044500-045000   00     229.14 1003.8    213.53     0.70     0.21
NAIN       120517 300  045000-045500   00     227.30 1003.8    211.77    -0.20    -0.70
NAIN       120517 300  045500-050000   00     227.72 1003.8    212.15     0.00    -0.50
NAIN       120517 300  050000-050500   00     228.06 1003.8    212.40     0.10    -0.41
NAIN       120517 300  050500-051000   00     229.28 1003.7    213.41     0.60     0.08
NAIN       120517 300  051000-051500   00     227.84 1003.6    211.98    -0.10    -0.62
NAIN       120517 300  051500-052000   00     228.33 1003.6    212.40     0.10    -0.43
NAIN       120517 300  052000-052500   00     230.61 1003.7    214.61     1.20     0.67
NAIN       120517 300  052500-053000   00     230.26 1003.7    214.33     1.00     0.46
NAIN       120517 300  053000-053500   00     230.46 1003.7    214.46     1.10     0.55
NAIN       120517 300  053500-054000   00     229.38 1003.6    213.43     0.60     0.05
NAIN       120517 300  054000-054500   00     231.44 1003.7    215.38     1.50     0.94
NAIN       120517 300  054500-055000   00     230.73 1003.7    214.73     1.20     0.64
NAIN       120517 300  055000-055500   00     230.45 1003.7    214.45     1.10     0.53
NAIN       120517 300  055500-060000   00     226.42 1003.7    210.76    -0.60    -1.18
NAIN       120517 300  060000-060500   00     227.54 1003.7    211.88    -0.10    -0.68
NAIN       120517 300  060500-061000   00     229.22 1003.8    213.54     0.70     0.11
NAIN       120517 300  061000-061500   00     229.21 1003.9    213.61     0.70     0.11
NAIN       120517 300  061500-062000   00     231.57 1003.8    215.78     1.70     1.10
NAIN       120517 300  062000-062500   00     230.36 1003.9    214.76     1.20     0.60
NAIN       120517 300  062500-063000   00     229.49 1004.0    214.09     0.90     0.29
