OULU       LATITUDE    65.02     LONGITUDE     25.5      ALTITUDE    0 M
OULU       INSTRUMENT   9NM64    NEUTRON MONITOR     	
OULU       STANDARD PRESSURE    996.5   mb     COEFFICIENT   -0.74     % / mb
OULU       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
OULU       PRE-INCREASE AVERAGE COUNTING RATE     94.63      COUNTS PER SECOND
OULU       TIME INTERVALS    300         3600     
OULU       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OULU       010415 300  122500-123000   00      95.26  996.6     95.32     0.70    -9999
OULU       010415 300  123000-123500   00      95.75  996.5     95.75     1.20    -9999
OULU       010415 300  123500-124000   00      93.66  996.4     93.59    -1.10    -9999
OULU       010415 300  124000-124500   00      93.51  996.3     93.37    -1.30    -9999
OULU       010415 300  124500-125000   00      94.73  996.2     94.53    -0.10    -9999
OULU       010415 300  125000-125500   00      94.70  996.1     94.44    -0.20    -9999
OULU       010415 300  125500-130000   00      94.36  996.0     94.04    -0.60    -9999
OULU       010415 300  130000-130500   00      96.12  995.9     95.69     1.10     1.06
OULU       010415 300  130500-131000   00      95.17  995.8     94.68     0.10     0.05
OULU       010415 300  131000-131500   00      94.49  995.7     93.95    -0.70    -0.76
OULU       010415 300  131500-132000   00      94.63  995.6     94.03    -0.60    -0.67
OULU       010415 300  132000-132500   00      96.02  995.6     95.35     0.80     0.72
OULU       010415 300  132500-133000   00      94.67  995.5     93.95    -0.70    -0.79
OULU       010415 300  133000-133500   00      94.58  995.4     93.81    -0.90    -0.99
OULU       010415 300  133500-134000   00      95.66  995.3     94.83     0.20     0.10
OULU       010415 300  134000-134500   00      96.30  995.2     95.40     0.80     0.69
OULU       010415 300  134500-135000   00      94.77  995.2     93.84    -0.90    -1.02
OULU       010415 300  135000-135500   00      94.89  995.1     93.90    -0.80    -0.93
OULU       010415 300  135500-140000   00      95.88  995.0     94.84     0.20     0.06
OULU       010415 300  140000-140500   00     100.91  995.0     99.80     5.50     5.36
OULU       010415 300  140500-141000   00     111.84  994.9    110.56    16.80    16.65
OULU       010415 300  141000-141500   00     122.54  994.9    121.07    27.90    27.74
OULU       010415 300  141500-142000   00     131.28  994.8    129.64    37.00    36.83
OULU       010415 300  142000-142500   00     140.82  994.7    138.99    46.90    46.72
