BAKSAN     LATITUDE    43.28     LONGITUDE     42.69     ALTITUDE    1700 M
BAKSAN     INSTRUMENT   6NM64    NEUTRON MONITOR     
BAKSAN     STANDARD PRESSURE    820     mb     COEFFICIENT   -0.73     % / mb
BAKSAN     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
BAKSAN     PRE-INCREASE AVERAGE COUNTING RATE    108.62      COUNTS PER SECOND
BAKSAN     TIME INTERVALS    300         3600     
BAKSAN     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
BAKSAN     120517 300  010000-010500   00     107.86  830.4    109.74     1.00    -9999
BAKSAN     120517 300  010500-011000   00     106.21  830.4    108.07    -0.50    -9999
BAKSAN     120517 300  011000-011500   00     106.46  830.4    108.33    -0.30    -9999
BAKSAN     120517 300  011500-012000   00     105.91  830.4    107.78    -0.80    -9999
BAKSAN     120517 300  012000-012500   00     108.58  830.4    110.48     1.70    -9999
BAKSAN     120517 300  012500-013000   00     107.35  830.4    109.22     0.60    -9999
BAKSAN     120517 300  013000-013500   00     106.24  830.4    108.07    -0.50    -9999
BAKSAN     120517 300  013500-014000   00     108.14  830.3    109.95     1.20    -9999
BAKSAN     120517 300  014000-014500   00     107.97  830.3    109.76     1.00    -9999
BAKSAN     120517 300  014500-015000   00     106.61  830.3    108.36    -0.20    -9999
BAKSAN     120517 300  015000-015500   00     106.42  830.2    108.12    -0.50    -9999
BAKSAN     120517 300  015500-020000   00     106.99  830.2    108.72     0.10    -9999
BAKSAN     120517 300  020000-020500   00     108.10  830.2    109.82     1.10    -9999
BAKSAN     120517 300  020500-021000   00     107.35  830.2    109.07     0.40    -9999
BAKSAN     120517 300  021000-021500   00     105.75  830.2    107.45    -1.10    -9999
BAKSAN     120517 300  021500-022000   00     106.62  830.2    108.31    -0.30    -9999
BAKSAN     120517 300  022000-022500   00     107.21  830.1    108.87     0.20    -9999
BAKSAN     120517 300  022500-023000   00     108.39  830.1    110.06     1.30    -9999
BAKSAN     120517 300  023000-023500   00     107.58  830.1    109.25     0.60    -9999
BAKSAN     120517 300  023500-024000   00     108.89  830.2    110.60     1.80    -9999
BAKSAN     120517 300  024000-024500   00     106.27  830.1    107.91    -0.70    -9999
BAKSAN     120517 300  024500-025000   00     106.04  830.1    107.64    -0.90    -9999
BAKSAN     120517 300  025000-025500   00     107.07  830.1    108.67     0.00    -9999
BAKSAN     120517 300  025500-030000   00     105.74  830.0    107.29    -1.20    -9999
BAKSAN     120517 300  030000-030500   00     109.95  829.9    111.50     2.70    -9999
BAKSAN     120517 300  030500-031000   00     106.62  829.9    108.11    -0.50    -9999
BAKSAN     120517 300  031000-031500   00     107.02  829.9    108.49    -0.10    -9999
BAKSAN     120517 300  031500-032000   00     107.17  829.8    108.60     0.00    -9999
BAKSAN     120517 300  032000-032500   00     108.61  829.8    110.04     1.30    -9999
BAKSAN     120517 300  032500-033000   00     107.03  829.8    108.39    -0.20    -9999
BAKSAN     120517 300  033000-033500   00     105.43  829.7    106.75    -1.70    -9999
BAKSAN     120517 300  033500-034000   00     107.78  829.7    109.11     0.50    -9999
BAKSAN     120517 300  034000-034500   00     108.48  829.7    109.81     1.10    -9999
BAKSAN     120517 300  034500-035000   00     108.51  829.7    109.81     1.10    -9999
BAKSAN     120517 300  035000-035500   00     106.97  829.6    108.21    -0.40    -9999
BAKSAN     120517 300  035500-040000   00     107.93  829.6    109.16     0.50    -9999
