OLC        LATITUDE    -33.49    LONGITUDE     289.28    ALTITUDE    570 M
OLC        INSTRUMENT   6-NM-64  NEUTRON MONITOR
OLC        STANDARD PRESSURE    954.04  mb     COEFFICIENT   -0.74     % / mb
OLC        PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
OLC        PRE-INCREASE AVERAGE COUNTING RATE     65.00      COUNTS PER SECOND
OLC        TIME INTERVALS    300         3600     
OLC        SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
OLC        061213 300  051500-052000   00      64.30  957.0     65.71     1.10    -9999
OLC        061213 300  052000-052500   00      64.08  956.9     65.46     0.70    -9999
OLC        061213 300  052500-053000   00      64.60  957.0     66.02     1.60    -9999
OLC        061213 300  053000-053500   00      64.45  956.9     65.82     1.20    -9999
OLC        061213 300  053500-054000   00      66.00  956.9     67.40     3.70    -9999
OLC        061213 300  054000-054500   00      65.00  956.9     66.38     2.10    -9999
OLC        061213 300  054500-055000   00      63.37  956.9     64.70    -0.50    -9999
OLC        061213 300  055000-055500   00      65.22  956.9     66.60     2.40    -9999
OLC        061213 300  055500-060000   00      64.90  956.8     66.25     1.90    -9999
OLC        061213 300  060000-060500   00      64.69  956.8     66.02     1.50    -9999
OLC        061213 300  060500-061000   00      65.35  956.7     66.66     2.50    -9999
OLC        061213 300  061000-061500   00      63.68  956.8     64.97    -0.10    -9999
OLC        061213 300  061500-062000   00      64.58  956.7     65.88     1.30    -9999
OLC        061213 300  062000-062500   00      64.06  956.7     65.35     0.50    -9999
OLC        061213 300  062500-063000   00      64.32  956.8     65.66     1.00    -9999
OLC        061213 300  063000-063500   00      63.00  956.8     64.30    -1.10    -9999
OLC        061213 300  063500-064000   00      64.21  956.8     65.52     0.80    -9999
OLC        061213 300  064000-064500   00      63.36  956.8     64.65    -0.50    -9999
OLC        061213 300  064500-065000   00      64.82  956.7     66.13     1.70    -9999
OLC        061213 300  065000-065500   00      64.48  956.8     65.82     1.20    -9999
OLC        061213 300  065500-070000   00      64.07  956.8     65.38     0.60    -9999
OLC        061213 300  070000-070500   00      64.89  956.8     66.24     1.90    -9999
OLC        061213 300  070500-071000   00      64.43  956.9     65.78     1.20    -9999
OLC        061213 300  071000-071500   00      63.16  956.9     64.50    -0.80    -9999
OLC        061213 300  071500-072000   00      62.95  956.8     64.26    -1.20    -9999
OLC        061213 300  072000-072500   00      63.61  956.9     64.95    -0.10    -9999
OLC        061213 300  072500-073000   00      64.87  956.8     66.22     1.90    -9999
OLC        061213 300  073000-073500   00      62.55  956.8     63.85    -1.80    -9999
OLC        061213 300  073500-074000   00      62.82  956.8     64.10    -1.40    -9999
OLC        061213 300  074000-074500   00      65.04  956.7     66.34     2.00    -9999
OLC        061213 300  074500-075000   00      63.45  956.8     64.74    -0.40    -9999
OLC        061213 300  075000-075500   00      64.08  956.7     65.37     0.50    -9999
OLC        061213 300  075500-080000   00      63.22  956.7     64.48    -0.80    -9999
OLC        061213 300  080000-080500   00      63.20  956.7     64.47    -0.80    -9999
OLC        061213 300  080500-081000   00      63.82  956.8     65.12     0.20    -9999
OLC        061213 300  081000-081500   00      63.52  956.8     64.83    -0.30    -9999
OLC        061213 300  081500-082000   00      62.64  956.8     63.92    -1.70    -9999
OLC        061213 300  082000-082500   00      64.96  956.8     66.29     2.00    -9999
OLC        061213 300  082500-083000   00      64.05  956.8     65.37     0.60    -9999
OLC        061213 300  083000-083500   00      64.57  956.8     65.92     1.40    -9999
OLC        061213 300  083500-084000   00      63.44  956.9     64.80    -0.30    -9999
OLC        061213 300  084000-084500   00      64.03  957.0     65.42     0.60    -9999
OLC        061213 300  084500-085000   00      62.41  957.0     63.78    -1.90    -9999
OLC        061213 300  085000-085500   00      63.72  957.0     65.12     0.20    -9999
OLC        061213 300  085500-090000   00      63.41  957.0     64.83    -0.30    -9999
OLC        061213 300  090000-090500   00      63.22  957.1     64.66    -0.50    -9999
OLC        061213 300  090500-091000   00      63.28  957.2     64.77    -0.40    -9999
OLC        061213 300  091000-091500   00      64.78  957.2     66.32     2.00    -9999
OLC        061213 300  091500-092000   00      63.39  957.3     64.94    -0.10    -9999
OLC        061213 300  092000-092500   00      64.18  957.3     65.76     1.10    -9999
OLC        061213 300  092500-093000   00      63.58  957.4     65.16     0.20    -9999
OLC        061213 300  093000-093500   00      63.70  957.4     65.31     0.50    -9999
OLC        061213 300  093500-094000   00      62.32  957.4     63.88    -1.70    -9999
OLC        061213 300  094000-094500   00      62.66  957.5     64.26    -1.20    -9999
OLC        061213 300  094500-095000   00      63.81  957.5     65.47     0.70    -9999
OLC        061213 300  095000-095500   00      64.37  957.6     66.08     1.60    -9999
OLC        061213 300  095500-100000   00      63.79  957.6     65.50     0.70    -9999
OLC        061213 300  100000-100500   00      64.37  957.7     66.15     1.70    -9999
OLC        061213 300  100500-101000   00      63.01  957.8     64.78    -0.40    -9999
OLC        061213 300  101000-101500   00      63.20  957.8     64.99     0.00    -9999
OLC        061213 300  101500-102000   00      63.80  957.9     65.63     1.00    -9999
OLC        061213 300  102000-102500   00      62.46  957.9     64.26    -1.20    -9999
OLC        061213 300  102500-103000   00      63.63  957.9     65.48     0.70    -9999
OLC        061213 300  103000-103500   00      61.65  957.9     63.46    -2.40    -9999
OLC        061213 300  103500-104000   00      64.32  958.0     66.24     1.90    -9999
