LOMNICKY   LATITUDE    49.2      LONGITUDE     20.22     ALTITUDE    2634 M
LOMNICKY   INSTRUMENT   8-NM-64  NEUTRON MONITOR	
LOMNICKY   STANDARD PRESSURE    550     MMHG   COEFFICIENT   -0.95     % / MMHG
LOMNICKY   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
LOMNICKY   PRE-INCREASE AVERAGE COUNTING RATE    442.69      COUNTS PER SECOND
LOMNICKY   TIME INTERVALS    300         3600     
LOMNICKY   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
LOMNICKY   061213 300  034000-034500   00     436.34  553.8    452.42     2.20     1.75
LOMNICKY   061213 300  034500-035000   00     431.84  553.8    447.75     1.10     0.64
LOMNICKY   061213 300  035000-035500   00     432.15  553.8    448.07     1.20     0.72
LOMNICKY   061213 300  035500-040000   00     430.20  553.8    446.04     0.80     0.31
LOMNICKY   061213 300  040000-040500   00     432.02  553.8    447.93     1.20     0.69
LOMNICKY   061213 300  040500-041000   00     434.21  553.8    450.21     1.70     1.18
LOMNICKY   061213 300  041000-041500   00     434.55  553.8    450.55     1.80     1.27
LOMNICKY   061213 300  041500-042000   00     435.07  553.8    451.09     1.90     1.35
LOMNICKY   061213 300  042000-042500   00     433.69  553.8    449.67     1.60     1.04
LOMNICKY   061213 300  042500-043000   00     435.15  553.8    451.18     1.90     1.33
LOMNICKY   061213 300  043000-043500   00     432.37  553.8    448.30     1.30     0.71
LOMNICKY   061213 300  043500-044000   00     429.27  553.9    445.51     0.60     0.00
LOMNICKY   061213 300  044000-044500   00     433.15  553.9    449.54     1.50     0.89
LOMNICKY   061213 300  044500-045000   00     431.84  553.8    447.74     1.10     0.47
LOMNICKY   061213 300  045000-045500   00     431.40  553.9    447.72     1.10     0.46
LOMNICKY   061213 300  045500-050000   00     432.57  553.9    448.93     1.40     0.75
LOMNICKY   061213 300  050000-050500   00     429.82  553.8    445.65     0.70     0.04
LOMNICKY   061213 300  050500-051000   00     429.37  553.8    445.18     0.60    -0.08
LOMNICKY   061213 300  051000-051500   00     430.53  553.9    446.81     0.90     0.21
LOMNICKY   061213 300  051500-052000   00     429.27  553.9    445.51     0.60    -0.10
LOMNICKY   061213 300  052000-052500   00     427.79  553.9    443.97     0.30    -0.41
LOMNICKY   061213 300  052500-053000   00     431.17  553.9    447.48     1.10     0.38
LOMNICKY   061213 300  053000-053500   00     429.18  554.0    445.84     0.70    -0.03
LOMNICKY   061213 300  053500-054000   00     429.95  554.0    446.64     0.90     0.16
LOMNICKY   061213 300  054000-054500   00     430.06  553.9    446.33     0.80     0.04
LOMNICKY   061213 300  054500-055000   00     432.12  554.0    448.90     1.40     0.63
LOMNICKY   061213 300  055000-055500   00     427.23  554.0    443.82     0.30    -0.48
LOMNICKY   061213 300  055500-060000   00     430.39  554.0    447.10     1.00     0.21
LOMNICKY   061213 300  060000-060500   00     428.11  553.9    444.31     0.40    -0.40
LOMNICKY   061213 300  060500-061000   00     427.80  553.9    443.98     0.30    -9999
LOMNICKY   061213 300  061000-061500   00     429.99  553.9    446.25     0.80    -9999
LOMNICKY   061213 300  061500-062000   00     432.34  553.9    448.69     1.40    -9999
LOMNICKY   061213 300  062000-062500   00     429.53  553.9    445.77     0.70    -9999
LOMNICKY   061213 300  062500-063000   00     432.97  553.9    449.34     1.50    -9999
LOMNICKY   061213 300  063000-063500   00     426.74  553.9    442.88     0.00    -9999
LOMNICKY   061213 300  063500-064000   00     426.49  553.9    442.62     0.00    -9999
LOMNICKY   061213 300  064000-064500   00     430.95  553.8    446.83     0.90    -9999
LOMNICKY   061213 300  064500-065000   00     430.04  553.7    445.46     0.60    -9999
LOMNICKY   061213 300  065000-065500   00     429.44  553.8    445.26     0.60    -9999
LOMNICKY   061213 300  065500-070000   00     429.91  553.8    445.75     0.70    -9999
LOMNICKY   061213 300  070000-070500   00     430.43  553.7    445.86     0.70    -9999
LOMNICKY   061213 300  070500-071000   00     433.80  553.7    449.36     1.50    -9999
LOMNICKY   061213 300  071000-071500   00     431.21  553.7    446.67     0.90    -9999
LOMNICKY   061213 300  071500-072000   00     431.16  553.7    446.61     0.90    -9999
LOMNICKY   061213 300  072000-072500   00     428.94  553.8    444.74     0.50    -9999
LOMNICKY   061213 300  072500-073000   00     431.71  553.7    447.19     1.00    -9999
LOMNICKY   061213 300  073000-073500   00     430.66  553.7    446.10     0.80    -9999
LOMNICKY   061213 300  073500-074000   00     428.85  553.7    444.23     0.30    -9999
LOMNICKY   061213 300  074000-074500   00     432.03  553.7    447.52     1.10    -9999
LOMNICKY   061213 300  074500-075000   00     431.52  553.7    446.99     1.00    -9999
LOMNICKY   061213 300  075000-075500   00     430.95  553.8    446.83     0.90    -9999
LOMNICKY   061213 300  075500-080000   00     435.54  553.8    451.58     2.00    -9999
LOMNICKY   061213 300  080000-080500   00     431.41  553.8    447.30     1.00    -9999
LOMNICKY   061213 300  080500-081000   00     430.93  553.8    446.81     0.90    -9999
LOMNICKY   061213 300  081000-081500   00     432.61  553.8    448.54     1.30    -9999
LOMNICKY   061213 300  081500-082000   00     432.97  553.8    448.92     1.40    -9999
LOMNICKY   061213 300  082000-082500   00     430.27  553.9    446.54     0.90    -9999
LOMNICKY   061213 300  082500-083000   00     434.10  553.9    450.52     1.80    -9999
LOMNICKY   061213 300  083000-083500   00     433.00  553.9    449.38     1.50    -9999
LOMNICKY   061213 300  083500-084000   00     430.57  553.9    446.85     0.90    -9999
LOMNICKY   061213 300  084000-084500   00     431.39  553.9    447.70     1.10    -9999
LOMNICKY   061213 300  084500-085000   00     431.98  553.9    448.32     1.30    -9999
LOMNICKY   061213 300  085000-085500   00     429.23  553.9    445.47     0.60    -9999
LOMNICKY   061213 300  085500-090000   00     430.74  553.9    447.04     1.00    -9999
LOMNICKY   061213 300  090000-090500   00     432.98  553.9    449.36     1.50    -9999
LOMNICKY   061213 300  090500-091000   00     431.41  553.9    447.73     1.10    -9999
LOMNICKY   061213 300  091000-091500   00     435.44  553.9    451.91     2.10    -9999
LOMNICKY   061213 300  091500-092000   00     432.05  553.9    448.39     1.30    -9999
LOMNICKY   061213 300  092000-092500   00     430.76  553.9    447.06     1.00    -9999
LOMNICKY   061213 300  092500-093000   00     430.22  553.8    446.07     0.80    -9999
LOMNICKY   061213 300  093000-093500   00     431.31  553.9    447.62     1.10    -9999
LOMNICKY   061213 300  093500-094000   00     431.55  553.8    447.45     1.10    -9999
LOMNICKY   061213 300  094000-094500   00     430.09  553.7    445.51     0.60    -9999
LOMNICKY   061213 300  094500-095000   00     430.56  553.5    445.15     0.60    -9999
LOMNICKY   061213 300  095000-095500   00     432.65  553.6    447.73     1.10    -9999
LOMNICKY   061213 300  095500-100000   00     435.38  553.7    450.99     1.90    -9999
LOMNICKY   061213 300  100000-100500   00     430.51  553.7    445.95     0.70    -9999
LOMNICKY   061213 300  100500-101000   00     433.24  553.6    448.34     1.30    -9999
LOMNICKY   061213 300  101000-101500   00     432.47  553.6    447.55     1.10    -9999
LOMNICKY   061213 300  101500-102000   00     434.21  553.7    449.77     1.60    -9999
LOMNICKY   061213 300  102000-102500   00     429.53  553.6    444.50     0.40    -9999
LOMNICKY   061213 300  102500-103000   00     434.45  553.6    449.60     1.60    -9999
LOMNICKY   061213 300  103000-103500   00     433.59  553.6    448.71     1.40    -9999
LOMNICKY   061213 300  103500-104000   00     432.06  553.6    447.12     1.00    -9999
LOMNICKY   061213 300  104000-104500   00     433.58  553.6    448.69     1.40    -9999
LOMNICKY   061213 300  104500-105000   00     432.03  553.6    447.09     1.00    -9999
LOMNICKY   061213 300  105000-105500   00     430.61  553.7    446.05     0.80    -9999
LOMNICKY   061213 300  105500-110000   00     433.18  553.6    448.29     1.30    -9999
LOMNICKY   061213 300  110000-110500   00     430.14  553.6    445.13     0.60    -9999
LOMNICKY   061213 300  110500-111000   00     434.12  553.5    448.83     1.40    -9999
LOMNICKY   061213 300  111000-111500   00     430.43  553.6    445.44     0.60    -9999
LOMNICKY   061213 300  111500-112000   00     433.31  553.6    448.42     1.30    -9999
LOMNICKY   061213 300  112000-112500   00     434.62  553.5    449.35     1.50    -9999
LOMNICKY   061213 300  112500-113000   00     431.27  553.6    446.30     0.80    -9999
LOMNICKY   061213 300  113000-113500   00     432.28  553.6    447.35     1.10    -9999
LOMNICKY   061213 300  113500-114000   00     429.13  553.6    444.10     0.30    -9999
LOMNICKY   061213 300  114000-114500   00     430.37  553.6    445.37     0.60    -9999
LOMNICKY   061213 300  114500-115000   00     431.10  553.5    445.71     0.70    -9999
LOMNICKY   061213 300  115000-115500   00     432.83  553.6    447.92     1.20    -9999
LOMNICKY   061213 300  115500-120000   00     433.25  553.6    448.36     1.30    -9999
LOMNICKY   061213 300  120000-120500   00     430.22  553.7    445.64     0.70    -9999
LOMNICKY   061213 300  120500-121000   00     429.24  553.7    444.63     0.40    -9999
LOMNICKY   061213 300  121000-121500   00     433.51  553.7    449.06     1.40    -9999
LOMNICKY   061213 300  121500-122000   00     431.74  553.7    447.22     1.00    -9999
LOMNICKY   061213 300  122000-122500   00     431.08  553.8    446.96     1.00    -9999
LOMNICKY   061213 300  122500-123000   00     433.87  553.7    449.43     1.50    -9999
LOMNICKY   061213 300  123000-123500   00     430.11  553.7    445.53     0.60    -9999
LOMNICKY   061213 300  123500-124000   00     427.87  553.8    443.63     0.20    -9999
LOMNICKY   061213 300  124000-124500   00     432.28  553.8    448.20     1.20    -9999
LOMNICKY   061213 300  124500-125000   00     427.99  553.9    444.18     0.30    -9999
LOMNICKY   061213 300  125000-125500   00     429.19  553.8    445.00     0.50    -9999
LOMNICKY   061213 300  125500-130000   00     427.68  553.8    443.44     0.20    -9999
LOMNICKY   061213 300  130000-130500   00     430.43  553.9    446.71     0.90    -9999
LOMNICKY   061213 300  130500-131000   00     431.67  553.9    448.00     1.20    -9999
