INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    996.4   mb     COEFFICIENT   -0.74     % / mb
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    215.83      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
INUVIK     061213 300  044500-045000   00     234.72  996.9    235.66     9.19     9.19
INUVIK     061213 300  045000-045500   00     233.16  996.9    234.07     8.45     8.45
INUVIK     061213 300  045500-050000   00     236.46  996.9    237.35     9.98     9.98
INUVIK     061213 300  050000-050500   00     234.86  996.9    235.74     9.23     9.23
INUVIK     061213 300  050500-051000   00     231.64  996.9    232.52     7.73     7.73
INUVIK     061213 300  051000-051500   00     230.46  996.9    231.35     7.19     7.19
INUVIK     061213 300  051500-052000   00     231.10  996.9    232.01     7.50     7.50
INUVIK     061213 300  052000-052500   00     229.98  996.9    230.90     6.98     6.98
INUVIK     061213 300  052500-053000   00     231.32  996.9    232.25     7.61     7.61
INUVIK     061213 300  053000-053500   00     228.06  997.0    228.99     6.10     6.10
INUVIK     061213 300  053500-054000   00     229.40  997.0    230.36     6.73     6.73
INUVIK     061213 300  054000-054500   00     227.52  997.0    228.48     5.87     5.87
INUVIK     061213 300  054500-055000   00     226.82  997.0    227.79     5.54     5.54
INUVIK     061213 300  055000-055500   00     227.78  997.0    228.77     6.00     6.00
INUVIK     061213 300  055500-060000   00     224.54  997.0    225.53     4.49     4.49
INUVIK     061213 300  060000-060500   00     227.18  997.0    228.20     5.74     5.74
INUVIK     061213 300  060500-061000   00     222.64  997.0    223.67     3.63     3.63
