KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    750     MMHG   COEFFICIENT   -1.01     % / MMHG
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    188.09      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300      
KERGUELEN  SCALE FACTORS     1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
KERGUELEN  010414 300  053500-054000   10     182.40  752.9    187.60    -0.30    -9999
KERGUELEN  010414 300  054000-054500   10     180.53  753.0    185.87    -1.20    -9999
KERGUELEN  010414 300  054500-055000   10     181.20  753.0    186.53    -0.80    -9999
KERGUELEN  010414 300  055000-055500   10     180.13  753.2    185.73    -1.30    -9999
KERGUELEN  010414 300  055500-060000   10     180.27  753.3    186.27    -1.00    -9999
KERGUELEN  010414 300  060000-060500   10     179.73  753.3    185.73    -1.30    -9999
KERGUELEN  010414 300  060500-061000   10     178.00  753.4    184.00    -2.20    -9999
KERGUELEN  010414 300  061000-061500   10     179.87  753.6    186.27    -1.00    -9999
KERGUELEN  010414 300  061500-062000   10     179.33  753.5    185.73    -1.30    -9999
KERGUELEN  010414 300  062000-062500   10     179.73  753.7    186.40    -0.90    -9999
KERGUELEN  010414 300  062500-063000   10     179.33  753.8    186.13    -1.00    -9999
KERGUELEN  010414 300  063000-063500   10     178.53  753.8    185.33    -1.50    -9999
KERGUELEN  010414 300  063500-064000   10     178.80  753.9    185.87    -1.20    -9999
KERGUELEN  010414 300  064000-064500   10     176.80  753.9    183.60    -2.40    -9999
KERGUELEN  010414 300  064500-065000   10     179.07  753.8    185.87    -1.20    -9999
KERGUELEN  010414 300  065000-065500   10     181.87  753.8    188.80     0.40    -9999
KERGUELEN  010414 300  065500-070000   10     179.60  753.8    186.40    -0.90    -9999
KERGUELEN  010414 300  070000-070500   10     180.00  753.8    186.80    -0.70    -9999
KERGUELEN  010414 300  070500-071000   10     180.80  753.9    187.87    -0.10    -9999
KERGUELEN  010414 300  071000-071500   10     180.67  753.9    187.73    -0.20    -9999
KERGUELEN  010414 300  071500-072000   10     178.27  754.0    185.33    -1.50    -9999
KERGUELEN  010414 300  072000-072500   10     178.53  754.1    185.87    -1.20    -9999
KERGUELEN  010414 300  072500-073000   10     175.60  754.2    183.07    -2.70    -9999
KERGUELEN  010414 300  073000-073500   10     177.73  754.2    185.33    -1.50    -9999
KERGUELEN  010414 300  073500-074000   10     179.07  754.3    186.67    -0.80    -9999
KERGUELEN  010414 300  074000-074500   10     177.60  754.3    185.20    -1.50    -9999
KERGUELEN  010414 300  074500-075000   10     179.20  754.5    187.33    -0.40    -9999
KERGUELEN  010414 300  075000-075500   10     177.73  754.6    186.13    -1.00    -9999
KERGUELEN  010414 300  075500-080000   10     178.27  754.6    186.67    -0.80    -9999
KERGUELEN  010414 300  080000-080500   10     177.73  754.7    186.13    -1.00    -9999
KERGUELEN  010414 300  080500-081000   10     176.93  754.7    185.33    -1.50    -9999
KERGUELEN  010414 300  081000-081500   10     179.47  754.7    187.87    -0.10    -9999
KERGUELEN  010414 300  081500-082000   10     178.67  754.7    187.07    -0.50    -9999
