CALGARY    LATITUDE    51.08     LONGITUDE     245.86    ALTITUDE    1128 M
CALGARY    INSTRUMENT   12-NM-64  NEUTRON MONITOR	
CALGARY    STANDARD PRESSURE    883     MB     COEFFICIENT   -0.7718   % / MB
CALGARY    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
CALGARY    PRE-INCREASE AVERAGE COUNTING RATE    264.53      COUNTS PER SECOND
CALGARY    TIME INTERVALS    300         3600     
CALGARY    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
CALGARY    000714 300  121000-121500   00     324.97  885.2    330.53    24.90    24.17
CALGARY    000714 300  121500-122000   00     322.94  885.2    328.47    24.20    23.45
CALGARY    000714 300  122000-122500   00     318.99  885.3    324.70    22.70    21.94
CALGARY    000714 300  122500-123000   00     318.33  885.4    324.28    22.60    21.82
CALGARY    000714 300  123000-123500   00     311.58  885.5    317.65    20.10    19.31
CALGARY    000714 300  123500-124000   00     308.96  885.3    314.49    18.90    18.09
CALGARY    000714 300  124000-124500   00     309.52  885.7    316.04    19.50    18.68
CALGARY    000714 300  124500-125000   00     309.56  885.7    316.07    19.50    18.66
CALGARY    000714 300  125000-125500   00     304.64  885.7    311.06    17.60    16.75
CALGARY    000714 300  125500-130000   00     304.37  885.6    310.54    17.40    16.54
CALGARY    000714 300  130000-130500   00     301.88  885.7    308.24    16.50    15.62
CALGARY    000714 300  130500-131000   00     300.72  885.7    307.05    16.10    15.21
CALGARY    000714 300  131000-131500   00     297.90  885.7    304.17    15.00    14.10
CALGARY    000714 300  131500-132000   00     296.97  885.9    303.69    14.80    13.88
CALGARY    000714 300  132000-132500   00     294.14  885.8    300.57    13.60    12.67
CALGARY    000714 300  132500-133000   00     290.42  885.7    296.54    12.10    11.16
CALGARY    000714 300  133000-133500   00     292.51  885.9    299.14    13.10    12.14
CALGARY    000714 300  133500-134000   00     290.12  885.9    296.69    12.20    11.23
CALGARY    000714 300  134000-134500   00     291.25  885.9    297.85    12.60    11.62
CALGARY    000714 300  134500-135000   00     289.39  885.8    295.72    11.80    10.81
CALGARY    000714 300  135000-135500   00     284.91  885.8    291.13    10.10     9.10
CALGARY    000714 300  135500-140000   00     287.30  885.7    293.35    10.90     9.89
CALGARY    000714 300  140000-140500   00     287.30  885.8    293.58    11.00     9.98
CALGARY    000714 300  140500-141000   00     282.95  886.0    289.58     9.50     8.46
CALGARY    000714 300  141000-141500   00     284.68  885.9    291.12    10.10     9.05
CALGARY    000714 300  141500-142000   00     283.21  885.9    289.62     9.50     8.44
CALGARY    000714 300  142000-142500   00     283.08  885.4    288.37     9.00     7.93
CALGARY    000714 300  142500-143000   00     283.18  885.8    289.37     9.40     8.32
CALGARY    000714 300  143000-143500   00     281.89  885.9    288.27     9.00     7.91
CALGARY    000714 300  143500-144000   00     282.58  885.8    288.76     9.20     8.10
CALGARY    000714 300  144000-144500   00     281.29  885.9    287.66     8.70     7.60
CALGARY    000714 300  144500-145000   00     279.13  885.8    285.23     7.80     6.69
CALGARY    000714 300  145000-145500   00     281.52  885.8    287.67     8.70     7.58
CALGARY    000714 300  145500-150000   00     277.10  885.8    283.16     7.00     5.87
CALGARY    000714 300  150000-150500   00     279.16  885.9    285.48     7.90     6.76
CALGARY    000714 300  150500-151000   00     275.57  885.8    281.59     6.40     5.25
CALGARY    000714 300  151000-151500   00     277.53  885.8    283.60     7.20     6.04
CALGARY    000714 300  151500-152000   00     277.90  885.8    283.97     7.30     6.14
CALGARY    000714 300  152000-152500   00     276.24  885.9    282.49     6.80     5.63
CALGARY    000714 300  152500-153000   00     275.41  885.8    281.42     6.40     5.22
