KERGUELEN  LATITUDE    -49.35    LONGITUDE     70.25     ALTITUDE    33 M
KERGUELEN  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
KERGUELEN  STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.76     % / mb
KERGUELEN  PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
KERGUELEN  PRE-INCREASE AVERAGE COUNTING RATE    237.45      COUNTS PER SECOND
KERGUELEN  TIME INTERVALS    300         3600     
KERGUELEN  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KERGUELEN  211028 300  143000-143500   00     235.47 1000.6    236.61    -0.35    -9999
KERGUELEN  211028 300  143500-144000   00     235.20 1000.6    236.49    -0.40    -9999
KERGUELEN  211028 300  144000-144500   00     235.20 1000.7    236.54    -0.38    -9999
KERGUELEN  211028 300  144500-145000   00     232.40 1000.6    233.58    -1.63    -9999
KERGUELEN  211028 300  145000-145500   00     237.47 1000.7    238.86     0.60    -9999
KERGUELEN  211028 300  145500-150000   00     236.00 1000.8    237.58     0.05    -9999
KERGUELEN  211028 300  150000-150500   00     234.67 1000.8    236.24    -0.51    -0.44
KERGUELEN  211028 300  150500-151000   00     235.87 1000.9    237.59     0.06     0.14
KERGUELEN  211028 300  151000-151500   00     235.47 1001.0    237.47     0.01     0.09
KERGUELEN  211028 300  151500-152000   00     237.20 1001.1    239.37     0.81     0.90
KERGUELEN  211028 300  152000-152500   00     234.40 1001.1    236.54    -0.38    -0.29
KERGUELEN  211028 300  152500-153000   00     234.27 1001.1    236.31    -0.48    -0.38
KERGUELEN  211028 300  153000-153500   00     235.33 1001.1    237.39    -0.03     0.08
KERGUELEN  211028 300  153500-154000   00     236.27 1000.9    237.99     0.23     0.34
KERGUELEN  211028 300  154000-154500   00     235.87 1000.8    237.49     0.02     0.14
KERGUELEN  211028 300  154500-155000   00     235.07 1000.9    236.78    -0.28    -0.16
KERGUELEN  211028 300  155000-155500   00     236.80 1001.0    238.67     0.52     0.65
KERGUELEN  211028 300  155500-160000   00     234.93 1001.3    237.37    -0.03     0.10
KERGUELEN  211028 300  160000-160500   00     233.33 1001.3    235.84    -0.68    -0.54
KERGUELEN  211028 300  160500-161000   00     233.60 1001.4    236.16    -0.54    -0.39
KERGUELEN  211028 300  161000-161500   00     236.13 1001.6    239.11     0.70     0.85
KERGUELEN  211028 300  161500-162000   00     238.67 1001.5    241.63     1.76     1.92
KERGUELEN  211028 300  162000-162500   00     236.13 1001.4    238.82     0.58     0.74
KERGUELEN  211028 300  162500-163000   00     239.73 1001.4    242.41     2.09     2.26
KERGUELEN  211028 300  163000-163500   00     237.47 1001.4    240.22     1.17     1.35
KERGUELEN  211028 300  163500-164000   00     239.33 1001.3    241.91     1.88     2.06
KERGUELEN  211028 300  164000-164500   00     236.00 1001.3    238.49     0.44     0.63
KERGUELEN  211028 300  164500-165000   00     242.93 1001.4    245.65     3.45     3.64
KERGUELEN  211028 300  165000-165500   00     244.00 1001.4    246.83     3.95     4.15
KERGUELEN  211028 300  165500-170000   00     238.53 1001.4    241.29     1.62     1.83
KERGUELEN  211028 300  170000-170500   00     238.53 1001.4    241.20     1.58     1.79
KERGUELEN  211028 300  170500-171000   00     239.07 1001.6    242.08     1.95     2.17
KERGUELEN  211028 300  171000-171500   00     236.67 1001.5    239.50     0.87     1.09
KERGUELEN  211028 300  171500-172000   00     240.27 1001.4    243.05     2.36     2.59
KERGUELEN  211028 300  172000-172500   00     237.33 1001.6    240.37     1.23     1.46
KERGUELEN  211028 300  172500-173000   00     238.67 1001.7    241.97     1.90     2.14
KERGUELEN  211028 300  173000-173500   00     239.20 1001.8    242.56     2.15     2.40
KERGUELEN  211028 300  173500-174000   00     236.67 1001.7    239.89     1.03     1.28
KERGUELEN  211028 300  174000-174500   00     236.53 1001.7    239.81     0.99     1.25
KERGUELEN  211028 300  174500-175000   00     238.13 1001.7    241.38     1.65     1.91
KERGUELEN  211028 300  175000-175500   00     238.00 1001.6    241.05     1.52     1.79
KERGUELEN  211028 300  175500-180000   00     239.33 1001.6    242.45     2.11     2.39
KERGUELEN  211028 300  180000-180500   00     238.53 1001.7    241.74     1.81     2.09
KERGUELEN  211028 300  180500-181000   00     236.00 1001.6    239.07     0.68     0.97
KERGUELEN  211028 300  181000-181500   00     238.00 1001.7    241.29     1.62     1.91
KERGUELEN  211028 300  181500-182000   00     234.93 1001.8    238.38     0.39     0.69
KERGUELEN  211028 300  182000-182500   00     235.33 1001.9    238.83     0.58     0.88
KERGUELEN  211028 300  182500-183000   00     237.60 1001.9    241.28     1.61     1.92
KERGUELEN  211028 300  183000-183500   00     237.33 1001.9    240.91     1.46     1.78
KERGUELEN  211028 300  183500-184000   00     236.27 1001.9    239.92     1.04     1.36
KERGUELEN  211028 300  184000-184500   00     234.67 1002.0    238.44     0.42     0.75
KERGUELEN  211028 300  184500-185000   00     236.00 1002.1    239.84     1.01     1.34
KERGUELEN  211028 300  185000-185500   00     234.40 1002.2    238.51     0.45     0.79
KERGUELEN  211028 300  185500-190000   00     233.20 1002.4    237.67     0.09     0.44
KERGUELEN  211028 300  190000-190500   00     234.67 1002.6    239.41     0.82     1.17
KERGUELEN  211028 300  190500-191000   00     233.47 1002.4    237.94     0.21     0.57
KERGUELEN  211028 300  191000-191500   00     236.13 1002.4    240.56     1.31     1.67
KERGUELEN  211028 300  191500-192000   00     232.80 1002.5    237.36    -0.04     0.33
KERGUELEN  211028 300  192000-192500   00     233.47 1002.5    238.13     0.29     0.67
KERGUELEN  211028 300  192500-193000   00     234.67 1002.6    239.55     0.89     1.27
KERGUELEN  211028 300  193000-193500   00     232.80 1002.8    237.89     0.18     0.57
KERGUELEN  211028 300  193500-194000   00     233.73 1002.8    238.89     0.61     1.00
KERGUELEN  211028 300  194000-194500   00     232.00 1002.9    237.26    -0.08     0.32
KERGUELEN  211028 300  194500-195000   00     232.00 1003.0    237.40    -0.02     0.38
KERGUELEN  211028 300  195000-195500   00     233.33 1002.9    238.67     0.52     0.93
KERGUELEN  211028 300  195500-200000   00     234.13 1003.0    239.64     0.92     1.34
KERGUELEN  211028 300  200000-200500   00     231.20 1003.0    236.73    -0.30     0.12
KERGUELEN  211028 300  200500-201000   00     232.00 1003.1    237.60     0.06     0.49
KERGUELEN  211028 300  201000-201500   00     231.47 1003.2    237.24    -0.09     0.34
KERGUELEN  211028 300  201500-202000   00     232.93 1003.2    238.79     0.57     1.01
KERGUELEN  211028 300  202000-202500   00     232.00 1003.3    238.03     0.24     0.69
KERGUELEN  211028 300  202500-203000   00     231.60 1003.5    237.95     0.21     0.66
KERGUELEN  211028 300  203000-203500   00     230.27 1003.4    236.49    -0.40     0.06
KERGUELEN  211028 300  203500-204000   00     230.13 1003.4    236.21    -0.52    -0.06
KERGUELEN  211028 300  204000-204500   00     231.07 1003.5    237.50     0.02     0.49
KERGUELEN  211028 300  204500-205000   00     228.13 1003.7    234.72    -1.15    -0.68
KERGUELEN  211028 300  205000-205500   00     229.07 1003.7    235.73    -0.72    -0.24
KERGUELEN  211028 300  205500-210000   00     230.13 1003.8    236.97    -0.20     0.29
KERGUELEN  211028 300  210000-210500   00     228.80 1003.8    235.70    -0.74    -9999
KERGUELEN  211028 300  210500-211000   00     226.80 1003.9    233.78    -1.55    -9999
KERGUELEN  211028 300  211000-211500   00     228.40 1003.9    235.43    -0.85    -9999
KERGUELEN  211028 300  211500-212000   00     229.33 1003.9    236.44    -0.43    -9999
KERGUELEN  211028 300  212000-212500   00     229.47 1003.9    236.48    -0.41    -9999
KERGUELEN  211028 300  212500-213000   00     230.00 1004.0    237.27    -0.08    -9999
KERGUELEN  211028 300  213000-213500   00     228.67 1004.1    236.08    -0.57    -9999
KERGUELEN  211028 300  213500-214000   00     227.73 1004.3    235.36    -0.88    -9999
KERGUELEN  211028 300  214000-214500   00     229.33 1004.3    237.15    -0.12    -9999
KERGUELEN  211028 300  214500-215000   00     228.40 1004.4    236.24    -0.51    -9999
KERGUELEN  211028 300  215000-215500   00     226.27 1004.3    233.89    -1.50    -9999
KERGUELEN  211028 300  215500-220000   00     228.93 1004.4    236.79    -0.28    -9999
KERGUELEN  211028 300  220000-220500   00     229.20 1004.4    237.06    -0.16    -9999
KERGUELEN  211028 300  220500-221000   00     227.47 1004.4    235.32    -0.90    -9999
KERGUELEN  211028 300  221000-221500   00     229.60 1004.5    237.67     0.09    -9999
KERGUELEN  211028 300  221500-222000   00     229.60 1004.6    237.86     0.17    -9999
KERGUELEN  211028 300  222000-222500   00     227.07 1004.6    235.33    -0.89    -9999
KERGUELEN  211028 300  222500-223000   00     227.20 1004.7    235.66    -0.75    -9999
KERGUELEN  211028 300  223000-223500   00     227.47 1004.7    235.84    -0.68    -9999
KERGUELEN  211028 300  223500-224000   00     227.07 1004.7    235.43    -0.85    -9999
