JUNGFRAU1  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3570 M
JUNGFRAU1  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAU1  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU1  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
JUNGFRAU1  PRE-INCREASE AVERAGE COUNTING RATE    138.19      COUNTS PER SECOND
JUNGFRAU1  TIME INTERVALS    300         3600     
JUNGFRAU1  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU1  031028 300  114000-114500   00     130.52  489.9    140.80     1.90    -9999
JUNGFRAU1  031028 300  114500-115000   00     129.17  489.9    139.35     0.80    -9999
JUNGFRAU1  031028 300  115000-115500   00     129.39  489.9    139.59     1.00    -9999
JUNGFRAU1  031028 300  115500-120000   00     129.08  489.9    139.25     0.70    -9999
JUNGFRAU1  031028 300  120000-120500   00     129.13  489.9    139.31     0.80    -9999
JUNGFRAU1  031028 300  120500-121000   00     131.29  489.9    141.61     2.50    -9999
JUNGFRAU1  031028 300  121000-121500   00     128.75  489.9    138.90     0.50    -9999
JUNGFRAU1  031028 300  121500-122000   00     130.10  489.9    140.34     1.60    -9999
JUNGFRAU1  031028 300  122000-122500   00     130.50  489.9    140.79     1.90    -9999
JUNGFRAU1  031028 300  122500-123000   00     128.58  489.9    138.72     0.40    -9999
JUNGFRAU1  031028 300  123000-123500   00     129.82  489.9    140.00     1.30    -9999
JUNGFRAU1  031028 300  123500-124000   00     130.18  489.9    140.44     1.60    -9999
JUNGFRAU1  031028 300  124000-124500   00     129.44  489.8    139.55     1.00    -9999
JUNGFRAU1  031028 300  124500-125000   00     129.72  489.8    139.85     1.20    -9999
JUNGFRAU1  031028 300  125000-125500   00     129.40  489.9    139.54     1.00    -9999
JUNGFRAU1  031028 300  125500-130000   00     128.67  489.8    138.67     0.30    -9999
JUNGFRAU1  031028 300  130000-130500   00     129.82  489.8    139.91     1.30    -9999
JUNGFRAU1  031028 300  130500-131000   00     128.39  489.7    138.28     0.10    -9999
JUNGFRAU1  031028 300  131000-131500   00     130.37  489.8    140.45     1.60    -9999
JUNGFRAU1  031028 300  131500-132000   00     128.97  489.8    139.00     0.60    -9999
JUNGFRAU1  031028 300  132000-132500   00     128.38  489.7    138.28     0.00    -9999
JUNGFRAU1  031028 300  132500-133000   00     128.26  489.7    138.08    -0.10    -9999
JUNGFRAU1  031028 300  133000-133500   00     129.80  489.6    139.63     1.00    -9999
JUNGFRAU1  031028 300  133500-134000   00     128.52  489.6    138.25     0.10    -9999
JUNGFRAU1  031028 300  134000-134500   00     129.67  489.6    139.49     0.90    -9999
JUNGFRAU1  031028 300  134500-135000   00     128.58  489.6    138.32     0.10    -9999
JUNGFRAU1  031028 300  135000-135500   00     129.79  489.6    139.62     1.00    -9999
JUNGFRAU1  031028 300  135500-140000   00     129.84  489.6    139.68     1.10    -9999
JUNGFRAU1  031028 300  140000-140500   00     129.37  489.7    139.28     0.80    -9999
JUNGFRAU1  031028 300  140500-141000   00     130.97  489.7    141.03     2.00    -9999
JUNGFRAU1  031028 300  141000-141500   00     129.50  489.7    139.44     0.90    -9999
JUNGFRAU1  031028 300  141500-142000   00     129.37  489.7    139.29     0.80    -9999
JUNGFRAU1  031028 300  142000-142500   00     129.80  489.7    139.76     1.10    -9999
JUNGFRAU1  031028 300  142500-143000   00     129.37  489.7    139.27     0.80    -9999
JUNGFRAU1  031028 300  143000-143500   00     131.66  489.6    141.65     2.50    -9999
JUNGFRAU1  031028 300  143500-144000   00     129.29  489.6    139.07     0.60    -9999
JUNGFRAU1  031028 300  144000-144500   00     130.51  489.6    140.39     1.60    -9999
JUNGFRAU1  031028 300  144500-145000   00     129.65  489.6    139.41     0.90    -9999
JUNGFRAU1  031028 300  145000-145500   00     129.49  489.5    139.19     0.70    -9999
JUNGFRAU1  031028 300  145500-150000   00     131.68  489.5    141.51     2.40    -9999
JUNGFRAU1  031028 300  150000-150500   00     129.39  489.5    139.04     0.60    -9999
JUNGFRAU1  031028 300  150500-151000   00     129.72  489.5    139.40     0.90    -9999
JUNGFRAU1  031028 300  151000-151500   00     131.68  489.4    141.39     2.30    -9999
JUNGFRAU1  031028 300  151500-152000   00     129.96  489.4    139.53     1.00    -9999
JUNGFRAU1  031028 300  152000-152500   00     132.49  489.4    142.25     3.00    -9999
JUNGFRAU1  031028 300  152500-153000   00     130.42  489.4    139.97     1.30    -9999
JUNGFRAU1  031028 300  153000-153500   00     129.61  489.3    139.02     0.60    -9999
JUNGFRAU1  031028 300  153500-154000   00     130.17  489.3    139.68     1.10    -9999
JUNGFRAU1  031028 300  154000-154500   00     129.55  489.3    138.96     0.60    -9999
JUNGFRAU1  031028 300  154500-155000   00     129.46  489.3    138.86     0.50    -9999
JUNGFRAU1  031028 300  155000-155500   00     128.86  489.3    138.21     0.00    -9999
JUNGFRAU1  031028 300  155500-160000   00     131.47  489.3    141.02     2.00    -9999
JUNGFRAU1  031028 300  160000-160500   00     129.72  489.3    139.13     0.70    -9999
JUNGFRAU1  031028 300  160500-161000   00     129.41  489.3    138.80     0.50    -9999
JUNGFRAU1  031028 300  161000-161500   00     129.89  489.3    139.35     0.80    -9999
JUNGFRAU1  031028 300  161500-162000   00     129.93  489.3    139.36     0.90    -9999
JUNGFRAU1  031028 300  162000-162500   00     129.34  489.3    138.73     0.40    -9999
JUNGFRAU1  031028 300  162500-163000   00     131.49  489.3    141.04     2.10    -9999
JUNGFRAU1  031028 300  163000-163500   00     129.75  489.3    139.17     0.70    -9999
JUNGFRAU1  031028 300  163500-164000   00     130.59  489.3    140.07     1.40    -9999
JUNGFRAU1  031028 300  164000-164500   00     131.56  489.3    141.11     2.10    -9999
JUNGFRAU1  031028 300  164500-165000   00     129.14  489.3    138.51     0.20    -9999
JUNGFRAU1  031028 300  165000-165500   00     130.44  489.4    139.99     1.30    -9999
JUNGFRAU1  031028 300  165500-170000   00     131.01  489.3    140.55     1.70    -9999
JUNGFRAU1  031028 300  170000-170500   00     132.33  489.3    141.96     2.70    -9999
JUNGFRAU1  031028 300  170500-171000   00     132.29  489.3    141.89     2.70    -9999
JUNGFRAU1  031028 300  171000-171500   00     130.85  489.3    140.37     1.60    -9999
JUNGFRAU1  031028 300  171500-172000   00     129.20  489.3    138.60     0.30    -9999
JUNGFRAU1  031028 300  172000-172500   00     129.04  489.3    138.41     0.20    -9999
JUNGFRAU1  031028 300  172500-173000   00     130.52  489.3    140.00     1.30    -9999
JUNGFRAU1  031028 300  173000-173500   00     131.39  489.3    140.93     2.00    -9999
JUNGFRAU1  031028 300  173500-174000   00     131.56  489.3    141.10     2.10    -9999
JUNGFRAU1  031028 300  174000-174500   00     130.03  489.3    139.47     0.90    -9999
JUNGFRAU1  031028 300  174500-175000   00     131.71  489.3    141.27     2.30    -9999
JUNGFRAU1  031028 300  175000-175500   00     131.26  489.3    140.79     1.90    -9999
JUNGFRAU1  031028 300  175500-180000   00     130.98  489.3    140.49     1.60    -9999
JUNGFRAU1  031028 300  180000-180500   00     131.06  489.3    140.58     1.70    -9999
JUNGFRAU1  031028 300  180500-181000   00     130.87  489.3    140.37     1.60    -9999
JUNGFRAU1  031028 300  181000-181500   00     131.28  489.3    140.81     1.90    -9999
JUNGFRAU1  031028 300  181500-182000   00     129.44  489.2    138.77     0.40    -9999
JUNGFRAU1  031028 300  182000-182500   00     130.67  489.2    140.01     1.30    -9999
JUNGFRAU1  031028 300  182500-183000   00     130.69  489.2    140.04     1.30    -9999
JUNGFRAU1  031028 300  183000-183500   00     129.49  489.1    138.68     0.40    -9999
JUNGFRAU1  031028 300  183500-184000   00     131.18  489.1    140.40     1.60    -9999
JUNGFRAU1  031028 300  184000-184500   00     130.97  489.1    140.21     1.40    -9999
JUNGFRAU1  031028 300  184500-185000   00     131.30  489.0    140.45     1.70    -9999
JUNGFRAU1  031028 300  185000-185500   00     129.05  489.1    138.16     0.00    -9999
JUNGFRAU1  031028 300  185500-190000   00     130.30  489.1    139.44     0.90    -9999
JUNGFRAU1  031028 300  190000-190500   00     130.84  489.0    139.98     1.30    -9999
JUNGFRAU1  031028 300  190500-191000   00     130.04  489.0    139.11     0.70    -9999
JUNGFRAU1  031028 300  191000-191500   00     130.60  489.0    139.73     1.10    -9999
JUNGFRAU1  031028 300  191500-192000   00     129.73  489.0    138.81     0.40    -9999
JUNGFRAU1  031028 300  192000-192500   00     131.02  488.9    140.05     1.30    -9999
JUNGFRAU1  031028 300  192500-193000   00     130.99  489.0    140.10     1.40    -9999
JUNGFRAU1  031028 300  193000-193500   00     129.89  488.9    138.84     0.50    -9999
JUNGFRAU1  031028 300  193500-194000   00     131.50  489.0    140.59     1.70    -9999
JUNGFRAU1  031028 300  194000-194500   00     130.79  489.0    139.85     1.20    -9999
JUNGFRAU1  031028 300  194500-195000   00     131.08  489.0    140.17     1.40    -9999
JUNGFRAU1  031028 300  195000-195500   00     131.68  488.9    140.75     1.80    -9999
JUNGFRAU1  031028 300  195500-200000   00     129.98  488.9    138.91     0.50    -9999
JUNGFRAU1  031028 300  200000-200500   00     131.99  488.9    140.97     2.00    -9999
JUNGFRAU1  031028 300  200500-201000   00     130.53  488.8    139.39     0.90    -9999
JUNGFRAU1  031028 300  201000-201500   00     130.23  488.8    139.06     0.60    -9999
JUNGFRAU1  031028 300  201500-202000   00     130.24  488.7    138.89     0.50    -9999
JUNGFRAU1  031028 300  202000-202500   00     130.18  488.8    138.94     0.50    -9999
JUNGFRAU1  031028 300  202500-203000   00     132.05  488.8    140.93     2.00    -9999
JUNGFRAU1  031028 300  203000-203500   00     131.71  488.8    140.60     1.70    -9999
JUNGFRAU1  031028 300  203500-204000   00     131.15  488.7    139.89     1.20    -9999
JUNGFRAU1  031028 300  204000-204500   00     131.11  488.7    139.88     1.20    -9999
JUNGFRAU1  031028 300  204500-205000   00     132.96  488.8    141.87     2.70    -9999
JUNGFRAU1  031028 300  205000-205500   00     131.53  488.7    140.27     1.50    -9999
JUNGFRAU1  031028 300  205500-210000   00     132.96  488.7    141.76     2.60    -9999
JUNGFRAU1  031028 300  210000-210500   00     131.15  488.6    139.72     1.10    -9999
JUNGFRAU1  031028 300  210500-211000   00     131.47  488.7    140.15     1.40    -9999
JUNGFRAU1  031028 300  211000-211500   00     130.83  488.7    139.49     1.00    -9999
JUNGFRAU1  031028 300  211500-212000   00     132.10  488.7    140.86     1.90    -9999
JUNGFRAU1  031028 300  212000-212500   00     131.05  488.6    139.65     1.10    -9999
JUNGFRAU1  031028 300  212500-213000   00     132.45  488.6    141.09     2.10    -9999
JUNGFRAU1  031028 300  213000-213500   00     130.28  488.6    138.83     0.50    -9999
JUNGFRAU1  031028 300  213500-214000   00     130.31  488.6    138.81     0.40    -9999
JUNGFRAU1  031028 300  214000-214500   00     131.17  488.5    139.58     1.00    -9999
JUNGFRAU1  031028 300  214500-215000   00     132.36  488.5    140.91     2.00    -9999
JUNGFRAU1  031028 300  215000-215500   00     131.73  488.4    140.11     1.40    -9999
JUNGFRAU1  031028 300  215500-220000   00     131.25  488.4    139.57     1.00    -9999
JUNGFRAU1  031028 300  220000-220500   00     130.31  488.4    138.56     0.30    -9999
JUNGFRAU1  031028 300  220500-221000   00     131.86  488.4    140.19     1.50    -9999
JUNGFRAU1  031028 300  221000-221500   00     131.26  488.4    139.55     1.00    -9999
JUNGFRAU1  031028 300  221500-222000   00     130.32  488.3    138.38     0.10    -9999
JUNGFRAU1  031028 300  222000-222500   00     132.69  488.1    140.74     1.80    -9999
JUNGFRAU1  031028 300  222500-223000   00     130.37  488.1    138.25     0.00    -9999
JUNGFRAU1  031028 300  223000-223500   00     130.89  488.1    138.78     0.40    -9999
JUNGFRAU1  031028 300  223500-224000   00     132.39  488.1    140.37     1.60    -9999
JUNGFRAU1  031028 300  224000-224500   00     133.59  488.0    141.57     2.40    -9999
JUNGFRAU1  031028 300  224500-225000   00     132.90  487.9    140.58     1.70    -9999
JUNGFRAU1  031028 300  225000-225500   00     132.18  487.8    139.78     1.20    -9999
JUNGFRAU1  031028 300  225500-230000   00     132.50  487.8    140.08     1.40    -9999
JUNGFRAU1  031028 300  230000-230500   00     131.86  487.8    139.41     0.90    -9999
JUNGFRAU1  031028 300  230500-231000   00     131.74  487.8    139.28     0.80    -9999
JUNGFRAU1  031028 300  231000-231500   00     131.47  487.8    139.00     0.60    -9999
JUNGFRAU1  031028 300  231500-232000   00     132.06  487.8    139.62     1.00    -9999
JUNGFRAU1  031028 300  232000-232500   00     131.84  487.8    139.40     0.90    -9999
JUNGFRAU1  031028 300  232500-233000   00     133.41  487.8    141.04     2.10    -9999
JUNGFRAU1  031028 300  233000-233500   00     132.14  487.8    139.71     1.10    -9999
JUNGFRAU1  031028 300  233500-234000   00     132.36  487.8    139.94     1.30    -9999
JUNGFRAU1  031028 300  234000-234500   00     132.19  487.8    139.76     1.10    -9999
JUNGFRAU1  031028 300  234500-235000   00     132.85  487.7    140.34     1.60    -9999
JUNGFRAU1  031028 300  235000-235500   00     132.31  487.8    139.84     1.20    -9999
JUNGFRAU1  031028 300  235500-240000   00     133.64  487.7    141.15     2.10    -9999
JUNGFRAU1  031029 300  000000-000500   00     133.35  487.6    140.69     1.80    -9999
JUNGFRAU1  031029 300  000500-001000   00     133.73  487.6    141.09     2.10    -9999
JUNGFRAU1  031029 300  001000-001500   00     131.97  487.6    139.29     0.80    -9999
JUNGFRAU1  031029 300  001500-002000   00     133.17  487.5    140.39     1.60    -9999
JUNGFRAU1  031029 300  002000-002500   00     132.49  487.5    139.70     1.10    -9999
JUNGFRAU1  031029 300  002500-003000   00     131.65  487.5    138.78     0.40    -9999
JUNGFRAU1  031029 300  003000-003500   00     133.93  487.5    141.19     2.20    -9999
JUNGFRAU1  031029 300  003500-004000   00     134.26  487.5    141.55     2.40    -9999
JUNGFRAU1  031029 300  004000-004500   00     134.48  487.5    141.77     2.60    -9999
JUNGFRAU1  031029 300  004500-005000   00     134.23  487.5    141.51     2.40    -9999
JUNGFRAU1  031029 300  005000-005500   00     133.11  487.5    140.33     1.50    -9999
JUNGFRAU1  031029 300  005500-010000   00     134.29  487.4    141.46     2.40    -9999
JUNGFRAU1  031029 300  010000-010500   00     133.65  487.3    140.68     1.80    -9999
JUNGFRAU1  031029 300  010500-011000   00     134.30  487.2    141.21     2.20    -9999
JUNGFRAU1  031029 300  011000-011500   00     135.41  487.2    142.34     3.00    -9999
JUNGFRAU1  031029 300  011500-012000   00     134.17  487.2    141.04     2.10    -9999
JUNGFRAU1  031029 300  012000-012500   00     134.96  487.0    141.62     2.50    -9999
JUNGFRAU1  031029 300  012500-013000   00     136.46  487.0    143.16     3.60    -9999
JUNGFRAU1  031029 300  013000-013500   00     134.32  486.9    140.84     1.90    -9999
JUNGFRAU1  031029 300  013500-014000   00     134.62  486.9    141.10     2.10    -9999
JUNGFRAU1  031029 300  014000-014500   00     135.43  486.9    141.95     2.70    -9999
JUNGFRAU1  031029 300  014500-015000   00     135.76  486.8    142.21     2.90    -9999
JUNGFRAU1  031029 300  015000-015500   00     133.76  486.7    139.94     1.30    -9999
JUNGFRAU1  031029 300  015500-020000   00     133.49  486.7    139.65     1.00    -9999
JUNGFRAU1  031029 300  020000-020500   00     135.36  486.7    141.60     2.50    -9999
JUNGFRAU1  031029 300  020500-021000   00     133.94  486.7    140.15     1.40    -9999
JUNGFRAU1  031029 300  021000-021500   00     133.09  486.6    139.15     0.70    -9999
JUNGFRAU1  031029 300  021500-022000   00     135.18  486.6    141.28     2.20    -9999
JUNGFRAU1  031029 300  022000-022500   00     136.29  486.6    142.39     3.00    -9999
JUNGFRAU1  031029 300  022500-023000   00     135.14  486.5    141.16     2.20    -9999
JUNGFRAU1  031029 300  023000-023500   00     135.00  486.6    141.07     2.10    -9999
JUNGFRAU1  031029 300  023500-024000   00     135.16  486.4    141.05     2.10    -9999
JUNGFRAU1  031029 300  024000-024500   00     135.00  486.4    140.79     1.90    -9999
JUNGFRAU1  031029 300  024500-025000   00     135.64  486.3    141.39     2.30    -9999
JUNGFRAU1  031029 300  025000-025500   00     135.34  486.3    141.05     2.10    -9999
JUNGFRAU1  031029 300  025500-030000   00     135.05  486.3    140.74     1.90    -9999
JUNGFRAU1  031029 300  030000-030500   00     135.48  486.3    141.18     2.20    -9999
JUNGFRAU1  031029 300  030500-031000   00     135.22  486.3    140.89     2.00    -9999
JUNGFRAU1  031029 300  031000-031500   00     135.16  486.3    140.82     1.90    -9999
JUNGFRAU1  031029 300  031500-032000   00     136.59  486.3    142.29     3.00    -9999
JUNGFRAU1  031029 300  032000-032500   00     133.45  486.2    138.97     0.60    -9999
JUNGFRAU1  031029 300  032500-033000   00     135.14  486.1    140.62     1.80    -9999
JUNGFRAU1  031029 300  033000-033500   00     134.47  486.1    139.90     1.20    -9999
JUNGFRAU1  031029 300  033500-034000   00     136.53  486.1    141.98     2.70    -9999
JUNGFRAU1  031029 300  034000-034500   00     135.13  486.0    140.43     1.60    -9999
JUNGFRAU1  031029 300  034500-035000   00     137.21  486.0    142.58     3.20    -9999
JUNGFRAU1  031029 300  035000-035500   00     135.33  486.0    140.61     1.80    -9999
JUNGFRAU1  031029 300  035500-040000   00     137.65  486.0    143.02     3.50    -9999
JUNGFRAU1  031029 300  040000-040500   00     135.96  485.9    141.15     2.10    -9999
JUNGFRAU1  031029 300  040500-041000   00     137.02  485.9    142.19     2.90    -9999
JUNGFRAU1  031029 300  041000-041500   00     136.77  485.8    141.88     2.70    -9999
JUNGFRAU1  031029 300  041500-042000   00     137.10  485.8    142.14     2.90    -9999
JUNGFRAU1  031029 300  042000-042500   00     138.45  485.8    143.57     3.90    -9999
JUNGFRAU1  031029 300  042500-043000   00     136.91  485.7    141.91     2.70    -9999
JUNGFRAU1  031029 300  043000-043500   00     137.40  485.7    142.37     3.00    -9999
JUNGFRAU1  031029 300  043500-044000   00     136.78  485.8    141.82     2.60    -9999
JUNGFRAU1  031029 300  044000-044500   00     136.67  485.7    141.62     2.50    -9999
JUNGFRAU1  031029 300  044500-045000   00     137.46  485.7    142.44     3.10    -9999
JUNGFRAU1  031029 300  045000-045500   00     138.32  485.6    143.18     3.60    -9999
JUNGFRAU1  031029 300  045500-050000   00     135.24  485.6    140.00     1.30    -9999
JUNGFRAU1  031029 300  050000-050500   00     134.19  485.5    138.83     0.40    -9999
JUNGFRAU1  031029 300  050500-051000   00     136.03  485.4    140.54     1.70    -9999
JUNGFRAU1  031029 300  051000-051500   00     137.85  485.3    142.28     3.00    -9999
JUNGFRAU1  031029 300  051500-052000   00     136.68  485.3    141.13     2.10    -9999
JUNGFRAU1  031029 300  052000-052500   00     137.42  485.2    141.68     2.50    -9999
JUNGFRAU1  031029 300  052500-053000   00     139.55  485.1    143.79     4.10    -9999
JUNGFRAU1  031029 300  053000-053500   00     139.24  485.1    143.47     3.80    -9999
JUNGFRAU1  031029 300  053500-054000   00     138.32  485.1    142.47     3.10    -9999
JUNGFRAU1  031029 300  054000-054500   00     139.52  485.1    143.74     4.00    -9999
JUNGFRAU1  031029 300  054500-055000   00     139.90  485.1    144.13     4.30    -9999
JUNGFRAU1  031029 300  055000-055500   00     140.52  485.0    144.63     4.70    -9999
JUNGFRAU1  031029 300  055500-060000   00     139.82  484.9    143.74     4.00    -9999
JUNGFRAU1  031029 300  060000-060500   00     140.81  484.9    144.79     4.80    -9999
JUNGFRAU1  031029 300  060500-061000   00     140.71  484.9    144.65     4.70    -9999
JUNGFRAU1  031029 300  061000-061500   00     140.93  484.8    144.77     4.80    -9999
JUNGFRAU1  031029 300  061500-062000   00     139.48  484.8    143.23     3.60    -9999
JUNGFRAU1  031029 300  062000-062500   00     139.75  484.7    143.37     3.70    -9999
JUNGFRAU1  031029 300  062500-063000   00     138.78  484.6    142.24     2.90    -9999
JUNGFRAU1  031029 300  063000-063500   00     136.98  484.8    140.68     1.80    -9999
JUNGFRAU1  031029 300  063500-064000   00     133.23  484.8    136.86    -1.00    -9999
JUNGFRAU1  031029 300  064000-064500   00     133.62  484.7    137.18    -0.70    -9999
JUNGFRAU1  031029 300  064500-065000   00     136.14  484.8    139.80     1.20    -9999
JUNGFRAU1  031029 300  065000-065500   00     135.11  484.5    138.39     0.10    -9999
JUNGFRAU1  031029 300  065500-070000   00     135.75  484.6    139.18     0.70    -9999
JUNGFRAU1  031029 300  070000-070500   00     137.45  484.6    140.95     2.00    -9999
JUNGFRAU1  031029 300  070500-071000   00     135.70  484.6    139.13     0.70    -9999
JUNGFRAU1  031029 300  071000-071500   00     135.63  484.6    139.03     0.60    -9999
JUNGFRAU1  031029 300  071500-072000   00     136.05  484.6    139.44     0.90    -9999
JUNGFRAU1  031029 300  072000-072500   00     137.73  484.5    141.08     2.10    -9999
JUNGFRAU1  031029 300  072500-073000   00     137.79  484.5    141.14     2.10    -9999
JUNGFRAU1  031029 300  073000-073500   00     137.20  484.5    140.52     1.70    -9999
JUNGFRAU1  031029 300  073500-074000   00     135.51  484.4    138.61     0.30    -9999
JUNGFRAU1  031029 300  074000-074500   00     136.90  484.3    139.90     1.20    -9999
JUNGFRAU1  031029 300  074500-075000   00     135.40  484.2    138.29     0.10    -9999
