IRKUTSK2   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    2000 M
IRKUTSK2   INSTRUMENT   12NM64    NEUTRON MONITOR     
IRKUTSK2   STANDARD PRESSURE    789.2   mb     COEFFICIENT   -0.713    % / mb
IRKUTSK2   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
IRKUTSK2   PRE-INCREASE AVERAGE COUNTING RATE    451.78      COUNTS PER SECOND
IRKUTSK2   TIME INTERVALS    300         3600     
IRKUTSK2   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK2   061212 3600 000000-010000   00     455.47  787.9    451.27    -0.11    -9999
IRKUTSK2   061212 3600 010000-020000   00     454.21  788.1    450.66    -0.25    -9999
IRKUTSK2   061212 3600 020000-030000   00     452.27  788.5    450.01    -0.39    -9999
IRKUTSK2   061212 3600 030000-040000   00     453.28  788.6    451.34    -0.10    -9999
IRKUTSK2   061212 3600 040000-050000   00     454.54  788.7    452.92     0.25    -9999
IRKUTSK2   061212 3600 050000-060000   00     456.00  788.7    454.38     0.57    -9999
IRKUTSK2   061212 3600 060000-070000   00     456.00  789.1    455.67     0.86    -9999
IRKUTSK2   061212 3600 070000-080000   00     452.29  789.6    453.58     0.40    -9999
IRKUTSK2   061212 3600 080000-090000   00     447.98  790.3    451.51    -0.06    -9999
IRKUTSK2   061212 3600 090000-100000   00     445.14  790.9    450.56    -0.27    -9999
IRKUTSK2   061212 3600 100000-110000   00     445.76  791.2    452.16     0.08    -9999
IRKUTSK2   061212 3600 110000-120000   00     444.55  791.4    451.58    -0.04    -9999
IRKUTSK2   061212 3600 120000-130000   00     440.35  791.7    448.27    -0.78    -9999
IRKUTSK2   061212 3600 130000-140000   00     441.80  791.7    449.75    -0.45    -9999
IRKUTSK2   061212 3600 140000-150000   00     441.65  791.7    449.59    -0.48    -9999
IRKUTSK2   061212 3600 150000-160000   00     442.35  791.4    449.34    -0.54    -9999
IRKUTSK2   061212 3600 160000-170000   00     442.87  791.2    449.23    -0.56    -9999
IRKUTSK2   061212 3600 170000-180000   00     444.15  790.9    449.56    -0.49    -9999
IRKUTSK2   061212 3600 180000-190000   00     447.23  790.5    451.40    -0.08    -9999
IRKUTSK2   061212 3600 190000-200000   00     447.01  790.3    450.53    -0.28    -9999
IRKUTSK2   061212 3600 200000-210000   00     448.62  789.9    450.87    -0.20    -9999
IRKUTSK2   061212 3600 210000-220000   00     449.38  789.7    450.98    -0.18    -9999
IRKUTSK2   061212 3600 220000-230000   00     448.45  789.6    449.73    -0.45    -9999
IRKUTSK2   061212 3600 230000-240000   00     448.80  789.5    449.76    -0.45    -9999
IRKUTSK2   061213 3600 000000-010000   00     450.56  789.4    451.20    -0.13    -9999
IRKUTSK2   061213 300  010000-010500   00     450.53  789.2    450.50    -0.28    -9999
IRKUTSK2   061213 300  010500-011000   00     451.09  789.2    451.01    -0.17    -9999
IRKUTSK2   061213 300  011000-011500   00     451.78  789.2    451.65    -0.03    -9999
IRKUTSK2   061213 300  011500-012000   00     451.44  789.1    451.26    -0.11    -9999
IRKUTSK2   061213 300  012000-012500   00     449.57  789.1    449.34    -0.54    -9999
IRKUTSK2   061213 300  012500-013000   00     450.81  789.1    450.52    -0.28    -9999
IRKUTSK2   061213 300  013000-013500   00     453.71  789.1    453.36     0.35    -9999
IRKUTSK2   061213 300  013500-014000   00     451.11  789.1    450.71    -0.24    -9999
IRKUTSK2   061213 300  014000-014500   00     452.89  789.1    452.43     0.14    -9999
IRKUTSK2   061213 300  014500-015000   00     451.59  789.0    451.09    -0.15    -9999
IRKUTSK2   061213 300  015000-015500   00     452.90  789.0    452.34     0.12    -9999
IRKUTSK2   061213 300  015500-020000   00     453.97  789.0    453.35     0.35    -9999
IRKUTSK2   061213 300  020000-020500   00     453.80  789.0    453.15     0.30     0.30
IRKUTSK2   061213 300  020500-021000   00     453.88  789.0    453.19     0.31     0.30
IRKUTSK2   061213 300  021000-021500   00     455.09  789.0    454.38     0.58     0.56
IRKUTSK2   061213 300  021500-022000   00     451.67  789.0    450.94    -0.19    -0.22
IRKUTSK2   061213 300  022000-022500   00     456.18  789.0    455.41     0.80     0.76
IRKUTSK2   061213 300  022500-023000   00     452.46  789.0    451.67    -0.02    -0.07
IRKUTSK2   061213 300  023000-023500   00     456.76  788.9    455.94     0.92     0.86
IRKUTSK2   061213 300  023500-024000   00     451.75  788.9    450.90    -0.19    -0.26
IRKUTSK2   061213 300  024000-024500   00     451.85  788.9    450.98    -0.18    -0.26
IRKUTSK2   061213 300  024500-025000   00     455.38  788.9    454.47     0.60     0.51
IRKUTSK2   061213 300  025000-025500   00     461.85  788.9    460.90     2.02     1.92
IRKUTSK2   061213 300  025500-030000   00     465.56  788.9    464.59     2.84     2.73
IRKUTSK2   061213 300  030000-030500   00     472.33  788.9    471.27     4.31     4.19
IRKUTSK2   061213 300  030500-031000   00     473.37  788.9    472.20     4.52     4.40
IRKUTSK2   061213 300  031000-031500   00     471.28  788.8    470.00     4.03     3.90
IRKUTSK2   061213 300  031500-032000   00     469.71  788.8    468.33     3.66     3.52
IRKUTSK2   061213 300  032000-032500   00     472.47  788.8    470.97     4.25     4.10
IRKUTSK2   061213 300  032500-033000   00     470.23  788.7    468.63     3.73     3.58
IRKUTSK2   061213 300  033000-033500   00     467.79  788.7    466.08     3.16     3.00
IRKUTSK2   061213 300  033500-034000   00     466.53  788.7    464.71     2.86     2.69
IRKUTSK2   061213 300  034000-034500   00     464.44  788.6    462.53     2.38     2.21
IRKUTSK2   061213 300  034500-035000   00     466.28  788.6    464.25     2.76     2.58
IRKUTSK2   061213 300  035000-035500   00     465.32  788.6    463.18     2.52     2.33
IRKUTSK2   061213 300  035500-040000   00     469.42  788.5    467.15     3.40     3.21
IRKUTSK2   061213 300  040000-040500   00     465.16  788.5    462.82     2.44     2.24
IRKUTSK2   061213 300  040500-041000   00     465.57  788.5    463.18     2.52     2.32
IRKUTSK2   061213 300  041000-041500   00     467.99  788.5    465.53     3.04     2.83
IRKUTSK2   061213 300  041500-042000   00     465.27  788.4    462.76     2.43     2.22
