MCMURDO    LATITUDE    -77.95    LONGITUDE     166.6     ALTITUDE    48 M
MCMURDO    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MCMURDO    STANDARD PRESSURE    963.3   mb     COEFFICIENT   -0.74     % / mb
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    245.95      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    300         3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MCMURDO    010415 300  120000-120500   00     243.10  963.3    243.10    -1.20    -9999
MCMURDO    010415 300  120500-121000   00     248.08  963.3    248.06     0.90    -9999
MCMURDO    010415 300  121000-121500   00     245.76  963.3    245.73    -0.10    -9999
MCMURDO    010415 300  121500-122000   00     243.10  963.3    243.07    -1.20    -9999
MCMURDO    010415 300  122000-122500   00     247.08  963.3    247.06     0.40    -9999
MCMURDO    010415 300  122500-123000   00     245.09  963.3    245.08    -0.40    -9999
MCMURDO    010415 300  123000-123500   00     247.75  963.3    247.75     0.70    -9999
MCMURDO    010415 300  123500-124000   00     247.75  963.3    247.77     0.70    -9999
MCMURDO    010415 300  124000-124500   00     244.76  963.4    244.82    -0.50    -9999
MCMURDO    010415 300  124500-125000   00     246.42  963.4    246.52     0.20    -9999
MCMURDO    010415 300  125000-125500   00     245.76  963.4    245.90     0.00    -9999
MCMURDO    010415 300  125500-130000   00     246.75  963.4    246.94     0.40    -9999
MCMURDO    010415 300  130000-130500   00     246.09  963.6    246.52     0.20     0.04
MCMURDO    010415 300  130500-131000   00     243.77  963.6    244.25    -0.70    -0.88
MCMURDO    010415 300  131000-131500   00     245.76  963.6    246.30     0.10    -0.11
MCMURDO    010415 300  131500-132000   00     245.09  963.7    245.69    -0.10    -0.33
MCMURDO    010415 300  132000-132500   00     243.44  963.7    244.08    -0.70    -0.95
MCMURDO    010415 300  132500-133000   00     242.11  963.7    242.79    -1.30    -1.57
MCMURDO    010415 300  133000-133500   00     244.43  963.7    245.16    -0.30    -0.59
MCMURDO    010415 300  133500-134000   00     245.43  963.8    246.20     0.10    -0.21
MCMURDO    010415 300  134000-134500   00     243.44  963.8    244.24    -0.70    -1.03
MCMURDO    010415 300  134500-135000   00     246.09  963.8    246.93     0.40     0.05
MCMURDO    010415 300  135000-135500   00     247.75  963.8    248.62     1.10     0.73
MCMURDO    010415 300  135500-140000   00     254.38  963.8    255.31     3.80     3.41
MCMURDO    010415 300  140000-140500   00     309.77  963.8    310.81    26.40    25.99
MCMURDO    010415 300  140500-141000   00     379.41  963.8    380.72    54.80    54.37
MCMURDO    010415 300  141000-141500   00     445.08  963.8    446.66    81.60    81.15
MCMURDO    010415 300  141500-142000   00     447.74  963.8    449.36    82.70    82.23
MCMURDO    010415 300  142000-142500   00     455.36  963.8    457.07    85.80    85.31
