YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
YAKUTSK    STANDARD PRESSURE    1000    mb     COEFFICIENT   -0.72     % / mb
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    229.20      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
YAKUTSK    211028 300  143500-144000   00     231.49 1001.5    228.93    -0.12    -9999
YAKUTSK    211028 300  144000-144500   00     230.19 1001.6    227.79    -0.62    -9999
YAKUTSK    211028 300  144500-145000   00     231.15 1001.7    228.85    -0.15    -9999
YAKUTSK    211028 300  145000-145500   00     230.77 1001.8    228.64    -0.24    -9999
YAKUTSK    211028 300  145500-150000   00     231.33 1001.8    229.28     0.03    -9999
YAKUTSK    211028 300  150000-150500   00     230.80 1001.9    228.91    -0.13    -0.02
YAKUTSK    211028 300  150500-151000   00     232.27 1002.0    230.45     0.55     0.67
YAKUTSK    211028 300  151000-151500   00     230.75 1002.1    229.12    -0.03     0.09
YAKUTSK    211028 300  151500-152000   00     229.49 1002.1    227.95    -0.55    -0.42
YAKUTSK    211028 300  152000-152500   00     228.59 1002.2    227.17    -0.88    -0.75
YAKUTSK    211028 300  152500-153000   00     229.71 1002.2    228.37    -0.36    -0.22
YAKUTSK    211028 300  153000-153500   00     231.60 1002.3    230.35     0.50     0.64
YAKUTSK    211028 300  153500-154000   00     228.91 1002.4    227.81    -0.61    -0.47
YAKUTSK    211028 300  154000-154500   00     227.79 1002.5    226.85    -1.02    -0.87
YAKUTSK    211028 300  154500-155000   00     230.13 1002.5    229.20     0.00     0.15
YAKUTSK    211028 300  155000-155500   00     226.83 1002.5    225.89    -1.44    -1.29
YAKUTSK    211028 300  155500-160000   00     231.15 1002.5    230.29     0.48     0.63
YAKUTSK    211028 300  160000-160500   00     231.39 1002.6    230.64     0.63     0.78
YAKUTSK    211028 300  160500-161000   00     230.88 1002.7    230.27     0.47     0.62
YAKUTSK    211028 300  161000-161500   00     230.16 1002.8    229.71     0.22     0.37
YAKUTSK    211028 300  161500-162000   00     232.27 1002.9    231.95     1.20     1.35
YAKUTSK    211028 300  162000-162500   00     231.07 1002.9    230.88     0.73     0.87
YAKUTSK    211028 300  162500-163000   00     231.60 1003.0    231.49     1.00     1.14
YAKUTSK    211028 300  163000-163500   00     233.76 1003.0    233.76     1.99     2.13
YAKUTSK    211028 300  163500-164000   00     236.00 1003.1    236.00     2.97     3.10
YAKUTSK    211028 300  164000-164500   00     232.72 1003.1    232.85     1.59     1.72
YAKUTSK    211028 300  164500-165000   00     233.09 1003.2    233.39     1.83     1.95
YAKUTSK    211028 300  165000-165500   00     232.61 1003.3    233.01     1.66     1.78
YAKUTSK    211028 300  165500-170000   00     234.83 1003.3    235.23     2.63     2.74
YAKUTSK    211028 300  170000-170500   00     233.89 1003.3    234.40     2.27     2.38
YAKUTSK    211028 300  170500-171000   00     233.41 1003.4    234.00     2.09     2.19
YAKUTSK    211028 300  171000-171500   00     231.63 1003.5    232.40     1.40     1.49
YAKUTSK    211028 300  171500-172000   00     232.56 1003.6    233.49     1.87     1.95
YAKUTSK    211028 300  172000-172500   00     231.04 1003.7    232.11     1.27     1.35
YAKUTSK    211028 300  172500-173000   00     230.37 1003.7    231.55     1.02     1.09
YAKUTSK    211028 300  173000-173500   00     229.49 1003.8    230.72     0.66     0.72
YAKUTSK    211028 300  173500-174000   00     232.16 1003.9    233.55     1.90     1.95
YAKUTSK    211028 300  174000-174500   00     230.96 1004.0    232.51     1.44     1.48
YAKUTSK    211028 300  174500-175000   00     230.11 1004.0    231.73     1.11     1.14
YAKUTSK    211028 300  175000-175500   00     229.76 1004.1    231.44     0.98     0.99
YAKUTSK    211028 300  175500-180000   00     233.44 1004.1    235.17     2.61     2.61
YAKUTSK    211028 300  180000-180500   00     231.23 1004.1    232.99     1.65     1.64
YAKUTSK    211028 300  180500-181000   00     229.71 1004.2    231.60     1.05     1.02
YAKUTSK    211028 300  181000-181500   00     228.93 1004.2    230.91     0.74     0.70
YAKUTSK    211028 300  181500-182000   00     227.81 1004.3    229.92     0.31     0.26
YAKUTSK    211028 300  182000-182500   00     228.85 1004.4    231.07     0.81     0.74
YAKUTSK    211028 300  182500-183000   00     229.89 1004.4    232.16     1.29     1.21
YAKUTSK    211028 300  183000-183500   00     231.15 1004.5    233.52     1.88     1.78
YAKUTSK    211028 300  183500-184000   00     229.73 1004.5    232.24     1.33     1.21
YAKUTSK    211028 300  184000-184500   00     228.48 1004.6    231.12     0.84     0.71
YAKUTSK    211028 300  184500-185000   00     228.61 1004.7    231.31     0.92     0.77
YAKUTSK    211028 300  185000-185500   00     230.19 1004.6    232.85     1.59     1.42
YAKUTSK    211028 300  185500-190000   00     228.80 1004.7    231.52     1.01     0.82
YAKUTSK    211028 300  190000-190500   00     229.09 1004.7    231.87     1.16     0.95
YAKUTSK    211028 300  190500-191000   00     227.04 1004.7    229.84     0.28     0.05
YAKUTSK    211028 300  191000-191500   00     225.41 1004.8    228.32    -0.38    -0.63
YAKUTSK    211028 300  191500-192000   00     227.28 1004.9    230.27     0.47     0.20
YAKUTSK    211028 300  192000-192500   00     225.33 1004.9    228.40    -0.35    -0.64
YAKUTSK    211028 300  192500-193000   00     228.03 1005.0    231.23     0.88     0.57
YAKUTSK    211028 300  193000-193500   00     227.36 1005.0    230.64     0.63     0.30
YAKUTSK    211028 300  193500-194000   00     225.20 1005.1    228.56    -0.28    -0.64
YAKUTSK    211028 300  194000-194500   00     225.92 1005.1    229.33     0.06    -0.32
YAKUTSK    211028 300  194500-195000   00     227.12 1005.2    230.61     0.62     0.21
YAKUTSK    211028 300  195000-195500   00     226.19 1005.2    229.79     0.26    -0.17
YAKUTSK    211028 300  195500-200000   00     225.63 1005.3    229.33     0.06    -0.40
YAKUTSK    211028 300  200000-200500   00     228.21 1005.3    231.97     1.21    -9999
YAKUTSK    211028 300  200500-201000   00     227.15 1005.3    230.91     0.74    -9999
YAKUTSK    211028 300  201000-201500   00     226.72 1005.3    230.53     0.58    -9999
YAKUTSK    211028 300  201500-202000   00     225.31 1005.4    229.23     0.01    -9999
YAKUTSK    211028 300  202000-202500   00     225.31 1005.5    229.31     0.05    -9999
YAKUTSK    211028 300  202500-203000   00     224.37 1005.6    228.45    -0.33    -9999
YAKUTSK    211028 300  203000-203500   00     225.65 1005.6    229.97     0.34    -9999
YAKUTSK    211028 300  203500-204000   00     227.07 1005.7    231.55     1.02    -9999
YAKUTSK    211028 300  204000-204500   00     225.60 1005.8    230.11     0.40    -9999
YAKUTSK    211028 300  204500-205000   00     224.99 1005.8    229.47     0.12    -9999
YAKUTSK    211028 300  205000-205500   00     225.68 1005.9    230.32     0.49    -9999
YAKUTSK    211028 300  205500-210000   00     223.97 1006.0    228.75    -0.20    -9999
YAKUTSK    211028 300  210000-210500   00     225.31 1006.0    230.21     0.44    -9999
YAKUTSK    211028 300  210500-211000   00     225.41 1006.0    230.29     0.48    -9999
YAKUTSK    211028 300  211000-211500   00     224.48 1006.1    229.44     0.10    -9999
YAKUTSK    211028 300  211500-212000   00     226.80 1006.1    231.92     1.19    -9999
YAKUTSK    211028 300  212000-212500   00     224.88 1006.2    229.97     0.34    -9999
YAKUTSK    211028 300  212500-213000   00     226.43 1006.2    231.73     1.11    -9999
YAKUTSK    211028 300  213000-213500   00     228.29 1006.3    233.71     1.97    -9999
YAKUTSK    211028 300  213500-214000   00     228.83 1006.3    234.21     2.19    -9999
YAKUTSK    211028 300  214000-214500   00     228.96 1006.2    234.19     2.18    -9999
YAKUTSK    211028 300  214500-215000   00     226.37 1006.2    231.57     1.04    -9999
YAKUTSK    211028 300  215000-215500   00     227.31 1006.3    232.69     1.52    -9999
YAKUTSK    211028 300  215500-220000   00     227.36 1006.4    232.91     1.62    -9999
YAKUTSK    211028 300  220000-220500   00     226.37 1006.4    232.00     1.22    -9999
YAKUTSK    211028 300  220500-221000   00     227.71 1006.5    233.49     1.87    -9999
YAKUTSK    211028 300  221000-221500   00     226.48 1006.6    232.35     1.37    -9999
YAKUTSK    211028 300  221500-222000   00     227.31 1006.6    233.28     1.78    -9999
YAKUTSK    211028 300  222000-222500   00     228.96 1006.6    234.99     2.52    -9999
YAKUTSK    211028 300  222500-223000   00     228.91 1006.6    234.96     2.51    -9999
YAKUTSK    211028 300  223000-223500   00     228.64 1006.7    234.83     2.46    -9999
YAKUTSK    211028 300  223500-224000   00     225.12 1006.8    231.31     0.92    -9999
YAKUTSK    211028 300  224000-224500   00     225.39 1006.9    231.71     1.09    -9999
YAKUTSK    211028 300  224500-225000   00     223.71 1006.9    230.05     0.37    -9999
YAKUTSK    211028 300  225000-225500   00     225.36 1007.0    231.89     1.17    -9999
YAKUTSK    211028 300  225500-230000   00     226.27 1007.1    232.96     1.64    -9999
YAKUTSK    211028 300  230000-230500   00     227.31 1007.2    234.13     2.15    -9999
YAKUTSK    211028 300  230500-231000   00     224.99 1007.2    231.92     1.19    -9999
YAKUTSK    211028 300  231000-231500   00     227.68 1007.3    234.88     2.48    -9999
YAKUTSK    211028 300  231500-232000   00     225.23 1007.4    232.48     1.43    -9999
YAKUTSK    211028 300  232000-232500   00     223.97 1007.5    231.31     0.92    -9999
YAKUTSK    211028 300  232500-233000   00     224.64 1007.5    232.03     1.23    -9999
YAKUTSK    211028 300  233000-233500   00     225.60 1007.6    233.12     1.71    -9999
YAKUTSK    211028 300  233500-234000   00     224.37 1007.6    231.92     1.19    -9999
YAKUTSK    211028 300  234000-234500   00     227.01 1007.6    234.69     2.40    -9999
YAKUTSK    211028 300  234500-235000   00     223.76 1007.7    231.36     0.94    -9999
YAKUTSK    211028 300  235000-235500   00     224.37 1007.7    232.08     1.26    -9999
YAKUTSK    211028 300  235500-000000   00     225.71 1007.7    233.49     1.87    -9999
YAKUTSK    211029 3600 000000-010000   00     224.01 1008.0    232.24     1.33    -9999
YAKUTSK    211029 3600 010000-020000   00     223.14 1008.4    231.97     1.21    -9999
YAKUTSK    211029 3600 020000-030000   00     223.00 1008.6    232.16     1.29    -9999
YAKUTSK    211029 3600 030000-040000   00     223.71 1008.6    232.90     1.62    -9999
YAKUTSK    211029 3600 040000-050000   00     222.70 1008.5    231.66     1.08    -9999
YAKUTSK    211029 3600 050000-060000   00     222.78 1008.7    232.06     1.25    -9999
YAKUTSK    211029 3600 060000-070000   00     222.21 1009.2    232.33     1.36    -9999
YAKUTSK    211029 3600 070000-080000   00     219.80 1010.0    231.16     0.86    -9999
YAKUTSK    211029 3600 080000-090000   00     218.89 1010.6    231.21     0.88    -9999
YAKUTSK    211029 3600 090000-100000   00     217.32 1011.0    230.26     0.46    -9999
