YAKUTSK    LATITUDE    62.02     LONGITUDE     129.72    ALTITUDE    105 M
YAKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
YAKUTSK    STANDARD PRESSURE    1003    MB     COEFFICIENT   -0.715    % / MB
YAKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
YAKUTSK    PRE-INCREASE AVERAGE COUNTING RATE     77.62      COUNTS PER SECOND
YAKUTSK    TIME INTERVALS    300         3600     
YAKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
YAKUTSK    000714 300  114500-115000   00      90.77  996.2     88.32    13.80    13.61
YAKUTSK    000714 300  115000-115500   00      91.41  996.1     88.91    14.50    14.30
YAKUTSK    000714 300  115500-120000   00      92.64  996.1     90.08    16.10    15.90
YAKUTSK    000714 300  120000-120500   00      88.85  996.2     86.51    11.40    11.19
YAKUTSK    000714 300  120500-121000   00      88.43  996.2     86.03    10.80    10.58
YAKUTSK    000714 300  121000-121500   00      88.75  996.2     86.35    11.20    10.97
YAKUTSK    000714 300  121500-122000   00      89.49  996.2     87.09    12.20    11.97
YAKUTSK    000714 300  122000-122500   00      88.00  996.3     85.71    10.40    10.16
YAKUTSK    000714 300  122500-123000   00      88.16  996.3     85.92    10.70    10.45
YAKUTSK    000714 300  123000-123500   00      86.83  996.3     84.59     9.00     8.75
YAKUTSK    000714 300  123500-124000   00      87.04  996.3     84.75     9.20     8.94
YAKUTSK    000714 300  124000-124500   00      86.51  996.3     84.21     8.50     8.23
YAKUTSK    000714 300  124500-125000   00      85.87  996.3     83.63     7.70     7.42
YAKUTSK    000714 300  125000-125500   00      85.81  996.3     83.57     7.70     7.42
YAKUTSK    000714 300  125500-130000   00      85.39  996.2     83.15     7.10     6.81
YAKUTSK    000714 300  130000-130500   00      85.28  996.3     83.04     7.00     6.70
YAKUTSK    000714 300  130500-131000   00      85.28  996.3     83.04     7.00     6.69
YAKUTSK    000714 300  131000-131500   00      85.17  996.3     82.93     6.80     6.49
YAKUTSK    000714 300  131500-132000   00      84.27  996.3     82.03     5.70     5.38
YAKUTSK    000714 300  132000-132500   00      83.89  996.3     81.65     5.20     4.87
YAKUTSK    000714 300  132500-133000   00      83.31  996.3     81.12     4.50     4.17
