BERN       LATITUDE    46.95     LONGITUDE     7.45      ALTITUDE    570 M
BERN       INSTRUMENT   SPECIAL  NEUTRON MONITOR	
BERN       STANDARD PRESSURE    710     MMHG   COEFFICIENT   -0.9557   % / MMHG
BERN       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
BERN       PRE-INCREASE AVERAGE COUNTING RATE     45.54      COUNTS PER SECOND
BERN       TIME INTERVALS    300         3600     
BERN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
BERN       061212 3600 000000-010000   20      41.14  719.3     44.96    -1.30    -9999
BERN       061212 3600 010000-020000   20      41.49  719.2     45.31    -0.50    -9999
BERN       061212 3600 020000-030000   20      41.06  719.2     44.85    -1.50    -9999
BERN       061212 3600 030000-040000   20      41.03  719.2     44.81    -1.60    -9999
BERN       061212 3600 040000-050000   20      41.24  719.4     45.10    -1.00    -9999
BERN       061212 3600 050000-060000   20      41.00  719.8     45.03    -1.10    -9999
BERN       061212 3600 060000-070000   20      41.11  720.0     45.27    -0.60    -9999
BERN       061212 3600 070000-080000   20      40.84  720.2     45.03    -1.10    -9999
BERN       061212 3600 080000-090000   20      41.24  720.8     45.71     0.40    -9999
BERN       061212 3600 090000-100000   20      41.36  720.9     45.91     0.80    -9999
BERN       061212 3600 100000-110000   20      41.18  720.8     45.63     0.20    -9999
BERN       061212 3600 110000-120000   20      41.11  720.3     45.37    -0.40    -9999
BERN       061212 3600 120000-130000   20      41.42  719.8     45.51    -0.10    -9999
BERN       061212 3600 130000-140000   20      41.70  719.5     45.69     0.30    -9999
BERN       061212 3600 140000-150000   20      41.76  719.4     45.67     0.30    -9999
BERN       061212 3600 150000-160000   20      41.67  719.3     45.55     0.00    -9999
BERN       061212 3600 160000-170000   20      41.28  719.6     45.24    -0.70    -9999
BERN       061212 3600 170000-180000   20      41.23  720.0     45.37    -0.40    -9999
BERN       061212 3600 180000-190000   20      40.89  720.3     45.12    -0.90    -9999
BERN       061212 3600 190000-200000   20      40.96  720.4     45.27    -0.60    -9999
BERN       061212 3600 200000-210000   20      40.66  720.8     45.06    -1.10    -9999
BERN       061212 3600 210000-220000   20      40.82  721.0     45.34    -0.40    -9999
BERN       061212 3600 220000-230000   20      40.47  721.5     45.16    -0.90    -9999
BERN       061212 3600 230000-240000   20      41.04  721.7     45.89     0.70    -9999
BERN       061213 300  000000-000500   20      40.45  721.6     45.20    -0.80    -9999
BERN       061213 300  000500-001000   20      40.89  721.5     45.64     0.20    -9999
BERN       061213 300  001000-001500   20      40.55  721.5     45.27    -0.60    -9999
BERN       061213 300  001500-002000   20      40.23  721.5     44.91    -1.40    -9999
BERN       061213 300  002000-002500   20      40.14  721.5     44.80    -1.60    -9999
BERN       061213 300  002500-003000   20      41.61  721.6     46.49     2.10    -9999
BERN       061213 300  003000-003500   20      40.70  721.6     45.48    -0.10    -9999
BERN       061213 300  003500-004000   20      39.53  721.6     44.17    -3.00    -9999
BERN       061213 300  004000-004500   20      39.69  721.6     44.35    -2.60    -9999
BERN       061213 300  004500-005000   20      40.53  721.6     45.29    -0.60    -9999
BERN       061213 300  005000-005500   20      39.72  721.6     44.38    -2.60    -9999
BERN       061213 300  005500-010000   20      40.73  721.6     45.51    -0.10    -9999
BERN       061213 300  010000-010500   20      42.05  721.6     46.98     3.20    -9999
BERN       061213 300  010500-011000   20      40.78  721.7     45.61     0.10    -9999
BERN       061213 300  011000-011500   20      40.95  721.8     45.84     0.70    -9999
BERN       061213 300  011500-012000   20      39.58  721.7     44.26    -2.80    -9999
BERN       061213 300  012000-012500   20      40.18  721.8     44.98    -1.20    -9999
BERN       061213 300  012500-013000   20      41.02  721.9     45.96     0.90    -9999
BERN       061213 300  013000-013500   20      39.71  721.9     44.50    -2.30    -9999
BERN       061213 300  013500-014000   20      41.88  722.0     46.98     3.20    -9999
BERN       061213 300  014000-014500   20      39.99  722.1     44.90    -1.40    -9999
BERN       061213 300  014500-015000   20      40.93  722.0     45.90     0.80    -9999
BERN       061213 300  015000-015500   20      41.12  722.0     46.13     1.30    -9999
BERN       061213 300  015500-020000   20      39.62  722.1     44.49    -2.30    -9999
BERN       061213 300  020000-020500   20      39.93  722.1     44.83    -1.60    -1.60
BERN       061213 300  020500-021000   20      40.26  722.0     45.16    -0.90    -0.90
BERN       061213 300  021000-021500   20      39.00  721.9     43.70    -4.00    -4.00
BERN       061213 300  021500-022000   20      40.91  721.9     45.84     0.70     0.70
BERN       061213 300  022000-022500   20      41.51  722.0     46.56     2.20     2.20
BERN       061213 300  022500-023000   20      39.49  721.9     44.25    -2.80    -2.80
BERN       061213 300  023000-023500   20      41.24  721.9     46.21     1.50     1.50
BERN       061213 300  023500-024000   20      39.41  722.1     44.24    -2.90    -2.90
BERN       061213 300  024000-024500   20      40.84  722.2     45.89     0.80     0.80
BERN       061213 300  024500-025000   20      40.26  722.2     45.25    -0.60    -0.60
BERN       061213 300  025000-025500   20      41.29  722.3     46.44     2.00     2.00
BERN       061213 300  025500-030000   20      43.01  722.3     48.38     6.20     6.20
BERN       061213 300  030000-030500   20      43.04  722.3     48.42     6.30     6.30
BERN       061213 300  030500-031000   20      41.53  722.3     46.71     2.60     2.60
BERN       061213 300  031000-031500   20      40.97  722.3     46.08     1.20     1.20
BERN       061213 300  031500-032000   20      39.50  722.2     44.39    -2.50    -2.50
BERN       061213 300  032000-032500   20      41.18  722.3     46.32     1.70     1.70
BERN       061213 300  032500-033000   20      40.30  722.3     45.33    -0.50    -0.50
BERN       061213 300  033000-033500   20      40.72  722.3     45.80     0.60    -9999
BERN       061213 300  033500-034000   20      40.71  722.3     45.79     0.50    -9999
BERN       061213 300  034000-034500   20      40.04  722.5     45.13    -0.90    -9999
BERN       061213 300  034500-035000   20      39.21  722.5     44.19    -3.00    -9999
BERN       061213 300  035000-035500   20      40.80  722.5     45.98     1.00    -9999
BERN       061213 300  035500-040000   20      40.50  722.6     45.68     0.30    -9999
BERN       061213 300  040000-040500   20      39.82  722.6     44.92    -1.40    -9999
BERN       061213 300  040500-041000   20      39.97  722.6     45.09    -1.00    -9999
BERN       061213 300  041000-041500   20      40.38  722.6     45.55     0.00    -9999
BERN       061213 300  041500-042000   20      40.33  722.5     45.45    -0.20    -9999
BERN       061213 300  042000-042500   20      40.71  722.5     45.88     0.70    -9999
BERN       061213 300  042500-043000   20      41.48  722.5     46.75     2.70    -9999
BERN       061213 300  043000-043500   20      40.17  722.5     45.27    -0.60    -9999
BERN       061213 300  043500-044000   20      40.37  722.6     45.54     0.00    -9999
BERN       061213 300  044000-044500   20      40.12  722.6     45.26    -0.60    -9999
BERN       061213 300  044500-045000   20      41.35  722.6     46.65     2.40    -9999
BERN       061213 300  045000-045500   20      40.53  722.6     45.72     0.40    -9999
BERN       061213 300  045500-050000   20      41.88  722.6     47.25     3.70    -9999
BERN       061213 300  050000-050500   20      40.76  722.7     46.02     1.00    -9999
BERN       061213 300  050500-051000   20      39.67  722.8     44.83    -1.60    -9999
BERN       061213 300  051000-051500   20      40.55  722.8     45.84     0.60    -9999
BERN       061213 300  051500-052000   20      41.37  722.8     46.76     2.70    -9999
BERN       061213 300  052000-052500   20      40.73  722.8     46.04     1.10    -9999
BERN       061213 300  052500-053000   20      40.13  722.9     45.40    -0.30    -9999
BERN       061213 300  053000-053500   20      39.60  722.9     44.80    -1.60    -9999
BERN       061213 300  053500-054000   20      40.25  722.9     45.53     0.00    -9999
BERN       061213 300  054000-054500   20      40.43  723.0     45.78     0.50    -9999
BERN       061213 300  054500-055000   20      41.30  723.1     46.81     2.80    -9999
BERN       061213 300  055000-055500   20      39.41  723.0     44.63    -2.00    -9999
BERN       061213 300  055500-060000   20      40.12  723.0     45.43    -0.20    -9999
BERN       061213 300  060000-060500   20      40.63  723.0     46.01     1.00    -9999
BERN       061213 300  060500-061000   20      40.35  722.9     45.65     0.20    -9999
BERN       061213 300  061000-061500   20      39.82  722.9     45.05    -1.10    -9999
BERN       061213 300  061500-062000   20      39.66  723.0     44.92    -1.40    -9999
BERN       061213 300  062000-062500   20      39.05  723.1     44.27    -2.80    -9999
BERN       061213 300  062500-063000   20      39.83  723.1     45.15    -0.90    -9999
BERN       061213 300  063000-063500   20      42.09  723.1     47.72     4.80    -9999
BERN       061213 300  063500-064000   20      40.03  723.1     45.38    -0.40    -9999
BERN       061213 300  064000-064500   20      40.97  723.1     46.44     2.00    -9999
BERN       061213 300  064500-065000   20      40.64  723.1     46.07     1.10    -9999
BERN       061213 300  065000-065500   20      39.31  723.1     44.56    -2.20    -9999
BERN       061213 300  065500-070000   20      40.26  723.1     45.63     0.20    -9999
BERN       061213 300  070000-070500   20      40.67  723.2     46.15     1.30    -9999
BERN       061213 300  070500-071000   20      39.69  723.4     45.12    -0.90    -9999
BERN       061213 300  071000-071500   20      40.30  723.4     45.81     0.60    -9999
BERN       061213 300  071500-072000   20      40.03  723.6     45.60     0.10    -9999
BERN       061213 300  072000-072500   20      40.03  723.6     45.59     0.10    -9999
BERN       061213 300  072500-073000   20      39.91  723.6     45.46    -0.20    -9999
BERN       061213 300  073000-073500   20      38.40  723.7     43.78    -3.90    -9999
BERN       061213 300  073500-074000   20      40.69  723.7     46.39     1.90    -9999
BERN       061213 300  074000-074500   20      39.78  723.7     45.35    -0.40    -9999
BERN       061213 300  074500-075000   20      39.37  723.7     44.88    -1.50    -9999
BERN       061213 300  075000-075500   20      39.40  723.7     44.91    -1.40    -9999
BERN       061213 300  075500-080000   20      39.53  723.8     45.10    -1.00    -9999
BERN       061213 3600 080000-090000   20      40.05  724.2     45.86     0.70    -9999
BERN       061213 3600 090000-100000   20      40.02  724.2     45.85     0.70    -9999
BERN       061213 3600 100000-110000   20      40.39  723.7     46.06     1.10    -9999
BERN       061213 3600 110000-120000   20      39.86  723.4     45.30    -0.50    -9999
BERN       061213 3600 120000-130000   20      40.32  723.2     45.74     0.40    -9999
BERN       061213 3600 130000-140000   20      40.57  722.8     45.85     0.70    -9999
BERN       061213 3600 140000-150000   20      40.37  723.0     45.71     0.40    -9999
BERN       061213 3600 150000-160000   20      40.06  723.2     45.44    -0.20    -9999
BERN       061213 3600 160000-170000   20      39.68  723.3     45.07    -1.00    -9999
