NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    998.5   mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    111.40      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    031028 300  121500-122000   00     114.53  999.7    115.54     3.70     3.70
NORILSK    031028 300  122000-122500   00     112.87  999.8    113.91     2.30     2.30
NORILSK    031028 300  122500-123000   00     116.38  999.8    117.48     5.50     5.50
NORILSK    031028 300  123000-123500   00     114.35  999.9    115.46     3.60     3.60
NORILSK    031028 300  123500-124000   00     116.65  999.9    117.82     5.80     5.80
NORILSK    031028 300  124000-124500   00     113.83 1000.0    115.01     3.20     3.20
NORILSK    031028 300  124500-125000   00     115.07 1000.0    116.29     4.40     4.40
NORILSK    031028 300  125000-125500   00     115.37 1000.0    116.63     4.70     4.70
NORILSK    031028 300  125500-130000   00     114.30 1000.1    115.59     3.80     3.80
NORILSK    031028 300  130000-130500   00     116.10 1000.1    117.45     5.40     5.40
NORILSK    031028 300  130500-131000   00     113.00 1000.2    114.36     2.70     2.70
NORILSK    031028 300  131000-131500   00     114.29 1000.2    115.71     3.90     3.90
NORILSK    031028 300  131500-132000   00     113.02 1000.3    114.48     2.80     2.80
NORILSK    031028 300  132000-132500   00     114.50 1000.4    116.02     4.10     4.10
NORILSK    031028 300  132500-133000   00     114.51 1000.4    116.07     4.20     4.20
NORILSK    031028 300  133000-133500   00     115.03 1000.5    116.65     4.70     4.70
NORILSK    031028 300  133500-134000   00     113.78 1000.5    115.43     3.60     3.60
NORILSK    031028 300  134000-134500   00     114.61 1000.6    116.33     4.40     4.40
NORILSK    031028 300  134500-135000   00     114.38 1000.6    116.13     4.20     4.20
NORILSK    031028 300  135000-135500   00     113.56 1000.7    115.35     3.50     3.50
NORILSK    031028 300  135500-140000   00     113.35 1000.8    115.19     3.40     3.40
NORILSK    031028 300  140000-140500   00     114.07 1000.8    115.97     4.10     4.10
NORILSK    031028 300  140500-141000   00     112.45 1000.9    114.36     2.70     2.70
NORILSK    031028 300  141000-141500   00     114.59 1000.9    116.58     4.60     4.60
NORILSK    031028 300  141500-142000   00     112.24 1001.0    114.22     2.50     2.50
NORILSK    031028 300  142000-142500   00     114.39 1001.0    116.46     4.50     4.50
NORILSK    031028 300  142500-143000   00     112.30 1001.1    114.37     2.70     2.70
NORILSK    031028 300  143000-143500   00     114.09 1001.1    116.23     4.30     4.30
NORILSK    031028 300  143500-144000   00     112.73 1001.2    114.88     3.10     3.10
