APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    mB     COEFFICIENT   -0.74     % / mB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    162.19      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mB)      C/S
APATITY  L 061213 300  034000-034500   00     276.02  974.3    213.46    31.60    31.60
APATITY  L 061213 300  034500-035000   00     272.60  974.3    210.91    30.00    30.00
APATITY  L 061213 300  035000-035500   00     266.60  974.3    206.17    27.10    27.10
APATITY  L 061213 300  035500-040000   00     264.70  974.3    204.76    26.30    26.30
APATITY  L 061213 300  040000-040500   00     260.10  974.3    201.10    24.00    24.00
APATITY  L 061213 300  040500-041000   00     257.18  974.3    198.88    22.60    22.60
APATITY  L 061213 300  041000-041500   00     254.42  974.3    196.69    21.30    21.30
APATITY  L 061213 300  041500-042000   00     250.42  974.2    193.46    19.30    19.30
APATITY  L 061213 300  042000-042500   00     248.24  974.1    191.62    18.10    18.10
APATITY  L 061213 300  042500-043000   00     246.62  974.1    190.27    17.30    17.30
APATITY  L 061213 300  043000-043500   00     244.40  974.0    188.49    16.20    16.20
APATITY  L 061213 300  043500-044000   00     244.44  974.1    188.62    16.30    16.30
APATITY  L 061213 300  044000-044500   00     240.24  974.1    185.34    14.30    14.30
APATITY  L 061213 300  044500-045000   00     235.50  974.0    181.62    12.00    12.00
APATITY  L 061213 300  045000-045500   00     238.30  973.9    183.65    13.20    13.20
APATITY  L 061213 300  045500-050000   00     236.96  973.8    182.42    12.50    12.50
APATITY  L 061213 300  050000-050500   00     231.12  973.8    177.82     9.60     9.60
APATITY  L 061213 300  050500-051000   00     232.48  973.7    178.80    10.20    10.20
APATITY  L 061213 300  051000-051500   00     230.30  973.8    177.18     9.20     9.20
APATITY  L 061213 300  051500-052000   00     231.72  973.8    178.33    10.00    10.00
APATITY  L 061213 300  052000-052500   00     230.72  973.8    177.60     9.50     9.50
APATITY  L 061213 300  052500-053000   00     228.96  973.8    176.25     8.70     8.70
APATITY  L 061213 300  053000-053500   00     228.22  973.8    175.56     8.20     8.20
APATITY  L 061213 300  053500-054000   00     225.50  973.7    173.33     6.90     6.90
APATITY  L 061213 300  054000-054500   00     226.38  973.7    173.98     7.30     7.30
APATITY  L 061213 300  054500-055000   00     225.26  973.7    173.16     6.80     6.80
APATITY  L 061213 300  055000-055500   00     224.58  973.7    172.68     6.50     6.50
APATITY  L 061213 300  055500-060000   00     225.76  973.7    173.58     7.00     7.00
APATITY  L 061213 300  060000-060500   00     225.52  973.7    173.31     6.90     6.90
APATITY  L 061213 300  060500-061000   00     222.82  973.6    171.13     5.50     5.50
APATITY  L 061213 300  061000-061500   00     222.22  973.6    170.66     5.20     5.20
APATITY  L 061213 300  061500-062000   00     222.74  973.7    171.16     5.50     5.50
APATITY  L 061213 300  062000-062500   00     222.44  973.7    170.98     5.40     5.40
