ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009    mb     COEFFICIENT   -0.705    % / mb
ROME       PRE-INCREASE BASELINE TIME INTERVAL    211028    130000-150000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    127.58      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
ROME       211028 300  150500-151000   00     120.29 1016.9    126.87    -0.74    -9999
ROME       211028 300  151000-151500   00     120.25 1016.8    126.78    -0.81    -9999
ROME       211028 300  151500-152000   00     119.85 1016.8    126.37    -1.13    -9999
ROME       211028 300  152000-152500   00     122.43 1016.9    129.11     1.01    -9999
ROME       211028 300  152500-153000   00     119.74 1016.9    126.30    -1.18    -9999
ROME       211028 300  153000-153500   00     121.61 1016.9    128.29     0.37    -9999
ROME       211028 300  153500-154000   00     120.98 1016.9    127.65    -0.13    -9999
ROME       211028 300  154000-154500   00     123.11 1017.0    129.92     1.65    -9999
ROME       211028 300  154500-155000   00     120.18 1017.0    126.84    -0.76    -9999
ROME       211028 300  155000-155500   00     119.69 1017.0    126.34    -1.16    -9999
ROME       211028 300  155500-160000   00     122.11 1016.9    128.84     0.80    -9999
ROME       211028 300  160000-160500   00     120.27 1016.9    126.87    -0.74    -9999
ROME       211028 300  160500-161000   00     121.50 1016.9    128.15     0.26    -9999
ROME       211028 300  161000-161500   00     119.76 1016.9    126.30    -1.19    -9999
ROME       211028 300  161500-162000   00     120.75 1016.8    127.31    -0.40    -9999
ROME       211028 300  162000-162500   00     120.71 1016.8    127.26    -0.43    -9999
ROME       211028 300  162500-163000   00     122.96 1016.9    129.65     1.44    -9999
ROME       211028 300  163000-163500   00     121.14 1016.9    127.77    -0.04    -9999
ROME       211028 300  163500-164000   00     120.09 1016.9    126.65    -0.91    -9999
ROME       211028 300  164000-164500   00     121.10 1016.9    127.69    -0.10    -9999
ROME       211028 300  164500-165000   00     120.65 1016.8    127.21    -0.47    -9999
ROME       211028 300  165000-165500   00     120.16 1016.9    126.70    -0.87    -9999
ROME       211028 300  165500-170000   00     119.82 1016.9    126.37    -1.13    -9999
ROME       211028 300  170000-170500   00     121.40 1016.9    128.06     0.19    -9999
ROME       211028 300  170500-171000   00     120.83 1016.9    127.48    -0.26    -9999
ROME       211028 300  171000-171500   00     121.03 1017.0    127.73    -0.07    -9999
ROME       211028 300  171500-172000   00     121.30 1017.0    128.04     0.17    -9999
ROME       211028 300  172000-172500   00     121.08 1017.0    127.83     0.01    -9999
ROME       211028 300  172500-173000   00     121.12 1017.0    127.87     0.04    -9999
ROME       211028 300  173000-173500   00     122.08 1017.0    128.89     0.84    -9999
ROME       211028 300  173500-174000   00     122.67 1017.1    129.56     1.36    -9999
ROME       211028 300  174000-174500   00     120.67 1017.1    127.45    -0.29    -9999
ROME       211028 300  174500-175000   00     119.32 1017.1    126.03    -1.40    -9999
ROME       211028 300  175000-175500   00     118.27 1017.1    124.92    -2.26    -9999
ROME       211028 300  175500-180000   00     119.13 1017.1    125.86    -1.53    -9999
ROME       211028 300  180000-180500   00     122.54 1017.2    129.48     1.30    -9999
ROME       211028 300  180500-181000   00     119.74 1017.2    126.52    -1.01    -9999
ROME       211028 300  181000-181500   00     120.96 1017.2    127.84     0.02    -9999
ROME       211028 300  181500-182000   00     120.76 1017.2    127.64    -0.14    -9999
ROME       211028 300  182000-182500   00     121.20 1017.2    128.07     0.20    -9999
ROME       211028 300  182500-183000   00     120.29 1017.2    127.12    -0.54    -9999
ROME       211028 300  183000-183500   00     120.75 1017.1    127.57    -0.20    -9999
ROME       211028 300  183500-184000   00     120.58 1017.1    127.35    -0.36    -9999
ROME       211028 300  184000-184500   00     120.66 1017.0    127.40    -0.33    -9999
ROME       211028 300  184500-185000   00     120.68 1017.0    127.39    -0.33    -9999
ROME       211028 300  185000-185500   00     119.49 1017.0    126.13    -1.32    -9999
ROME       211028 300  185500-190000   00     119.84 1017.0    126.49    -1.04    -9999
ROME       211028 300  190000-190500   00     119.00 1017.0    125.61    -1.72    -9999
ROME       211028 300  190500-191000   00     120.79 1017.0    127.49    -0.26    -9999
ROME       211028 300  191000-191500   00     121.10 1017.0    127.81    -0.01    -9999
ROME       211028 300  191500-192000   00     119.48 1017.0    126.11    -1.34    -9999
ROME       211028 300  192000-192500   00     120.52 1017.0    127.21    -0.47    -9999
ROME       211028 300  192500-193000   00     119.94 1017.0    126.58    -0.97    -9999
ROME       211028 300  193000-193500   00     122.24 1016.9    128.97     0.90    -9999
ROME       211028 300  193500-194000   00     120.11 1016.9    126.72    -0.86    -9999
ROME       211028 300  194000-194500   00     121.26 1016.9    127.95     0.10    -9999
ROME       211028 300  194500-195000   00     119.55 1017.0    126.15    -1.31    -9999
ROME       211028 300  195000-195500   00     119.57 1016.9    126.15    -1.31    -9999
ROME       211028 300  195500-200000   00     120.47 1016.9    127.08    -0.58    -9999
ROME       211028 300  200000-200500   00     121.44 1016.9    128.12     0.24    -9999
ROME       211028 300  200500-201000   00     120.07 1016.9    126.67    -0.89    -9999
ROME       211028 300  201000-201500   00     120.25 1016.9    126.85    -0.76    -9999
ROME       211028 300  201500-202000   00     120.46 1016.9    127.08    -0.57    -9999
ROME       211028 300  202000-202500   00     120.31 1016.9    126.94    -0.69    -9999
ROME       211028 300  202500-203000   00     120.98 1017.0    127.66    -0.12    -9999
ROME       211028 300  203000-203500   00     121.26 1016.9    127.91     0.07    -9999
ROME       211028 300  203500-204000   00     120.57 1016.9    127.13    -0.53    -9999
ROME       211028 300  204000-204500   00     121.08 1016.9    127.69    -0.10    -9999
ROME       211028 300  204500-205000   00     119.44 1016.9    125.98    -1.43    -9999
ROME       211028 300  205000-205500   00     119.34 1016.9    125.85    -1.54    -9999
ROME       211028 300  205500-210000   00     120.90 1016.8    127.46    -0.28    -9999
ROME       211028 300  210000-210500   00     121.29 1016.9    127.90     0.07    -9999
ROME       211028 300  210500-211000   00     119.81 1016.9    126.36    -1.14    -9999
ROME       211028 300  211000-211500   00     121.19 1016.9    127.85     0.03    -9999
ROME       211028 300  211500-212000   00     118.70 1016.9    125.19    -2.05    -9999
ROME       211028 300  212000-212500   00     120.94 1016.9    127.57    -0.19    -9999
ROME       211028 300  212500-213000   00     120.42 1017.0    127.06    -0.59    -9999
ROME       211028 300  213000-213500   00     121.45 1016.9    128.14     0.26    -9999
ROME       211028 300  213500-214000   00     120.18 1016.9    126.77    -0.82    -9999
ROME       211028 300  214000-214500   00     121.15 1016.9    127.75    -0.05    -9999
ROME       211028 300  214500-215000   00     121.14 1016.9    127.74    -0.06    -9999
ROME       211028 300  215000-215500   00     120.96 1016.9    127.57    -0.19    -9999
ROME       211028 300  215500-220000   00     121.92 1016.9    128.57     0.59    -9999
ROME       211028 300  220000-220500   00     121.88 1016.9    128.52     0.55    -9999
ROME       211028 300  220500-221000   00     121.59 1016.8    128.19     0.29    -9999
ROME       211028 300  221000-221500   00     119.70 1016.8    126.22    -1.25    -9999
ROME       211028 300  221500-222000   00     119.20 1016.9    125.69    -1.66    -9999
ROME       211028 300  222000-222500   00     120.73 1016.9    127.31    -0.40    -9999
ROME       211028 300  222500-223000   00     120.54 1016.8    127.10    -0.56    -9999
ROME       211028 300  223000-223500   00     120.18 1016.8    126.65    -0.91    -9999
ROME       211028 300  223500-224000   00     120.93 1016.7    127.38    -0.34    -9999
ROME       211028 300  224000-224500   00     121.99 1016.7    128.45     0.50    -9999
ROME       211028 300  224500-225000   00     120.88 1016.7    127.30    -0.40    -9999
ROME       211028 300  225000-225500   00     121.80 1016.7    128.30     0.38    -9999
ROME       211028 300  225500-230000   00     123.47 1016.7    130.07     1.77    -9999
ROME       211028 300  230000-230500   00     119.36 1016.7    125.72    -1.64    -9999
ROME       211028 300  230500-231000   00     120.29 1016.6    126.64    -0.92    -9999
ROME       211028 300  231000-231500   00     120.87 1016.6    127.21    -0.47    -9999
ROME       211028 300  231500-232000   00     120.81 1016.5    127.07    -0.58    -9999
ROME       211028 300  232000-232500   00     120.55 1016.5    126.79    -0.80    -9999
ROME       211028 300  232500-233000   00     122.20 1016.5    128.55     0.57    -9999
ROME       211028 300  233000-233500   00     121.86 1016.5    128.16     0.27    -9999
ROME       211028 300  233500-234000   00     120.71 1016.5    126.98    -0.65    -9999
ROME       211028 300  234000-234500   00     120.84 1016.5    127.11    -0.56    -9999
ROME       211028 300  234500-235000   00     122.33 1016.5    128.66     0.66    -9999
ROME       211028 300  235000-235500   00     120.12 1016.5    126.33    -1.17    -9999
ROME       211028 300  235500-000000   00     121.45 1016.5    127.75    -0.05    -9999
ROME       211029 3600 000000-010000   00     121.92 1016.4    128.14     0.25    -9999
ROME       211029 3600 010000-020000   00     121.14 1016.1    127.08    -0.58    -9999
ROME       211029 3600 020000-030000   00     122.37 1015.8    128.09     0.21    -9999
ROME       211029 3600 030000-040000   00     122.30 1015.7    127.94     0.09    -9999
ROME       211029 3600 040000-050000   00     122.67 1015.5    128.16     0.26    -9999
ROME       211029 3600 050000-060000   00     122.62 1015.6    128.14     0.25    -9999
ROME       211029 3600 060000-070000   00     122.50 1015.8    128.20     0.30    -9999
ROME       211029 3600 070000-080000   00     121.83 1016.2    127.88     0.05    -9999
ROME       211029 3600 080000-090000   00     122.13 1016.3    128.25     0.34    -9999
ROME       211029 3600 090000-100000   00     122.35 1016.1    128.32     0.39    -9999
ROME       211029 3600 100000-110000   00     121.86 1015.7    127.47    -0.27    -9999
ROME       211029 3600 110000-120000   00     122.57 1015.2    127.73    -0.06    -9999
ROME       211029 3600 120000-130000   00     123.56 1014.4    128.09     0.21    -9999
ROME       211029 3600 130000-140000   00     123.93 1014.0    128.07     0.20    -9999
ROME       211029 3600 140000-150000   00     123.95 1013.8    127.97     0.12    -9999
ROME       211029 3600 150000-160000   00     124.30 1013.9    128.38     0.44    -9999
ROME       211029 3600 160000-170000   00     123.51 1014.1    127.76    -0.04    -9999
ROME       211029 3600 170000-180000   00     122.76 1014.7    127.47    -0.27    -9999
ROME       211029 3600 180000-190000   00     122.54 1015.0    127.57    -0.19    -9999
