APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    951.7   mb     COEFFICIENT   -0.74     % / mb
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    153.44      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
APATITY  L 031028 300  120500-121000   00     163.82  951.9    164.10     7.00     6.51
APATITY  L 031028 300  121000-121500   00     161.46  952.0    161.77     5.40     4.90
APATITY  L 031028 300  121500-122000   00     161.34  952.0    161.68     5.40     4.90
APATITY  L 031028 300  122000-122500   00     161.66  952.0    162.03     5.60     5.10
APATITY  L 031028 300  122500-123000   00     159.64  952.0    160.04     4.30     3.80
APATITY  L 031028 300  123000-123500   00     161.98  952.1    162.41     5.80     5.29
APATITY  L 031028 300  123500-124000   00     162.96  952.1    163.42     6.50     5.99
APATITY  L 031028 300  124000-124500   00     160.36  952.1    160.85     4.80     4.29
APATITY  L 031028 300  124500-125000   00     161.58  952.1    162.10     5.70     5.19
APATITY  L 031028 300  125000-125500   00     161.64  952.2    162.19     5.70     5.19
APATITY  L 031028 300  125500-130000   00     161.04  952.2    161.62     5.30     4.78
APATITY  L 031028 300  130000-130500   00     161.94  952.2    162.56     6.00     5.48
APATITY  L 031028 300  130500-131000   00     162.28  952.3    162.97     6.20     5.68
APATITY  L 031028 300  131000-131500   00     161.82  952.3    162.57     5.90     5.38
APATITY  L 031028 300  131500-132000   00     162.22  952.4    163.03     6.30     5.77
APATITY  L 031028 300  132000-132500   00     162.96  952.4    163.83     6.80     6.27
APATITY  L 031028 300  132500-133000   00     162.00  952.5    162.93     6.20     5.67
APATITY  L 031028 300  133000-133500   00     163.54  952.5    164.54     7.20     6.67
APATITY  L 031028 300  133500-134000   00     163.66  952.6    164.72     7.40     6.86
APATITY  L 031028 300  134000-134500   00     163.54  952.6    164.66     7.30     6.76
APATITY  L 031028 300  134500-135000   00     164.66  952.7    165.85     8.10     7.56
APATITY  L 031028 300  135000-135500   00     164.18  952.7    165.43     7.80     7.26
APATITY  L 031028 300  135500-140000   00     162.40  952.8    163.69     6.70     6.16
APATITY  L 031028 300  140000-140500   00     162.26  952.8    163.60     6.60     6.05
APATITY  L 031028 300  140500-141000   00     163.46  952.8    164.85     7.40     6.85
APATITY  L 031028 300  141000-141500   00     163.00  952.9    164.43     7.20     6.65
APATITY  L 031028 300  141500-142000   00     163.42  952.9    164.89     7.50     6.95
APATITY  L 031028 300  142000-142500   00     163.82  952.9    165.34     7.80     7.24
APATITY  L 031028 300  142500-143000   00     161.62  953.0    163.16     6.30     5.74
APATITY  L 031028 300  143000-143500   00     162.66  953.0    164.25     7.00     6.44
