MOSC 23nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC 23nmF INSTRUMENT   2x23nmF    NEUTRON MONITOR (He3 counter,without Lead)
MOSC 23nmF STANDARD PRESSURE    999.3   mb     COEFFICIENT   -0.71     % / mb
MOSC 23nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC 23nmF PRE-INCREASE AVERAGE COUNTING RATE     13.45      COUNTS PER SECOND
MOSC 23nmF TIME INTERVALS    300         3600     
MOSC 23nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC 23nmF 061213 300  041500-042000   00      14.55  998.4     14.47     7.55    -9999
MOSC 23nmF 061213 300  042000-042500   00      14.29  998.4     14.21     5.61    -9999
MOSC 23nmF 061213 300  042500-043000   00      14.12  998.4     14.03     4.32    -9999
MOSC 23nmF 061213 300  043000-043500   00      14.29  998.4     14.20     5.56    -9999
MOSC 23nmF 061213 300  043500-044000   00      14.42  998.4     14.33     6.55    -9999
MOSC 23nmF 061213 300  044000-044500   00      14.05  998.3     13.96     3.81    -9999
MOSC 23nmF 061213 300  044500-045000   00      14.37  998.3     14.28     6.15    -9999
MOSC 23nmF 061213 300  045000-045500   00      14.10  998.3     14.01     4.15    -9999
MOSC 23nmF 061213 300  045500-050000   00      14.28  998.3     14.19     5.46    -9999
MOSC 23nmF 061213 300  050000-050500   00      13.73  998.3     13.64     1.39    -9999
MOSC 23nmF 061213 300  050500-051000   00      14.10  998.3     14.00     4.13    -9999
MOSC 23nmF 061213 300  051000-051500   00      14.30  998.3     14.21     5.61    -9999
MOSC 23nmF 061213 300  051500-052000   00      14.14  998.3     14.04     4.38    -9999
MOSC 23nmF 061213 300  052000-052500   00      13.88  998.3     13.79     2.49    -9999
MOSC 23nmF 061213 300  052500-053000   00      13.98  998.3     13.88     3.20    -9999
MOSC 23nmF 061213 300  053000-053500   00      13.69  998.3     13.59     1.07    -9999
MOSC 23nmF 061213 300  053500-054000   00      13.93  998.3     13.84     2.89    -9999
MOSC 23nmF 061213 300  054000-054500   00      13.96  998.3     13.86     3.07    -9999
MOSC 23nmF 061213 300  054500-055000   00      14.15  998.3     14.06     4.52    -9999
MOSC 23nmF 061213 300  055000-055500   00      13.94  998.3     13.85     2.97    -9999
MOSC 23nmF 061213 300  055500-060000   00      14.15  998.3     14.06     4.50    -9999
MOSC 23nmF 061213 300  060000-060500   00      13.77  998.3     13.68     1.72    -9999
MOSC 23nmF 061213 300  060500-061000   00      13.43  998.3     13.34    -0.81    -9999
MOSC 23nmF 061213 300  061000-061500   00      13.54  998.3     13.46     0.04    -9999
MOSC 23nmF 061213 300  061500-062000   00      13.94  998.3     13.85     2.92    -9999
MOSC 23nmF 061213 300  062000-062500   00      13.56  998.3     13.47     0.14    -9999
MOSC 23nmF 061213 300  062500-063000   00      14.11  998.3     14.02     4.20    -9999
MOSC 23nmF 061213 300  063000-063500   00      14.05  998.3     13.96     3.78    -9999
