JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    157.09      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU   061212 3600 000000-010000   20     139.94  493.3    155.90    -0.80    -9999
JUNGFRAU   061212 3600 010000-020000   20     139.77  493.3    155.82    -0.80    -9999
JUNGFRAU   061212 3600 020000-030000   20     139.87  493.3    155.86    -0.80    -9999
JUNGFRAU   061212 3600 030000-040000   20     140.48  493.1    156.35    -0.50    -9999
JUNGFRAU   061212 3600 040000-050000   20     140.49  492.9    156.04    -0.70    -9999
JUNGFRAU   061212 3600 050000-060000   20     140.96  492.8    156.42    -0.40    -9999
JUNGFRAU   061212 3600 060000-070000   20     141.64  492.9    157.28     0.10    -9999
JUNGFRAU   061212 3600 070000-080000   20     141.26  493.1    157.14     0.00    -9999
JUNGFRAU   061212 3600 080000-090000   20     140.57  493.4    156.77    -0.20    -9999
JUNGFRAU   061212 3600 090000-100000   20     141.30  493.5    157.74     0.40    -9999
JUNGFRAU   061212 3600 100000-110000   20     140.69  493.4    157.02     0.00    -9999
JUNGFRAU   061212 3600 110000-120000   20     141.07  493.3    157.19     0.10    -9999
JUNGFRAU   061212 3600 120000-130000   20     141.99  493.1    157.88     0.50    -9999
JUNGFRAU   061212 3600 130000-140000   20     142.54  493.0    158.45     0.90    -9999
JUNGFRAU   061212 3600 140000-150000   20     142.15  493.0    157.90     0.50    -9999
JUNGFRAU   061212 3600 150000-160000   20     142.31  493.0    158.22     0.70    -9999
JUNGFRAU   061212 3600 160000-170000   20     141.90  493.3    158.16     0.70    -9999
JUNGFRAU   061212 3600 170000-180000   20     140.79  493.6    157.31     0.10    -9999
JUNGFRAU   061212 3600 180000-190000   20     140.52  493.9    157.47     0.20    -9999
JUNGFRAU   061212 3600 190000-200000   20     139.74  494.2    157.01    -0.10    -9999
JUNGFRAU   061212 3600 200000-210000   20     139.30  494.3    156.78    -0.20    -9999
JUNGFRAU   061212 3600 210000-220000   20     140.33  494.5    158.21     0.70    -9999
JUNGFRAU   061212 3600 220000-230000   20     139.70  494.6    157.73     0.40    -9999
JUNGFRAU   061212 3600 230000-240000   20     139.40  494.7    157.44     0.20    -9999
JUNGFRAU   061213 300  000000-000500   00     140.14  494.6    158.15     0.68    -9999
JUNGFRAU   061213 300  000500-001000   00     138.35  494.6    156.13    -0.60    -9999
JUNGFRAU   061213 300  001000-001500   00     139.00  494.6    156.88    -0.16    -9999
JUNGFRAU   061213 300  001500-002000   00     140.46  494.6    158.52     0.94    -9999
JUNGFRAU   061213 300  002000-002500   00     138.93  494.6    156.79    -0.18    -9999
JUNGFRAU   061213 300  002500-003000   00     139.57  494.5    157.42     0.20    -9999
JUNGFRAU   061213 300  003000-003500   00     139.83  494.5    157.65     0.34    -9999
JUNGFRAU   061213 300  003500-004000   00     139.43  494.5    157.26     0.10    -9999
JUNGFRAU   061213 300  004000-004500   00     139.32  494.6    157.24     0.08    -9999
JUNGFRAU   061213 300  004500-005000   00     137.55  494.6    155.29    -1.14    -9999
JUNGFRAU   061213 300  005000-005500   00     139.67  494.6    157.63     0.34    -9999
JUNGFRAU   061213 300  005500-010000   00     138.17  494.6    155.93    -0.72    -9999
JUNGFRAU   061213 300  010000-010500   00     140.42  494.6    158.47     0.90    -9999
JUNGFRAU   061213 300  010500-011000   00     138.06  494.7    155.92    -0.76    -9999
JUNGFRAU   061213 300  011000-011500   00     139.75  494.7    157.87     0.48    -9999
JUNGFRAU   061213 300  011500-012000   00     138.86  494.7    156.87    -0.14    -9999
JUNGFRAU   061213 300  012000-012500   00     139.46  494.7    157.55     0.30    -9999
JUNGFRAU   061213 300  012500-013000   00     139.35  494.7    157.45     0.22    -9999
JUNGFRAU   061213 300  013000-013500   00     139.97  494.8    158.26     0.76    -9999
JUNGFRAU   061213 300  013500-014000   00     138.53  494.8    156.62    -0.32    -9999
JUNGFRAU   061213 300  014000-014500   00     138.88  494.7    156.95    -0.10    -9999
JUNGFRAU   061213 300  014500-015000   00     136.94  494.8    154.84    -1.44    -9999
JUNGFRAU   061213 300  015000-015500   00     139.36  494.8    157.59     0.32    -9999
JUNGFRAU   061213 300  015500-020000   00     138.58  494.8    156.70    -0.24    -9999
JUNGFRAU   061213 300  020000-020500   00     139.39  494.9    157.74     0.42     0.42
JUNGFRAU   061213 300  020500-021000   00     139.18  494.9    157.53     0.26     0.26
JUNGFRAU   061213 300  021000-021500   00     139.58  494.8    157.83     0.48     0.48
JUNGFRAU   061213 300  021500-022000   00     138.83  494.8    156.99    -0.06    -0.06
JUNGFRAU   061213 300  022000-022500   00     138.43  494.8    156.53    -0.34    -0.34
JUNGFRAU   061213 300  022500-023000   00     139.43  494.8    157.66     0.36     0.36
JUNGFRAU   061213 300  023000-023500   00     138.12  494.8    156.17    -0.58    -0.58
JUNGFRAU   061213 300  023500-024000   00     138.96  494.8    157.14     0.04     0.04
JUNGFRAU   061213 300  024000-024500   00     137.02  494.8    154.99    -1.32    -1.32
JUNGFRAU   061213 300  024500-025000   00     138.31  494.8    156.45    -0.42    -0.42
JUNGFRAU   061213 300  025000-025500   00     141.42  494.9    160.06     1.90     1.90
JUNGFRAU   061213 300  025500-030000   00     150.24  494.9    170.08     8.26     8.26
JUNGFRAU   061213 300  030000-030500   00     148.27  495.0    167.98     6.92     6.92
JUNGFRAU   061213 300  030500-031000   00     143.38  495.0    162.44     3.40     3.40
JUNGFRAU   061213 300  031000-031500   00     140.31  495.0    158.96     1.20     1.20
JUNGFRAU   061213 300  031500-032000   00     138.91  495.0    157.40     0.18     0.18
JUNGFRAU   061213 300  032000-032500   00     138.99  495.1    157.55     0.30     0.30
JUNGFRAU   061213 300  032500-033000   00     141.01  495.0    159.79     1.72     1.72
JUNGFRAU   061213 300  033000-033500   00     139.47  495.1    158.10     0.64     0.64
JUNGFRAU   061213 300  033500-034000   00     139.42  495.1    158.07     0.62     0.62
JUNGFRAU   061213 300  034000-034500   00     139.03  495.0    157.51     0.28     0.28
JUNGFRAU   061213 300  034500-035000   00     139.54  495.0    158.09     0.62     0.62
JUNGFRAU   061213 300  035000-035500   00     139.30  495.0    157.82     0.46     0.46
JUNGFRAU   061213 300  035500-040000   00     138.10  495.0    156.44    -0.42    -0.42
JUNGFRAU   061213 300  040000-040500   00     138.71  495.0    157.21     0.08    -9999
JUNGFRAU   061213 300  040500-041000   00     139.04  495.1    157.61     0.32    -9999
JUNGFRAU   061213 300  041000-041500   00     137.55  495.1    155.98    -0.72    -9999
JUNGFRAU   061213 300  041500-042000   00     140.99  495.1    159.90     1.80    -9999
JUNGFRAU   061213 300  042000-042500   00     142.05  495.0    160.97     2.48    -9999
JUNGFRAU   061213 300  042500-043000   00     140.66  495.0    159.35     1.44    -9999
JUNGFRAU   061213 300  043000-043500   00     138.71  495.0    157.15     0.02    -9999
JUNGFRAU   061213 300  043500-044000   00     139.61  495.0    158.18     0.68    -9999
JUNGFRAU   061213 300  044000-044500   00     138.57  495.0    156.99    -0.06    -9999
JUNGFRAU   061213 300  044500-045000   00     139.58  495.1    158.22     0.72    -9999
JUNGFRAU   061213 300  045000-045500   00     138.25  495.1    156.78    -0.18    -9999
JUNGFRAU   061213 300  045500-050000   00     139.05  495.2    157.84     0.48    -9999
JUNGFRAU   061213 300  050000-050500   00     138.50  495.2    157.15     0.04    -9999
JUNGFRAU   061213 300  050500-051000   00     138.87  495.2    157.60     0.34    -9999
JUNGFRAU   061213 300  051000-051500   00     139.61  495.2    158.48     0.90    -9999
JUNGFRAU   061213 300  051500-052000   00     138.82  495.1    157.46     0.24    -9999
JUNGFRAU   061213 300  052000-052500   00     138.66  495.1    157.24     0.08    -9999
JUNGFRAU   061213 300  052500-053000   00     137.92  495.1    156.40    -0.42    -9999
JUNGFRAU   061213 300  053000-053500   00     137.89  495.1    156.43    -0.40    -9999
JUNGFRAU   061213 300  053500-054000   00     137.34  495.2    155.95    -0.72    -9999
JUNGFRAU   061213 300  054000-054500   00     139.79  495.3    158.84     1.12    -9999
JUNGFRAU   061213 300  054500-055000   00     140.16  495.3    159.25     1.36    -9999
JUNGFRAU   061213 300  055000-055500   00     141.19  495.3    160.41     2.12    -9999
JUNGFRAU   061213 300  055500-060000   00     140.01  495.3    159.08     1.28    -9999
JUNGFRAU   061213 300  060000-060500   00     139.13  495.4    158.17     0.70    -9999
JUNGFRAU   061213 300  060500-061000   00     139.04  495.4    158.13     0.66    -9999
JUNGFRAU   061213 300  061000-061500   00     137.66  495.5    156.65    -0.28    -9999
JUNGFRAU   061213 300  061500-062000   00     138.94  495.5    158.22     0.72    -9999
JUNGFRAU   061213 300  062000-062500   00     139.72  495.6    159.21     1.36    -9999
JUNGFRAU   061213 300  062500-063000   00     139.37  495.6    158.82     1.10    -9999
JUNGFRAU   061213 300  063000-063500   00     138.79  495.6    158.15     0.68    -9999
JUNGFRAU   061213 300  063500-064000   00     140.90  495.6    160.55     2.18    -9999
JUNGFRAU   061213 300  064000-064500   00     138.87  495.6    158.24     0.72    -9999
JUNGFRAU   061213 300  064500-065000   00     141.01  495.6    160.67     2.30    -9999
JUNGFRAU   061213 300  065000-065500   00     138.87  495.6    158.24     0.74    -9999
JUNGFRAU   061213 300  065500-070000   00     137.41  495.6    156.57    -0.32    -9999
JUNGFRAU   061213 300  070000-070500   00     137.84  495.6    157.06    -0.04    -9999
JUNGFRAU   061213 300  070500-071000   00     138.54  495.6    157.86     0.46    -9999
JUNGFRAU   061213 300  071000-071500   00     138.95  495.6    158.33     0.78    -9999
JUNGFRAU   061213 300  071500-072000   00     138.54  495.6    157.86     0.48    -9999
JUNGFRAU   061213 300  072000-072500   00     137.91  495.7    157.30     0.12    -9999
JUNGFRAU   061213 300  072500-073000   00     139.46  495.7    159.05     1.24    -9999
JUNGFRAU   061213 300  073000-073500   00     137.86  495.7    157.23     0.10    -9999
JUNGFRAU   061213 300  073500-074000   00     139.96  495.7    159.65     1.64    -9999
JUNGFRAU   061213 300  074000-074500   00     137.67  495.8    157.15     0.04    -9999
JUNGFRAU   061213 300  074500-075000   00     137.62  495.9    157.21     0.08    -9999
JUNGFRAU   061213 300  075000-075500   00     138.52  495.9    158.29     0.80    -9999
JUNGFRAU   061213 300  075500-080000   00     138.49  496.2    158.69     1.02    -9999
JUNGFRAU   061213 3600 080000-090000   20     137.81  496.2    157.99     0.60    -9999
JUNGFRAU   061213 3600 090000-100000   20     138.12  496.6    158.96     1.20    -9999
JUNGFRAU   061213 3600 100000-110000   20     137.79  496.8    158.81     1.10    -9999
JUNGFRAU   061213 3600 110000-120000   20     138.07  496.9    159.23     1.40    -9999
JUNGFRAU   061213 3600 120000-130000   20     137.75  496.9    158.83     1.20    -9999
JUNGFRAU   061213 3600 130000-140000   20    -999.00 -999.0   -999.00    -9999    -9999
JUNGFRAU   061213 3600 140000-150000   20     136.87  497.3    158.53     0.90    -9999
JUNGFRAU   061213 3600 150000-160000   20     136.45  497.6    158.54     0.90    -9999
JUNGFRAU   061213 3600 160000-170000   20     135.17  497.9    157.54     0.30    -9999
JUNGFRAU   061213 3600 170000-180000   20     134.70  498.2    157.38     0.20    -9999
JUNGFRAU   061213 3600 180000-190000   20     133.97  498.6    157.14     0.00    -9999
JUNGFRAU   061213 3600 190000-200000   20     133.50  498.8    156.90    -0.10    -9999
JUNGFRAU   061213 3600 200000-210000   20     133.12  499.0    156.72    -0.20    -9999
JUNGFRAU   061213 3600 210000-220000   20     132.95  499.2    156.81    -0.20    -9999
JUNGFRAU   061213 3600 220000-230000   20     132.54  499.3    156.45    -0.40    -9999
JUNGFRAU   061213 3600 230000-240000   20     132.94  499.4    157.14     0.00    -9999
*
COMMENT    FOR DETAILS SEE SPECIAL REPORT (AVAILABLE UPON REQUEST).
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070JUNG_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
