ROME       LATITUDE    41.86     LONGITUDE     12.47     ALTITUDE    0 M
ROME       INSTRUMENT   17-NM-64  NEUTRON MONITOR
ROME       STANDARD PRESSURE    1009.25 MB     COEFFICIENT   -0.698    % / MB
ROME       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ROME       PRE-INCREASE AVERAGE COUNTING RATE    150.78      COUNTS PER SECOND
ROME       TIME INTERVALS    300         3600     
ROME       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ROME       061213 300  041000-041500   10     137.48 1024.2    152.59     1.20    -9999
ROME       061213 300  041500-042000   10     134.48 1024.3    149.35    -0.90    -9999
ROME       061213 300  042000-042500   10     136.70 1024.4    151.90     0.70    -9999
ROME       061213 300  042500-043000   10     135.55 1024.4    150.67    -0.10    -9999
ROME       061213 300  043000-043500   10     134.95 1024.4    149.98    -0.50    -9999
ROME       061213 300  043500-044000   10     135.79 1024.4    150.89     0.10    -9999
ROME       061213 300  044000-044500   10     137.42 1024.4    152.75     1.30    -9999
ROME       061213 300  044500-045000   10     135.27 1024.5    150.49    -0.20    -9999
ROME       061213 300  045000-045500   10     136.02 1024.5    151.32     0.40    -9999
ROME       061213 300  045500-050000   10     136.86 1024.5    152.21     1.00    -9999
ROME       061213 300  050000-050500   10     136.07 1024.4    151.27     0.30    -9999
ROME       061213 300  050500-051000   10     138.91 1024.5    154.48     2.50    -9999
ROME       061213 300  051000-051500   10     135.48 1024.5    150.71     0.00    -9999
ROME       061213 300  051500-052000   10     135.29 1024.6    150.53    -0.20    -9999
ROME       061213 300  052000-052500   10     137.20 1024.6    152.69     1.30    -9999
ROME       061213 300  052500-053000   10     137.33 1024.6    152.84     1.40    -9999
ROME       061213 300  053000-053500   10     136.67 1024.6    152.12     0.90    -9999
ROME       061213 300  053500-054000   10     133.83 1024.6    148.96    -1.20    -9999
ROME       061213 300  054000-054500   10     135.86 1024.6    151.20     0.30    -9999
ROME       061213 300  054500-055000   10     136.63 1024.6    152.08     0.90    -9999
ROME       061213 300  055000-055500   10     138.20 1024.7    153.96     2.10    -9999
ROME       061213 300  055500-060000   10     135.53 1024.8    151.07     0.20    -9999
ROME       061213 300  060000-060500   10     136.71 1024.8    152.39     1.10    -9999
ROME       061213 300  060500-061000   10     136.66 1024.8    152.36     1.10    -9999
ROME       061213 300  061000-061500   10     136.27 1024.8    151.87     0.70    -9999
ROME       061213 300  061500-062000   10     135.40 1024.7    150.85     0.00    -9999
ROME       061213 300  062000-062500   10     137.10 1024.6    152.64     1.20    -9999
ROME       061213 300  062500-063000   10     134.64 1024.6    149.91    -0.60    -9999
ROME       061213 300  063000-063500   10     136.95 1024.7    152.52     1.20    -9999
ROME       061213 300  063500-064000   10     136.18 1024.7    151.70     0.60    -9999
ROME       061213 300  064000-064500   10     134.49 1024.8    149.92    -0.60    -9999
ROME       061213 300  064500-065000   10     135.01 1024.9    150.56    -0.10    -9999
ROME       061213 300  065000-065500   10     137.47 1024.9    153.34     1.70    -9999
ROME       061213 300  065500-070000   10     136.17 1025.0    151.95     0.80    -9999
ROME       061213 300  070000-070500   10     135.06 1025.1    150.84     0.00    -9999
ROME       061213 300  070500-071000   10     136.35 1025.1    152.31     1.00    -9999
ROME       061213 300  071000-071500   10     136.69 1025.2    152.79     1.30    -9999
ROME       061213 300  071500-072000   10     134.46 1025.3    150.37    -0.30    -9999
ROME       061213 300  072000-072500   10     137.42 1025.4    153.81     2.00    -9999
ROME       061213 300  072500-073000   10     136.52 1025.5    152.85     1.40    -9999
ROME       061213 300  073000-073500   10     135.27 1025.5    151.46     0.50    -9999
ROME       061213 300  073500-074000   10     136.59 1025.5    153.02     1.50    -9999
ROME       061213 300  074000-074500   10     134.94 1025.5    151.17     0.30    -9999
ROME       061213 300  074500-075000   10     135.76 1025.5    152.08     0.90    -9999
ROME       061213 300  075000-075500   10     136.11 1025.7    152.61     1.20    -9999
ROME       061213 300  075500-080000   10     134.65 1025.8    151.09     0.20    -9999
ROME       061213 300  080000-080500   10     136.53 1025.8    153.27     1.70    -9999
ROME       061213 300  080500-081000   10     137.19 1025.9    154.05     2.20    -9999
ROME       061213 300  081000-081500   10     134.58 1025.9    151.20     0.30    -9999
ROME       061213 300  081500-082000   10     134.49 1026.0    151.19     0.30    -9999
ROME       061213 300  082000-082500   10     137.69 1026.0    154.79     2.70    -9999
ROME       061213 300  082500-083000   10     136.35 1026.1    153.33     1.70    -9999
ROME       061213 300  083000-083500   10     135.01 1026.1    151.86     0.70    -9999
ROME       061213 300  083500-084000   10     135.69 1026.1    152.61     1.20    -9999
ROME       061213 300  084000-084500   10     135.38 1026.1    152.22     1.00    -9999
ROME       061213 300  084500-085000   10     134.80 1026.2    151.72     0.60    -9999
ROME       061213 300  085000-085500   10     134.54 1026.4    151.62     0.60    -9999
ROME       061213 300  085500-090000   10     134.97 1026.4    152.17     0.90    -9999
ROME       061213 300  090000-090500   10     135.78 1026.5    153.09     1.50    -9999
ROME       061213 300  090500-091000   10     136.81 1026.5    154.31     2.30    -9999
ROME       061213 300  091000-091500   10     134.85 1026.5    152.13     0.90    -9999
ROME       061213 300  091500-092000   10     135.87 1026.6    153.31     1.70    -9999
ROME       061213 300  092000-092500   10     135.64 1026.5    153.03     1.50    -9999
ROME       061213 300  092500-093000   10     134.88 1026.6    152.21     1.00    -9999
ROME       061213 300  093000-093500   10     135.79 1026.7    153.32     1.70    -9999
ROME       061213 300  093500-094000   10     135.56 1026.6    153.02     1.50    -9999
ROME       061213 300  094000-094500   10     135.10 1026.6    152.46     1.10    -9999
ROME       061213 300  094500-095000   10     135.17 1026.6    152.50     1.10    -9999
ROME       061213 300  095000-095500   10     136.59 1026.6    154.11     2.20    -9999
ROME       061213 300  095500-100000   10     134.74 1026.6    152.03     0.80    -9999
ROME       061213 300  100000-100500   10     134.96 1026.6    152.28     1.00    -9999
ROME       061213 300  100500-101000   10     135.49 1026.5    152.85     1.40    -9999
ROME       061213 300  101000-101500   10     134.04 1026.5    151.24     0.30    -9999
ROME       061213 300  101500-102000   10     135.95 1026.5    153.32     1.70    -9999
