MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010415 300  104500-105000   00     212.27  773.4    204.43     0.30    -9999
MEXICOCITY 010415 300  105000-105500   00     213.37  773.4    205.50     0.80    -9999
MEXICOCITY 010415 300  105500-110000   00     211.10  773.4    203.33    -0.20    -9999
MEXICOCITY 010415 300  110000-110500   00     208.57  773.4    200.90    -1.40    -9999
MEXICOCITY 010415 300  110500-111000   00     212.87  773.4    205.03     0.60    -9999
MEXICOCITY 010415 300  111000-111500   00     209.27  773.5    201.70    -1.00    -9999
MEXICOCITY 010415 300  111500-112000   00     209.60  773.5    202.03    -0.90    -9999
MEXICOCITY 010415 300  112000-112500   00     211.30  773.5    203.67    -0.10    -9999
MEXICOCITY 010415 300  112500-113000   00     208.80  773.5    201.27    -1.20    -9999
MEXICOCITY 010415 300  113000-113500   00     212.80  773.6    205.27     0.70    -9999
MEXICOCITY 010415 300  113500-114000   00     209.83  773.6    202.40    -0.70    -9999
MEXICOCITY 010415 300  114000-114500   00     209.87  773.6    202.43    -0.70    -9999
MEXICOCITY 010415 300  114500-115000   00     210.47  773.7    203.13    -0.30    -9999
MEXICOCITY 010415 300  115000-115500   00     212.20  773.7    204.83     0.50    -9999
MEXICOCITY 010415 300  115500-120000   00     208.87  773.7    201.60    -1.10    -9999
MEXICOCITY 010415 300  120000-120500   00     212.03  773.7    204.67     0.40    -9999
MEXICOCITY 010415 300  120500-121000   00     211.67  773.7    204.30     0.30    -9999
MEXICOCITY 010415 300  121000-121500   00     211.57  773.7    204.20     0.20    -9999
MEXICOCITY 010415 300  121500-122000   00     209.00  773.8    201.87    -0.90    -9999
MEXICOCITY 010415 300  122000-122500   00     211.17  773.8    203.97     0.10    -9999
MEXICOCITY 010415 300  122500-123000   00     210.00  773.9    203.00    -0.40    -9999
MEXICOCITY 010415 300  123000-123500   00     213.23  774.0    206.27     1.20    -9999
MEXICOCITY 010415 300  123500-124000   00     212.27  774.0    205.33     0.80    -9999
MEXICOCITY 010415 300  124000-124500   00     209.27  774.0    202.43    -0.70    -9999
MEXICOCITY 010415 300  124500-125000   00     209.70  774.1    203.00    -0.40    -9999
MEXICOCITY 010415 300  125000-125500   00     210.00  774.1    203.27    -0.30    -9999
MEXICOCITY 010415 300  125500-130000   00     209.60  774.2    203.03    -0.40    -9999
MEXICOCITY 010415 300  130000-130500   00     208.73  774.2    202.20    -0.80    -9999
MEXICOCITY 010415 300  130500-131000   00     212.10  774.2    205.47     0.80    -9999
MEXICOCITY 010415 300  131000-131500   00     208.57  774.2    202.03    -0.90    -9999
MEXICOCITY 010415 300  131500-132000   00     207.50  774.3    201.13    -1.30    -9999
