IRKUTSK    LATITUDE    52.47     LONGITUDE     104.03    ALTITUDE    433 M
IRKUTSK    INSTRUMENT   IGY     NEUTRON MONITOR
IRKUTSK    STANDARD PRESSURE    948.3   MB     COEFFICIENT   -0.71     % / MB
IRKUTSK    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
IRKUTSK    PRE-INCREASE AVERAGE COUNTING RATE    188.20      COUNTS PER SECOND
IRKUTSK    TIME INTERVALS    300         3600     
IRKUTSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
IRKUTSK    000714 300  110000-110500   00     190.08  948.8    190.75     1.40     1.40
IRKUTSK    000714 300  110500-111000   00     190.32  948.8    191.01     1.50     1.50
IRKUTSK    000714 300  111000-111500   00     189.82  948.8    190.54     1.20     1.20
IRKUTSK    000714 300  111500-112000   00     188.73  948.9    189.48     0.70     0.70
IRKUTSK    000714 300  112000-112500   00     189.20  948.9    189.97     0.90     0.90
IRKUTSK    000714 300  112500-113000   00     188.28  948.9    189.07     0.50     0.50
IRKUTSK    000714 300  113000-113500   00     188.60  948.9    189.42     0.60     0.60
IRKUTSK    000714 300  113500-114000   00     189.56  948.9    190.42     1.20     1.20
IRKUTSK    000714 300  114000-114500   00     187.91  949.0    188.79     0.30     0.30
IRKUTSK    000714 300  114500-115000   00     187.91  949.0    188.82     0.30     0.30
IRKUTSK    000714 300  115000-115500   00     188.12  949.0    189.06     0.50     0.50
IRKUTSK    000714 300  115500-120000   00     187.81  949.0    188.78     0.30     0.30
IRKUTSK    000714 300  120000-120500   00     188.42  949.1    189.48     0.70     0.70
IRKUTSK    000714 300  120500-121000   00     187.58  949.1    188.66     0.20     0.20
IRKUTSK    000714 300  121000-121500   00     187.49  949.1    188.61     0.20     0.20
IRKUTSK    000714 300  121500-122000   00     187.10  949.2    188.24     0.00     0.00
IRKUTSK    000714 300  122000-122500   00     188.75  949.2    189.93     0.90     0.90
IRKUTSK    000714 300  122500-123000   00     188.18  949.2    189.38     0.60     0.60
IRKUTSK    000714 300  123000-123500   00     188.87  949.2    190.09     1.00     1.00
IRKUTSK    000714 300  123500-124000   00     185.94  949.2    187.16    -0.60    -0.60
IRKUTSK    000714 300  124000-124500   00     186.43  949.2    187.68    -0.30    -0.30
IRKUTSK    000714 300  124500-125000   00     187.79  949.2    189.07     0.50     0.50
IRKUTSK    000714 300  125000-125500   00     189.73  949.3    191.03     1.50     1.50
IRKUTSK    000714 300  125500-130000   00     187.77  949.3    189.08     0.50     0.50
