ATHENS     LATITUDE    37.97     LONGITUDE     23.72     ALTITUDE    40 M
ATHENS     INSTRUMENT   3NM64    NEUTRON MONITOR     
ATHENS     STANDARD PRESSURE    972.4   mb     COEFFICIENT   -0.7      % / mb
ATHENS     010415 300  102500-103000   00      53.74  972.4     53.74     0.70    -9999
ATHENS     010415 300  103000-103500   00      54.27  972.4     54.27     1.70    -9999
ATHENS     010415 300  103500-104000   00      52.43  972.4     52.43    -1.80    -9999
ATHENS     010415 300  104000-104500   00      52.04  972.4     52.04    -2.50    -9999
ATHENS     010415 300  104500-105000   00      51.83  972.4     51.84    -2.90    -9999
ATHENS     010415 300  105000-105500   00      53.25  972.4     53.25    -0.20    -9999
ATHENS     010415 300  105500-110000   00      52.71  972.4     52.72    -1.20    -9999
ATHENS     010415 300  110000-110500   00      54.34  972.3     54.32     1.80    -9999
ATHENS     010415 300  110500-111000   00      53.98  972.3     53.95     1.10    -9999
ATHENS     010415 300  111000-111500   00      53.66  972.3     53.64     0.50    -9999
ATHENS     010415 300  111500-112000   00      53.44  972.4     53.42     0.10    -9999
ATHENS     010415 300  112000-112500   00      52.88  972.4     52.87    -0.90    -9999
ATHENS     010415 300  112500-113000   00      53.05  972.4     53.05    -0.60    -9999
ATHENS     010415 300  113000-113500   00      55.22  972.4     55.22     3.50    -9999
ATHENS     010415 300  113500-114000   00      53.06  972.4     53.08    -0.50    -9999
ATHENS     010415 300  114000-114500   00      53.79  972.5     53.82     0.80    -9999
ATHENS     010415 300  114500-115000   00      53.64  972.5     53.69     0.60    -9999
ATHENS     010415 300  115000-115500   00      53.78  972.6     53.84     0.90    -9999
ATHENS     010415 300  115500-120000   00      51.66  972.6     51.74    -3.10    -9999
ATHENS     010415 300  120000-120500   00      52.95  972.8     53.12    -0.50    -9999
ATHENS     010415 300  120500-121000   00      53.43  972.9     53.61     0.40    -9999
ATHENS     010415 300  121000-121500   00      53.20  972.9     53.40     0.10    -9999
ATHENS     010415 300  121500-122000   00      52.02  973.0     52.23    -2.10    -9999
ATHENS     010415 300  122000-122500   00      52.16  973.0     52.37    -1.90    -9999
ATHENS     010415 300  122500-123000   00      52.52  973.0     52.74    -1.20    -9999
ATHENS     010415 300  123000-123500   00      53.54  973.0     53.76     0.70    -9999
ATHENS     010415 300  123500-124000   00      53.29  973.0     53.52     0.30    -9999
ATHENS     010415 300  124000-124500   00      53.09  973.0     53.31    -0.10    -9999
ATHENS     010415 300  124500-125000   00      53.19  973.0     53.41     0.10    -9999
ATHENS     010415 300  125000-125500   00      54.76  973.0     54.98     3.00    -9999
ATHENS     010415 300  125500-130000   00      53.80  972.9     54.00     1.20    -9999
ATHENS     010415 300  130000-130500   00      53.13  972.7     53.23    -0.30    -9999
ATHENS     010415 300  130500-131000   00      51.72  972.6     51.81    -2.90    -9999
ATHENS     010415 300  131000-131500   00      52.41  972.6     52.49    -1.60    -9999
ATHENS     010415 300  131500-132000   00      54.20  972.6     54.28     1.70    -9999
ATHENS     010415 300  132000-132500   00      54.05  972.6     54.12     1.40    -9999
ATHENS     010415 300  132500-133000   00      55.08  972.6     55.16     3.40    -9999
ATHENS     010415 300  133000-133500   00      53.40  972.6     53.48     0.20    -9999
ATHENS     010415 300  133500-134000   00      53.49  972.6     53.57     0.40    -9999
ATHENS     010415 300  134000-134500   00      53.34  972.6     53.42     0.10    -9999
ATHENS     010415 300  134500-135000   00      53.90  972.7     53.99     1.20    -9999
ATHENS     010415 300  135000-135500   00      53.31  972.7     53.41     0.10    -9999
ATHENS     010415 300  135500-140000   00      52.46  972.7     52.58    -1.50    -9999
ATHENS     010415 300  140000-140500   00      54.58  972.8     54.74     2.60    -9999
ATHENS     010415 300  140500-141000   00      54.07  972.9     54.25     1.60    -9999
ATHENS     010415 300  141000-141500   00      53.01  972.9     53.20    -0.30    -9999
ATHENS     010415 300  141500-142000   00      51.81  973.0     52.01    -2.50    -9999
ATHENS     010415 300  142000-142500   00      54.06  973.0     54.29     1.70    -9999
ATHENS     010415 300  142500-143000   00      54.38  973.1     54.64     2.40    -9999
ATHENS     010415 300  143000-143500   00      54.55  973.1     54.83     2.70    -9999
ATHENS     010415 300  143500-144000   00      53.17  973.2     53.47     0.20    -9999
ATHENS     010415 300  144000-144500   00      52.84  973.2     53.15    -0.40    -9999
ATHENS     010415 300  144500-145000   00      54.05  973.3     54.40     1.90    -9999
ATHENS     010415 300  145000-145500   00      53.54  973.4     53.90     1.00    -9999
ATHENS     010415 300  145500-150000   00      53.95  973.4     54.34     1.80    -9999
ATHENS     010415 300  150000-150500   00      51.73  973.6     52.15    -2.30    -9999
ATHENS     010415 300  150500-151000   00      53.52  973.6     53.98     1.10    -9999
ATHENS     010415 300  151000-151500   00      52.24  973.7     52.72    -1.20    -9999
ATHENS     010415 300  151500-152000   00      53.36  973.8     53.87     0.90    -9999
ATHENS     010415 300  152000-152500   00      54.39  973.8     54.93     2.90    -9999
ATHENS     010415 300  152500-153000   00      53.95  973.9     54.51     2.10    -9999
ATHENS     010415 300  153000-153500   00      53.37  973.9     53.94     1.10    -9999
ATHENS     010415 300  153500-154000   00      52.51  974.0     53.10    -0.50    -9999
ATHENS     010415 300  154000-154500   00      54.06  974.0     54.68     2.50    -9999
ATHENS     010415 300  154500-155000   00      54.86  974.1     55.51     4.00    -9999
ATHENS     010415 300  155000-155500   00      52.58  974.1     53.21    -0.30    -9999
ATHENS     010415 300  155500-160000   00      52.50  974.2     53.16    -0.40    -9999
ATHENS     010415 300  160000-160500   00      52.00  974.1     52.62    -1.40    -9999
ATHENS     010415 300  160500-161000   00      53.92  974.1     54.58     2.30    -9999
ATHENS     010415 300  161000-161500   00      53.68  974.2     54.35     1.80    -9999
ATHENS     010415 300  161500-162000   00      53.49  974.2     54.18     1.50    -9999
ATHENS     010415 300  162000-162500   00      51.74  974.3     52.43    -1.80    -9999
ATHENS     010415 300  162500-163000   00      52.92  974.4     53.65     0.50    -9999
ATHENS     010415 300  163000-163500   00      52.20  974.4     52.95    -0.80    -9999
ATHENS     010415 300  163500-164000   00      53.32  974.5     54.11     1.40    -9999
ATHENS     010415 300  164000-164500   00      52.42  974.6     53.22    -0.30    -9999
ATHENS     010415 300  164500-165000   00      52.06  974.7     52.89    -0.90    -9999
ATHENS     010415 300  165000-165500   00      53.81  974.7     54.70     2.50    -9999
ATHENS     010415 300  165500-170000   00      52.40  974.8     53.30    -0.10    -9999
ATHENS     010415 300  170000-170500   00      52.77  975.0     53.74     0.70    -9999
ATHENS     010415 300  170500-171000   00      52.20  975.1     53.18    -0.40    -9999
ATHENS     010415 300  171000-171500   00      52.39  975.2     53.41     0.10    -9999
ATHENS     010415 300  171500-172000   00      53.02  975.3     54.09     1.30    -9999
ATHENS     010415 300  172000-172500   00      53.16  975.4     54.27     1.70    -9999
ATHENS     010415 300  172500-173000   00      53.10  975.5     54.25     1.60    -9999
ATHENS     010415 300  173000-173500   00      51.54  975.5     52.69    -1.30    -9999
ATHENS     010415 300  173500-174000   00      53.44  975.6     54.67     2.40    -9999
ATHENS     010415 300  174000-174500   00      51.96  975.7     53.19    -0.30    -9999
ATHENS     010415 300  174500-175000   00      53.23  975.8     54.52     2.20    -9999
ATHENS     010415 300  175000-175500   00      52.37  975.9     53.68     0.60    -9999
ATHENS     010415 300  175500-180000   00      52.35  976.0     53.70     0.60    -9999
ATHENS     010415 300  180000-180500   00      52.62  976.2     54.03     1.20    -9999
ATHENS     010415 300  180500-181000   00      52.37  976.3     53.81     0.80    -9999
ATHENS     010415 300  181000-181500   00      51.29  976.4     52.74    -1.20    -9999
ATHENS     010415 300  181500-182000   00      51.81  976.5     53.30    -0.10    -9999
ATHENS     010415 300  182000-182500   00      52.81  976.6     54.37     1.90    -9999
ATHENS     010415 300  182500-183000   00      51.84  976.7     53.41     0.10    -9999
ATHENS     010415 300  183000-183500   00      52.51  976.7     54.13     1.40    -9999
ATHENS     010415 300  183500-184000   00      51.52  976.8     53.14    -0.40    -9999
ATHENS     010415 300  184000-184500   00      52.16  976.9     53.84     0.90    -9999
ATHENS     010415 300  184500-185000   00      52.23  977.0     53.94     1.10    -9999
ATHENS     010415 300  185000-185500   00      50.59  977.1     52.28    -2.00    -9999
ATHENS     010415 300  185500-190000   00      53.12  977.2     54.93     2.90    -9999
ATHENS     010415 300  190000-190500   00      51.85  977.3     53.65     0.50    -9999
ATHENS     010415 300  190500-191000   00      52.02  977.3     53.85     0.90    -9999
ATHENS     010415 300  191000-191500   00      52.57  977.4     54.45     2.00    -9999
ATHENS     010415 300  191500-192000   00      52.27  977.5     54.17     1.50    -9999
ATHENS     010415 300  192000-192500   00      52.66  977.6     54.61     2.30    -9999
ATHENS     010415 300  192500-193000   00      50.40  977.7     52.29    -2.00    -9999
ATHENS     010415 300  193000-193500   00      50.80  977.7     52.73    -1.20    -9999
ATHENS     010415 300  193500-194000   00      51.20  977.8     53.18    -0.40    -9999
ATHENS     010415 300  194000-194500   00      50.94  977.9     52.93    -0.80    -9999
ATHENS     010415 300  194500-195000   00      51.77  978.0     53.82     0.80    -9999
ATHENS     010415 300  195000-195500   00      52.19  978.0     54.28     1.70    -9999
ATHENS     010415 300  195500-200000   00      51.46  978.1     53.55     0.30    -9999
ATHENS     010415 300  200000-200500   00      50.86  978.2     52.97    -0.70    -9999
ATHENS     010415 300  200500-201000   00      51.06  978.3     53.20    -0.30    -9999
ATHENS     010415 300  201000-201500   00      50.95  978.3     53.11    -0.50    -9999
ATHENS     010415 300  201500-202000   00      51.80  978.4     54.02     1.20    -9999
ATHENS     010415 300  202000-202500   00      50.65  978.4     52.84    -1.00    -9999
ATHENS     010415 300  202500-203000   00      51.35  978.5     53.58     0.40    -9999
ATHENS     010415 300  203000-203500   00      51.62  978.5     53.88     1.00    -9999
ATHENS     010415 300  203500-204000   00      50.91  978.6     53.15    -0.40    -9999
ATHENS     010415 300  204000-204500   00      50.79  978.6     53.03    -0.60    -9999
ATHENS     010415 300  204500-205000   00      51.39  978.6     53.67     0.60    -9999
ATHENS     010415 300  205000-205500   00      50.75  978.6     53.01    -0.70    -9999
ATHENS     010415 300  205500-210000   00      52.20  978.6     54.53     2.20    -9999
ATHENS     010415 300  210000-210500   00      51.99  978.5     54.27     1.70    -9999
ATHENS     010415 300  210500-211000   00      50.15  978.5     52.35    -1.90    -9999
ATHENS     010415 300  211000-211500   00      51.13  978.6     53.38     0.00    -9999
ATHENS     010415 300  211500-212000   00      51.20  978.6     53.45     0.10    -9999
ATHENS     010415 300  212000-212500   00      50.90  978.6     53.15    -0.40    -9999
ATHENS     010415 300  212500-213000   00      50.87  978.6     53.13    -0.40    -9999
ATHENS     010415 300  213000-213500   00      51.12  978.6     53.39     0.00    -9999
ATHENS     010415 300  213500-214000   00      51.39  978.6     53.68     0.60    -9999
ATHENS     010415 300  214000-214500   00      49.90  978.6     52.13    -2.30    -9999
ATHENS     010415 300  214500-215000   00      51.58  978.7     53.89     1.00    -9999
ATHENS     010415 300  215000-215500   00      52.70  978.7     55.07     3.20    -9999
ATHENS     010415 300  215500-220000   00      52.29  978.7     54.66     2.40    -9999
ATHENS     010415 300  220000-220500   00      51.45  978.8     53.80     0.80    -9999
ATHENS     010415 300  220500-221000   00      50.39  978.8     52.71    -1.20    -9999
ATHENS     010415 300  221000-221500   00      50.93  978.8     53.27    -0.20    -9999
ATHENS     010415 300  221500-222000   00      51.96  978.9     54.36     1.90    -9999
ATHENS     010415 300  222000-222500   00      51.58  978.9     53.97     1.10    -9999
ATHENS     010415 300  222500-223000   00      52.45  978.9     54.89     2.80    -9999
ATHENS     010415 300  223000-223500   00      51.90  978.9     54.32     1.80    -9999
ATHENS     010415 300  223500-224000   00      51.64  978.9     54.06     1.30    -9999
ATHENS     010415 300  224000-224500   00      50.98  978.9     53.36     0.00    -9999
ATHENS     010415 300  224500-225000   00      51.51  978.9     53.93     1.00    -9999
ATHENS     010415 300  225000-225500   00      51.08  979.0     53.48     0.20    -9999
ATHENS     010415 300  225500-230000   00      51.11  979.0     53.52     0.30    -9999
ATHENS     010415 300  230000-230500   00      52.33  979.0     54.80     2.70    -9999
ATHENS     010415 300  230500-231000   00      50.84  979.0     53.24    -0.20    -9999
ATHENS     010415 300  231000-231500   00      51.39  979.0     53.81     0.80    -9999
ATHENS     010415 300  231500-232000   00      51.70  979.0     54.14     1.40    -9999
ATHENS     010415 300  232000-232500   00      50.35  979.0     52.73    -1.20    -9999
ATHENS     010415 300  232500-233000   00      51.18  979.0     53.60     0.40    -9999
ATHENS     010415 300  233000-233500   00      51.41  979.0     53.84     0.90    -9999
ATHENS     010415 300  233500-234000   00      50.52  979.0     52.91    -0.90    -9999
ATHENS     010415 300  234000-234500   00      51.08  979.0     53.50     0.20    -9999
ATHENS     010415 300  234500-235000   00      51.51  979.0     53.95     1.10    -9999
ATHENS     010415 300  235000-235500   00      49.84  979.0     52.20    -2.20    -9999
ATHENS     010415 300  235500-240000   00      51.76  979.0     54.21     1.60    -9999
ATHENS     010416 3600 000000-010000   00      51.40  979.0     53.83     0.90    -9999
ATHENS     010416 3600 010000-020000   00      51.54  979.1     54.02     1.20    -9999
ATHENS     010416 3600 020000-030000   00      51.11  979.8     53.83     0.90    -9999
ATHENS     010416 3600 030000-040000   00      51.08  980.4     54.02     1.20    -9999
ATHENS     010416 3600 040000-050000   00      50.74  980.7     53.78     0.80    -9999
ATHENS     010416 3600 050000-060000   00      50.87  980.8     53.95     1.10    -9999
ATHENS     010416 3600 060000-070000   00      50.69  981.4     53.99     1.20    -9999
ATHENS     010416 3600 070000-080000   00      49.92  982.2     53.46     0.20    -9999
ATHENS     010416 3600 080000-090000   00      50.27  982.3     53.88     1.00    -9999
ATHENS     010416 3600 090000-100000   00      50.53  982.2     54.12     1.40    -9999
ATHENS     010416 3600 100000-110000   00      50.56  981.8     54.00     1.20    -9999
ATHENS     010416 3600 110000-120000   00      50.82  981.4     54.12     1.40    -9999
ATHENS     010416 3600 120000-130000   00      51.02  981.0     54.18     1.50    -9999
ATHENS     010416 3600 130000-140000   00      51.57  980.5     54.57     2.20    -9999
ATHENS     010416 3600 140000-150000   00      51.26  980.3     54.17     1.50    -9999
ATHENS     010416 3600 150000-160000   00      50.76  980.4     53.68     0.60    -9999
ATHENS     010416 3600 160000-170000   00      50.96  980.6     53.97     1.10    -9999
ATHENS     010416 3600 170000-180000   00      50.61  980.6     53.60     0.40    -9999
ATHENS     010416 3600 180000-190000   00      50.74  980.9     53.85     0.90    -9999
ATHENS     010416 3600 190000-200000   00      51.16  981.2     54.41     1.90    -9999
ATHENS     010416 3600 200000-210000   00      50.56  981.3     53.81     0.80    -9999
ATHENS     010416 3600 210000-220000   00      50.81  981.2     54.04     1.30    -9999
ATHENS     010416 3600 220000-230000   00      50.74  981.2     53.97     1.10    -9999
ATHENS     010416 3600 230000-240000   00      50.87  980.8     53.95     1.10    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060ATHN.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
