SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    686.5   mb     COEFFICIENT   -0.75     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    227.71      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 031029 300  055000-055500   00     240.10  689.2    244.96     7.60     7.60
SOUTH POLE 031029 300  055500-060000   00     241.26  689.2    246.18     8.10     8.10
SOUTH POLE 031029 300  060000-060500   00     239.58  689.2    244.49     7.40     7.40
SOUTH POLE 031029 300  060500-061000   00     240.32  689.2    245.28     7.70     7.70
SOUTH POLE 031029 300  061000-061500   00     238.56  689.2    243.51     6.90     6.90
SOUTH POLE 031029 300  061500-062000   00     235.02  689.3    239.93     5.40     5.40
SOUTH POLE 031029 300  062000-062500   00     229.14  689.3    233.96     2.70     2.70
SOUTH POLE 031029 300  062500-063000   00     219.82  689.3    224.47    -1.40    -1.40
SOUTH POLE 031029 300  063000-063500   00     220.60  689.3    225.29    -1.10    -9999
SOUTH POLE 031029 300  063500-064000   00     215.92  689.3    220.54    -3.20    -9999
SOUTH POLE 031029 300  064000-064500   00     220.16  689.3    224.90    -1.20    -9999
SOUTH POLE 031029 300  064500-065000   00     225.62  689.4    230.51     1.20    -9999
SOUTH POLE 031029 300  065000-065500   00     227.82  689.4    232.78     2.20    -9999
SOUTH POLE 031029 300  065500-070000   00     228.94  689.4    233.96     2.70    -9999
SOUTH POLE 031029 300  070000-070500   00     228.60  689.4    233.64     2.60    -9999
SOUTH POLE 031029 300  070500-071000   00     228.36  689.4    233.42     2.50    -9999
SOUTH POLE 031029 300  071000-071500   00     229.92  689.4    235.05     3.20    -9999
SOUTH POLE 031029 300  071500-072000   00     228.80  689.5    233.93     2.70    -9999
SOUTH POLE 031029 300  072000-072500   00     228.82  689.5    233.98     2.80    -9999
SOUTH POLE 031029 300  072500-073000   00     226.82  689.5    231.97     1.90    -9999
SOUTH POLE 031029 300  073000-073500   00     226.92  689.5    232.10     1.90    -9999
SOUTH POLE 031029 300  073500-074000   00     228.90  689.5    234.15     2.80    -9999
SOUTH POLE 031029 300  074000-074500   00     226.12  689.5    231.34     1.60    -9999
SOUTH POLE 031029 300  074500-075000   00     227.66  689.6    232.94     2.30    -9999
SOUTH POLE 031029 300  075000-075500   00     226.40  689.6    231.68     1.80    -9999
SOUTH POLE 031029 300  075500-080000   00     225.92  689.6    231.22     1.50    -9999
SOUTH POLE 031029 300  080000-080500   00     223.52  689.6    228.78     0.50    -9999
SOUTH POLE 031029 300  080500-081000   00     225.68  689.6    231.01     1.40    -9999
SOUTH POLE 031029 300  081000-081500   00     224.70  689.6    230.02     1.00    -9999
SOUTH POLE 031029 300  081500-082000   00     225.70  689.6    231.06     1.50    -9999
SOUTH POLE 031029 300  082000-082500   00     224.26  689.6    229.60     0.80    -9999
SOUTH POLE 031029 300  082500-083000   00     224.36  689.6    229.71     0.90    -9999
SOUTH POLE 031029 300  083000-083500   00     224.34  689.7    229.71     0.90    -9999
SOUTH POLE 031029 300  083500-084000   00     225.46  689.7    230.87     1.40    -9999
SOUTH POLE 031029 300  084000-084500   00     224.48  689.7    229.88     0.90    -9999
SOUTH POLE 031029 300  084500-085000   00     224.62  689.7    230.04     1.00    -9999
SOUTH POLE 031029 300  085000-085500   00     223.38  689.7    228.78     0.50    -9999
SOUTH POLE 031029 300  085500-090000   00     222.22  689.7    227.61    -0.10    -9999
SOUTH POLE 031029 300  090000-090500   00     223.92  689.7    229.36     0.70    -9999
SOUTH POLE 031029 300  090500-091000   00     226.08  689.7    231.57     1.70    -9999
SOUTH POLE 031029 300  091000-091500   00     223.56  689.7    228.99     0.60    -9999
SOUTH POLE 031029 300  091500-092000   00     223.94  689.7    229.38     0.70    -9999
SOUTH POLE 031029 300  092000-092500   00     223.18  689.7    228.60     0.40    -9999
SOUTH POLE 031029 300  092500-093000   00     222.06  689.7    227.45    -0.10    -9999
SOUTH POLE 031029 300  093000-093500   00     221.00  689.7    226.37    -0.60    -9999
SOUTH POLE 031029 300  093500-094000   00     222.66  689.7    228.07     0.20    -9999
SOUTH POLE 031029 300  094000-094500   00     222.76  689.7    228.17     0.20    -9999
SOUTH POLE 031029 300  094500-095000   00     222.96  689.7    228.38     0.30    -9999
SOUTH POLE 031029 300  095000-095500   00     220.82  689.7    226.19    -0.70    -9999
SOUTH POLE 031029 300  095500-100000   00     220.02  689.7    225.37    -1.00    -9999
SOUTH POLE 031029 300  100000-100500   00     219.42  689.7    224.75    -1.30    -9999
SOUTH POLE 031029 300  100500-101000   00     220.26  689.7    225.61    -0.90    -9999
SOUTH POLE 031029 300  101000-101500   00     219.50  689.7    224.83    -1.30    -9999
SOUTH POLE 031029 300  101500-102000   00     219.04  689.7    224.36    -1.50    -9999
SOUTH POLE 031029 300  102000-102500   00     218.84  689.7    224.16    -1.50    -9999
SOUTH POLE 031029 300  102500-103000   00     217.44  689.7    222.72    -2.20    -9999
SOUTH POLE 031029 300  103000-103500   00     217.84  689.7    223.13    -2.00    -9999
SOUTH POLE 031029 300  103500-104000   00     216.70  689.7    221.96    -2.50    -9999
SOUTH POLE 031029 300  104000-104500   00     215.74  689.7    220.98    -3.00    -9999
SOUTH POLE 031029 300  104500-105000   00     216.32  689.7    221.57    -2.70    -9999
SOUTH POLE 031029 300  105000-105500   00     213.50  689.7    218.68    -3.90    -9999
SOUTH POLE 031029 300  105500-110000   00     214.84  689.7    220.06    -3.40    -9999
SOUTH POLE 031029 300  110000-110500   00     213.40  689.7    218.58    -4.00    -9999
SOUTH POLE 031029 300  110500-111000   00     209.90  689.7    215.00    -5.60    -9999
SOUTH POLE 031029 300  111000-111500   00     209.20  689.7    214.28    -5.90    -9999
SOUTH POLE 031029 300  111500-112000   00     205.68  689.7    210.68    -7.50    -9999
SOUTH POLE 031029 300  112000-112500   00     206.88  689.7    211.91    -6.90    -9999
SOUTH POLE 031029 300  112500-113000   00     210.46  689.7    215.57    -5.30    -9999
SOUTH POLE 031029 300  113000-113500   00     210.26  689.7    215.37    -5.40    -9999
SOUTH POLE 031029 300  113500-114000   00     203.70  689.7    208.65    -8.40    -9999
SOUTH POLE 031029 300  114000-114500   00     204.90  689.7    209.88    -7.80    -9999
SOUTH POLE 031029 300  114500-115000   00     204.60  689.7    209.57    -7.90    -9999
SOUTH POLE 031029 300  115000-115500   00     203.08  689.7    208.01    -8.70    -9999
SOUTH POLE 031029 300  115500-120000   00     205.12  689.7    210.10    -7.70    -9999
SOUTH POLE 031029 3600 120000-130000   00     198.32  689.8    203.29   -10.70    -9999
SOUTH POLE 031029 3600 130000-140000   00     180.96  690.0    185.77   -18.40    -9999
SOUTH POLE 031029 3600 140000-150000   00     176.81  690.0    181.51   -20.30    -9999
SOUTH POLE 031029 3600 150000-160000   00     178.10  690.0    182.84   -19.70    -9999
SOUTH POLE 031029 3600 160000-170000   00     175.54  690.1    180.35   -20.80    -9999
SOUTH POLE 031029 3600 170000-180000   00     174.46  690.4    179.64   -21.10    -9999
SOUTH POLE 031029 3600 180000-190000   00     185.36  690.5    191.01   -16.10    -9999
SOUTH POLE 031029 3600 190000-200000   00     185.63  690.6    191.43   -15.90    -9999
SOUTH POLE 031029 3600 200000-210000   00     186.30  690.8    192.40   -15.50    -9999
SOUTH POLE 031029 3600 210000-220000   00     238.20  690.9    246.19     8.10    -9999
SOUTH POLE 031029 3600 220000-230000   00     232.71  691.1    240.88     5.80    -9999
SOUTH POLE 031029 3600 230000-240000   00     220.75  691.0    228.33     0.30    -9999
*
Comment: The Clock of Regisrator is fast on+sec (slow on-sec) is supporting by GPS or InternetClockServer;	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-03 12:51:18 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE65/C065SOPO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
