KIEL       LATITUDE    54.33     LONGITUDE     10.13     ALTITUDE    33 M
KIEL       INSTRUMENT   IGY     NEUTRON MONITOR
KIEL       STANDARD PRESSURE    993.5   mb     COEFFICIENT   -0.72     % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    165.62      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       000714 300  122000-122500   00     168.60  993.7    168.80     1.90     1.90
KIEL       000714 300  122500-123000   00     171.04  993.7    171.27     3.40     3.40
KIEL       000714 300  123000-123500   00     168.39  993.7    168.64     1.80     1.80
KIEL       000714 300  123500-124000   00     166.31  993.7    166.57     0.60     0.60
KIEL       000714 300  124000-124500   00     170.57  993.7    170.87     3.20     3.20
KIEL       000714 300  124500-125000   00     168.10  993.8    168.42     1.70     1.70
KIEL       000714 300  125000-125500   00     168.75  993.8    169.09     2.10     2.10
KIEL       000714 300  125500-130000   00     169.09  993.8    169.46     2.30     2.30
KIEL       000714 300  130000-130500   00     168.47  993.8    168.89     2.00     2.00
KIEL       000714 300  130500-131000   00     166.56  993.9    167.00     0.80     0.80
KIEL       000714 300  131000-131500   00     168.13  993.9    168.60     1.80     1.80
KIEL       000714 300  131500-132000   00     168.74  993.9    169.24     2.20     2.20
KIEL       000714 300  132000-132500   00     165.66  993.9    166.19     0.30     0.30
KIEL       000714 300  132500-133000   00     167.84  994.0    168.41     1.70     1.70
KIEL       000714 300  133000-133500   00     167.14  994.0    167.75     1.30     1.30
KIEL       000714 300  133500-134000   00     167.86  994.0    168.51     1.80     1.80
KIEL       000714 300  134000-134500   00     165.63  994.1    166.31     0.40     0.40
KIEL       000714 300  134500-135000   00     167.51  994.1    168.22     1.50     1.50
KIEL       000714 300  135000-135500   00     167.27  994.1    168.03     1.40     1.40
KIEL       000714 300  135500-140000   00     165.37  994.2    166.15     0.30     0.30
KIEL       000714 300  140000-140500   00     165.95  994.2    166.79     0.70     0.70
KIEL       000714 300  140500-141000   00     165.01  994.2    165.89     0.10     0.10
KIEL       000714 300  141000-141500   00     164.93  994.3    165.85     0.20     0.20
KIEL       000714 300  141500-142000   00     166.77  994.3    167.74     1.30     1.30
KIEL       000714 300  142000-142500   00     166.26  994.3    167.26     1.00     1.00
KIEL       000714 300  142500-143000   00     167.36  994.4    168.41     1.70     1.70
KIEL       000714 300  143000-143500   00     163.57  994.4    164.64    -0.60    -0.60
KIEL       000714 300  143500-144000   00     164.57  994.4    165.68     0.00     0.00
KIEL       000714 300  144000-144500   00     164.65  994.5    165.81     0.10     0.10
KIEL       000714 300  144500-145000   00     164.88  994.5    166.08     0.30     0.30
KIEL       000714 300  145000-145500   00     162.19  994.5    163.40    -1.30    -1.30
KIEL       000714 300  145500-150000   00     166.82  994.6    168.11     1.50     1.50
KIEL       000714 300  150000-150500   00     164.12  994.6    165.46    -0.10    -0.10
KIEL       000714 300  150500-151000   00     165.77  994.7    167.16     0.90     0.90
KIEL       000714 300  151000-151500   00     163.37  994.7    164.77    -0.50    -0.50
KIEL       000714 300  151500-152000   00     164.93  994.7    166.39     0.50     0.50
KIEL       000714 300  152000-152500   00     163.47  994.8    164.95    -0.40    -0.40
KIEL       000714 300  152500-153000   00     164.72  994.8    166.24     0.40     0.40
KIEL       000714 300  153000-153500   00     165.24  994.8    166.80     0.70     0.70
KIEL       000714 300  153500-154000   00     163.20  994.8    164.76    -0.50    -0.50
KIEL       000714 300  154000-154500   00     164.10  994.8    165.70     0.00     0.00
KIEL       000714 300  154500-155000   00     164.77  994.9    166.40     0.50     0.50
KIEL       000714 300  155000-155500   00     164.60  994.9    166.26     0.40     0.40
KIEL       000714 300  155500-160000   00     164.91  994.9    166.59     0.60     0.60
KIEL       000714 300  160000-160500   00     165.26  994.9    166.93     0.80     0.80
KIEL       000714 300  160500-161000   00     164.75  994.9    166.42     0.50    -9999
KIEL       000714 300  161000-161500   00     166.86  994.9    168.58     1.80    -9999
KIEL       000714 300  161500-162000   00     163.55  994.9    165.25    -0.20    -9999
KIEL       000714 300  162000-162500   00     164.70  995.0    166.44     0.50    -9999
KIEL       000714 300  162500-163000   00     163.44  995.0    165.19    -0.30    -9999
KIEL       000714 300  163000-163500   00     163.10  995.0    164.88    -0.50    -9999
KIEL       000714 300  163500-164000   00     163.44  995.0    165.24    -0.20    -9999
KIEL       000714 300  164000-164500   00     162.55  995.0    164.37    -0.80    -9999
KIEL       000714 300  164500-165000   00     164.28  995.1    166.15     0.30    -9999
KIEL       000714 300  165000-165500   00     163.86  995.1    165.75     0.10    -9999
KIEL       000714 300  165500-170000   00     164.50  995.1    166.42     0.50    -9999
KIEL       000714 3600 170000-180000   00     161.20  995.3    163.30    -1.40    -9999
KIEL       000714 3600 180000-190000   00     160.96  995.6    163.41    -1.30    -9999
KIEL       000714 3600 190000-200000   00     161.24  996.1    164.29    -0.80    -9999
KIEL       000714 3600 200000-210000   00     160.72  996.5    164.23    -0.80    -9999
KIEL       000714 3600 210000-220000   00     160.07  996.7    163.80    -1.10    -9999
KIEL       000714 3600 220000-230000   00     160.22  996.7    163.95    -1.00    -9999
KIEL       000714 3600 230000-240000   00     160.59  996.6    164.21    -0.90    -9999
KIEL       000715 3600 000000-010000   00     160.23  996.9    164.20    -0.90    -9999
KIEL       000715 3600 010000-020000   00     159.01  997.4    163.53    -1.30    -9999
KIEL       000715 3600 020000-030000   00     159.74  997.4    164.28    -0.80    -9999
KIEL       000715 3600 030000-040000   00     160.62  997.2    164.96    -0.40    -9999
KIEL       000715 3600 040000-050000   00     160.44  997.1    164.65    -0.60    -9999
KIEL       000715 3600 050000-060000   00     161.32  997.2    165.68     0.00    -9999
KIEL       000715 3600 060000-070000   00     161.01  997.4    165.59     0.00    -9999
KIEL       000715 3600 070000-080000   00     160.76  997.9    165.94     0.20    -9999
KIEL       000715 3600 080000-090000   00     160.72  998.3    166.38     0.50    -9999
KIEL       000715 3600 090000-100000   00     160.96  998.6    166.98     0.80    -9999
KIEL       000715 3600 100000-110000   00     161.34  998.8    167.62     1.20    -9999
KIEL       000715 3600 110000-120000   00     160.20  999.0    166.67     0.60    -9999
KIEL       000715 3600 120000-130000   00     158.61  999.2    165.25    -0.20    -9999
KIEL       000715 3600 130000-140000   00     157.60  999.4    164.44    -0.70    -9999
KIEL       000715 3600 140000-150000   00     157.47  999.6    164.54    -0.70    -9999
KIEL       000715 3600 150000-160000   00     154.78  999.9    162.08    -2.10    -9999
KIEL       000715 3600 160000-170000   00     155.30 1000.2    162.98    -1.60    -9999
KIEL       000715 3600 170000-180000   00     154.09 1000.5    162.06    -2.20    -9999
KIEL       000715 3600 180000-190000   00     152.57 1000.7    160.69    -3.00    -9999
KIEL       000715 3600 190000-200000   00     151.06 1001.0    159.45    -3.70    -9999
KIEL       000715 3600 200000-210000   00     146.53 1001.5    155.22    -6.30    -9999
