TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120517 300  010500-011000   00     115.07  988.9    117.04     0.60    -9999
TERREADELI 120517 300  011000-011500   00     116.00  989.1    118.16     1.60    -9999
TERREADELI 120517 300  011500-012000   00     113.53  989.2    115.78    -0.50    -9999
TERREADELI 120517 300  012000-012500   00     114.47  989.3    116.80     0.40    -9999
TERREADELI 120517 300  012500-013000   00     114.40  989.3    116.76     0.40    -9999
TERREADELI 120517 300  013000-013500   00     113.33  989.4    115.69    -0.50    -9999
TERREADELI 120517 300  013500-014000   00     113.40  989.2    115.64    -0.60    -9999
TERREADELI 120517 300  014000-014500   00     114.60  989.1    116.80     0.40    -9999
TERREADELI 120517 300  014500-015000   00     114.13  989.1    116.25    -0.10    -9999
TERREADELI 120517 300  015000-015500   00     114.00  988.9    115.96    -0.30    -9999
TERREADELI 120517 300  015500-020000   00     113.07  988.7    114.83    -1.30    -9999
TERREADELI 120517 300  020000-020500   00     115.53  988.5    117.22     0.80    -9999
TERREADELI 120517 300  020500-021000   00     114.20  988.4    115.75    -0.50    -9999
TERREADELI 120517 300  021000-021500   00     116.00  988.6    117.73     1.20    -9999
TERREADELI 120517 300  021500-022000   00     116.73  988.5    118.41     1.80    -9999
TERREADELI 120517 300  022000-022500   00     115.60  988.5    117.28     0.80    -9999
TERREADELI 120517 300  022500-023000   00     115.67  988.3    117.19     0.70    -9999
TERREADELI 120517 300  023000-023500   00     117.27  988.2    118.72     2.10    -9999
TERREADELI 120517 300  023500-024000   00     117.00  988.0    118.26     1.70    -9999
TERREADELI 120517 300  024000-024500   00     120.27  987.7    121.25     4.20    -9999
TERREADELI 120517 300  024500-025000   00     118.27  987.6    119.16     2.40    -9999
TERREADELI 120517 300  025000-025500   00     120.20  987.7    121.23     4.20    -9999
TERREADELI 120517 300  025500-030000   00     117.27  988.2    118.64     2.00    -9999
TERREADELI 120517 300  030000-030500   00     117.67  988.4    119.26     2.50    -9999
TERREADELI 120517 300  030500-031000   00     118.07  988.6    119.86     3.00    -9999
TERREADELI 120517 300  031000-031500   00     116.73  988.7    118.55     1.90    -9999
TERREADELI 120517 300  031500-032000   00     119.40  988.6    121.21     4.20    -9999
TERREADELI 120517 300  032000-032500   00     117.67  988.7    119.55     2.80    -9999
TERREADELI 120517 300  032500-033000   00     115.67  988.6    117.40     0.90    -9999
TERREADELI 120517 300  033000-033500   00     117.47  988.6    119.27     2.50    -9999
TERREADELI 120517 300  033500-034000   00     119.60  988.7    121.46     4.40    -9999
TERREADELI 120517 300  034000-034500   00     117.33  988.6    119.09     2.40    -9999
TERREADELI 120517 300  034500-035000   00     116.00  988.5    117.69     1.20    -9999
TERREADELI 120517 300  035000-035500   00     115.93  988.5    117.58     1.10    -9999
TERREADELI 120517 300  035500-040000   00     117.40  988.4    119.04     2.30    -9999
TERREADELI 120517 300  040000-040500   00     115.20  988.3    116.65     0.30    -9999
TERREADELI 120517 300  040500-041000   00     117.07  988.2    118.49     1.90    -9999
TERREADELI 120517 300  041000-041500   00     117.80  988.2    119.18     2.50    -9999
TERREADELI 120517 300  041500-042000   00     117.87  988.1    119.18     2.50    -9999
TERREADELI 120517 300  042000-042500   00     116.00  988.2    117.41     0.90    -9999
TERREADELI 120517 300  042500-043000   00     116.47  988.2    117.88     1.30    -9999
TERREADELI 120517 300  043000-043500   00     117.80  988.1    119.14     2.40    -9999
TERREADELI 120517 300  043500-044000   00     117.73  988.2    119.16     2.40    -9999
TERREADELI 120517 300  044000-044500   00     116.73  988.2    118.15     1.60    -9999
TERREADELI 120517 300  044500-045000   00     117.07  988.2    118.47     1.80    -9999
TERREADELI 120517 300  045000-045500   00     118.40  988.1    119.77     3.00    -9999
TERREADELI 120517 300  045500-050000   00     116.20  988.1    117.54     1.00    -9999
TERREADELI 120517 300  050000-050500   00     116.07  988.0    117.34     0.90    -9999
TERREADELI 120517 300  050500-051000   00     117.53  987.9    118.73     2.10    -9999
TERREADELI 120517 300  051000-051500   00     116.33  987.9    117.47     1.00    -9999
TERREADELI 120517 300  051500-052000   00     117.27  987.8    118.34     1.70    -9999
TERREADELI 120517 300  052000-052500   00     117.53  987.7    118.54     1.90    -9999
TERREADELI 120517 300  052500-053000   00     117.60  987.6    118.49     1.90    -9999
TERREADELI 120517 300  053000-053500   00     118.20  987.5    119.05     2.30    -9999
TERREADELI 120517 300  053500-054000   00     116.93  987.6    117.79     1.30    -9999
TERREADELI 120517 300  054000-054500   00     118.60  987.6    119.47     2.70    -9999
TERREADELI 120517 300  054500-055000   00     117.93  987.5    118.73     2.10    -9999
TERREADELI 120517 300  055000-055500   00     117.40  987.5    118.17     1.60    -9999
TERREADELI 120517 300  055500-060000   00     119.53  987.4    120.27     3.40    -9999
TERREADELI 120517 300  060000-060500   00     117.27  987.4    117.97     1.40    -9999
TERREADELI 120517 300  060500-061000   00     117.93  987.3    118.59     2.00    -9999
TERREADELI 120517 300  061000-061500   00     118.13  987.2    118.72     2.10    -9999
