TERREADELI LATITUDE    -66.65    LONGITUDE     140       ALTITUDE    32 M
TERREADELI INSTRUMENT   9-NM-64  NEUTRON MONITOR	
TERREADELI STANDARD PRESSURE    987     mb     COEFFICIENT   -0.7425   % / mb
TERREADELI PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
TERREADELI PRE-INCREASE AVERAGE COUNTING RATE    116.32      COUNTS PER SECOND
TERREADELI TIME INTERVALS    300         3600     
TERREADELI SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
TERREADELI 120517 300  193000-193500   00     124.33  979.0    117.49     1.00    -9999
TERREADELI 120517 300  193500-194000   00     122.33  979.1    115.74    -0.50    -9999
TERREADELI 120517 300  194000-194500   00     121.87  979.1    115.32    -0.90    -9999
TERREADELI 120517 300  194500-195000   00     121.53  979.2    115.07    -1.10    -9999
TERREADELI 120517 300  195000-195500   00     122.93  979.4    116.56     0.20    -9999
TERREADELI 120517 300  195500-200000   00     121.20  979.4    114.94    -1.20    -9999
TERREADELI 120517 300  200000-200500   00     122.60  979.4    116.27     0.00    -9999
TERREADELI 120517 300  200500-201000   00     122.27  979.4    115.88    -0.40    -9999
TERREADELI 120517 300  201000-201500   00     122.73  979.3    116.28     0.00    -9999
TERREADELI 120517 300  201500-202000   00     120.67  979.4    114.36    -1.70    -9999
TERREADELI 120517 300  202000-202500   00     119.87  979.5    113.74    -2.20    -9999
TERREADELI 120517 300  202500-203000   00     121.20  979.8    115.21    -1.00    -9999
TERREADELI 120517 300  203000-203500   00     120.20  979.7    114.24    -1.80    -9999
TERREADELI 120517 300  203500-204000   00     122.13  980.0    116.30     0.00    -9999
TERREADELI 120517 300  204000-204500   00     123.33  980.0    117.49     1.00    -9999
TERREADELI 120517 300  204500-205000   00     121.47  979.8    115.51    -0.70    -9999
TERREADELI 120517 300  205000-205500   00     122.33  980.0    116.54     0.20    -9999
TERREADELI 120517 300  205500-210000   00     120.07  980.1    114.43    -1.60    -9999
TERREADELI 120517 300  210000-210500   00     121.13  980.0    115.38    -0.80    -9999
TERREADELI 120517 300  210500-211000   00     120.47  980.2    114.88    -1.20    -9999
TERREADELI 120517 300  211000-211500   00     120.60  980.2    115.03    -1.10    -9999
TERREADELI 120517 300  211500-212000   00     121.47  980.2    115.88    -0.40    -9999
TERREADELI 120517 300  212000-212500   00     120.87  980.2    115.23    -0.90    -9999
TERREADELI 120517 300  212500-213000   00     121.87  980.0    116.10    -0.20    -9999
TERREADELI 120517 300  213000-213500   00     120.87  980.2    115.26    -0.90    -9999
TERREADELI 120517 300  213500-214000   00     121.27  980.3    115.71    -0.50    -9999
TERREADELI 120517 300  214000-214500   00     120.07  980.2    114.47    -1.60    -9999
TERREADELI 120517 300  214500-215000   00     121.20  980.4    115.78    -0.50    -9999
TERREADELI 120517 300  215000-215500   00     120.93  980.3    115.44    -0.80    -9999
TERREADELI 120517 300  215500-220000   00     121.20  980.6    115.97    -0.30    -9999
TERREADELI 120517 300  220000-220500   00     118.53  980.6    113.41    -2.50    -9999
TERREADELI 120517 300  220500-221000   00     122.07  980.6    116.72     0.30    -9999
TERREADELI 120517 300  221000-221500   00     119.40  980.8    114.40    -1.70    -9999
TERREADELI 120517 300  221500-222000   00     121.87  981.1    116.97     0.60    -9999
TERREADELI 120517 300  222000-222500   00     119.20  981.1    114.44    -1.60    -9999
TERREADELI 120517 300  222500-223000   00     120.80  980.7    115.61    -0.60    -9999
TERREADELI 120517 300  223000-223500   00     118.93  980.8    113.91    -2.10    -9999
TERREADELI 120517 300  223500-224000   00     119.13  980.9    114.21    -1.80    -9999
TERREADELI 120517 300  224000-224500   00     120.53  981.0    115.62    -0.60    -9999
TERREADELI 120517 300  224500-225000   00     122.67  980.9    117.58     1.10    -9999
TERREADELI 120517 300  225000-225500   00     121.00  981.0    116.05    -0.20    -9999
TERREADELI 120517 300  225500-230000   00     121.47  981.1    116.66     0.30    -9999
TERREADELI 120517 300  230000-230500   00     120.93  981.1    116.08    -0.20    -9999
TERREADELI 120517 300  230500-231000   00     119.13  981.2    114.44    -1.60    -9999
TERREADELI 120517 300  231000-231500   00     120.80  981.1    115.95    -0.30    -9999
TERREADELI 120517 300  231500-232000   00     118.80  981.0    114.01    -2.00    -9999
TERREADELI 120517 300  232000-232500   00     121.47  980.7    116.29     0.00    -9999
TERREADELI 120517 300  232500-233000   00     121.20  980.8    116.13    -0.20    -9999
TERREADELI 120517 300  233000-233500   00     120.87  980.9    115.90    -0.40    -9999
TERREADELI 120517 300  233500-234000   00     121.13  980.9    116.11    -0.20    -9999
TERREADELI 120517 300  234000-234500   00     119.93  980.8    114.87    -1.20    -9999
TERREADELI 120517 300  234500-235000   00     119.60  981.1    114.80    -1.30    -9999
TERREADELI 120517 300  235000-235500   00     119.20  981.1    114.44    -1.60    -9999
TERREADELI 120517 300  235500-240000   00     118.73  981.3    114.15    -1.90    -9999
TERREADELI 120518 3600 000000-010000   00     120.21  981.1    115.41    -0.80    -9999
TERREADELI 120518 3600 010000-020000   00     119.64  981.3    115.02    -1.10    -9999
TERREADELI 120518 3600 020000-030000   00     120.21  981.4    115.66    -0.60    -9999
TERREADELI 120518 3600 030000-040000   00     119.84  981.5    115.39    -0.80    -9999
TERREADELI 120518 3600 040000-050000   00     119.24  981.7    114.96    -1.20    -9999
TERREADELI 120518 3600 050000-060000   00     120.59  981.8    116.36     0.00    -9999
TERREADELI 120518 3600 060000-070000   00     119.73  981.7    115.48    -0.70    -9999
TERREADELI 120518 3600 070000-080000   00     120.21  981.6    115.81    -0.40    -9999
TERREADELI 120518 3600 080000-090000   00     120.59  981.4    116.06    -0.20    -9999
TERREADELI 120518 3600 090000-100000   00     119.86  981.4    115.31    -0.90    -9999
TERREADELI 120518 3600 100000-110000   00     120.20  981.2    115.50    -0.70    -9999
TERREADELI 120518 3600 110000-120000   00     120.01  981.0    115.16    -1.00    -9999
TERREADELI 120518 3600 120000-130000   00     120.49  980.9    115.48    -0.70    -9999
TERREADELI 120518 3600 130000-140000   00     119.97  980.6    114.79    -1.30    -9999
TERREADELI 120518 3600 140000-150000   00     120.64  980.6    115.42    -0.80    -9999
TERREADELI 120518 3600 150000-160000   00     120.18  980.6    114.93    -1.20    -9999
TERREADELI 120518 3600 160000-170000   00     120.70  980.7    115.54    -0.70    -9999
TERREADELI 120518 3600 170000-180000   00     119.69  980.8    114.68    -1.40    -9999
TERREADELI 120518 3600 180000-190000   00     118.89  980.7    113.79    -2.20    -9999
TERREADELI 120518 3600 190000-200000   00     120.02  980.5    114.73    -1.40    -9999
TERREADELI 120518 3600 200000-210000   00     119.60  980.7    114.47    -1.60    -9999
TERREADELI 120518 3600 210000-220000   00     119.21  980.9    114.25    -1.80    -9999
TERREADELI 120518 3600 220000-230000   00     120.04  980.8    114.96    -1.20    -9999
TERREADELI 120518 3600 230000-240000   00     119.82  980.4    114.44    -1.60    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2024-01-15 17:24:22 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE71/C071TERA.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
