KIEL       LATITUDE    54.3      LONGITUDE     10.1      ALTITUDE    54 M
KIEL       INSTRUMENT   18NM64    NEUTRON MONITOR	
KIEL       STANDARD PRESSURE    1004.3  mb     COEFFICIENT   -0.721    % / mb
KIEL       PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
KIEL       PRE-INCREASE AVERAGE COUNTING RATE    171.74      COUNTS PER SECOND
KIEL       TIME INTERVALS    300         3600     
KIEL       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KIEL       061212 3600 000000-010000   00     169.43 1005.1    170.41    -0.77    -9999
KIEL       061212 3600 010000-020000   00     168.96 1005.3    170.18    -0.91    -9999
KIEL       061212 3600 020000-030000   00     168.82 1005.7    170.54    -0.70    -9999
KIEL       061212 3600 030000-040000   00     168.56 1006.0    170.64    -0.64    -9999
KIEL       061212 3600 040000-050000   00     167.79 1006.2    170.11    -0.95    -9999
KIEL       061212 3600 050000-060000   00     168.14 1006.7    171.07    -0.39    -9999
KIEL       061212 3600 060000-070000   00     168.13 1007.0    171.44    -0.18    -9999
KIEL       061212 3600 070000-080000   00     166.57 1007.8    170.82    -0.53    -9999
KIEL       061212 3600 080000-090000   00     166.88 1008.3    171.76     0.01    -9999
KIEL       061212 3600 090000-100000   00     167.08 1008.6    172.34     0.35    -9999
KIEL       061212 3600 100000-110000   00     166.94 1008.9    172.57     0.48    -9999
KIEL       061212 3600 110000-120000   00     167.94 1008.8    173.48     1.01    -9999
KIEL       061212 3600 120000-130000   00     167.30 1008.6    172.57     0.48    -9999
KIEL       061212 3600 130000-140000   00     168.06 1008.2    172.85     0.65    -9999
KIEL       061212 3600 140000-150000   00     167.67 1008.0    172.20     0.27    -9999
KIEL       061212 3600 150000-160000   00     168.09 1008.0    172.64     0.52    -9999
KIEL       061212 3600 160000-170000   00     167.48 1007.6    171.51    -0.13    -9999
KIEL       061212 3600 170000-180000   00     168.93 1007.1    172.38     0.37    -9999
KIEL       061212 3600 180000-190000   00     169.25 1006.6    172.08     0.20    -9999
KIEL       061212 3600 190000-200000   00     169.09 1005.9    171.06    -0.40    -9999
KIEL       061212 3600 200000-210000   00     169.67 1005.2    170.78    -0.56    -9999
KIEL       061212 3600 210000-220000   00     171.07 1004.5    171.31    -0.25    -9999
KIEL       061212 3600 220000-230000   00     170.71 1004.2    170.58    -0.67    -9999
KIEL       061212 3600 230000-240000   00     171.86 1004.1    171.61    -0.07    -9999
KIEL       061213 3600 000000-010000   00     170.66 1004.1    170.41    -0.77    -9999
KIEL       061213 300  010000-010500   00     170.92 1004.3    170.93    -0.47    -9999
KIEL       061213 300  010500-011000   00     170.95 1004.3    170.98    -0.45    -9999
KIEL       061213 300  011000-011500   00     173.03 1004.3    173.08     0.78    -9999
KIEL       061213 300  011500-012000   00     172.05 1004.4    172.12     0.22    -9999
KIEL       061213 300  012000-012500   00     170.35 1004.4    170.44    -0.75    -9999
KIEL       061213 300  012500-013000   00     173.76 1004.4    173.87     1.24    -9999
KIEL       061213 300  013000-013500   00     172.88 1004.4    173.01     0.74    -9999
KIEL       061213 300  013500-014000   00     172.10 1004.4    172.25     0.30    -9999
KIEL       061213 300  014000-014500   00     173.64 1004.4    173.82     1.21    -9999
KIEL       061213 300  014500-015000   00     169.40 1004.5    169.59    -1.25    -9999
KIEL       061213 300  015000-015500   00     169.75 1004.5    169.97    -1.03    -9999
KIEL       061213 300  015500-020000   00     172.04 1004.5    172.27     0.31    -9999
KIEL       061213 300  020000-020500   00     172.36 1004.5    172.61     0.51     0.29
KIEL       061213 300  020500-021000   00     172.20 1004.5    172.45     0.41     0.17
KIEL       061213 300  021000-021500   00     172.48 1004.5    172.73     0.57     0.30
KIEL       061213 300  021500-022000   00     171.01 1004.5    171.25    -0.28    -0.58
KIEL       061213 300  022000-022500   00     172.05 1004.5    172.29     0.33     0.01
KIEL       061213 300  022500-023000   00     170.47 1004.5    170.71    -0.60    -0.95
KIEL       061213 300  023000-023500   00     171.01 1004.5    171.26    -0.28    -0.66
KIEL       061213 300  023500-024000   00     171.36 1004.5    171.61    -0.08    -0.48
KIEL       061213 300  024000-024500   00     168.75 1004.5    169.00    -1.60    -2.03
KIEL       061213 300  024500-025000   00     171.05 1004.5    171.29    -0.26    -0.71
KIEL       061213 300  025000-025500   00     184.57 1004.5    184.84     7.63     7.15
KIEL       061213 300  025500-030000   00     218.63 1004.5    218.95    27.49    26.99
KIEL       061213 300  030000-030500   00     226.46 1004.5    226.80    32.06    31.53
KIEL       061213 300  030500-031000   00     217.68 1004.5    218.07    26.98    26.43
KIEL       061213 300  031000-031500   00     200.04 1004.6    200.44    16.71    16.14
KIEL       061213 300  031500-032000   00     195.47 1004.6    195.91    14.07    13.48
KIEL       061213 300  032000-032500   00     192.22 1004.6    192.70    12.21    11.59
KIEL       061213 300  032500-033000   00     188.30 1004.7    188.82     9.94     9.30
KIEL       061213 300  033000-033500   00     188.27 1004.7    188.83     9.95     9.29
KIEL       061213 300  033500-034000   00     185.87 1004.7    186.47     8.58     7.90
KIEL       061213 300  034000-034500   00     184.72 1004.8    185.36     7.93     7.23
KIEL       061213 300  034500-035000   00     185.95 1004.8    186.64     8.68     7.96
KIEL       061213 300  035000-035500   00     185.27 1004.8    186.00     8.31     7.56
KIEL       061213 300  035500-040000   00     180.41 1004.9    181.16     5.49     4.72
KIEL       061213 300  040000-040500   00     180.45 1004.9    181.25     5.54     4.75
KIEL       061213 300  040500-041000   00     180.10 1004.9    180.95     5.36     4.56
KIEL       061213 300  041000-041500   00     180.39 1005.0    181.28     5.56     4.74
KIEL       061213 300  041500-042000   00     177.41 1005.0    178.32     3.83     2.99
KIEL       061213 300  042000-042500   00     176.32 1005.0    177.27     3.22     2.36
KIEL       061213 300  042500-043000   00     178.08 1005.1    179.08     4.27     3.39
