MAWSON     LATITUDE    -67.6     LONGITUDE     62.88     ALTITUDE    15 M
MAWSON     INSTRUMENT   IGY     NEUTRON MONITOR                           
MAWSON     STANDARD PRESSURE    990     MB     COEFFICIENT   -0.739    % / MB
MAWSON     PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MAWSON     PRE-INCREASE AVERAGE COUNTING RATE     71.98      COUNTS PER SECOND
MAWSON     TIME INTERVALS    60          3600     
MAWSON     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MAWSON     000714 60   004600-004700   00      73.33  982.2     69.23    -3.80    -9999
MAWSON     000714 60   004700-004800   00      76.53  982.2     72.25     0.40    -9999
MAWSON     000714 60   004800-004900   00      75.20  982.2     70.99    -1.40    -9999
MAWSON     000714 60   004900-005000   00      74.67  982.2     70.48    -2.10    -9999
MAWSON     000714 60   005000-005100   00      75.47  982.2     71.24    -1.00    -9999
MAWSON     000714 60   005100-005200   00      75.20  982.3     71.04    -1.30    -9999
MAWSON     000714 60   005200-005300   00      74.67  982.3     70.54    -2.00    -9999
MAWSON     000714 60   005300-005400   00      76.00  982.3     71.80    -0.30    -9999
MAWSON     000714 60   005400-005500   00      79.20  982.3     74.82     3.90    -9999
MAWSON     000714 60   005500-005600   00      81.60  982.3     77.09     7.10    -9999
MAWSON     000714 60   005600-005700   00      77.87  982.3     73.56     2.20    -9999
MAWSON     000714 60   005700-005800   00      74.67  982.3     70.54    -2.00    -9999
MAWSON     000714 60   005800-005900   00      72.53  982.3     68.52    -4.80    -9999
MAWSON     000714 60   005900-010000   00      76.00  982.4     71.85    -0.20    -9999
MAWSON     000714 60   010000-010100   00      73.87  982.4     69.83    -3.00    -9999
MAWSON     000714 60   010100-010200   00      72.53  982.4     68.57    -4.70    -9999
MAWSON     000714 60   010200-010300   00      72.80  982.4     68.82    -4.40    -9999
MAWSON     000714 60   010300-010400   00      77.07  982.4     72.86     1.20    -9999
MAWSON     000714 60   010400-010500   00      73.87  982.4     69.83    -3.00    -9999
MAWSON     000714 60   010500-010600   00      72.80  982.4     68.82    -4.40    -9999
MAWSON     000714 60   010600-010700   00      75.47  982.4     71.35    -0.90    -9999
MAWSON     000714 60   010700-010800   00      73.87  982.4     69.83    -3.00    -9999
MAWSON     000714 60   010800-010900   00      77.07  982.5     72.91     1.30    -9999
MAWSON     000714 60   010900-011000   00      74.67  982.5     70.64    -1.90    -9999
MAWSON     000714 60   011000-011100   00      74.13  982.5     70.14    -2.60    -9999
MAWSON     000714 60   011100-011200   00      73.60  982.5     69.63    -3.30    -9999
MAWSON     000714 60   011200-011300   00      77.60  982.5     73.42     2.00    -9999
MAWSON     000714 60   011300-011400   00      74.67  982.5     70.64    -1.90    -9999
MAWSON     000714 60   011400-011500   00      74.67  982.5     70.64    -1.90    -9999
MAWSON     000714 60   011500-011600   00      72.27  982.5     68.37    -5.00    -9999
MAWSON     000714 60   011600-011700   00      75.73  982.5     71.65    -0.50    -9999
MAWSON     000714 60   011700-011800   00      75.73  982.6     71.70    -0.40    -9999
MAWSON     000714 60   011800-011900   00      75.20  982.6     71.20    -1.10    -9999
MAWSON     000714 60   011900-012000   00      76.53  982.6     72.46     0.70    -9999
MAWSON     000714 60   012000-012100   00      76.80  982.6     72.71     1.00    -9999
MAWSON     000714 60   012100-012200   00      75.47  982.6     71.45    -0.70    -9999
MAWSON     000714 60   012200-012300   00      74.93  982.6     70.95    -1.40    -9999
MAWSON     000714 60   012300-012400   00      73.33  982.6     69.43    -3.50    -9999
MAWSON     000714 60   012400-012500   00      72.53  982.6     68.67    -4.60    -9999
MAWSON     000714 60   012500-012600   00      74.93  982.7     71.00    -1.40    -9999
MAWSON     000714 60   012600-012700   00      74.67  982.7     70.75    -1.70    -9999
MAWSON     000714 60   012700-012800   00      78.93  982.7     74.79     3.90    -9999
MAWSON     000714 60   012800-012900   00      73.87  982.7     69.99    -2.80    -9999
MAWSON     000714 60   012900-013000   00      71.20  982.7     67.46    -6.30    -9999
MAWSON     000714 60   013000-013100   00      74.67  982.7     70.75    -1.70    -9999
MAWSON     000714 60   013100-013200   00      74.67  982.7     70.75    -1.70    -9999
MAWSON     000714 60   013200-013300   00      73.07  982.7     69.23    -3.80    -9999
MAWSON     000714 60   013300-013400   00      74.13  982.7     70.24    -2.40    -9999
MAWSON     000714 60   013400-013500   00      76.80  982.7     72.77     1.10    -9999
MAWSON     000714 60   013500-013600   00      75.47  982.7     71.50    -0.70    -9999
MAWSON     000714 60   013600-013700   00      74.13  982.7     70.24    -2.40    -9999
MAWSON     000714 60   013700-013800   00      69.33  982.7     65.69    -8.70    -9999
MAWSON     000714 60   013800-013900   00      76.53  982.7     72.51     0.70    -9999
MAWSON     000714 60   013900-014000   00      70.40  982.8     66.75    -7.30    -9999
MAWSON     000714 60   014000-014100   00      71.47  982.8     67.76    -5.90    -9999
MAWSON     000714 60   014100-014200   00      76.80  982.8     72.82     1.20    -9999
MAWSON     000714 60   014200-014300   00      74.93  982.8     71.05    -1.30    -9999
MAWSON     000714 60   014300-014400   00      77.33  982.8     73.33     1.90    -9999
MAWSON     000714 60   014400-014500   00      72.80  982.8     69.03    -4.10    -9999
MAWSON     000714 60   014500-014600   00      74.13  982.8     70.29    -2.30    -9999
MAWSON     000714 60   014600-014700   00      76.00  982.8     72.06     0.10    -9999
MAWSON     000714 60   014700-014800   00      76.00  982.8     72.06     0.10    -9999
MAWSON     000714 60   014800-014900   00      73.07  982.8     69.28    -3.80    -9999
MAWSON     000714 60   014900-015000   00      78.93  982.8     74.84     4.00    -9999
MAWSON     000714 60   015000-015100   00      75.20  982.8     71.30    -0.90    -9999
MAWSON     000714 60   015100-015200   00      73.07  982.8     69.28    -3.80    -9999
MAWSON     000714 60   015200-015300   00      77.33  982.8     73.33     1.90    -9999
MAWSON     000714 60   015300-015400   00      71.47  982.8     67.76    -5.90    -9999
MAWSON     000714 60   015400-015500   00      76.00  982.8     72.06     0.10    -9999
MAWSON     000714 60   015500-015600   00      76.80  982.8     72.82     1.20    -9999
MAWSON     000714 60   015600-015700   00      73.60  982.8     69.79    -3.00    -9999
MAWSON     000714 60   015700-015800   00      77.07  982.8     73.07     1.50    -9999
MAWSON     000714 60   015800-015900   00      76.00  982.8     72.06     0.10    -9999
MAWSON     000714 60   015900-020000   00      75.20  982.9     71.36    -0.90    -9999
MAWSON     000714 60   020000-020100   00      75.47  982.9     71.61    -0.50    -9999
MAWSON     000714 60   020100-020200   00      76.53  982.9     72.62     0.90    -9999
MAWSON     000714 60   020200-020300   00      76.27  982.9     72.37     0.50    -9999
MAWSON     000714 60   020300-020400   00      74.67  982.9     70.85    -1.60    -9999
MAWSON     000714 60   020400-020500   00      75.47  982.9     71.61    -0.50    -9999
MAWSON     000714 60   020500-020600   00      76.27  982.9     72.37     0.50    -9999
MAWSON     000714 60   020600-020700   00      72.27  982.9     68.57    -4.70    -9999
MAWSON     000714 60   020700-020800   00      73.60  982.9     69.84    -3.00    -9999
MAWSON     000714 60   020800-020900   00      74.67  982.9     70.85    -1.60    -9999
MAWSON     000714 60   020900-021000   00      74.40  982.9     70.60    -1.90    -9999
MAWSON     000714 60   021000-021100   00      74.93  982.9     71.10    -1.20    -9999
MAWSON     000714 60   021100-021200   00      73.07  982.9     69.33    -3.70    -9999
MAWSON     000714 60   021200-021300   00      72.53  982.9     68.83    -4.40    -9999
MAWSON     000714 60   021300-021400   00      73.33  982.9     69.58    -3.30    -9999
MAWSON     000714 60   021400-021500   00      74.40  982.9     70.60    -1.90    -9999
MAWSON     000714 60   021500-021600   00      76.27  982.9     72.37     0.50    -9999
MAWSON     000714 60   021600-021700   00      76.27  982.9     72.37     0.50    -9999
MAWSON     000714 60   021700-021800   00      75.47  982.9     71.61    -0.50    -9999
MAWSON     000714 60   021800-021900   00      77.87  982.9     73.89     2.70    -9999
MAWSON     000714 60   021900-022000   00      74.13  983.0     70.40    -2.20    -9999
MAWSON     000714 60   022000-022100   00      74.93  983.0     71.16    -1.10    -9999
MAWSON     000714 60   022100-022200   00      76.27  983.0     72.42     0.60    -9999
MAWSON     000714 60   022200-022300   00      80.53  983.0     76.47     6.20    -9999
MAWSON     000714 60   022300-022400   00      73.60  983.0     69.89    -2.90    -9999
MAWSON     000714 60   022400-022500   00      80.80  983.0     76.73     6.60    -9999
MAWSON     000714 60   022500-022600   00      76.53  983.0     72.67     1.00    -9999
MAWSON     000714 60   022600-022700   00      74.67  983.0     70.90    -1.50    -9999
MAWSON     000714 60   022700-022800   00      76.27  983.0     72.42     0.60    -9999
MAWSON     000714 60   022800-022900   00      76.80  983.0     72.93     1.30    -9999
MAWSON     000714 60   022900-023000   00      74.13  983.0     70.40    -2.20    -9999
MAWSON     000714 60   023000-023100   00      76.80  983.0     72.93     1.30    -9999
MAWSON     000714 60   023100-023200   00      75.20  983.0     71.41    -0.80    -9999
MAWSON     000714 60   023200-023300   00      75.73  983.0     71.92    -0.10    -9999
MAWSON     000714 60   023300-023400   00      72.00  983.0     68.37    -5.00    -9999
MAWSON     000714 60   023400-023500   00      72.27  983.1     68.67    -4.60    -9999
MAWSON     000714 60   023500-023600   00      75.20  983.1     71.46    -0.70    -9999
MAWSON     000714 60   023600-023700   00      76.00  983.1     72.22     0.30    -9999
MAWSON     000714 60   023700-023800   00      76.53  983.1     72.73     1.00    -9999
MAWSON     000714 60   023800-023900   00      73.60  983.1     69.94    -2.80    -9999
MAWSON     000714 60   023900-024000   00      76.53  983.1     72.73     1.00    -9999
MAWSON     000714 60   024000-024100   00      74.13  983.1     70.45    -2.10    -9999
MAWSON     000714 60   024100-024200   00      77.60  983.1     73.74     2.40    -9999
MAWSON     000714 60   024200-024300   00      74.93  983.2     71.26    -1.00    -9999
MAWSON     000714 60   024300-024400   00      75.20  983.2     71.51    -0.70    -9999
MAWSON     000714 60   024400-024500   00      74.13  983.2     70.50    -2.10    -9999
MAWSON     000714 60   024500-024600   00      74.13  983.2     70.50    -2.10    -9999
MAWSON     000714 60   024600-024700   00      73.07  983.2     69.49    -3.50    -9999
MAWSON     000714 60   024700-024800   00      72.80  983.2     69.23    -3.80    -9999
MAWSON     000714 60   024800-024900   00      77.07  983.2     73.29     1.80    -9999
MAWSON     000714 60   024900-025000   00      74.93  983.2     71.26    -1.00    -9999
MAWSON     000714 60   025000-025100   00      73.60  983.2     69.99    -2.80    -9999
MAWSON     000714 60   025100-025200   00      71.73  983.3     68.27    -5.20    -9999
MAWSON     000714 60   025200-025300   00      74.67  983.3     71.06    -1.30    -9999
MAWSON     000714 60   025300-025400   00      71.47  983.3     68.01    -5.50    -9999
MAWSON     000714 60   025400-025500   00      74.40  983.3     70.81    -1.60    -9999
MAWSON     000714 60   025500-025600   00      75.47  983.3     71.82    -0.20    -9999
MAWSON     000714 60   025600-025700   00      73.60  983.3     70.04    -2.70    -9999
MAWSON     000714 60   025700-025800   00      76.27  983.3     72.58     0.80    -9999
MAWSON     000714 60   025800-025900   00      73.07  983.3     69.54    -3.40    -9999
MAWSON     000714 60   025900-030000   00      76.53  983.4     72.89     1.30    -9999
MAWSON     000714 60   030000-030100   00      73.07  983.4     69.59    -3.30    -9999
MAWSON     000714 60   030100-030200   00      77.07  983.4     73.40     2.00    -9999
MAWSON     000714 60   030200-030300   00      79.47  983.4     75.68     5.10    -9999
MAWSON     000714 60   030300-030400   00      74.40  983.4     70.86    -1.60    -9999
MAWSON     000714 60   030400-030500   00      73.07  983.4     69.59    -3.30    -9999
MAWSON     000714 60   030500-030600   00      76.27  983.4     72.64     0.90    -9999
MAWSON     000714 60   030600-030700   00      76.00  983.4     72.38     0.60    -9999
MAWSON     000714 60   030700-030800   00      74.13  983.4     70.60    -1.90    -9999
MAWSON     000714 60   030800-030900   00      74.13  983.5     70.66    -1.80    -9999
MAWSON     000714 60   030900-031000   00      75.73  983.5     72.18     0.30    -9999
MAWSON     000714 60   031000-031100   00      76.80  983.5     73.20     1.70    -9999
MAWSON     000714 60   031100-031200   00      74.40  983.5     70.91    -1.50    -9999
MAWSON     000714 60   031200-031300   00      73.07  983.5     69.64    -3.30    -9999
MAWSON     000714 60   031300-031400   00      72.00  983.5     68.62    -4.70    -9999
MAWSON     000714 60   031400-031500   00      75.20  983.5     71.67    -0.40    -9999
MAWSON     000714 60   031500-031600   00      73.60  983.5     70.15    -2.50    -9999
MAWSON     000714 60   031600-031700   00      78.40  983.5     74.72     3.80    -9999
MAWSON     000714 60   031700-031800   00      74.67  983.6     71.22    -1.10    -9999
MAWSON     000714 60   031800-031900   00      75.73  983.6     72.23     0.30    -9999
MAWSON     000714 60   031900-032000   00      76.00  983.6     72.49     0.70    -9999
MAWSON     000714 60   032000-032100   00      74.67  983.6     71.22    -1.10    -9999
MAWSON     000714 60   032100-032200   00      75.20  983.6     71.73    -0.30    -9999
MAWSON     000714 60   032200-032300   00      73.87  983.6     70.45    -2.10    -9999
MAWSON     000714 60   032300-032400   00      75.47  983.6     71.98     0.00    -9999
MAWSON     000714 60   032400-032500   00      75.47  983.6     71.98     0.00    -9999
MAWSON     000714 60   032500-032600   00      73.60  983.7     70.25    -2.40    -9999
MAWSON     000714 60   032600-032700   00      74.93  983.7     71.52    -0.60    -9999
MAWSON     000714 60   032700-032800   00      75.20  983.7     71.78    -0.30    -9999
MAWSON     000714 60   032800-032900   00      74.93  983.7     71.52    -0.60    -9999
MAWSON     000714 60   032900-033000   00      76.00  983.7     72.54     0.80    -9999
MAWSON     000714 60   033000-033100   00      72.80  983.7     69.49    -3.50    -9999
MAWSON     000714 60   033100-033200   00      70.40  983.7     67.20    -6.60    -9999
MAWSON     000714 60   033200-033300   00      74.13  983.8     70.81    -1.60    -9999
MAWSON     000714 60   033300-033400   00      73.87  983.8     70.56    -2.00    -9999
