THULE      LATITUDE    76.6      LONGITUDE     -68.8     ALTITUDE    260 M
THULE      INSTRUMENT   9NM64    NEUTRON MONITOR     	
THULE      STANDARD PRESSURE    1013.6  mb     COEFFICIENT   -0.74     % / mb
THULE      PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
THULE      PRE-INCREASE AVERAGE COUNTING RATE     98.85      COUNTS PER SECOND
THULE      TIME INTERVALS    300         3600     
THULE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
THULE      010415 300  122000-122500   00      99.53 1013.5     99.48     0.60    -9999
THULE      010415 300  122500-123000   00      99.10 1013.6     99.08     0.20    -9999
THULE      010415 300  123000-123500   00     100.82 1013.6    100.82     2.00    -9999
THULE      010415 300  123500-124000   00      97.39 1013.6     97.41    -1.50    -9999
THULE      010415 300  124000-124500   00      97.81 1013.7     97.86    -1.00    -9999
THULE      010415 300  124500-125000   00      98.67 1013.7     98.75    -0.10    -9999
THULE      010415 300  125000-125500   00      98.67 1013.7     98.77    -0.10    -9999
THULE      010415 300  125500-130000   00      98.24 1013.8     98.37    -0.50    -9999
THULE      010415 300  130000-130500   00      97.81 1013.8     97.97    -0.90    -1.11
THULE      010415 300  130500-131000   00      99.53 1013.9     99.72     0.90     0.67
THULE      010415 300  131000-131500   00      98.24 1013.9     98.45    -0.40    -0.65
THULE      010415 300  131500-132000   00      99.10 1013.9     99.34     0.50     0.24
THULE      010415 300  132000-132500   00      99.96 1013.9    100.22     1.40     1.12
THULE      010415 300  132500-133000   00      99.96 1014.0    100.24     1.40     1.10
THULE      010415 300  133000-133500   00      96.96 1014.0     97.25    -1.60    -1.92
THULE      010415 300  133500-134000   00      98.67 1014.0     98.99     0.20    -0.14
THULE      010415 300  134000-134500   00      99.10 1014.1     99.44     0.60     0.25
THULE      010415 300  134500-135000   00      99.53 1014.1     99.89     1.10     0.73
THULE      010415 300  135000-135500   00      97.81 1014.1     98.18    -0.70    -1.09
THULE      010415 300  135500-140000   00     105.11 1014.1    105.52     6.70     6.29
THULE      010415 300  140000-140500   00     129.56 1014.1    130.06    31.60    31.18
THULE      010415 300  140500-141000   00     145.00 1014.1    145.59    47.30    46.86
THULE      010415 300  141000-141500   00     154.44 1014.2    155.09    56.90    56.44
THULE      010415 300  141500-142000   00     161.73 1014.2    162.45    64.30    63.82
THULE      010415 300  142000-142500   00     169.46 1014.2    170.23    72.20    71.71
THULE      010415 300  142500-143000   00     174.17 1014.2    175.01    77.00    76.49
THULE      010415 300  143000-143500   00     178.04 1014.3    178.92    81.00    80.47
THULE      010415 300  143500-144000   00     178.04 1014.3    178.96    81.10    80.55
THULE      010415 300  144000-144500   00     178.90 1014.3    179.86    82.00    81.43
THULE      010415 300  144500-145000   00     175.89 1014.4    176.88    78.90    78.32
THULE      010415 300  145000-145500   00     172.03 1014.4    173.04    75.10    74.50
THULE      010415 300  145500-150000   00     169.03 1014.4    170.06    72.00    71.38
THULE      010415 300  150000-150500   00     166.46 1014.5    167.56    69.50    68.86
THULE      010415 300  150500-151000   00     162.59 1014.5    163.71    65.60    64.95
THULE      010415 300  151000-151500   00     156.16 1014.6    157.27    59.10    58.43
THULE      010415 300  151500-152000   00     153.15 1014.6    154.27    56.10    55.41
THULE      010415 300  152000-152500   00     151.87 1014.6    153.02    54.80    54.09
THULE      010415 300  152500-153000   00     149.30 1014.6    150.46    52.20    51.48
THULE      010415 300  153000-153500   00     146.29 1014.7    147.46    49.20    48.46
THULE      010415 300  153500-154000   00     144.15 1014.7    145.33    47.00    46.24
THULE      010415 300  154000-154500   00     144.15 1014.7    145.35    47.00    46.23
THULE      010415 300  154500-155000   00     142.00 1014.7    143.22    44.90    44.11
THULE      010415 300  155000-155500   00     139.00 1014.8    140.21    41.90    41.09
THULE      010415 300  155500-160000   00     136.85 1014.8    138.08    39.70    38.87
THULE      010415 300  160000-160500   00     132.99 1014.8    134.17    35.70    34.86
THULE      010415 300  160500-161000   00     133.85 1014.8    135.06    36.60    35.74
THULE      010415 300  161000-161500   00     131.28 1014.8    132.48    34.00    33.12
THULE      010415 300  161500-162000   00     130.42 1014.9    131.64    33.20    32.30
THULE      010415 300  162000-162500   00     126.99 1014.9    128.20    29.70    28.79
THULE      010415 300  162500-163000   00     123.55 1014.9    124.76    26.20    25.27
THULE      010415 300  163000-163500   00     121.41 1014.9    122.62    24.00    23.05
THULE      010415 300  163500-164000   00     120.12 1015.0    121.35    22.80    21.84
THULE      010415 300  164000-164500   00     121.41 1015.0    122.67    24.10    23.12
THULE      010415 300  164500-165000   00     120.12 1015.0    121.40    22.80    21.80
THULE      010415 300  165000-165500   00     117.12 1015.1    118.39    19.80    18.79
THULE      010415 300  165500-170000   00     117.55 1015.1    118.85    20.30    19.27
THULE      010415 300  170000-170500   00     117.12 1015.2    118.48    19.80    18.75
THULE      010415 300  170500-171000   00     115.83 1015.2    117.20    18.60    17.53
THULE      010415 300  171000-171500   00     113.26 1015.2    114.63    16.00    14.92
THULE      010415 300  171500-172000   00     114.12 1015.2    115.52    16.80    15.70
THULE      010415 300  172000-172500   00     116.26 1015.3    117.72    19.10    17.98
THULE      010415 300  172500-173000   00     112.83 1015.3    114.27    15.60    14.47
THULE      010415 300  173000-173500   00     112.40 1015.3    113.86    15.20    14.05
THULE      010415 300  173500-174000   00     113.26 1015.4    114.75    16.10    14.93
THULE      010415 300  174000-174500   00     111.11 1015.4    112.60    13.90    12.72
THULE      010415 300  174500-175000   00     112.40 1015.4    113.92    15.30    14.10
