PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1005.3  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    193.99      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  031027 3600 000000-010000   00     193.71 1010.7    201.71     4.00    -9999
PEAWANUCK  031027 3600 010000-020000   00     194.52 1010.5    202.25     4.30    -9999
PEAWANUCK  031027 3600 020000-030000   00     194.54 1010.4    202.12     4.20    -9999
PEAWANUCK  031027 3600 030000-040000   00     193.44 1010.1    200.53     3.40    -9999
PEAWANUCK  031027 3600 040000-050000   00     193.11 1009.7    199.59     2.90    -9999
PEAWANUCK  031027 3600 050000-060000   00     192.48 1009.6    198.79     2.50    -9999
PEAWANUCK  031027 3600 060000-070000   00     192.62 1009.6    198.93     2.60    -9999
PEAWANUCK  031027 3600 070000-080000   00     192.51 1009.5    198.67     2.40    -9999
PEAWANUCK  031027 3600 080000-090000   00     192.74 1009.0    198.16     2.20    -9999
PEAWANUCK  031027 3600 090000-100000   00     194.75 1008.5    199.48     2.80    -9999
PEAWANUCK  031027 3600 100000-110000   00     194.91 1008.2    199.19     2.70    -9999
PEAWANUCK  031027 3600 110000-120000   00     195.84 1007.7    199.40     2.80    -9999
PEAWANUCK  031027 3600 120000-130000   00     196.94 1007.4    200.07     3.10    -9999
PEAWANUCK  031027 3600 130000-140000   00     197.78 1007.1    200.47     3.30    -9999
PEAWANUCK  031027 3600 140000-150000   00     174.84 1006.9    176.95    -8.80    -9999
PEAWANUCK  031027 3600 150000-160000   00     198.80 1006.6    200.75     3.50    -9999
PEAWANUCK  031027 3600 160000-170000   00     199.17 1006.3    200.66     3.40    -9999
PEAWANUCK  031027 3600 170000-180000   00     200.31 1005.7    200.91     3.60    -9999
PEAWANUCK  031027 3600 180000-190000   00     202.68 1005.0    202.22     4.20    -9999
PEAWANUCK  031027 3600 190000-200000   00     202.93 1004.7    202.02     4.10    -9999
PEAWANUCK  031027 3600 200000-210000   00     202.58 1004.5    201.37     3.80    -9999
PEAWANUCK  031027 3600 210000-220000   00     203.16 1004.4    201.79     4.00    -9999
PEAWANUCK  031027 3600 220000-230000   00     202.45 1004.5    201.24     3.70    -9999
PEAWANUCK  031027 3600 230000-240000   00     202.74 1004.5    201.52     3.90    -9999
PEAWANUCK  031028 3600 000000-010000   00     202.12 1004.7    201.22     3.70    -9999
PEAWANUCK  031028 3600 010000-020000   00     201.66 1004.7    200.76     3.50    -9999
PEAWANUCK  031028 3600 020000-030000   00     201.57 1004.7    200.66     3.40    -9999
PEAWANUCK  031028 3600 030000-040000   00     202.65 1004.5    201.43     3.80    -9999
PEAWANUCK  031028 3600 040000-050000   00     201.00 1004.6    199.94     3.10    -9999
PEAWANUCK  031028 3600 050000-060000   00     199.99 1004.7    199.09     2.60    -9999
PEAWANUCK  031028 3600 060000-070000   00     197.54 1004.8    196.80     1.50    -9999
PEAWANUCK  031028 3600 070000-080000   00     196.20 1004.9    195.61     0.80    -9999
PEAWANUCK  031028 3600 080000-090000   00     195.25 1005.0    194.81     0.40    -9999
PEAWANUCK  031028 300  090000-090500   00     193.76 1005.2    193.62    -0.20    -9999
PEAWANUCK  031028 300  090500-091000   00     193.40 1005.2    193.27    -0.40    -9999
PEAWANUCK  031028 300  091000-091500   00     193.02 1005.2    192.90    -0.60    -9999
PEAWANUCK  031028 300  091500-092000   00     191.38 1005.2    191.28    -1.40    -9999
PEAWANUCK  031028 300  092000-092500   00     192.88 1005.2    192.79    -0.60    -9999
PEAWANUCK  031028 300  092500-093000   00     193.74 1005.2    193.66    -0.20    -9999
PEAWANUCK  031028 300  093000-093500   00     193.28 1005.3    193.21    -0.40    -9999
PEAWANUCK  031028 300  093500-094000   00     195.10 1005.3    195.04     0.60    -9999
PEAWANUCK  031028 300  094000-094500   00     192.60 1005.3    192.56    -0.70    -9999
PEAWANUCK  031028 300  094500-095000   00     193.00 1005.3    192.97    -0.50    -9999
PEAWANUCK  031028 300  095000-095500   00     194.52 1005.3    194.50     0.20    -9999
PEAWANUCK  031028 300  095500-100000   00     192.92 1005.3    192.91    -0.50    -9999
PEAWANUCK  031028 300  100000-100500   00     194.14 1005.3    194.15     0.10    -9999
PEAWANUCK  031028 300  100500-101000   00     194.20 1005.3    194.23     0.10    -9999
PEAWANUCK  031028 300  101000-101500   00     194.46 1005.3    194.52     0.30    -9999
PEAWANUCK  031028 300  101500-102000   00     194.58 1005.4    194.66     0.30    -9999
PEAWANUCK  031028 300  102000-102500   00     192.02 1005.4    192.12    -1.00    -9999
PEAWANUCK  031028 300  102500-103000   00     193.94 1005.4    194.07     0.00    -9999
PEAWANUCK  031028 300  103000-103500   00     192.30 1005.4    192.45    -0.80    -9999
PEAWANUCK  031028 300  103500-104000   00     193.06 1005.4    193.24    -0.40    -9999
PEAWANUCK  031028 300  104000-104500   00     194.62 1005.4    194.83     0.40    -9999
PEAWANUCK  031028 300  104500-105000   00     195.92 1005.5    196.15     1.10    -9999
PEAWANUCK  031028 300  105000-105500   00     193.78 1005.5    194.03     0.00    -9999
PEAWANUCK  031028 300  105500-110000   00     194.80 1005.5    195.08     0.60    -9999
PEAWANUCK  031028 300  110000-110500   00     193.32 1005.5    193.63    -0.20    -0.20
PEAWANUCK  031028 300  110500-111000   00     194.96 1005.5    195.31     0.70     0.70
PEAWANUCK  031028 300  111000-111500   00     195.42 1005.6    195.80     1.00     1.00
PEAWANUCK  031028 300  111500-112000   00     194.12 1005.6    194.53     0.30     0.30
PEAWANUCK  031028 300  112000-112500   00     193.18 1005.6    193.63    -0.20    -0.20
PEAWANUCK  031028 300  112500-113000   00     193.28 1005.6    193.77    -0.10    -0.10
PEAWANUCK  031028 300  113000-113500   00     195.14 1005.7    195.67     0.90     0.90
PEAWANUCK  031028 300  113500-114000   00     200.80 1005.7    201.38     3.80     3.80
PEAWANUCK  031028 300  114000-114500   00     202.40 1005.7    203.02     4.70     4.70
PEAWANUCK  031028 300  114500-115000   00     205.04 1005.7    205.71     6.00     6.00
PEAWANUCK  031028 300  115000-115500   00     205.46 1005.8    206.17     6.30     6.30
PEAWANUCK  031028 300  115500-120000   00     206.58 1005.8    207.33     6.90     6.90
PEAWANUCK  031028 300  120000-120500   00     207.70 1005.8    208.50     7.50     7.50
PEAWANUCK  031028 300  120500-121000   00     208.92 1005.8    209.78     8.10     8.10
PEAWANUCK  031028 300  121000-121500   00     205.68 1005.9    206.58     6.50     6.50
PEAWANUCK  031028 300  121500-122000   00     209.70 1005.9    210.67     8.60     8.60
PEAWANUCK  031028 300  122000-122500   00     207.60 1005.9    208.61     7.50     7.50
PEAWANUCK  031028 300  122500-123000   00     208.34 1006.0    209.40     8.00     8.00
PEAWANUCK  031028 300  123000-123500   00     208.34 1006.0    209.46     8.00     8.00
PEAWANUCK  031028 300  123500-124000   00     208.00 1006.0    209.17     7.80     7.80
PEAWANUCK  031028 300  124000-124500   00     207.06 1006.1    208.27     7.40     7.40
PEAWANUCK  031028 300  124500-125000   00     206.60 1006.1    207.86     7.20     7.20
PEAWANUCK  031028 300  125000-125500   00     205.58 1006.1    206.89     6.70     6.70
PEAWANUCK  031028 300  125500-130000   00     208.22 1006.2    209.60     8.00     8.00
PEAWANUCK  031028 300  130000-130500   00     207.06 1006.2    208.48     7.50     7.50
PEAWANUCK  031028 300  130500-131000   00     206.90 1006.2    208.35     7.40     7.40
PEAWANUCK  031028 300  131000-131500   00     206.62 1006.3    208.11     7.30     7.30
PEAWANUCK  031028 300  131500-132000   00     207.84 1006.3    209.38     7.90     7.90
PEAWANUCK  031028 300  132000-132500   00     204.82 1006.3    206.38     6.40     6.40
PEAWANUCK  031028 300  132500-133000   00     207.28 1006.3    208.89     7.70     7.70
PEAWANUCK  031028 300  133000-133500   00     208.60 1006.4    210.27     8.40     8.40
PEAWANUCK  031028 300  133500-134000   00     205.72 1006.4    207.40     6.90     6.90
PEAWANUCK  031028 300  134000-134500   00     208.56 1006.4    210.30     8.40     8.40
PEAWANUCK  031028 300  134500-135000   00     204.44 1006.4    206.19     6.30     6.30
PEAWANUCK  031028 300  135000-135500   00     164.34 1006.5    165.77     5.50     5.50
PEAWANUCK  031028 300  135500-140000   00    -999.00 1006.5   -999.00    -9999     5.80
PEAWANUCK  031028 300  140000-140500   00     165.58 1006.5    167.10     6.10     6.10
PEAWANUCK  031028 300  140500-141000   00     205.06 1006.5    206.99     6.70     6.70
PEAWANUCK  031028 300  141000-141500   00     206.46 1006.6    208.45     7.50     7.50
PEAWANUCK  031028 300  141500-142000   00     207.18 1006.6    209.23     7.80     7.80
PEAWANUCK  031028 300  142000-142500   00     205.86 1006.6    207.95     7.20     7.20
PEAWANUCK  031028 300  142500-143000   00     209.88 1006.7    212.06     9.30     9.30
PEAWANUCK  031028 300  143000-143500   00     206.24 1006.7    208.44     7.40     7.40
PEAWANUCK  031028 300  143500-144000   00     207.92 1006.7    210.19     8.40     8.40
PEAWANUCK  031028 300  144000-144500   00     209.70 1006.8    212.04     9.30     9.30
PEAWANUCK  031028 300  144500-145000   00     205.70 1006.8    208.05     7.30     7.30
PEAWANUCK  031028 300  145000-145500   00     206.70 1006.8    209.11     7.80     7.80
PEAWANUCK  031028 300  145500-150000   00     207.80 1006.9    210.28     8.40     8.40
PEAWANUCK  031028 300  150000-150500   00     205.36 1006.9    207.85     7.10     7.10
PEAWANUCK  031028 300  150500-151000   00     206.10 1006.9    208.61     7.50     7.50
PEAWANUCK  031028 300  151000-151500   00     205.56 1006.9    208.07     7.30     7.30
PEAWANUCK  031028 300  151500-152000   00     209.04 1006.9    211.61     9.10     9.10
PEAWANUCK  031028 300  152000-152500   00     205.36 1006.9    207.90     7.20     7.20
PEAWANUCK  031028 300  152500-153000   00     205.70 1006.9    208.25     7.30     7.30
PEAWANUCK  031028 300  153000-153500   00     206.44 1007.0    209.02     7.80     7.80
PEAWANUCK  031028 300  153500-154000   00     205.04 1007.0    207.61     7.00     7.00
PEAWANUCK  031028 300  154000-154500   00     208.24 1007.0    210.86     8.70     8.70
PEAWANUCK  031028 300  154500-155000   00     209.38 1007.0    212.03     9.30     9.30
PEAWANUCK  031028 300  155000-155500   00     209.18 1007.0    211.85     9.20     9.20
PEAWANUCK  031028 300  155500-160000   00     209.06 1007.0    211.73     9.20     9.20
PEAWANUCK  031028 300  160000-160500   00     209.12 1007.0    211.81     9.20     9.20
PEAWANUCK  031028 300  160500-161000   00     207.82 1007.0    210.52     8.50     8.50
PEAWANUCK  031028 300  161000-161500   00     210.08 1007.0    212.84     9.70     9.70
PEAWANUCK  031028 300  161500-162000   00     209.64 1007.1    212.42     9.50     9.50
PEAWANUCK  031028 300  162000-162500   00     209.70 1007.1    212.51     9.50     9.50
PEAWANUCK  031028 300  162500-163000   00     210.38 1007.1    213.22     9.90     9.90
PEAWANUCK  031028 300  163000-163500   00     208.98 1007.1    211.83     9.20     9.20
PEAWANUCK  031028 300  163500-164000   00     208.64 1007.1    211.51     9.00     9.00
PEAWANUCK  031028 300  164000-164500   00     209.36 1007.1    212.27     9.40     9.40
PEAWANUCK  031028 300  164500-165000   00     208.94 1007.2    211.87     9.20     9.20
PEAWANUCK  031028 300  165000-165500   00     210.82 1007.2    213.80    10.20    10.20
