APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  005500-010000   00     170.17 1001.9    172.51    -0.70    -9999
APATITY  L 120517 300  010000-010500   00     169.20 1001.9    171.56    -1.20    -1.29
APATITY  L 120517 300  010500-011000   00     171.02 1001.9    173.39    -0.20    -0.30
APATITY  L 120517 300  011000-011500   00     170.34 1001.9    172.66    -0.60    -0.71
APATITY  L 120517 300  011500-012000   00     170.42 1001.9    172.74    -0.50    -0.61
APATITY  L 120517 300  012000-012500   00     172.09 1001.9    174.43     0.40     0.28
APATITY  L 120517 300  012500-013000   00     172.56 1001.9    174.93     0.70     0.57
APATITY  L 120517 300  013000-013500   00     171.54 1002.0    174.06     0.20     0.06
APATITY  L 120517 300  013500-014000   00     171.71 1002.0    174.25     0.30     0.15
APATITY  L 120517 300  014000-014500   00     170.79 1002.1    173.34    -0.20    -0.36
APATITY  L 120517 300  014500-015000   00     172.18 1002.1    174.80     0.60     0.43
APATITY  L 120517 300  015000-015500   00     175.37 1002.1    178.10     2.50     2.32
APATITY  L 120517 300  015500-020000   00     183.06 1002.2    185.92     7.00     6.82
APATITY  L 120517 300  020000-020500   00     192.85 1002.1    195.84    12.80    12.61
APATITY  L 120517 300  020500-021000   00     196.44 1002.1    199.47    14.80    14.60
APATITY  L 120517 300  021000-021500   00     198.46 1002.1    201.45    16.00    15.79
APATITY  L 120517 300  021500-022000   00     198.49 1002.0    201.44    16.00    15.78
APATITY  L 120517 300  022000-022500   00     190.45 1002.0    193.28    11.30    11.07
APATITY  L 120517 300  022500-023000   00     187.59 1002.0    190.37     9.60     9.36
APATITY  L 120517 300  023000-023500   00     186.93 1002.0    189.70     9.20     8.95
APATITY  L 120517 300  023500-024000   00     183.29 1002.0    185.92     7.00     6.74
APATITY  L 120517 300  024000-024500   00     179.84 1001.9    182.37     5.00     4.74
APATITY  L 120517 300  024500-025000   00     178.93 1001.8    181.32     4.40     4.13
APATITY  L 120517 300  025000-025500   00     180.27 1001.8    182.61     5.10     4.82
APATITY  L 120517 300  025500-030000   00     178.75 1001.8    181.09     4.30     4.01
APATITY  L 120517 300  030000-030500   00     177.83 1001.7    180.08     3.70     3.40
APATITY  L 120517 300  030500-031000   00     177.35 1001.8    179.61     3.40     3.09
APATITY  L 120517 300  031000-031500   00     177.66 1001.8    179.96     3.60     3.28
APATITY  L 120517 300  031500-032000   00     174.42 1001.7    176.62     1.70     1.37
APATITY  L 120517 300  032000-032500   00     177.75 1001.8    180.07     3.70     3.36
APATITY  L 120517 300  032500-033000   00     173.62 1001.8    175.86     1.20     0.86
APATITY  L 120517 300  033000-033500   00     175.95 1001.8    178.21     2.60     2.25
APATITY  L 120517 300  033500-034000   00     175.96 1001.8    178.19     2.60     2.24
APATITY  L 120517 300  034000-034500   00     175.44 1001.7    177.60     2.30     1.93
APATITY  L 120517 300  034500-035000   00     175.26 1001.6    177.33     2.10     1.72
APATITY  L 120517 300  035000-035500   00     174.18 1001.6    176.19     1.40     1.01
APATITY  L 120517 300  035500-040000   00     173.19 1001.6    175.18     0.90     0.50
APATITY  L 120517 300  040000-040500   00     174.15 1001.6    176.12     1.40     0.99
APATITY  L 120517 300  040500-041000   00     174.39 1001.5    176.30     1.50     1.09
APATITY  L 120517 300  041000-041500   00     172.53 1001.5    174.45     0.40    -0.02
