KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  004500-005000   00    -999.00 -999.0    209.00     0.80    -9999
KINGSTON   120517 300  005000-005500   00    -999.00 -999.0    206.15    -0.60    -9999
KINGSTON   120517 300  005500-010000   00    -999.00 -999.0    207.53     0.10    -9999
KINGSTON   120517 300  010000-010500   00    -999.00 -999.0    207.33     0.00    -0.17
KINGSTON   120517 300  010500-011000   00    -999.00 -999.0    207.37     0.00    -0.19
KINGSTON   120517 300  011000-011500   00    -999.00 -999.0    206.75    -0.30    -0.50
KINGSTON   120517 300  011500-012000   00    -999.00 -999.0    206.12    -0.60    -0.81
KINGSTON   120517 300  012000-012500   00    -999.00 -999.0    207.72     0.10    -0.12
KINGSTON   120517 300  012500-013000   00    -999.00 -999.0    208.42     0.50     0.27
KINGSTON   120517 300  013000-013500   00    -999.00 -999.0    205.48    -0.90    -1.14
KINGSTON   120517 300  013500-014000   00    -999.00 -999.0    206.68    -0.40    -0.65
KINGSTON   120517 300  014000-014500   00    -999.00 -999.0    205.22    -1.10    -1.36
KINGSTON   120517 300  014500-015000   00    -999.00 -999.0    207.12    -0.10    -0.37
KINGSTON   120517 300  015000-015500   00    -999.00 -999.0    209.22     0.90     0.63
KINGSTON   120517 300  015500-020000   00    -999.00 -999.0    208.50     0.50     0.22
KINGSTON   120517 300  020000-020500   00    -999.00 -999.0    209.85     1.20     0.91
KINGSTON   120517 300  020500-021000   00    -999.00 -999.0    209.80     1.20     0.90
KINGSTON   120517 300  021000-021500   00    -999.00 -999.0    210.98     1.70     1.39
KINGSTON   120517 300  021500-022000   00    -999.00 -999.0    209.17     0.80     0.49
KINGSTON   120517 300  022000-022500   00    -999.00 -999.0    210.43     1.50     1.18
KINGSTON   120517 300  022500-023000   00    -999.00 -999.0    210.85     1.70     1.37
KINGSTON   120517 300  023000-023500   00    -999.00 -999.0    210.55     1.50     1.17
KINGSTON   120517 300  023500-024000   00    -999.00 -999.0    210.18     1.30     0.96
KINGSTON   120517 300  024000-024500   00    -999.00 -999.0    211.87     2.20     1.86
KINGSTON   120517 300  024500-025000   00    -999.00 -999.0    211.95     2.20     1.85
KINGSTON   120517 300  025000-025500   00    -999.00 -999.0    208.27     0.40     0.04
KINGSTON   120517 300  025500-030000   00    -999.00 -999.0    212.13     2.30     1.94
KINGSTON   120517 300  030000-030500   00    -999.00 -999.0    209.07     0.80     0.44
KINGSTON   120517 300  030500-031000   00    -999.00 -999.0    208.23     0.40     0.03
KINGSTON   120517 300  031000-031500   00    -999.00 -999.0    210.25     1.40     1.03
KINGSTON   120517 300  031500-032000   00    -999.00 -999.0    209.80     1.20     0.82
KINGSTON   120517 300  032000-032500   00    -999.00 -999.0    208.27     0.40     0.02
KINGSTON   120517 300  032500-033000   00    -999.00 -999.0    211.50     2.00     1.62
KINGSTON   120517 300  033000-033500   00    -999.00 -999.0    210.80     1.60     1.22
KINGSTON   120517 300  033500-034000   00    -999.00 -999.0    210.22     1.40     1.01
KINGSTON   120517 300  034000-034500   00    -999.00 -999.0    209.43     1.00     0.61
KINGSTON   120517 300  034500-035000   00    -999.00 -999.0    210.20     1.30     0.91
KINGSTON   120517 300  035000-035500   00    -999.00 -999.0    209.50     1.00     0.61
KINGSTON   120517 300  035500-040000   00    -999.00 -999.0    208.78     0.70     0.31
KINGSTON   120517 300  040000-040500   00    -999.00 -999.0    208.92     0.70     0.31
KINGSTON   120517 300  040500-041000   00    -999.00 -999.0    209.07     0.80     0.40
KINGSTON   120517 300  041000-041500   00    -999.00 -999.0    208.00     0.30    -0.10
