KINGSTON   LATITUDE    -42.99    LONGITUDE     147.29    ALTITUDE    65 M
KINGSTON   INSTRUMENT   18NM64    NEUTRON MONITOR	
KINGSTON   STANDARD PRESSURE    1013    mb     COEFFICIENT   -0.71     % / mb
KINGSTON   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
KINGSTON   PRE-INCREASE AVERAGE COUNTING RATE    207.41      COUNTS PER SECOND
KINGSTON   TIME INTERVALS    300         3600     
KINGSTON   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
KINGSTON   120517 300  174000-174500   00    -999.00 -999.0    206.38    -0.50    -9999
KINGSTON   120517 300  174500-175000   00    -999.00 -999.0    204.00    -1.60    -9999
KINGSTON   120517 300  175000-175500   00    -999.00 -999.0    207.17    -0.10    -9999
KINGSTON   120517 300  175500-180000   00    -999.00 -999.0    206.35    -0.50    -9999
KINGSTON   120517 300  180000-180500   00    -999.00 -999.0    207.23    -0.10    -9999
KINGSTON   120517 300  180500-181000   00    -999.00 -999.0    206.18    -0.60    -9999
KINGSTON   120517 300  181000-181500   00    -999.00 -999.0    205.45    -0.90    -9999
KINGSTON   120517 300  181500-182000   00    -999.00 -999.0    207.98     0.30    -9999
KINGSTON   120517 300  182000-182500   00    -999.00 -999.0    204.97    -1.20    -9999
KINGSTON   120517 300  182500-183000   00    -999.00 -999.0    207.93     0.30    -9999
KINGSTON   120517 300  183000-183500   00    -999.00 -999.0    204.95    -1.20    -9999
KINGSTON   120517 300  183500-184000   00    -999.00 -999.0    206.47    -0.50    -9999
KINGSTON   120517 300  184000-184500   00    -999.00 -999.0    205.38    -1.00    -9999
KINGSTON   120517 300  184500-185000   00    -999.00 -999.0    204.82    -1.20    -9999
KINGSTON   120517 300  185000-185500   00    -999.00 -999.0    206.20    -0.60    -9999
KINGSTON   120517 300  185500-190000   00    -999.00 -999.0    201.92    -2.60    -9999
KINGSTON   120517 300  190000-190500   00    -999.00 -999.0    205.88    -0.70    -9999
KINGSTON   120517 300  190500-191000   00    -999.00 -999.0    204.30    -1.50    -9999
KINGSTON   120517 300  191000-191500   00    -999.00 -999.0    205.03    -1.10    -9999
KINGSTON   120517 300  191500-192000   00    -999.00 -999.0    205.30    -1.00    -9999
KINGSTON   120517 300  192000-192500   00    -999.00 -999.0    206.05    -0.70    -9999
KINGSTON   120517 300  192500-193000   00    -999.00 -999.0    208.38     0.50    -9999
KINGSTON   120517 300  193000-193500   00    -999.00 -999.0    204.48    -1.40    -9999
KINGSTON   120517 300  193500-194000   00    -999.00 -999.0    205.93    -0.70    -9999
KINGSTON   120517 300  194000-194500   00    -999.00 -999.0    205.15    -1.10    -9999
KINGSTON   120517 300  194500-195000   00    -999.00 -999.0    204.67    -1.30    -9999
KINGSTON   120517 300  195000-195500   00    -999.00 -999.0    205.45    -0.90    -9999
KINGSTON   120517 300  195500-200000   00    -999.00 -999.0    207.33     0.00    -9999
KINGSTON   120517 300  200000-200500   00    -999.00 -999.0    204.87    -1.20    -9999
KINGSTON   120517 300  200500-201000   00    -999.00 -999.0    207.52     0.10    -9999
KINGSTON   120517 300  201000-201500   00    -999.00 -999.0    206.42    -0.50    -9999
KINGSTON   120517 300  201500-202000   00    -999.00 -999.0    203.80    -1.70    -9999
KINGSTON   120517 300  202000-202500   00    -999.00 -999.0    203.22    -2.00    -9999
KINGSTON   120517 300  202500-203000   00    -999.00 -999.0    204.37    -1.50    -9999
KINGSTON   120517 300  203000-203500   00    -999.00 -999.0    204.38    -1.50    -9999
KINGSTON   120517 300  203500-204000   00    -999.00 -999.0    202.92    -2.20    -9999
KINGSTON   120517 300  204000-204500   00    -999.00 -999.0    204.63    -1.30    -9999
KINGSTON   120517 300  204500-205000   00    -999.00 -999.0    204.98    -1.20    -9999
KINGSTON   120517 300  205000-205500   00    -999.00 -999.0    205.23    -1.10    -9999
KINGSTON   120517 300  205500-210000   00    -999.00 -999.0    205.20    -1.10    -9999
KINGSTON   120517 300  210000-210500   00    -999.00 -999.0    203.80    -1.70    -9999
KINGSTON   120517 300  210500-211000   00    -999.00 -999.0    204.22    -1.50    -9999
KINGSTON   120517 300  211000-211500   00    -999.00 -999.0    205.47    -0.90    -9999
KINGSTON   120517 300  211500-212000   00    -999.00 -999.0    203.93    -1.70    -9999
KINGSTON   120517 300  212000-212500   00    -999.00 -999.0    204.68    -1.30    -9999
KINGSTON   120517 300  212500-213000   00    -999.00 -999.0    204.50    -1.40    -9999
KINGSTON   120517 300  213000-213500   00    -999.00 -999.0    204.37    -1.50    -9999
KINGSTON   120517 300  213500-214000   00    -999.00 -999.0    204.77    -1.30    -9999
KINGSTON   120517 300  214000-214500   00    -999.00 -999.0    206.17    -0.60    -9999
KINGSTON   120517 300  214500-215000   00    -999.00 -999.0    204.63    -1.30    -9999
KINGSTON   120517 300  215000-215500   00    -999.00 -999.0    207.15    -0.10    -9999
KINGSTON   120517 300  215500-220000   00    -999.00 -999.0    205.25    -1.00    -9999
KINGSTON   120517 300  220000-220500   00    -999.00 -999.0    205.28    -1.00    -9999
KINGSTON   120517 300  220500-221000   00    -999.00 -999.0    205.33    -1.00    -9999
KINGSTON   120517 300  221000-221500   00    -999.00 -999.0    206.17    -0.60    -9999
KINGSTON   120517 300  221500-222000   00    -999.00 -999.0    205.17    -1.10    -9999
KINGSTON   120517 300  222000-222500   00    -999.00 -999.0    207.30    -0.10    -9999
KINGSTON   120517 300  222500-223000   00    -999.00 -999.0    203.07    -2.10    -9999
KINGSTON   120517 300  223000-223500   00    -999.00 -999.0    205.28    -1.00    -9999
KINGSTON   120517 300  223500-224000   00    -999.00 -999.0    203.83    -1.70    -9999
KINGSTON   120517 300  224000-224500   00    -999.00 -999.0    204.43    -1.40    -9999
KINGSTON   120517 300  224500-225000   00    -999.00 -999.0    204.22    -1.50    -9999
KINGSTON   120517 300  225000-225500   00    -999.00 -999.0    205.10    -1.10    -9999
KINGSTON   120517 300  225500-230000   00    -999.00 -999.0    205.05    -1.10    -9999
KINGSTON   120517 300  230000-230500   00    -999.00 -999.0    207.83     0.20    -9999
KINGSTON   120517 300  230500-231000   00    -999.00 -999.0    205.68    -0.80    -9999
KINGSTON   120517 300  231000-231500   00    -999.00 -999.0    204.13    -1.60    -9999
KINGSTON   120517 300  231500-232000   00    -999.00 -999.0    203.72    -1.80    -9999
KINGSTON   120517 300  232000-232500   00    -999.00 -999.0    204.15    -1.60    -9999
KINGSTON   120517 300  232500-233000   00    -999.00 -999.0    204.10    -1.60    -9999
KINGSTON   120517 300  233000-233500   00    -999.00 -999.0    205.25    -1.00    -9999
KINGSTON   120517 300  233500-234000   00    -999.00 -999.0    204.08    -1.60    -9999
KINGSTON   120517 300  234000-234500   00    -999.00 -999.0    203.28    -2.00    -9999
KINGSTON   120517 300  234500-235000   00    -999.00 -999.0    204.18    -1.60    -9999
KINGSTON   120517 300  235000-235500   00    -999.00 -999.0    204.10    -1.60    -9999
KINGSTON   120517 300  235500-240000   00    -999.00 -999.0    203.12    -2.10    -9999
KINGSTON   120518 3600 000000-010000   00    -999.00 -999.0    204.83    -1.20    -9999
KINGSTON   120518 3600 010000-020000   00    -999.00 -999.0    205.92    -0.70    -9999
KINGSTON   120518 3600 020000-030000   00    -999.00 -999.0    205.15    -1.10    -9999
KINGSTON   120518 3600 030000-040000   00    -999.00 -999.0    199.32    -3.90    -9999
KINGSTON   120518 3600 040000-050000   00    -999.00 -999.0    204.85    -1.20    -9999
KINGSTON   120518 3600 050000-060000   00    -999.00 -999.0    198.60    -4.20    -9999
KINGSTON   120518 3600 060000-070000   00    -999.00 -999.0    205.45    -0.90    -9999
KINGSTON   120518 3600 070000-080000   00    -999.00 -999.0    203.68    -1.80    -9999
KINGSTON   120518 3600 080000-090000   00    -999.00 -999.0    204.57    -1.40    -9999
KINGSTON   120518 3600 090000-100000   00    -999.00 -999.0    204.85    -1.20    -9999
KINGSTON   120518 3600 100000-110000   00    -999.00 -999.0    203.50    -1.90    -9999
KINGSTON   120518 3600 110000-120000   00    -999.00 -999.0    204.30    -1.50    -9999
KINGSTON   120518 3600 120000-130000   00    -999.00 -999.0    200.68    -3.20    -9999
KINGSTON   120518 3600 130000-140000   00    -999.00 -999.0    203.48    -1.90    -9999
KINGSTON   120518 3600 140000-150000   00    -999.00 -999.0    200.57    -3.30    -9999
KINGSTON   120518 3600 150000-160000   00    -999.00 -999.0    202.37    -2.40    -9999
KINGSTON   120518 3600 160000-170000   00    -999.00 -999.0    202.10    -2.60    -9999
KINGSTON   120518 3600 170000-180000   00    -999.00 -999.0    203.07    -2.10    -9999
KINGSTON   120518 3600 180000-190000   00    -999.00 -999.0    203.20    -2.00    -9999
KINGSTON   120518 3600 190000-200000   00    -999.00 -999.0    203.12    -2.10    -9999
KINGSTON   120518 3600 200000-210000   00    -999.00 -999.0    203.62    -1.80    -9999
KINGSTON   120518 3600 210000-220000   00    -999.00 -999.0    204.03    -1.60    -9999
KINGSTON   120518 3600 220000-230000   00    -999.00 -999.0    204.52    -1.40    -9999
KINGSTON   120518 3600 230000-240000   00    -999.00 -999.0    200.38    -3.40    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2024-01-15 17:24:22 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE71/C071KGSN_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
