PEAWANUCK  LATITUDE    55        LONGITUDE     -85       ALTITUDE    0 M
PEAWANUCK  INSTRUMENT   18NM64    NEUTRON MONITOR     
PEAWANUCK  STANDARD PRESSURE    1001.9  mb     COEFFICIENT   -0.75     % / mb
PEAWANUCK  PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
PEAWANUCK  PRE-INCREASE AVERAGE COUNTING RATE    224.73      COUNTS PER SECOND
PEAWANUCK  TIME INTERVALS    300         3600     
PEAWANUCK  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
PEAWANUCK  061212 3600 000000-010000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 010000-020000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 020000-030000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 030000-040000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 040000-050000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 050000-060000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 060000-070000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 070000-080000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 080000-090000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 090000-100000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 100000-110000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 110000-120000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 120000-130000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 130000-140000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 140000-150000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 150000-160000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 160000-170000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 170000-180000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 180000-190000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 190000-200000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 200000-210000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 210000-220000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 220000-230000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061212 3600 230000-240000   00    -999.00 -999.0   -999.00    -9999    -9999
PEAWANUCK  061213 3600 000000-010000   00     224.38 1002.8    225.90     0.50    -9999
PEAWANUCK  061213 300  010000-010500   00     227.18 1001.9    227.12     1.10    -9999
PEAWANUCK  061213 300  010500-011000   00     223.42 1001.8    223.21    -0.70    -9999
PEAWANUCK  061213 300  011000-011500   00     224.22 1001.7    223.85    -0.40    -9999
PEAWANUCK  061213 300  011500-012000   00     227.14 1001.6    226.61     0.80    -9999
PEAWANUCK  061213 300  012000-012500   00     223.76 1001.5    223.08    -0.70    -9999
