SANAE      LATITUDE    -71.67    LONGITUDE     357.15    ALTITUDE    856 M
SANAE      INSTRUMENT   4-NMD  NEUTRON MONITOR	
SANAE      STANDARD PRESSURE    660     MMHG   COEFFICIENT   1.01      % / MMHG
SANAE      PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
SANAE      PRE-INCREASE AVERAGE COUNTING RATE      8.54      COUNTS PER SECOND
SANAE      TIME INTERVALS    300         3600     
SANAE      SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
SANAE      061213 300  040000-040500   00      11.57  663.1     11.93    39.70    39.70
SANAE      061213 300  040500-041000   00      11.20  663.1     11.55    35.30    35.30
SANAE      061213 300  041000-041500   00      10.94  663.1     11.29    32.10    32.10
SANAE      061213 300  041500-042000   00      10.58  663.2     10.92    27.80    27.80
SANAE      061213 300  042000-042500   00      11.08  663.2     11.45    34.00    34.00
SANAE      061213 300  042500-043000   00      10.76  663.2     11.11    30.10    30.10
SANAE      061213 300  043000-043500   00      10.37  663.2     10.72    25.40    25.40
SANAE      061213 300  043500-044000   00      10.66  663.3     11.03    29.00    29.00
SANAE      061213 300  044000-044500   00      10.70  663.3     11.06    29.50    29.50
SANAE      061213 300  044500-045000   00      10.17  663.3     10.52    23.10    23.10
SANAE      061213 300  045000-045500   00       9.88  663.3     10.22    19.60    19.60
SANAE      061213 300  045500-050000   00       9.95  663.3     10.29    20.40    20.40
SANAE      061213 300  050000-050500   00       9.80  663.3     10.13    18.60    18.60
SANAE      061213 300  050500-051000   00       9.51  663.3      9.83    15.10    15.10
SANAE      061213 300  051000-051500   00       9.60  663.3      9.93    16.20    16.20
SANAE      061213 300  051500-052000   00       9.66  663.3      9.99    16.90    16.90
SANAE      061213 300  052000-052500   00       9.29  663.3      9.60    12.40    12.40
SANAE      061213 300  052500-053000   00       9.39  663.3      9.71    13.70    13.70
SANAE      061213 300  053000-053500   00       9.20  663.3      9.51    11.30    11.30
SANAE      061213 300  053500-054000   00       9.54  663.3      9.86    15.40    15.40
SANAE      061213 300  054000-054500   00       9.61  663.3      9.93    16.20    16.20
SANAE      061213 300  054500-055000   00       9.11  663.3      9.42    10.20    10.20
SANAE      061213 300  055000-055500   00       9.33  663.3      9.65    12.90    12.90
SANAE      061213 300  055500-060000   00       9.09  663.3      9.39    10.00    10.00
SANAE      061213 300  060000-060500   00       9.13  663.3      9.44    10.50    10.50
SANAE      061213 300  060500-061000   00       8.97  663.3      9.28     8.50     8.50
SANAE      061213 300  061000-061500   00       9.14  663.3      9.44    10.50    10.50
SANAE      061213 300  061500-062000   00       8.97  663.3      9.28     8.60     8.60
SANAE      061213 300  062000-062500   00       8.67  663.3      8.97     5.00     5.00
SANAE      061213 300  062500-063000   00       8.99  663.3      9.30     8.90     8.90
SANAE      061213 300  063000-063500   00       8.89  663.3      9.19     7.60     7.60
SANAE      061213 300  063500-064000   00       8.78  663.4      9.09     6.40     6.40
SANAE      061213 300  064000-064500   00       9.09  663.4      9.40    10.10    10.10
SANAE      061213 300  064500-065000   00       8.85  663.4      9.16     7.20     7.20
SANAE      061213 300  065000-065500   00       9.02  663.4      9.33     9.20     9.20
SANAE      061213 300  065500-070000   00       8.62  663.5      8.93     4.50     4.50
SANAE      061213 300  070000-070500   00       8.85  663.5      9.16     7.30     7.30
SANAE      061213 300  070500-071000   00       8.55  663.5      8.86     3.70     3.70
SANAE      061213 300  071000-071500   00       8.89  663.5      9.21     7.80     7.80
SANAE      061213 300  071500-072000   00       8.77  663.5      9.08     6.30     6.30
SANAE      061213 300  072000-072500   00       8.61  663.6      8.93     4.40     4.40
SANAE      061213 300  072500-073000   00       8.58  663.6      8.90     4.10     4.10
SANAE      061213 300  073000-073500   00       8.66  663.6      8.98     5.20     5.20
SANAE      061213 300  073500-074000   00       8.70  663.6      9.02     5.60     5.60
SANAE      061213 300  074000-074500   00       8.41  663.6      8.72     2.10     2.10
SANAE      061213 300  074500-075000   00       8.96  663.6      9.29     8.70     8.70
SANAE      061213 300  075000-075500   00       8.84  663.6      9.17     7.30     7.30
SANAE      061213 300  075500-080000   00       8.92  663.6      9.26     8.30     8.30
SANAE      061213 300  080000-080500   00       8.63  663.7      8.95     4.80     4.80
SANAE      061213 300  080500-081000   00       8.54  663.7      8.87     3.80     3.80
SANAE      061213 300  081000-081500   00       8.54  663.7      8.87     3.80     3.80
SANAE      061213 300  081500-082000   00       8.55  663.7      8.87     3.80     3.80
SANAE      061213 300  082000-082500   00       8.52  663.7      8.84     3.50     3.50
SANAE      061213 300  082500-083000   00       8.89  663.7      9.23     8.00     8.00
SANAE      061213 300  083000-083500   00       8.84  663.7      9.17     7.40     7.40
SANAE      061213 300  083500-084000   00       8.56  663.7      8.88     4.00     4.00
SANAE      061213 300  084000-084500   00       8.63  663.7      8.95     4.80     4.80
SANAE      061213 300  084500-085000   00       8.38  663.7      8.70     1.80     1.80
SANAE      061213 300  085000-085500   00       8.30  663.7      8.62     0.80     0.80
SANAE      061213 300  085500-090000   00       8.31  663.7      8.63     1.00     1.00
SANAE      061213 300  090000-090500   00       8.57  663.7      8.90     4.20     4.20
SANAE      061213 300  090500-091000   00       8.46  663.7      8.78     2.70     2.70
SANAE      061213 300  091000-091500   00       8.23  663.7      8.55     0.00     0.00
SANAE      061213 300  091500-092000   00       8.39  663.7      8.71     2.00     2.00
SANAE      061213 300  092000-092500   00       8.57  663.7      8.90     4.20     4.20
SANAE      061213 300  092500-093000   00       8.53  663.7      8.86     3.70     3.70
SANAE      061213 300  093000-093500   00       8.28  663.8      8.61     0.80     0.80
SANAE      061213 300  093500-094000   00       8.78  663.8      9.12     6.80     6.80
SANAE      061213 300  094000-094500   00       8.84  663.8      9.18     7.50     7.50
SANAE      061213 300  094500-095000   00       8.66  663.8      9.01     5.40     5.40
SANAE      061213 300  095000-095500   00       8.70  663.9      9.05     5.90     5.90
SANAE      061213 300  095500-100000   00       8.51  663.9      8.85     3.60     3.60
SANAE      061213 300  100000-100500   00       8.40  663.9      8.73     2.20     2.20
SANAE      061213 300  100500-101000   00       8.44  663.9      8.78     2.80     2.80
SANAE      061213 300  101000-101500   00       8.81  663.9      9.16     7.20     7.20
SANAE      061213 300  101500-102000   00       8.32  664.0      8.66     1.40     1.40
SANAE      061213 300  102000-102500   00       8.66  664.0      9.02     5.60     5.60
SANAE      061213 300  102500-103000   00       8.49  664.0      8.84     3.40     3.40
SANAE      061213 300  103000-103500   00       8.62  664.0      8.98     5.10     5.10
SANAE      061213 300  103500-104000   00       8.54  664.0      8.90     4.20     4.20
SANAE      061213 300  104000-104500   00       8.40  664.1      8.76     2.50     2.50
SANAE      061213 300  104500-105000   00       8.52  664.1      8.88     3.90     3.90
SANAE      061213 300  105000-105500   00       8.24  664.1      8.59     0.60     0.60
SANAE      061213 300  105500-110000   00       8.43  664.1      8.79     2.80     2.80
SANAE      061213 300  110000-110500   00       8.38  664.1      8.73     2.20     2.20
SANAE      061213 300  110500-111000   00       8.45  664.2      8.82     3.20     3.20
SANAE      061213 300  111000-111500   00       8.40  664.2      8.76     2.50     2.50
SANAE      061213 300  111500-112000   00       8.78  664.2      9.16     7.20     7.20
SANAE      061213 300  112000-112500   00       8.41  664.2      8.78     2.70     2.70
SANAE      061213 300  112500-113000   00       8.02  664.2      8.36    -2.10    -2.10
SANAE      061213 300  113000-113500   00       8.50  664.2      8.87     3.90     3.90
SANAE      061213 300  113500-114000   00       8.43  664.2      8.80     3.00     3.00
SANAE      061213 300  114000-114500   00       8.21  664.2      8.56     0.20     0.20
SANAE      061213 300  114500-115000   00       8.05  664.2      8.39    -1.70    -1.70
SANAE      061213 300  115000-115500   00       8.74  664.2      9.12     6.80     6.80
SANAE      061213 300  115500-120000   00       8.74  664.2      9.12     6.70     6.70
SANAE      061213 300  120000-120500   00       8.37  664.2      8.74     2.30    -9999
SANAE      061213 300  120500-121000   00       8.38  664.2      8.75     2.40    -9999
SANAE      061213 300  121000-121500   00       8.22  664.2      8.58     0.40    -9999
SANAE      061213 300  121500-122000   00       8.24  664.2      8.60     0.70    -9999
SANAE      061213 300  122000-122500   00       8.19  664.2      8.55     0.10    -9999
SANAE      061213 300  122500-123000   00       8.41  664.2      8.78     2.80    -9999
SANAE      061213 300  123000-123500   00       8.24  664.2      8.59     0.60    -9999
SANAE      061213 300  123500-124000   00       7.78  664.2      8.12    -5.00    -9999
SANAE      061213 300  124000-124500   00       8.38  664.2      8.74     2.30    -9999
SANAE      061213 300  124500-125000   00       8.23  664.2      8.59     0.60    -9999
SANAE      061213 300  125000-125500   00       8.70  664.3      9.09     6.40    -9999
SANAE      061213 300  125500-130000   00       8.34  664.3      8.71     2.00    -9999
SANAE      061213 300  130000-130500   00       8.42  664.3      8.80     2.90    -9999
SANAE      061213 300  130500-131000   00       8.42  664.3      8.79     2.90    -9999
SANAE      061213 300  131000-131500   00       8.42  664.2      8.79     2.90    -9999
SANAE      061213 300  131500-132000   00       8.26  664.3      8.62     0.90    -9999
SANAE      061213 300  132000-132500   00       8.45  664.2      8.82     3.20    -9999
SANAE      061213 300  132500-133000   00       8.06  664.2      8.41    -1.50    -9999
SANAE      061213 300  133000-133500   00       8.16  664.2      8.51    -0.40    -9999
SANAE      061213 300  133500-134000   00       8.39  664.2      8.75     2.50    -9999
SANAE      061213 300  134000-134500   00       8.38  664.2      8.74     2.30    -9999
SANAE      061213 300  134500-135000   00       8.17  664.2      8.52    -0.20    -9999
SANAE      061213 300  135000-135500   00       8.44  664.2      8.81     3.10    -9999
SANAE      061213 300  135500-140000   00       8.24  664.2      8.60     0.70    -9999
SANAE      061213 300  140000-140500   00       8.51  664.2      8.88     3.90    -9999
SANAE      061213 300  140500-141000   00       8.33  664.2      8.70     1.90    -9999
SANAE      061213 300  141000-141500   00       8.30  664.3      8.66     1.40    -9999
SANAE      061213 300  141500-142000   00       8.65  664.3      9.03     5.70    -9999
SANAE      061213 300  142000-142500   00       8.58  664.3      8.95     4.80    -9999
SANAE      061213 300  142500-143000   00       8.29  664.3      8.66     1.40    -9999
SANAE      061213 300  143000-143500   00       8.31  664.3      8.67     1.50    -9999
SANAE      061213 300  143500-144000   00       8.24  664.3      8.61     0.70    -9999
SANAE      061213 300  144000-144500   00       8.42  664.3      8.80     2.90    -9999
SANAE      061213 300  144500-145000   00       8.53  664.4      8.92     4.40    -9999
SANAE      061213 300  145000-145500   00       8.02  664.4      8.38    -1.90    -9999
SANAE      061213 300  145500-150000   00       8.09  664.4      8.46    -0.90    -9999
SANAE      061213 300  150000-150500   00       8.65  664.4      9.04     5.90    -9999
SANAE      061213 300  150500-151000   00       8.37  664.4      8.75     2.40    -9999
SANAE      061213 300  151000-151500   00       8.65  664.4      9.04     5.90    -9999
SANAE      061213 300  151500-152000   00       8.75  664.5      9.16     7.20    -9999
SANAE      061213 300  152000-152500   00       8.02  664.5      8.39    -1.80    -9999
SANAE      061213 300  152500-153000   00       8.20  664.5      8.58     0.50    -9999
SANAE      061213 300  153000-153500   00       8.41  664.6      8.80     3.10    -9999
SANAE      061213 300  153500-154000   00       8.42  664.6      8.82     3.20    -9999
SANAE      061213 300  154000-154500   00       8.28  664.6      8.67     1.50    -9999
SANAE      061213 300  154500-155000   00       8.46  664.6      8.86     3.70    -9999
SANAE      061213 300  155000-155500   00       8.41  664.6      8.81     3.20    -9999
SANAE      061213 300  155500-160000   00       8.35  664.6      8.75     2.40    -9999
SANAE      061213 300  160000-160500   00       8.39  664.6      8.79     2.90    -9999
SANAE      061213 300  160500-161000   00       8.34  664.7      8.74     2.30    -9999
SANAE      061213 300  161000-161500   00       8.28  664.7      8.68     1.60    -9999
SANAE      061213 300  161500-162000   00       8.62  664.7      9.03     5.80    -9999
SANAE      061213 300  162000-162500   00       8.22  664.6      8.61     0.80    -9999
SANAE      061213 300  162500-163000   00       8.16  664.6      8.55     0.10    -9999
SANAE      061213 300  163000-163500   00       8.41  664.7      8.81     3.20    -9999
SANAE      061213 300  163500-164000   00       8.39  664.7      8.79     2.90    -9999
SANAE      061213 300  164000-164500   00       8.30  664.6      8.70     1.80    -9999
SANAE      061213 300  164500-165000   00       8.14  664.7      8.54    -0.10    -9999
SANAE      061213 300  165000-165500   00       7.97  664.6      8.35    -2.20    -9999
SANAE      061213 300  165500-170000   00       8.41  664.7      8.82     3.20    -9999
SANAE      061213 300  170000-170500   00       8.42  664.7      8.83     3.30    -9999
SANAE      061213 300  170500-171000   00       8.60  664.7      9.02     5.50    -9999
SANAE      061213 300  171000-171500   00       7.96  664.7      8.35    -2.20    -9999
SANAE      061213 300  171500-172000   00       8.47  664.7      8.88     4.00    -9999
SANAE      061213 300  172000-172500   00       8.30  664.8      8.71     1.90    -9999
SANAE      061213 300  172500-173000   00       8.59  664.8      9.01     5.50    -9999
SANAE      061213 300  173000-173500   00       8.11  664.8      8.52    -0.30    -9999
SANAE      061213 300  173500-174000   00       8.26  664.8      8.67     1.50    -9999
SANAE      061213 300  174000-174500   00       8.21  664.8      8.62     0.90    -9999
SANAE      061213 300  174500-175000   00       8.23  664.8      8.65     1.20    -9999
SANAE      061213 300  175000-175500   00       8.35  664.9      8.77     2.70    -9999
SANAE      061213 300  175500-180000   00       8.55  664.9      8.98     5.10    -9999
SANAE      061213 300  180000-180500   00       8.33  664.9      8.75     2.40    -9999
SANAE      061213 300  180500-181000   00       8.07  664.9      8.48    -0.70    -9999
SANAE      061213 300  181000-181500   00       8.42  664.9      8.85     3.50    -9999
