ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675.7   MB     COEFFICIENT   -0.74     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE    126.07      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 061213 300  041000-041500   00     127.17  676.2    127.68     1.27    -9999
ALMA-ATA-B 061213 300  041500-042000   00     126.79  676.3    127.31     0.98    -9999
ALMA-ATA-B 061213 300  042000-042500   00     126.37  676.3    126.91     0.66    -9999
ALMA-ATA-B 061213 300  042500-043000   00     126.42  676.3    126.98     0.72    -9999
ALMA-ATA-B 061213 300  043000-043500   00     126.71  676.3    127.28     0.96    -9999
ALMA-ATA-B 061213 300  043500-044000   00     127.30  676.3    127.88     1.44    -9999
ALMA-ATA-B 061213 300  044000-044500   00     127.50  676.3    128.11     1.61    -9999
ALMA-ATA-B 061213 300  044500-045000   00     126.86  676.4    127.47     1.11    -9999
ALMA-ATA-B 061213 300  045000-045500   00     127.08  676.4    127.72     1.30    -9999
ALMA-ATA-B 061213 300  045500-050000   00     126.58  676.4    127.22     0.91    -9999
ALMA-ATA-B 061213 300  050000-050500   00     126.40  676.4    127.05     0.78    -9999
ALMA-ATA-B 061213 300  050500-051000   00     126.03  676.4    126.68     0.48    -9999
ALMA-ATA-B 061213 300  051000-051500   00     127.08  676.4    127.72     1.31    -9999
ALMA-ATA-B 061213 300  051500-052000   00     125.81  676.4    126.44     0.29    -9999
ALMA-ATA-B 061213 300  052000-052500   00     126.04  676.4    126.66     0.46    -9999
ALMA-ATA-B 061213 300  052500-053000   00     126.78  676.4    127.40     1.05    -9999
ALMA-ATA-B 061213 300  053000-053500   00     125.98  676.3    126.58     0.41    -9999
ALMA-ATA-B 061213 300  053500-054000   00     126.17  676.3    126.76     0.55    -9999
ALMA-ATA-B 061213 300  054000-054500   00     125.95  676.3    126.54     0.37    -9999
ALMA-ATA-B 061213 300  054500-055000   00     126.47  676.3    127.06     0.78    -9999
ALMA-ATA-B 061213 300  055000-055500   00     126.63  676.3    127.21     0.90    -9999
ALMA-ATA-B 061213 300  055500-060000   00     126.08  676.3    126.65     0.46    -9999
ALMA-ATA-B 061213 300  060000-060500   00     126.64  676.3    127.21     0.90    -9999
ALMA-ATA-B 061213 300  060500-061000   00     126.18  676.3    126.75     0.54    -9999
ALMA-ATA-B 061213 300  061000-061500   00     125.70  676.3    126.28     0.16    -9999
