NAIN       LATITUDE    56.6      LONGITUDE     -61.7     ALTITUDE    0 M
NAIN       INSTRUMENT   18NM64    NEUTRON MONITOR     	
NAIN       STANDARD PRESSURE    1014.8  mb     COEFFICIENT   -0.74     % / mb
NAIN       PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
NAIN       PRE-INCREASE AVERAGE COUNTING RATE    181.63      COUNTS PER SECOND
NAIN       TIME INTERVALS    300         3600     
NAIN       SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NAIN       010414 3600 000000-010000   00     187.44 1004.4    173.51    -4.50    -9999
NAIN       010414 3600 010000-020000   00     188.83 1004.4    174.80    -3.80    -9999
NAIN       010414 3600 020000-030000   00     189.61 1004.3    175.35    -3.50    -9999
NAIN       010414 3600 030000-040000   00     189.67 1004.3    175.40    -3.40    -9999
NAIN       010414 3600 040000-050000   00     190.00 1004.0    175.36    -3.50    -9999
NAIN       010414 3600 050000-060000   00     189.86 1004.0    175.23    -3.50    -9999
NAIN       010414 3600 060000-070000   00     189.83 1004.0    175.20    -3.50    -9999
NAIN       010414 3600 070000-080000   00     190.33 1004.0    175.67    -3.30    -9999
NAIN       010414 3600 080000-090000   00     192.11 1004.1    177.48    -2.30    -9999
NAIN       010414 3600 090000-100000   00     192.42 1004.3    177.94    -2.00    -9999
NAIN       010414 3600 100000-110000   00     193.39 1004.9    179.73    -1.00    -9999
NAIN       010414 3600 110000-120000   00     193.25 1005.5    180.31    -0.70    -9999
NAIN       010414 3600 120000-130000   00     193.14 1005.6    180.39    -0.70    -9999
NAIN       010414 3600 130000-140000   00     191.61 1005.9    179.31    -1.30    -9999
NAIN       010414 3600 140000-150000   00     190.92 1006.0    178.84    -1.50    -9999
NAIN       010414 3600 150000-160000   00     190.39 1006.1    178.52    -1.70    -9999
NAIN       010414 3600 160000-170000   00     191.44 1006.3    179.69    -1.10    -9999
NAIN       010414 3600 170000-180000   00     190.75 1006.8    179.75    -1.00    -9999
NAIN       010414 3600 180000-190000   00     190.44 1007.2    180.00    -0.90    -9999
NAIN       010414 3600 190000-200000   00     189.81 1007.6    179.93    -0.90    -9999
NAIN       010414 3600 200000-210000   00     189.47 1008.1    180.32    -0.70    -9999
NAIN       010414 3600 210000-220000   00     188.39 1008.7    180.00    -0.90    -9999
NAIN       010414 3600 220000-230000   00     186.14 1009.2    178.56    -1.70    -9999
NAIN       010414 3600 230000-240000   00     186.31 1010.0    179.78    -1.00    -9999
NAIN       010415 3600 000000-010000   00     186.19 1010.4    180.21    -0.80    -9999
NAIN       010415 3600 010000-020000   00     183.97 1010.7    178.41    -1.80    -9999
NAIN       010415 3600 020000-030000   00     183.36 1010.8    178.00    -2.00    -9999
NAIN       010415 3600 030000-040000   00     184.58 1011.1    179.54    -1.20    -9999
NAIN       010415 3600 040000-050000   00     183.08 1011.5    178.61    -1.70    -9999
NAIN       010415 3600 050000-060000   00     184.17 1011.7    180.02    -0.90    -9999
NAIN       010415 3600 060000-070000   00     182.53 1012.3    179.13    -1.40    -9999
NAIN       010415 3600 070000-080000   00     183.67 1012.4    180.42    -0.70    -9999
NAIN       010415 3600 080000-090000   00     183.97 1012.8    181.26    -0.20    -9999
NAIN       010415 300  090000-090500   00     187.40 1013.2    185.24     2.00    -9999
NAIN       010415 300  090500-091000   00     180.17 1013.3    178.18    -1.90    -9999
NAIN       010415 300  091000-091500   00     182.64 1013.4    180.71    -0.50    -9999
NAIN       010415 300  091500-092000   00     186.30 1013.4    184.41     1.50    -9999
NAIN       010415 300  092000-092500   00     182.16 1013.5    180.40    -0.70    -9999
