NORILSK    LATITUDE    69.26     LONGITUDE     88.05     ALTITUDE    0 M
NORILSK    INSTRUMENT   18NM64    NEUTRON MONITOR     	
NORILSK    STANDARD PRESSURE    1005    mb     COEFFICIENT   -0.71     % / mb
NORILSK    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
NORILSK    PRE-INCREASE AVERAGE COUNTING RATE    126.50      COUNTS PER SECOND
NORILSK    TIME INTERVALS    300         3600     
NORILSK    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NORILSK    120517 300  010500-011000   00     126.60 1005.0    126.60     0.10    -0.22
NORILSK    120517 300  011000-011500   00     127.40 1005.0    127.40     0.70     0.36
NORILSK    120517 300  011500-012000   00     127.20 1005.0    127.20     0.60     0.24
NORILSK    120517 300  012000-012500   00     126.60 1005.0    126.60     0.10    -0.28
NORILSK    120517 300  012500-013000   00     127.40 1005.0    127.40     0.70     0.29
NORILSK    120517 300  013000-013500   00     126.80 1005.1    126.80     0.20    -0.23
NORILSK    120517 300  013500-014000   00     128.00 1005.1    128.00     1.20     0.75
NORILSK    120517 300  014000-014500   00     127.60 1005.1    127.60     0.90     0.43
NORILSK    120517 300  014500-015000   00     126.80 1005.1    126.80     0.20    -0.29
NORILSK    120517 300  015000-015500   00     126.80 1005.2    127.00     0.40    -0.11
NORILSK    120517 300  015500-020000   00     125.60 1005.2    125.80    -0.60    -1.13
NORILSK    120517 300  020000-020500   00     127.20 1005.3    127.60     0.90     0.35
NORILSK    120517 300  020500-021000   00     126.60 1005.3    126.60     0.10    -0.48
NORILSK    120517 300  021000-021500   00     125.80 1005.3    126.20    -0.20    -0.80
NORILSK    120517 300  021500-022000   00     124.80 1005.4    125.20    -1.00    -1.62
NORILSK    120517 300  022000-022500   00     126.20 1005.4    126.60     0.10    -0.54
NORILSK    120517 300  022500-023000   00     127.00 1005.4    127.60     0.90     0.24
NORILSK    120517 300  023000-023500   00     129.20 1005.4    129.60     2.50     1.82
NORILSK    120517 300  023500-024000   00     130.40 1005.4    130.80     3.40     2.71
NORILSK    120517 300  024000-024500   00     130.80 1005.4    131.00     3.60     2.89
NORILSK    120517 300  024500-025000   00     130.20 1005.3    130.60     3.20     2.47
NORILSK    120517 300  025000-025500   00     131.20 1005.3    131.40     3.90     3.15
NORILSK    120517 300  025500-030000   00     128.80 1005.3    128.80     1.80     1.03
NORILSK    120517 300  030000-030500   00     130.20 1005.4    130.80     3.40     2.61
NORILSK    120517 300  030500-031000   00     130.40 1005.4    130.40     3.10     2.29
NORILSK    120517 300  031000-031500   00     129.40 1005.4    129.60     2.50     1.68
NORILSK    120517 300  031500-032000   00     129.00 1005.4    129.20     2.10     1.26
NORILSK    120517 300  032000-032500   00     128.80 1005.4    129.60     2.50     1.64
NORILSK    120517 300  032500-033000   00     126.00 1005.5    126.40    -0.10    -0.98
NORILSK    120517 300  033000-033500   00     129.40 1005.5    129.60     2.50     1.61
NORILSK    120517 300  033500-034000   00     128.20 1005.5    128.60     1.70     0.79
NORILSK    120517 300  034000-034500   00     129.80 1005.6    130.40     3.10     2.17
NORILSK    120517 300  034500-035000   00     127.40 1005.7    128.20     1.30     0.36
NORILSK    120517 300  035000-035500   00     127.60 1005.7    128.60     1.70     0.74
NORILSK    120517 300  035500-040000   00     127.20 1005.7    128.00     1.20     0.22
NORILSK    120517 300  040000-040500   00     127.40 1005.7    128.00     1.20     0.21
NORILSK    120517 300  040500-041000   00     128.00 1005.7    128.80     1.80     0.79
NORILSK    120517 300  041000-041500   00     126.40 1005.8    127.20     0.60    -0.42
NORILSK    120517 300  041500-042000   00     127.60 1005.8    128.60     1.70     0.66
NORILSK    120517 300  042000-042500   00     128.20 1005.8    129.20     2.10     1.05
NORILSK    120517 300  042500-043000   00     127.00 1005.8    128.00     1.20     0.13
NORILSK    120517 300  043000-043500   00     128.20 1005.8    129.20     2.10     1.02
NORILSK    120517 300  043500-044000   00     126.60 1005.8    127.60     0.90    -0.20
NORILSK    120517 300  044000-044500   00     126.20 1005.8    127.20     0.60    -0.51
NORILSK    120517 300  044500-045000   00     126.80 1005.9    127.80     1.00    -0.12
NORILSK    120517 300  045000-045500   00     126.40 1006.0    127.40     0.70    -0.44
NORILSK    120517 300  045500-050000   00     129.00 1006.0    130.00     2.80     1.65
NORILSK    120517 300  050000-050500   00     126.00 1006.0    127.00     0.40    -0.77
NORILSK    120517 300  050500-051000   00     128.40 1006.0    129.40     2.30     1.12
NORILSK    120517 300  051000-051500   00     127.20 1006.0    128.20     1.30     0.11
NORILSK    120517 300  051500-052000   00     128.80 1006.1    129.80     2.60     1.40
NORILSK    120517 300  052000-052500   00     126.80 1006.1    127.80     1.00    -0.22
NORILSK    120517 300  052500-053000   00     125.60 1006.1    126.60     0.10    -1.13
NORILSK    120517 300  053000-053500   00     127.20 1006.1    128.20     1.30     0.06
NORILSK    120517 300  053500-054000   00     126.20 1006.2    127.20     0.60    -0.65
NORILSK    120517 300  054000-054500   00     125.80 1006.1    126.80     0.20    -1.06
NORILSK    120517 300  054500-055000   00     128.20 1006.2    129.20     2.10     0.82
NORILSK    120517 300  055000-055500   00     127.20 1006.2    128.40     1.50     0.21
NORILSK    120517 300  055500-060000   00     126.60 1006.3    127.80     1.00    -0.30
NORILSK    120517 300  060000-060500   00     126.00 1006.3    127.40     0.70    -0.61
NORILSK    120517 300  060500-061000   00     126.00 1006.3    127.20     0.60    -0.72
NORILSK    120517 300  061000-061500   00     127.60 1006.3    128.80     1.80     0.47
NORILSK    120517 300  061500-062000   00     128.40 1006.4    129.40     2.30     0.96
NORILSK    120517 300  062000-062500   00     126.40 1006.4    127.80     1.00    -0.35
NORILSK    120517 300  062500-063000   00     128.20 1006.5    129.20     2.10     0.74
NORILSK    120517 300  063000-063500   00     125.80 1006.5    127.20     0.60    -0.77
NORILSK    120517 300  063500-064000   00     128.40 1006.5    129.80     2.60     1.22
NORILSK    120517 300  064000-064500   00     129.00 1006.5    130.60     3.20     1.81
NORILSK    120517 300  064500-065000   00     125.40 1006.6    126.40    -0.10    -1.50
NORILSK    120517 300  065000-065500   00     125.60 1006.6    127.40     0.70    -0.71
NORILSK    120517 300  065500-070000   00     126.40 1006.7    128.00     1.20    -0.22
NORILSK    120517 300  070000-070500   00     127.80 1006.7    129.20     2.10     0.68
NORILSK    120517 300  070500-071000   00     128.40 1006.7    130.00     2.80     1.37
NORILSK    120517 300  071000-071500   00     127.20 1006.7    128.20     1.30    -0.14
NORILSK    120517 300  071500-072000   00     126.00 1006.8    127.80     1.00    -0.45
NORILSK    120517 300  072000-072500   00     127.40 1006.8    129.00     2.00     0.54
NORILSK    120517 300  072500-073000   00     128.20 1006.8    130.00     2.80     1.34
NORILSK    120517 300  073000-073500   00     125.40 1006.8    126.80     0.20    -1.27
NORILSK    120517 300  073500-074000   00     125.80 1006.8    127.40     0.70    -0.78
NORILSK    120517 300  074000-074500   00     125.40 1006.8    127.20     0.60    -0.88
NORILSK    120517 300  074500-075000   00     127.40 1006.8    129.00     2.00     0.51
NORILSK    120517 300  075000-075500   00     126.00 1006.8    127.80     1.00    -0.50
NORILSK    120517 300  075500-080000   00     126.20 1006.8    128.00     1.20    -0.30
NORILSK    120517 300  080000-080500   00     127.80 1006.9    129.80     2.60     1.09
NORILSK    120517 300  080500-081000   00     128.60 1007.0    130.40     3.10    -9999
NORILSK    120517 300  081000-081500   00     125.00 1007.0    126.60     0.10    -9999
NORILSK    120517 300  081500-082000   00     127.00 1007.1    129.00     2.00    -9999
NORILSK    120517 300  082000-082500   00     124.60 1007.1    126.20    -0.20    -9999
NORILSK    120517 300  082500-083000   00     126.00 1007.1    128.00     1.20    -9999
NORILSK    120517 300  083000-083500   00     128.40 1007.0    130.40     3.10    -9999
NORILSK    120517 300  083500-084000   00     126.20 1007.1    128.20     1.30    -9999
NORILSK    120517 300  084000-084500   00     127.40 1007.1    129.40     2.30    -9999
NORILSK    120517 300  084500-085000   00     126.60 1007.2    128.60     1.70    -9999
NORILSK    120517 300  085000-085500   00     125.80 1007.2    127.80     1.00    -9999
NORILSK    120517 300  085500-090000   00     124.60 1007.2    126.60     0.10    -9999
NORILSK    120517 300  090000-090500   00     127.40 1007.2    129.60     2.50    -9999
NORILSK    120517 300  090500-091000   00     129.20 1007.2    131.20     3.70    -9999
NORILSK    120517 300  091000-091500   00     127.60 1007.2    129.80     2.60    -9999
NORILSK    120517 300  091500-092000   00     124.00 1007.2    126.00    -0.40    -9999
NORILSK    120517 300  092000-092500   00     124.20 1007.2    126.20    -0.20    -9999
NORILSK    120517 300  092500-093000   00     127.00 1007.2    129.00     2.00    -9999
NORILSK    120517 300  093000-093500   00     125.00 1007.2    127.00     0.40    -9999
NORILSK    120517 300  093500-094000   00     126.80 1007.3    128.80     1.80    -9999
NORILSK    120517 300  094000-094500   00     126.80 1007.3    129.20     2.10    -9999
NORILSK    120517 300  094500-095000   00     126.40 1007.4    128.80     1.80    -9999
NORILSK    120517 300  095000-095500   00     125.20 1007.4    127.60     0.90    -9999
NORILSK    120517 300  095500-100000   00     124.40 1007.4    126.80     0.20    -9999
NORILSK    120517 300  100000-100500   00     125.20 1007.4    127.80     1.00    -9999
NORILSK    120517 300  100500-101000   00     125.60 1007.4    127.80     1.00    -9999
NORILSK    120517 300  101000-101500   00     125.00 1007.4    127.20     0.60    -9999
NORILSK    120517 300  101500-102000   00     127.00 1007.4    129.20     2.10    -9999
NORILSK    120517 300  102000-102500   00     127.40 1007.4    129.40     2.30    -9999
NORILSK    120517 300  102500-103000   00     126.20 1007.4    128.80     1.80    -9999
NORILSK    120517 300  103000-103500   00     125.80 1007.4    128.00     1.20    -9999
NORILSK    120517 300  103500-104000   00     126.20 1007.4    128.40     1.50    -9999
NORILSK    120517 300  104000-104500   00     124.40 1007.4    126.60     0.10    -9999
NORILSK    120517 300  104500-105000   00     123.40 1007.4    125.60    -0.70    -9999
NORILSK    120517 300  105000-105500   00     126.00 1007.4    128.40     1.50    -9999
NORILSK    120517 300  105500-110000   00     127.40 1007.4    129.60     2.50    -9999
NORILSK    120517 300  110000-110500   00     125.20 1007.4    127.40     0.70    -9999
NORILSK    120517 300  110500-111000   00     126.00 1007.5    128.20     1.30    -9999
NORILSK    120517 300  111000-111500   00     125.60 1007.4    128.00     1.20    -9999
NORILSK    120517 300  111500-112000   00     123.80 1007.5    126.20    -0.20    -9999
NORILSK    120517 300  112000-112500   00     124.80 1007.5    127.60     0.90    -9999
NORILSK    120517 300  112500-113000   00     125.00 1007.5    127.60     0.90    -9999
NORILSK    120517 300  113000-113500   00     126.00 1007.5    128.40     1.50    -9999
NORILSK    120517 300  113500-114000   00     126.40 1007.5    128.60     1.70    -9999
NORILSK    120517 300  114000-114500   00     125.20 1007.5    127.40     0.70    -9999
NORILSK    120517 300  114500-115000   00     124.00 1007.5    126.40    -0.10    -9999
NORILSK    120517 300  115000-115500   00     124.60 1007.6    127.20     0.60    -9999
NORILSK    120517 300  115500-120000   00     125.80 1007.6    128.40     1.50    -9999
NORILSK    120517 300  120000-120500   00     123.20 1007.6    125.80    -0.60    -9999
NORILSK    120517 300  120500-121000   00     125.80 1007.6    128.00     1.20    -9999
NORILSK    120517 300  121000-121500   00     124.00 1007.6    126.80     0.20    -9999
NORILSK    120517 300  121500-122000   00     125.00 1007.6    127.60     0.90    -9999
NORILSK    120517 300  122000-122500   00     124.20 1007.6    126.40    -0.10    -9999
NORILSK    120517 300  122500-123000   00     125.40 1007.6    127.60     0.90    -9999
NORILSK    120517 300  123000-123500   00     124.00 1007.6    126.40    -0.10    -9999
NORILSK    120517 300  123500-124000   00     125.40 1007.6    127.80     1.00    -9999
NORILSK    120517 300  124000-124500   00     123.20 1007.6    125.60    -0.70    -9999
NORILSK    120517 300  124500-125000   00     125.00 1007.5    127.40     0.70    -9999
NORILSK    120517 300  125000-125500   00     124.00 1007.6    126.40    -0.10    -9999
NORILSK    120517 300  125500-130000   00     125.00 1007.6    127.60     0.90    -9999
NORILSK    120517 300  130000-130500   00     123.20 1007.6    125.40    -0.90    -9999
NORILSK    120517 300  130500-131000   00     124.80 1007.5    127.00     0.40    -9999
NORILSK    120517 300  131000-131500   00     125.00 1007.5    127.20     0.60    -9999
NORILSK    120517 300  131500-132000   00     125.20 1007.5    127.40     0.70    -9999
NORILSK    120517 300  132000-132500   00     124.40 1007.5    126.40    -0.10    -9999
NORILSK    120517 300  132500-133000   00     124.80 1007.5    127.00     0.40    -9999
NORILSK    120517 300  133000-133500   00     123.80 1007.5    126.00    -0.40    -9999
NORILSK    120517 300  133500-134000   00     125.00 1007.5    127.20     0.60    -9999
NORILSK    120517 300  134000-134500   00     124.60 1007.5    126.80     0.20    -9999
NORILSK    120517 300  134500-135000   00     123.60 1007.5    125.80    -0.60    -9999
NORILSK    120517 300  135000-135500   00     124.40 1007.5    126.80     0.20    -9999
NORILSK    120517 300  135500-140000   00     123.20 1007.6    126.00    -0.40    -9999
NORILSK    120517 300  140000-140500   00     124.00 1007.6    126.20    -0.20    -9999
NORILSK    120517 300  140500-141000   00     126.40 1007.6    128.80     1.80    -9999
NORILSK    120517 300  141000-141500   00     126.40 1007.5    129.00     2.00    -9999
NORILSK    120517 300  141500-142000   00     123.60 1007.5    125.80    -0.60    -9999
NORILSK    120517 300  142000-142500   00     124.40 1007.6    126.80     0.20    -9999
NORILSK    120517 300  142500-143000   00     122.80 1007.6    125.00    -1.20    -9999
NORILSK    120517 300  143000-143500   00     124.80 1007.6    127.60     0.90    -9999
NORILSK    120517 300  143500-144000   00     125.60 1007.6    128.40     1.50    -9999
NORILSK    120517 300  144000-144500   00     124.80 1007.7    127.40     0.70    -9999
NORILSK    120517 300  144500-145000   00     123.40 1007.7    126.00    -0.40    -9999
NORILSK    120517 300  145000-145500   00     125.00 1007.7    127.60     0.90    -9999
NORILSK    120517 300  145500-150000   00     123.60 1007.7    125.80    -0.60    -9999
NORILSK    120517 300  150000-150500   00     122.40 1007.7    124.60    -1.50    -9999
NORILSK    120517 300  150500-151000   00     123.80 1007.7    125.80    -0.60    -9999
NORILSK    120517 300  151000-151500   00     126.00 1007.7    129.00     2.00    -9999
NORILSK    120517 300  151500-152000   00     124.20 1007.6    127.00     0.40    -9999
NORILSK    120517 300  152000-152500   00     123.40 1007.6    125.60    -0.70    -9999
NORILSK    120517 300  152500-153000   00     125.40 1007.6    128.00     1.20    -9999
NORILSK    120517 300  153000-153500   00     123.20 1007.6    125.80    -0.60    -9999
NORILSK    120517 300  153500-154000   00     124.20 1007.6    126.60     0.10    -9999
NORILSK    120517 300  154000-154500   00     125.00 1007.6    127.80     1.00    -9999
NORILSK    120517 300  154500-155000   00     125.20 1007.5    127.40     0.70    -9999
NORILSK    120517 300  155000-155500   00     122.00 1007.5    124.60    -1.50    -9999
NORILSK    120517 300  155500-160000   00     124.80 1007.5    127.20     0.60    -9999
NORILSK    120517 300  160000-160500   00     124.40 1007.5    126.80     0.20    -9999
NORILSK    120517 300  160500-161000   00     123.80 1007.5    126.40    -0.10    -9999
NORILSK    120517 300  161000-161500   00     123.60 1007.5    126.00    -0.40    -9999
NORILSK    120517 300  161500-162000   00     125.20 1007.5    127.20     0.60    -9999
NORILSK    120517 300  162000-162500   00     124.80 1007.5    127.00     0.40    -9999
NORILSK    120517 300  162500-163000   00     124.00 1007.5    126.40    -0.10    -9999
